Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-06-15,412.95,412.95,404.05,404.05,404.05,90.0,0.37
2004-06-16,404.05,404.05,403.0,403.0,403.0,160.0,0.65
2004-06-17,400.05,408.9,400.0,408.9,408.65,262.0,1.06
2004-06-18,402.05,402.05,402.0,402.0,402.0,200.0,0.8
2004-06-21,404.9,408.5,401.0,406.45,406.45,100.0,0.4
2004-06-22,400.0,400.0,390.0,400.0,400.0,290.0,1.14
2004-06-23,402.0,402.0,387.0,387.0,387.0,480.0,1.92
2004-06-24,390.0,392.0,390.0,392.0,391.1,90.0,0.35
2004-06-25,390.0,409.8,390.0,409.8,401.95,1054.0,4.21
2004-06-28,402.0,415.0,401.05,415.0,415.0,1690.0,6.9
2004-06-29,405.0,410.0,400.25,400.25,400.3,1164.0,4.71
2004-06-30,408.5,439.85,408.5,439.85,431.4,1369.0,5.74
2004-07-01,440.0,440.0,415.1,415.1,422.55,233.0,1.0
2004-07-02,421.0,429.75,420.0,420.0,420.0,207.0,0.87
2004-07-05,405.05,417.5,405.05,417.5,413.65,211.0,0.87
2004-07-06,406.0,419.0,400.65,414.85,406.65,245.0,1.0
2004-07-07,426.65,426.65,409.05,410.05,409.9,829.0,3.45
2004-07-08,411.0,411.0,409.0,410.0,410.0,1172.0,4.81
2004-07-09,404.9,419.0,404.9,408.0,407.45,178.0,0.73
2004-07-12,407.9,411.25,407.9,411.1,411.15,311.0,1.28
2004-07-14,417.0,417.0,406.0,407.0,409.95,298.0,1.21
2004-07-15,410.0,413.0,409.0,411.0,411.0,231.0,0.95
2004-07-16,409.0,414.95,408.55,414.95,411.65,120.0,0.49
2004-07-19,415.0,424.0,410.0,415.0,415.0,755.0,3.12
2004-07-20,407.05,414.0,407.0,414.0,414.0,211.0,0.87
2004-07-21,409.85,409.85,409.85,409.85,409.85,10.0,0.04
2004-07-22,405.1,426.9,405.0,420.0,418.8,1185.0,4.92
2004-07-23,418.6,418.6,413.05,416.5,414.9,224.0,0.93
2004-07-26,411.3,424.85,411.3,423.0,420.95,340.0,1.43
2004-07-27,430.5,448.0,425.0,435.0,435.0,484.0,2.12
2004-07-28,435.0,438.0,431.5,436.05,436.05,568.0,2.48
2004-07-29,422.55,440.95,422.5,432.0,432.65,481.0,2.06
2004-07-30,434.95,444.9,434.95,440.0,440.0,523.0,2.3
2004-08-02,449.0,453.0,441.0,451.25,451.25,506.0,2.27
2004-08-03,450.0,450.0,448.0,448.0,448.35,200.0,0.9
2004-08-04,448.0,455.0,445.3,450.0,450.0,487.0,2.2
2004-08-05,446.7,450.0,440.5,440.5,443.5,361.0,1.61
2004-08-06,449.0,460.0,449.0,455.0,455.0,455.0,2.07
2004-08-09,460.0,460.0,443.05,443.05,443.75,215.0,0.97
2004-08-10,445.0,445.0,445.0,445.0,445.0,25.0,0.11
2004-08-11,444.95,452.45,440.0,450.85,445.5,441.0,1.96
2004-08-12,445.0,448.0,445.0,448.0,447.4,775.0,3.46
2004-08-13,445.0,445.0,432.2,440.0,440.0,310.0,1.36
2004-08-16,450.0,450.05,449.7,450.0,450.0,103.0,0.46
2004-08-17,444.05,451.95,442.5,442.5,444.45,265.0,1.18
2004-08-18,450.0,457.35,442.0,457.35,448.1,122.0,0.55
2004-08-19,411.05,455.0,411.05,455.0,452.15,584.0,2.6
2004-08-20,449.0,450.0,445.0,445.0,445.0,196.0,0.88
2004-08-23,433.1,458.0,433.0,445.0,445.0,351.0,1.56
2004-08-24,443.05,443.05,443.0,443.0,443.0,200.0,0.89
2004-08-25,450.0,450.0,450.0,450.0,450.0,278.0,1.25
2004-08-26,451.35,455.0,451.35,452.55,453.95,1745.0,7.91
2004-08-27,460.0,463.0,460.0,460.0,460.0,403.0,1.86
2004-08-30,459.0,460.0,447.05,455.0,455.0,1373.0,6.26
2004-08-31,455.0,455.0,455.0,455.0,455.0,227.0,1.03
2004-09-01,459.5,463.9,454.0,463.65,463.8,746.0,3.41
2004-09-02,484.9,500.0,469.5,487.25,493.7,1728.0,8.46
2004-09-03,490.0,500.0,481.6,494.05,494.05,647.0,3.21
2004-09-06,495.0,525.0,495.0,502.0,502.6,1705.0,8.72
2004-09-07,512.5,520.0,502.15,509.8,506.2,508.0,2.6
2004-09-08,509.75,514.0,456.55,490.0,497.0,4368.0,21.84
2004-09-09,482.0,496.45,471.0,472.1,472.95,594.0,2.85
2004-09-10,460.05,493.95,460.05,487.95,486.55,494.0,2.36
2004-09-13,496.0,498.0,485.05,488.0,488.5,828.0,4.05
2004-09-14,499.75,499.75,481.0,486.25,486.25,502.0,2.43
2004-09-15,462.25,489.0,462.25,478.0,478.0,194.0,0.93
2004-09-16,489.95,489.95,475.0,475.0,475.25,338.0,1.61
2004-09-17,455.0,490.0,451.0,489.0,482.55,1609.0,7.7
2004-09-20,492.5,493.0,485.0,493.0,492.7,729.0,3.56
2004-09-21,485.0,490.0,485.0,485.0,485.0,775.0,3.77
2004-09-23,490.0,490.0,475.25,478.7,482.5,702.0,3.37
2004-09-24,494.0,494.0,486.0,486.05,486.05,580.0,2.85
2004-09-27,461.25,500.0,461.25,499.95,499.8,1568.0,7.77
2004-09-28,500.0,500.0,484.0,484.0,485.3,962.0,4.7
2004-09-29,485.15,487.0,480.0,487.0,481.75,140.0,0.68
2004-09-30,490.0,520.9,490.0,520.9,517.95,1091.0,5.51
2004-10-01,495.0,516.0,495.0,510.0,510.65,1608.0,8.12
2004-10-04,515.0,520.0,491.0,500.0,499.25,1117.0,5.56
2004-10-05,485.0,500.0,485.0,492.35,492.35,490.0,2.43
2004-10-06,495.0,498.0,490.6,490.7,490.75,251.0,1.24
2004-10-07,499.8,499.8,486.55,486.55,488.6,260.0,1.28
2004-10-08,495.0,501.8,492.0,499.85,499.85,475.0,2.35
2004-10-09,523.95,523.95,488.05,489.0,490.1,502.0,2.5
2004-10-11,505.0,505.0,487.55,498.0,494.6,161.0,0.8
2004-10-12,484.75,490.0,484.7,490.0,490.0,220.0,1.07
2004-10-14,484.05,498.0,481.0,498.0,498.0,433.0,2.13
2004-10-15,493.45,493.45,481.15,482.0,483.5,180.0,0.87
2004-10-18,482.0,488.0,474.0,488.0,487.95,252.0,1.21
2004-10-19,490.0,491.45,480.6,487.9,485.6,538.0,2.61
2004-10-20,488.5,488.75,477.0,483.5,483.5,1273.0,6.12
2004-10-21,460.05,497.0,460.05,475.55,475.55,764.0,3.68
2004-10-25,495.95,495.95,475.4,475.4,475.4,35.0,0.17
2004-10-26,489.45,489.45,462.0,473.0,473.05,121.0,0.58
2004-10-27,475.0,484.95,475.0,477.0,477.0,761.0,3.63
2004-10-28,488.0,492.0,485.1,492.0,492.0,342.0,1.67
2004-10-29,490.95,490.95,482.1,482.1,483.9,439.0,2.13
2004-11-01,470.0,487.0,470.0,487.0,487.0,184.0,0.88
2004-11-02,486.9,487.95,479.1,479.1,479.45,147.0,0.71
2004-11-03,485.0,497.95,485.0,490.1,490.2,686.0,3.36
2004-11-04,520.0,520.0,490.0,496.0,495.65,380.0,1.89
2004-11-05,498.95,500.0,490.0,500.0,498.9,581.0,2.88
2004-11-08,480.15,500.0,480.15,494.4,488.8,216.0,1.06
2004-11-09,478.5,493.0,478.5,486.3,486.3,393.0,1.91
2004-11-10,493.65,493.65,486.0,486.0,486.0,589.0,2.86
2004-11-11,490.0,496.65,485.75,488.5,488.55,960.0,4.72
2004-11-12,481.25,498.0,481.25,495.0,492.0,475.0,2.33
2004-11-16,485.05,504.0,485.0,497.55,497.35,2294.0,11.37
2004-11-17,504.0,510.0,500.0,510.0,507.6,9506.0,47.99
2004-11-18,485.0,514.0,485.0,509.5,508.75,1591.0,8.0
2004-11-19,505.0,530.0,505.0,508.5,511.3,8123.0,41.51
2004-11-22,515.0,524.95,514.0,522.5,520.9,1393.0,7.22
2004-11-23,500.0,535.0,500.0,522.0,522.0,2234.0,11.77
2004-11-24,549.0,555.0,525.0,525.05,525.05,2157.0,11.45
2004-11-25,500.0,531.0,500.0,530.0,529.75,1116.0,5.84
2004-11-29,533.95,545.0,533.95,538.2,542.2,1314.0,7.08
2004-11-30,544.5,545.0,525.15,525.15,525.95,522.0,2.79
2004-12-01,525.15,526.0,511.25,520.0,523.6,1283.0,6.7
2004-12-02,520.0,528.4,520.0,522.5,522.5,1820.0,9.57
2004-12-03,521.0,533.0,520.0,533.0,529.8,1095.0,5.77
2004-12-06,537.0,537.0,506.0,527.0,527.0,1900.0,9.96
2004-12-07,529.7,529.7,513.75,515.25,516.0,428.0,2.24
2004-12-08,495.0,522.8,495.0,516.0,514.95,2605.0,13.37
2004-12-09,515.95,524.0,515.0,518.0,518.3,1263.0,6.53
2004-12-10,524.9,524.9,516.6,520.0,519.65,210.0,1.1
2004-12-13,520.05,520.05,505.05,517.0,516.8,1669.0,8.63
2004-12-14,515.25,522.8,514.0,514.0,514.35,2618.0,13.57
2004-12-15,520.0,526.0,516.1,525.0,523.65,1452.0,7.59
2004-12-16,503.0,527.9,503.0,516.5,516.5,1637.0,8.44
2004-12-17,518.3,522.95,518.25,521.9,521.3,1223.0,6.35
2004-12-20,510.0,529.5,500.05,506.0,519.5,4088.0,21.2
2004-12-21,515.0,525.0,513.0,519.95,517.6,1318.0,6.84
2004-12-22,525.0,525.0,518.55,520.0,519.55,1121.0,5.84
2004-12-23,520.0,529.65,520.0,527.95,525.95,1159.0,6.1
2004-12-24,527.0,527.0,522.1,524.0,524.0,1000.0,5.25
2004-12-27,525.0,539.5,525.0,539.5,535.6,931.0,4.96
2004-12-28,539.95,549.95,539.95,549.0,546.7,1250.0,6.8
2004-12-29,553.0,555.0,542.1,542.1,544.9,3039.0,16.72
2004-12-30,535.05,544.95,530.5,535.25,535.25,2056.0,11.06
2004-12-31,538.0,588.75,536.05,584.0,575.55,5879.0,32.5
2005-01-03,584.0,585.0,580.0,581.0,581.1,1387.0,8.08
2005-01-04,566.6,579.95,565.55,570.0,570.0,376.0,2.14
2005-01-05,560.0,560.0,550.0,550.0,550.0,1013.0,5.6
2005-01-06,560.0,560.0,540.85,550.05,550.05,814.0,4.47
2005-01-07,590.0,590.0,560.0,561.0,561.0,313.0,1.76
2005-01-10,579.0,580.0,552.0,552.0,552.5,8001.0,45.08
2005-01-11,555.0,557.9,550.0,550.0,552.95,540.0,2.99
2005-01-12,560.0,560.0,526.0,532.0,538.55,3310.0,17.96
2005-01-13,552.0,552.0,538.0,538.0,538.0,200.0,1.09
2005-01-14,537.15,538.0,532.0,532.0,532.05,135.0,0.72
2005-01-17,533.05,539.0,521.3,526.0,526.0,722.0,3.83
2005-01-18,529.5,530.0,524.0,525.0,525.6,376.0,1.98
2005-01-19,528.9,533.8,520.05,520.25,521.9,751.0,3.96
2005-01-20,520.0,524.85,512.1,524.85,524.85,647.0,3.37
2005-01-24,520.0,575.0,520.0,563.95,558.3,3488.0,18.67
2005-01-25,572.95,572.95,545.0,550.0,550.55,2874.0,15.82
2005-01-27,551.0,579.5,550.0,567.0,559.75,682.0,3.81
2005-01-28,560.0,560.0,550.0,553.2,551.05,2617.0,14.47
2005-01-31,575.0,576.0,565.0,570.0,573.85,2967.0,16.87
2005-02-01,570.0,605.0,570.0,605.0,597.25,1279.0,7.55
2005-02-02,610.0,610.0,598.0,598.0,598.0,1341.0,8.08
2005-02-03,592.55,624.0,592.0,620.0,619.05,1895.0,11.58
2005-02-04,648.0,648.0,608.2,627.0,620.0,488.0,3.0
2005-02-07,625.0,635.0,610.0,610.5,610.5,802.0,4.92
2005-02-08,613.0,620.0,611.05,614.0,615.0,214.0,1.32
2005-02-09,615.0,615.0,582.25,601.0,604.75,615.0,3.74
2005-02-10,600.0,605.0,598.0,598.0,601.05,3125.0,18.78
2005-02-11,583.05,594.95,580.1,583.0,588.55,305.0,1.8
2005-02-14,647.0,647.0,531.0,577.9,561.75,1536.0,8.74
2005-02-15,600.0,600.0,563.0,585.0,584.65,2266.0,13.15
2005-02-16,575.0,598.95,566.0,581.0,581.0,1011.0,5.93
2005-02-17,610.0,610.0,565.8,570.75,570.75,265.0,1.51
2005-02-18,580.0,581.05,566.75,570.0,569.95,156.0,0.89
2005-02-21,561.0,580.0,552.0,580.0,572.35,1284.0,7.3
2005-02-22,580.0,580.0,561.15,561.15,562.9,597.0,3.38
2005-02-23,563.55,578.95,558.1,558.1,560.4,920.0,5.19
2005-02-24,565.15,583.9,560.55,580.0,575.2,2857.0,16.2
2005-02-25,589.9,593.5,570.1,570.1,581.55,4370.0,25.69
2005-02-28,563.0,567.0,550.0,550.0,554.3,2116.0,11.78
2005-03-01,551.0,551.0,518.2,530.1,530.1,1711.0,9.13
2005-03-02,532.0,535.7,528.0,532.0,532.0,540.0,2.88
2005-03-03,540.0,545.0,529.0,529.0,533.05,1340.0,7.22
2005-03-04,510.0,543.95,510.0,526.0,526.0,1470.0,7.73
2005-03-07,501.0,540.0,501.0,519.0,519.65,1147.0,5.96
2005-03-08,520.0,530.0,490.0,530.0,529.1,1352.0,6.98
2005-03-09,483.15,540.0,483.15,517.0,518.85,2012.0,10.46
2005-03-10,550.0,550.0,532.0,540.0,540.0,3484.0,18.8
2005-03-11,545.0,550.0,525.0,550.0,550.0,3645.0,19.28
2005-03-14,550.0,550.0,525.0,534.0,529.55,748.0,3.98
2005-03-15,545.0,545.0,528.85,528.85,528.9,1002.0,5.34
2005-03-16,530.05,540.0,530.05,540.0,535.15,636.0,3.38
2005-03-17,540.0,540.0,529.1,532.0,530.55,800.0,4.26
2005-03-18,528.65,540.0,528.6,530.0,533.25,264.0,1.41
2005-03-21,529.05,539.0,525.0,525.0,528.8,295.0,1.56
2005-03-22,525.05,529.75,509.75,523.95,523.95,797.0,4.17
2005-03-23,523.0,529.85,520.0,520.0,520.0,800.0,4.19
2005-03-24,521.05,526.95,520.0,522.0,522.0,462.0,2.41
2005-03-28,544.0,544.0,507.5,522.0,516.8,42.0,0.22
2005-03-29,510.0,520.0,495.0,500.35,510.05,4254.0,21.1
2005-03-30,510.0,510.0,500.0,501.0,501.0,471.0,2.36
2005-03-31,507.0,519.0,507.0,519.0,519.0,282.0,1.44
2005-04-01,520.0,520.0,520.0,520.0,520.0,135.0,0.7
2005-04-04,537.75,537.85,530.0,537.0,533.95,1070.0,5.72
2005-04-05,540.0,540.0,526.25,526.25,526.25,110.0,0.59
2005-04-06,530.0,533.0,525.5,530.0,530.0,426.0,2.25
2005-04-07,544.0,549.75,500.0,520.0,520.0,6751.0,34.23
2005-04-08,511.55,528.0,511.0,519.95,515.45,48.0,0.25
2005-04-11,508.05,520.0,508.05,520.0,519.6,246.0,1.26
2005-04-12,511.05,520.9,508.0,520.9,517.85,1212.0,6.2
2005-04-13,521.0,521.0,515.0,515.0,515.15,210.0,1.08
2005-04-15,510.5,520.0,506.0,508.0,518.3,1033.0,5.28
2005-04-18,505.0,525.0,471.65,514.5,511.75,492.0,2.48
2005-04-19,512.0,518.0,501.6,512.0,512.0,555.0,2.84
2005-04-20,506.8,518.0,506.8,514.95,514.95,131.0,0.67
2005-04-21,490.0,515.0,490.0,510.0,510.0,397.0,2.03
2005-04-22,464.1,528.0,464.1,528.0,528.0,288.0,1.5
2005-04-25,518.0,534.0,510.0,534.0,530.45,1571.0,8.28
2005-04-26,539.0,553.0,532.0,540.0,540.0,1447.0,7.88
2005-04-27,530.0,550.0,530.0,545.0,545.0,505.0,2.75
2005-04-28,535.0,550.0,535.0,535.0,535.0,973.0,5.28
2005-04-29,549.95,550.0,538.05,539.0,539.1,705.0,3.82
2005-05-02,570.0,579.95,562.0,574.25,577.95,4971.0,28.43
2005-05-03,580.0,623.0,573.0,618.0,608.95,8951.0,53.58
2005-05-04,618.0,630.0,599.0,611.0,614.8,3807.0,23.54
2005-05-05,611.0,619.95,601.25,602.1,604.05,597.0,3.66
2005-05-06,577.0,613.95,577.0,609.45,609.45,1034.0,6.27
2005-05-09,590.0,611.0,590.0,611.0,608.05,511.0,3.09
2005-05-10,585.0,609.75,585.0,596.1,597.6,366.0,2.21
2005-05-11,600.0,607.0,595.0,599.0,599.0,1102.0,6.6
2005-05-12,595.1,611.0,592.3,610.0,610.0,1610.0,9.71
2005-05-13,605.0,640.0,605.0,636.85,627.85,3506.0,21.94
2005-05-16,639.9,690.65,639.4,690.65,690.65,7653.0,51.41
2005-05-17,749.0,749.0,626.1,686.5,690.85,14075.0,101.09
2005-05-18,693.0,735.0,687.0,715.0,713.15,5431.0,38.97
2005-05-19,740.0,758.95,725.05,758.95,751.85,6992.0,52.01
2005-05-20,755.0,780.0,745.0,752.0,755.7,4563.0,34.83
2005-05-23,779.95,779.95,740.0,754.0,753.85,2148.0,16.24
2005-05-24,735.1,751.0,730.0,742.5,732.55,753.0,5.52
2005-05-25,730.0,745.0,720.0,725.0,729.1,934.0,6.88
2005-05-26,740.0,740.0,711.05,711.05,714.25,1353.0,9.85
2005-05-27,684.0,737.0,684.0,729.0,722.2,724.0,5.26
2005-05-30,710.0,710.0,706.75,707.15,707.15,1051.0,7.44
2005-05-31,675.05,715.0,675.05,700.0,707.2,1087.0,7.65
2005-06-01,681.0,702.0,681.0,697.0,698.3,439.0,3.06
2005-06-02,695.05,713.95,695.05,697.0,697.0,495.0,3.47
2005-06-03,690.0,709.0,690.0,694.0,696.1,986.0,6.89
2005-06-04,700.0,714.0,687.0,687.0,689.6,490.0,3.41
2005-06-06,715.9,715.9,680.0,680.0,681.35,1104.0,7.61
2005-06-07,680.6,695.0,680.5,693.0,693.0,700.0,4.83
2005-06-08,717.95,717.95,676.1,681.1,681.1,1851.0,12.95
2005-06-09,693.9,714.0,683.0,709.0,705.6,2309.0,16.14
2005-06-10,735.0,735.0,693.65,703.95,697.9,476.0,3.33
2005-06-13,655.0,719.9,655.0,710.0,710.0,1103.0,7.79
2005-06-14,713.0,713.0,695.05,700.0,706.65,75.0,0.53
2005-06-15,776.95,776.95,688.0,715.0,715.05,4418.0,31.36
2005-06-16,710.0,720.0,695.0,695.55,695.6,565.0,3.98
2005-06-17,746.95,746.95,645.0,669.0,668.4,735.0,4.96
2005-06-20,659.5,690.0,608.3,647.0,649.4,1152.0,7.5
2005-06-21,669.75,669.75,658.0,667.95,667.1,185.0,1.23
2005-06-22,688.85,688.85,656.0,677.0,675.25,1531.0,10.3
2005-06-23,679.95,679.95,660.1,670.0,665.9,810.0,5.46
2005-06-24,684.0,684.0,650.0,650.0,659.3,4967.0,32.85
2005-06-27,645.2,664.0,638.0,638.5,638.45,3409.0,22.13
2005-06-28,638.5,650.0,624.0,625.5,628.8,2390.0,15.19
2005-06-29,618.2,651.0,618.2,638.0,636.45,213.0,1.35
2005-06-30,634.05,650.0,633.2,639.0,639.0,1124.0,7.2
2005-07-01,622.8,701.0,622.8,683.0,688.25,3774.0,25.6
2005-07-04,700.0,739.75,700.0,739.75,730.9,13068.0,95.06
2005-07-05,750.0,752.0,725.0,738.8,733.25,8824.0,65.51
2005-07-06,799.0,799.0,722.2,727.0,724.55,4959.0,36.28
2005-07-07,746.0,746.0,713.0,720.0,718.1,585.0,4.24
2005-07-08,725.0,789.95,725.0,789.95,789.95,9495.0,71.64
2005-07-11,810.0,868.95,810.0,868.95,868.95,12266.0,105.0
2005-07-12,899.45,905.0,830.0,850.5,861.4,10776.0,94.17
2005-07-13,872.05,888.0,862.0,872.0,874.5,4645.0,40.66
2005-07-14,870.0,870.0,843.0,850.0,846.95,860.0,7.33
2005-07-15,872.95,872.95,850.0,851.0,858.35,1013.0,8.64
2005-07-18,860.0,897.0,860.0,870.15,870.15,910.0,8.02
2005-07-19,857.05,860.0,841.85,850.0,850.0,1893.0,16.12
2005-07-20,860.0,865.0,845.0,845.0,845.25,1129.0,9.56
2005-07-21,852.0,855.0,840.0,840.0,840.0,991.0,8.42
2005-07-22,850.0,850.0,825.0,825.0,833.0,103.0,0.86
2005-07-25,802.0,830.0,792.05,795.55,800.4,787.0,6.4
2005-07-26,805.0,815.0,788.0,795.05,800.2,7257.0,58.01
2005-07-27,790.0,819.0,790.0,794.0,794.0,61.0,0.48
2005-07-29,790.0,800.0,761.0,800.0,796.25,1260.0,10.01
2005-08-01,801.5,819.8,800.0,810.0,810.0,535.0,4.33
2005-08-02,805.0,835.0,790.2,835.0,827.3,5152.0,41.9
2005-08-03,815.0,820.0,802.0,815.0,815.0,516.0,4.19
2005-08-04,824.95,825.0,786.0,815.0,809.0,4917.0,39.86
2005-08-05,812.0,814.5,810.0,810.0,810.0,2469.0,20.0
2005-08-08,810.0,818.0,810.0,810.0,810.05,4976.0,40.35
2005-08-09,810.0,820.0,810.0,810.0,810.0,2472.0,20.14
2005-08-10,830.0,830.0,810.25,829.0,818.0,653.0,5.33
2005-08-11,810.0,819.0,810.0,811.25,810.3,387.0,3.14
2005-08-12,819.0,820.0,800.0,812.0,812.05,1082.0,8.79
2005-08-16,810.0,840.0,810.0,826.0,827.2,1330.0,11.01
2005-08-17,825.0,840.0,810.1,810.1,815.0,1136.0,9.29
2005-08-18,815.0,819.0,802.0,802.0,802.0,410.0,3.33
2005-08-19,805.0,814.0,800.0,802.0,802.0,1577.0,12.71
2005-08-22,800.45,810.0,800.45,802.15,802.15,837.0,6.76
2005-08-23,800.15,825.0,785.0,806.0,806.0,1176.0,9.51
2005-08-24,819.0,820.0,791.2,800.0,803.3,636.0,5.11
2005-08-25,800.0,810.0,800.0,805.0,805.0,126.0,1.02
2005-08-26,804.0,810.0,802.6,804.1,804.1,391.0,3.15
2005-08-29,802.0,820.0,782.75,805.0,801.05,980.0,7.84
2005-08-30,810.0,818.0,800.0,800.1,800.1,516.0,4.15
2005-08-31,817.95,817.95,801.0,801.0,801.0,157.0,1.26
2005-09-01,819.4,819.7,800.0,800.0,800.0,799.0,6.48
2005-09-02,780.05,840.0,780.05,810.0,810.0,432.0,3.51
2005-09-05,825.0,840.0,815.0,834.0,833.65,9803.0,81.2
2005-09-06,840.0,917.05,840.0,917.05,917.05,9140.0,81.16
2005-09-08,950.0,950.0,876.0,880.0,885.15,4587.0,42.04
2005-09-09,965.15,965.75,862.2,885.0,873.35,2745.0,24.69
2005-09-12,920.0,920.0,894.5,913.0,910.05,1984.0,18.03
2005-09-13,929.95,990.0,911.0,935.0,927.3,2506.0,23.2
2005-09-14,920.0,969.0,905.0,918.0,912.15,1207.0,11.14
2005-09-15,920.0,930.0,909.05,929.0,927.45,774.0,7.13
2005-09-16,960.0,960.0,908.7,912.2,913.55,1879.0,17.21
2005-09-19,915.0,930.0,901.0,921.55,923.8,1093.0,10.07
2005-09-20,915.0,945.0,902.0,935.25,939.1,3091.0,28.69
2005-09-21,942.0,942.0,882.0,915.0,918.95,2578.0,23.52
2005-09-22,905.0,906.25,845.25,851.0,852.0,1980.0,17.61
2005-09-23,855.0,885.0,845.05,884.95,876.25,1647.0,14.21
2005-09-26,890.0,896.8,870.0,888.0,889.75,474.0,4.23
2005-09-27,888.7,900.0,888.0,898.0,897.05,747.0,6.68
2005-09-28,885.0,889.0,875.0,880.05,882.35,589.0,5.19
2005-09-29,899.0,899.0,875.0,885.0,880.5,390.0,3.46
2005-09-30,865.2,897.0,865.2,887.0,881.75,93.0,0.82
2005-10-03,851.2,890.0,851.2,873.75,865.85,293.0,2.57
2005-10-04,888.9,888.9,837.0,850.0,848.45,2900.0,24.97
2005-10-05,860.0,865.0,820.45,842.5,846.2,1155.0,9.79
2005-10-06,842.0,850.0,813.0,827.0,820.5,1440.0,11.9
2005-10-07,802.5,846.3,802.5,818.5,820.8,974.0,8.04
2005-10-10,822.0,842.65,792.2,800.0,800.85,942.0,7.64
2005-10-11,805.0,808.0,795.25,797.5,799.35,389.0,3.12
2005-10-13,797.55,818.9,796.8,797.25,802.5,273.0,2.18
2005-10-14,792.0,796.95,784.5,785.55,785.5,331.0,2.6
2005-10-17,780.0,805.75,760.55,802.0,800.5,1784.0,14.15
2005-10-18,800.0,813.5,796.55,800.0,800.15,980.0,7.85
2005-10-19,780.0,800.0,780.0,783.0,783.25,1060.0,8.33
2005-10-20,788.0,788.0,721.0,739.0,730.15,935.0,7.03
2005-10-21,681.0,757.95,681.0,750.0,749.7,691.0,5.11
2005-10-24,765.0,781.0,765.0,781.0,772.0,223.0,1.72
2005-10-25,761.1,794.0,755.0,794.0,783.5,2907.0,22.15
2005-10-26,784.6,785.0,775.0,779.0,777.25,63.0,0.49
2005-10-27,787.95,788.0,741.1,743.5,743.4,192.0,1.47
2005-10-28,775.0,778.9,693.0,728.5,709.35,2803.0,20.03
2005-10-31,701.0,746.0,701.0,732.0,732.0,347.0,2.51
2005-11-01,749.0,756.0,731.3,756.0,750.1,55.0,0.41
2005-11-02,758.0,776.0,721.0,770.0,768.0,655.0,4.95
2005-11-07,745.0,775.0,745.0,750.0,750.15,766.0,5.76
2005-11-08,752.5,784.0,752.5,783.95,783.95,190.0,1.46
2005-11-09,793.0,793.0,771.05,778.4,775.9,392.0,3.04
2005-11-10,770.0,775.0,770.0,775.0,775.0,70.0,0.54
2005-11-11,760.2,787.0,760.2,780.1,779.5,664.0,5.14
2005-11-14,788.9,800.0,757.65,775.0,774.75,480.0,3.73
2005-11-16,799.85,810.0,775.05,800.0,800.0,532.0,4.24
2005-11-17,780.0,797.0,780.0,787.9,785.0,1181.0,9.36
2005-11-18,800.0,802.1,791.0,795.0,796.85,560.0,4.47
2005-11-21,786.0,800.0,786.0,790.0,790.0,258.0,2.04
2005-11-22,765.0,783.95,763.2,763.2,765.35,1146.0,8.84
2005-11-23,775.0,775.0,760.05,763.0,763.0,1053.0,8.04
2005-11-24,770.0,775.0,754.5,765.05,769.1,1279.0,9.87
2005-11-25,796.0,796.0,772.0,772.0,772.15,342.0,2.71
2005-11-26,789.0,789.0,762.25,780.0,779.0,360.0,2.81
2005-11-28,785.0,785.0,768.0,779.5,779.5,1007.0,7.82
2005-11-29,775.0,783.0,771.5,783.0,781.5,438.0,3.4
2005-11-30,785.0,800.0,765.0,774.85,767.55,683.0,5.31
2005-12-01,780.0,782.0,770.2,770.5,772.15,19.0,0.15
2005-12-02,778.0,785.0,772.55,779.9,779.75,356.0,2.77
2005-12-05,765.0,788.65,762.3,788.65,788.65,903.0,6.97
2005-12-06,761.0,821.0,761.0,815.0,813.75,16351.0,131.28
2005-12-07,850.0,875.0,830.0,875.0,867.65,5113.0,43.83
