Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-29,107.0,108.0,97.5,97.6,98.35,24034.0,24.16
2014-01-30,101.25,101.25,96.9,98.25,98.2,4599.0,4.5
2014-01-31,97.05,103.0,97.05,102.0,101.95,6672.0,6.75
2014-02-03,102.95,114.0,102.95,110.0,111.2,48716.0,53.53
2014-02-04,111.0,119.35,110.0,116.5,116.5,106902.0,123.44
2014-02-05,118.35,120.5,114.0,117.0,116.85,14636.0,17.14
2014-02-06,117.0,118.35,110.0,110.25,111.3,14082.0,15.95
2014-02-07,117.3,117.3,111.05,112.0,112.0,1681.0,1.88
2014-02-10,114.3,118.0,112.8,116.45,116.0,11008.0,12.74
2014-02-11,114.05,115.7,112.4,115.7,113.9,1232.0,1.4
2014-02-12,115.0,117.5,115.0,115.1,115.05,16790.0,19.48
2014-02-13,117.0,120.0,115.0,117.0,117.25,11270.0,13.17
2014-02-14,119.9,130.0,96.05,98.95,98.4,98264.0,97.52
2014-02-17,98.5,106.8,98.45,104.1,104.8,9529.0,9.79
2014-02-18,105.75,113.95,105.75,110.0,110.35,19130.0,21.22
2014-02-19,113.9,113.9,110.55,112.85,112.05,4362.0,4.89
2014-02-20,112.0,118.65,110.3,113.0,113.7,67533.0,78.08
2014-02-21,115.9,116.85,112.05,116.85,115.25,4427.0,5.08
2014-02-24,111.55,117.6,111.55,113.25,113.15,3168.0,3.62
2014-02-25,114.95,115.0,109.0,114.35,112.5,5524.0,6.19
2014-02-26,98.0,116.0,98.0,111.0,111.65,32326.0,37.02
2014-02-28,112.5,114.4,105.0,108.25,108.45,10089.0,11.05
2014-03-03,108.45,116.0,105.5,112.95,112.35,47524.0,52.99
2014-03-04,108.6,115.65,108.6,112.5,112.15,26579.0,30.0
2014-03-05,110.7,124.0,110.7,115.0,116.0,23301.0,27.25
2014-03-06,113.05,118.0,113.05,116.0,115.6,4017.0,4.69
2014-03-07,112.0,117.95,107.1,112.0,111.2,16741.0,18.7
2014-03-10,110.0,115.0,110.0,112.0,112.05,7036.0,8.0
2014-03-11,111.05,113.85,110.5,111.0,111.05,225.0,0.25
2014-03-12,110.2,111.0,108.5,109.0,109.85,19111.0,21.01
2014-03-13,110.0,110.0,106.2,107.0,106.6,1451.0,1.56
2014-03-14,103.05,106.85,103.05,103.5,103.5,4276.0,4.47
2014-03-18,105.8,111.7,105.15,109.0,109.15,5233.0,5.67
2014-03-19,109.0,111.85,108.5,110.05,110.05,4189.0,4.58
2014-03-20,106.05,109.95,106.0,109.95,109.95,563.0,0.61
2014-03-21,102.85,113.5,102.85,106.85,106.85,1913.0,2.06
2014-03-24,105.65,109.8,104.0,104.0,105.05,3758.0,3.98
2014-03-25,106.95,108.0,105.0,107.45,106.95,9288.0,9.93
2014-03-26,103.55,106.0,100.0,100.0,101.25,7084.0,7.29
2014-03-27,101.25,104.5,101.25,104.5,104.45,1165.0,1.21
2014-03-28,108.0,108.0,104.75,105.1,105.2,10348.0,11.04
2014-03-31,104.95,107.95,103.65,104.2,104.95,21593.0,22.77
2014-04-01,100.15,111.5,100.15,101.6,103.3,4855.0,4.89
2014-04-02,102.95,106.75,102.95,106.75,106.35,1513.0,1.59
2014-04-03,101.75,105.0,101.55,102.85,102.95,1661.0,1.72
2014-04-04,100.0,107.95,100.0,107.95,106.85,10409.0,10.99
2014-04-07,106.3,107.0,105.0,107.0,107.0,4824.0,5.09
2014-04-09,110.85,110.85,105.1,107.25,107.25,6059.0,6.61
2014-04-10,108.05,108.05,105.05,106.1,106.1,1184.0,1.27
2014-04-11,109.95,109.95,104.95,107.0,105.0,5764.0,6.05
2014-04-15,105.05,107.0,105.0,105.0,105.0,7038.0,7.41
2014-04-16,105.1,105.1,104.0,104.65,104.25,2784.0,2.91
2014-04-17,105.95,109.8,105.0,108.9,105.45,3122.0,3.35
2014-04-21,109.95,110.0,105.0,106.45,105.0,2265.0,2.38
2014-04-22,105.0,106.2,104.95,106.0,106.0,5872.0,6.17
2014-04-23,105.0,108.0,104.0,106.0,106.45,8687.0,9.19
2014-04-25,106.0,109.8,106.0,107.05,107.05,42585.0,45.81
2014-04-28,107.7,127.5,107.25,125.95,119.25,67273.0,79.77
2014-04-29,122.0,139.25,121.0,132.9,127.9,90884.0,119.97
2014-04-30,131.95,142.7,117.05,124.7,122.9,56993.0,75.43
2014-05-02,126.5,132.5,121.05,128.5,128.5,13084.0,16.85
2014-05-05,129.45,131.9,125.85,125.85,127.6,4876.0,6.28
2014-05-06,129.95,133.75,125.4,127.0,127.1,10061.0,13.0
2014-05-07,127.05,129.0,126.95,128.0,128.05,9150.0,11.74
2014-05-08,128.2,130.85,125.7,126.65,126.7,6027.0,7.7
2014-05-09,123.2,127.6,123.2,126.0,126.0,1455.0,1.83
2014-05-12,125.0,125.0,110.0,117.3,117.3,7638.0,9.11
2014-05-13,128.0,128.0,116.3,119.4,118.9,581.0,0.71
2014-05-14,124.95,124.95,119.0,120.0,120.0,1965.0,2.37
2014-05-15,117.55,123.9,117.5,118.8,118.75,8026.0,9.56
2014-05-16,111.25,122.0,111.25,117.0,116.5,2495.0,2.91
2014-05-19,116.0,120.0,115.5,120.0,120.0,600.0,0.7
2014-05-20,115.1,121.0,115.05,121.0,121.0,6252.0,7.45
2014-05-21,120.0,134.0,120.0,134.0,131.25,28987.0,36.29
2014-05-22,138.5,141.7,134.25,136.3,136.3,12397.0,17.2
2014-05-23,138.5,145.0,135.0,145.0,143.05,13897.0,19.24
2014-05-26,138.95,139.0,126.1,135.0,130.6,5115.0,6.93
2014-05-27,131.05,137.95,130.0,137.95,136.85,3171.0,4.24
2014-05-28,130.05,139.0,130.05,135.0,135.0,1465.0,2.02
2014-05-29,138.9,151.0,133.0,137.0,136.5,9553.0,13.42
2014-05-30,137.95,140.5,133.0,135.0,134.45,3938.0,5.41
2014-06-02,137.95,138.1,130.3,134.2,134.2,3780.0,5.08
2014-06-03,131.05,137.8,131.05,132.1,133.7,4528.0,6.05
2014-06-04,133.25,134.55,130.5,134.55,133.3,5170.0,6.85
2014-06-05,138.25,155.0,135.0,152.0,153.15,76951.0,113.72
2014-06-06,154.95,172.95,151.0,171.0,169.65,58857.0,97.44
2014-06-09,171.5,178.8,163.05,165.15,167.9,8456.0,14.31
2014-06-10,167.5,170.0,161.2,161.2,164.7,3762.0,6.19
2014-06-11,160.1,167.7,158.25,164.0,162.75,6215.0,10.03
2014-06-12,163.0,170.0,160.05,161.1,161.45,12263.0,20.2
2014-06-13,169.95,169.95,156.0,159.9,159.6,4457.0,7.19
2014-06-16,160.0,163.0,155.0,156.0,156.0,2022.0,3.18
2014-06-17,159.9,161.5,154.8,159.9,160.75,39809.0,62.13
2014-06-18,161.9,163.5,159.0,159.0,159.0,1972.0,3.17
2014-06-19,160.0,165.0,157.0,157.0,157.85,9820.0,15.7
2014-06-20,156.0,163.0,156.0,156.0,156.0,6153.0,9.61
2014-06-23,155.0,163.75,147.0,160.5,162.75,47462.0,76.18
2014-06-24,165.0,187.0,135.1,163.75,159.65,124103.0,211.16
2014-06-25,163.0,182.5,162.1,180.0,179.65,71467.0,127.22
2014-06-26,182.8,182.9,173.95,176.0,174.5,6043.0,10.69
2014-06-27,174.0,182.0,170.05,182.0,181.05,19400.0,34.69
2014-06-30,185.0,187.0,180.05,183.3,184.6,17814.0,33.07
2014-07-01,183.9,187.7,182.1,182.5,183.95,11148.0,20.66
2014-07-02,184.0,189.8,183.8,188.5,187.65,171705.0,319.76
2014-07-03,189.0,194.0,186.0,190.0,189.55,161198.0,305.27
2014-07-04,185.0,189.55,182.1,185.55,185.3,76783.0,141.87
2014-07-07,180.0,186.0,178.05,180.0,180.85,30763.0,56.3
2014-07-08,196.0,196.0,174.5,175.0,177.4,36791.0,65.54
2014-07-09,170.25,176.9,168.0,172.05,172.15,2912.0,4.97
2014-07-10,166.05,182.0,166.05,174.95,177.2,2155.0,3.82
2014-07-11,182.3,182.3,156.5,160.0,161.1,10456.0,17.13
2014-07-14,166.0,169.9,155.7,159.0,160.4,1690.0,2.74
2014-07-15,166.5,166.5,161.05,163.8,162.1,2430.0,3.95
2014-07-16,163.05,166.0,162.1,162.1,162.4,879.0,1.44
2014-07-17,169.8,169.8,162.25,164.0,164.25,3223.0,5.27
2014-07-18,164.25,171.55,160.6,171.4,170.2,8273.0,13.83
2014-07-21,171.55,186.0,171.55,184.5,184.6,10673.0,19.46
2014-07-22,180.0,184.9,175.8,183.0,183.0,1994.0,3.62
2014-07-23,180.0,184.0,177.0,184.0,183.35,1164.0,2.1
2014-07-24,180.0,181.05,174.25,177.0,178.6,3162.0,5.67
2014-07-25,174.8,175.8,165.05,167.0,167.55,4082.0,6.99
2014-07-28,176.0,176.0,168.0,175.0,173.65,3688.0,6.41
2014-07-30,169.0,172.95,163.8,170.0,169.95,4683.0,7.93
2014-07-31,174.0,175.6,163.8,172.5,172.35,1157.0,1.98
2014-08-01,169.05,175.0,164.9,164.9,167.95,1239.0,2.12
2014-08-04,174.9,181.5,169.05,170.0,170.1,2785.0,4.84
2014-08-05,186.0,189.0,181.0,181.5,181.6,61989.0,113.72
2014-08-06,181.05,185.0,175.0,175.25,176.5,5520.0,9.84
2014-08-07,183.0,183.0,175.95,177.25,177.25,6508.0,11.67
2014-08-08,175.05,211.8,171.0,200.2,198.75,223506.0,425.43
2014-08-11,212.75,236.85,210.0,221.35,217.6,386258.0,861.64
2014-08-12,217.0,256.0,217.0,252.15,252.4,604267.0,1494.23
2014-08-13,250.0,250.0,227.35,242.85,240.55,196009.0,472.22
2014-08-14,244.9,245.0,231.4,242.0,242.95,136703.0,329.94
2014-08-18,244.9,276.25,235.0,240.0,237.2,572418.0,1433.83
2014-08-19,241.65,246.65,224.55,228.0,226.25,232252.0,538.51
2014-08-20,229.95,242.5,226.0,232.0,233.75,127864.0,299.17
2014-08-21,241.75,269.7,235.1,264.15,266.75,454972.0,1188.21
2014-08-22,271.9,285.0,266.0,283.2,281.85,258811.0,714.19
2014-08-25,285.1,299.6,283.0,287.0,287.35,215849.0,629.48
2014-08-26,290.0,291.85,265.1,275.0,274.95,131007.0,365.44
2014-08-27,282.5,289.0,271.05,283.6,285.65,49038.0,138.98
2014-08-28,281.0,314.2,281.0,314.2,314.2,168673.0,514.19
