Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-08-14,36.2,40.8,34.45,40.3,39.95,2384960.0,925.28
2015-08-17,40.65,42.8,40.4,40.8,41.0,1353169.0,558.24
2015-08-18,41.0,41.7,40.5,41.0,40.9,711778.0,291.51
2015-08-19,41.25,41.25,38.1,40.35,40.2,770391.0,308.59
2015-08-20,38.6,39.9,37.75,38.75,38.05,782962.0,302.37
2015-08-21,36.8,37.25,35.15,36.45,36.8,416858.0,152.54
2015-08-24,35.0,35.0,32.2,33.0,32.95,698903.0,235.47
2015-08-25,34.0,34.5,28.5,32.8,32.85,1322129.0,417.21
2015-08-26,32.8,33.5,31.2,33.0,32.55,833673.0,267.25
2015-08-27,33.4,35.0,32.5,33.2,33.3,1243012.0,414.36
2015-08-28,34.3,34.5,31.55,32.6,32.35,1312051.0,429.07
2015-08-31,32.35,32.35,30.8,31.05,31.15,1032304.0,322.87
