Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-04-05,45.0,49.4,38.0,42.25,41.95,34373223.0,14422.95
2006-04-07,42.65,50.35,42.5,48.0,47.6,22219768.0,10453.99
2006-04-10,49.0,49.2,43.25,45.0,44.8,4284221.0,1941.53
2006-04-12,45.45,46.55,42.2,43.15,43.0,2968790.0,1333.31
2006-04-13,43.8,44.15,39.05,40.5,40.05,1460701.0,608.22
2006-04-17,40.8,42.0,40.55,40.6,40.7,549573.0,226.24
2006-04-18,41.3,43.35,40.2,43.1,42.8,1375576.0,583.54
2006-04-19,42.5,43.5,41.9,41.9,42.8,734011.0,315.55
2006-04-20,42.5,42.7,40.55,40.6,40.75,343606.0,142.51
2006-04-21,41.25,41.95,38.5,38.9,38.85,397335.0,158.1
2006-04-24,39.4,44.9,39.1,43.1,43.6,1467701.0,630.95
2006-04-25,44.05,44.25,41.65,42.0,42.1,419259.0,179.09
2006-04-26,42.65,43.7,40.7,41.0,41.25,236021.0,99.57
2006-04-27,42.0,42.7,41.3,41.9,41.7,200931.0,84.39
2006-04-28,41.5,41.5,38.3,40.2,40.05,214569.0,85.96
2006-04-29,41.0,42.1,40.1,41.3,41.2,95481.0,39.51
2006-05-02,41.0,42.3,40.05,40.05,40.45,153119.0,63.07
2006-05-03,41.3,42.0,40.0,40.2,40.1,127237.0,51.64
2006-05-04,40.9,42.0,40.4,40.7,40.6,170410.0,69.81
2006-05-05,40.25,40.9,39.8,40.1,40.4,138772.0,56.03
2006-05-08,40.9,41.2,40.1,40.2,40.25,137734.0,56.0
2006-05-09,40.8,42.85,39.9,41.4,41.7,326516.0,135.73
2006-05-10,42.0,42.4,41.1,41.3,41.5,127802.0,53.3
2006-05-11,41.25,42.0,40.75,41.65,41.25,131608.0,54.6
2006-05-12,40.5,45.7,40.5,42.05,42.25,1037161.0,451.09
2006-05-15,42.0,44.0,40.15,40.5,40.5,657089.0,277.56
2006-05-16,40.5,41.45,38.6,40.0,40.35,445845.0,178.3
2006-05-17,40.75,44.6,40.5,43.8,43.75,954322.0,414.42
2006-05-18,43.5,43.5,39.25,40.15,40.15,557480.0,229.61
2006-05-19,41.8,42.0,38.0,38.9,38.4,308411.0,122.43
