Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-07-25,332.5,370.5,308.4,325.7,330.15,11231528.0,38282.55
2007-07-26,327.0,339.0,320.1,325.0,323.75,3479317.0,11441.8
2007-07-27,319.0,319.0,292.0,301.0,302.0,1701642.0,5189.64
2007-07-30,302.05,311.0,288.3,298.4,297.85,1643286.0,4949.98
2007-07-31,300.3,331.8,300.3,319.0,320.75,3319140.0,10575.9
2007-08-01,314.8,314.8,287.0,287.3,291.4,996886.0,3023.68
2007-08-02,292.0,303.3,286.0,289.0,288.95,847867.0,2517.72
2007-08-03,292.65,300.0,288.55,293.0,293.3,348192.0,1023.84
2007-08-06,285.65,314.0,276.0,310.0,307.05,564658.0,1670.48
2007-08-07,311.0,332.5,310.25,313.9,318.45,1490805.0,4818.99
2007-08-08,325.0,331.9,317.0,319.0,319.7,934149.0,3044.74
2007-08-09,325.0,329.4,303.0,303.2,304.75,554743.0,1766.68
2007-08-10,300.0,301.7,281.1,300.0,298.4,283159.0,832.78
2007-08-13,305.0,314.0,301.05,308.55,307.1,361004.0,1112.88
2007-08-14,309.0,322.0,305.2,316.05,315.6,514856.0,1626.09
2007-08-16,306.0,306.0,285.1,296.0,295.0,149835.0,448.37
2007-08-17,294.6,303.0,282.0,287.0,288.7,134509.0,391.56
2007-08-20,301.0,311.0,298.0,299.0,299.9,200557.0,609.7
2007-08-21,305.0,310.0,274.0,281.9,279.05,140494.0,410.39
2007-08-22,285.25,290.0,272.1,278.5,278.4,102906.0,287.87
2007-08-23,288.5,290.95,278.55,284.8,281.0,89486.0,255.2
2007-08-24,285.0,286.9,277.75,280.0,280.15,49189.0,138.06
2007-08-27,289.75,295.0,284.0,295.0,292.05,60869.0,175.91
2007-08-28,292.5,299.3,290.0,293.0,292.35,45838.0,134.72
2007-08-29,281.0,301.0,281.0,296.5,295.9,105075.0,309.32
2007-08-30,300.0,306.6,297.0,297.0,299.4,68057.0,205.46
2007-08-31,303.9,305.0,295.0,295.0,295.8,58515.0,175.02
2007-09-03,300.0,312.5,296.2,307.0,306.75,109461.0,335.27
2007-09-04,310.7,323.4,307.0,322.0,320.1,148087.0,465.29
2007-09-05,323.0,373.2,323.0,350.0,351.8,2146235.0,7690.56
2007-09-06,351.95,358.0,333.1,347.0,339.8,685237.0,2371.26
2007-09-07,339.8,350.9,337.1,338.0,340.05,245453.0,845.39
2007-09-10,333.0,339.85,331.9,333.55,333.9,109695.0,368.13
2007-09-11,337.65,345.0,330.15,332.1,332.4,160075.0,537.94
2007-09-12,338.0,358.5,335.35,352.25,350.7,466994.0,1636.06
2007-09-13,353.0,375.0,352.55,363.2,361.7,545031.0,1987.53
2007-09-14,366.0,380.0,351.2,363.0,359.25,775676.0,2868.1
2007-09-17,360.05,370.0,327.0,368.0,364.35,295376.0,1058.67
2007-09-18,362.7,372.0,356.1,357.5,357.75,146313.0,530.73
2007-09-19,364.5,368.5,355.0,357.35,356.75,153669.0,554.52
2007-09-20,358.3,359.4,350.0,356.1,356.0,75396.0,267.75
2007-09-21,350.1,364.9,348.0,356.75,358.4,101265.0,361.15
2007-09-24,360.0,364.8,348.1,348.3,350.3,41029.0,145.01
2007-09-25,352.4,366.5,343.5,362.65,363.75,111894.0,400.27
2007-09-26,363.0,365.0,354.5,362.5,360.6,63222.0,227.77
2007-09-27,367.0,370.0,358.05,363.5,363.05,56070.0,203.0
2007-09-28,365.0,383.9,360.4,377.1,377.65,256058.0,961.04
2007-10-01,380.45,420.0,376.0,401.05,400.35,452761.0,1806.39
2007-10-03,405.0,415.0,385.4,404.5,403.35,168859.0,683.77
2007-10-04,391.0,400.65,380.9,397.0,395.9,43117.0,168.37
2007-10-05,406.0,406.95,380.5,382.0,384.4,26320.0,103.15
2007-10-08,388.5,388.85,361.3,385.0,382.9,56345.0,210.53
2007-10-09,372.0,397.0,372.0,388.75,388.95,29986.0,114.91
2007-10-10,393.1,402.0,390.0,394.0,394.1,42089.0,166.23
2007-10-11,399.8,401.0,372.0,400.0,398.8,19860.0,77.96
2007-10-12,400.0,418.8,390.05,412.0,409.25,35654.0,143.52
2007-10-15,414.9,451.0,414.8,435.0,431.45,86722.0,379.05
2007-10-16,403.4,450.0,403.4,420.0,419.55,71531.0,304.93
2007-10-17,360.0,418.0,350.05,415.2,410.0,34680.0,139.32
2007-10-18,422.6,430.0,375.0,393.0,389.9,12442.0,50.7
2007-10-19,363.1,396.0,363.1,390.0,390.1,22046.0,84.93
2007-10-22,355.0,417.0,355.0,392.0,392.7,7070.0,28.0
2007-10-23,404.0,416.0,396.0,414.0,409.7,61410.0,250.57
2007-10-24,413.0,427.0,400.1,418.0,422.95,68952.0,287.12
2007-10-25,420.0,430.0,415.0,430.0,428.1,28448.0,120.61
2007-10-26,431.15,444.0,426.25,437.0,435.1,44734.0,192.84
2007-10-29,438.0,440.0,415.15,418.25,421.2,6807.0,29.2
2007-10-30,426.8,430.0,395.5,425.0,425.75,10064.0,42.35
2007-10-31,429.8,439.8,412.5,436.0,435.65,13954.0,60.27
2007-11-01,430.35,435.0,410.5,417.45,416.45,9827.0,41.51
2007-11-02,393.0,427.65,393.0,415.0,416.45,5656.0,23.5
2007-11-05,410.3,430.0,401.05,425.0,422.95,14743.0,62.05
2007-11-06,420.0,449.0,420.0,442.1,441.25,18143.0,79.72
2007-11-07,440.0,450.0,432.0,438.0,438.1,16333.0,71.93
2007-11-08,445.0,445.0,425.0,440.0,438.55,9619.0,41.97
2007-11-09,439.0,444.0,426.65,444.0,437.3,2245.0,9.85
2007-11-12,443.0,468.0,428.0,468.0,460.3,21782.0,97.84
2007-11-13,459.0,499.0,459.0,471.0,473.7,15566.0,75.21
2007-11-14,473.0,489.95,455.0,469.2,461.0,7174.0,33.53
2007-11-15,450.05,475.0,445.05,474.95,461.4,11627.0,53.32
2007-11-16,485.0,513.9,470.0,479.9,471.5,24463.0,118.95
2007-11-19,488.35,488.35,464.0,464.0,466.6,6866.0,32.71
2007-11-20,468.8,482.0,455.0,469.5,464.35,6723.0,31.42
2007-11-21,461.0,471.0,453.1,458.0,458.7,2996.0,13.91
2007-11-22,470.0,470.0,412.15,428.05,430.85,7865.0,34.26
2007-11-23,439.95,480.0,432.0,435.55,439.6,1918.0,8.49
2007-11-26,442.0,470.8,435.0,467.1,464.95,6405.0,29.3
2007-11-27,461.0,461.0,450.0,452.8,455.3,11974.0,54.72
2007-11-28,452.0,463.0,450.0,455.0,457.55,11954.0,54.81
2007-11-29,454.0,470.0,442.1,452.15,452.35,4011.0,18.29
2007-11-30,452.0,475.0,452.0,460.0,462.85,7342.0,34.7
2007-12-03,455.0,475.0,450.0,473.7,471.35,5576.0,26.15
2007-12-04,463.4,472.75,462.0,462.0,462.4,784.0,3.64
2007-12-05,452.65,470.0,452.65,456.1,458.35,2009.0,9.27
2007-12-06,456.1,469.7,453.0,464.0,460.4,6607.0,30.34
2007-12-07,422.9,541.0,422.9,520.0,518.1,71214.0,370.11
2007-12-10,519.0,526.5,491.0,498.0,497.7,6965.0,35.19
2007-12-11,492.05,509.9,491.05,493.0,492.1,3326.0,16.52
