Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-10-30,77.0,80.0,69.3,69.9,70.5,2534268.0,1879.26
2006-10-31,70.3,76.7,70.3,71.8,71.35,1358745.0,1002.65
2006-11-01,72.0,72.85,69.05,70.05,70.15,319705.0,225.83
2006-11-02,70.8,70.85,67.35,68.55,68.2,133011.0,92.29
2006-11-03,69.25,69.7,65.1,65.25,65.55,105202.0,70.61
2006-11-06,66.0,66.5,63.0,63.95,63.8,119001.0,76.3
2006-11-07,64.0,69.0,63.3,63.8,63.9,103179.0,67.07
2006-11-08,64.1,64.9,59.5,61.6,61.95,61359.0,38.37
2006-11-09,65.0,65.0,57.5,59.25,59.0,146828.0,89.87
2006-11-10,60.0,62.0,58.8,59.4,59.15,66947.0,39.74
2006-11-13,60.0,61.45,60.0,60.35,60.35,71432.0,43.31
2006-11-14,61.15,61.15,58.0,58.5,58.4,107814.0,63.33
2006-11-15,58.4,67.5,57.8,63.4,64.35,554968.0,361.21
2006-11-16,63.5,67.7,63.3,65.4,65.6,524573.0,347.51
2006-11-17,64.6,66.0,62.05,62.65,62.95,115635.0,73.26
2006-11-20,63.0,67.3,59.15,60.7,61.25,104068.0,63.28
2006-11-21,61.0,65.0,60.95,62.75,63.1,169206.0,107.23
2006-11-22,63.8,64.4,61.75,62.85,62.45,37416.0,23.63
2006-11-23,63.0,65.2,61.25,61.55,61.8,54563.0,34.2
2006-11-24,62.0,63.7,60.65,61.05,61.35,73414.0,45.46
2006-11-27,61.8,62.75,61.0,61.5,61.15,51044.0,31.6
2006-11-28,60.9,62.3,60.0,60.1,60.2,54623.0,33.57
2006-11-29,61.4,61.9,59.6,59.6,60.0,47806.0,29.02
2006-11-30,60.6,61.75,59.3,59.85,59.75,27957.0,16.81
2006-12-01,60.5,61.5,58.9,59.0,59.3,23491.0,14.0
2006-12-04,60.0,62.3,59.4,59.5,59.9,88738.0,53.83
2006-12-05,60.05,61.9,59.8,60.25,60.15,66735.0,40.61
2006-12-06,61.7,62.25,59.55,60.45,60.25,89328.0,54.53
2006-12-07,60.45,71.85,60.05,69.75,69.35,1098222.0,747.76
