Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-11-27,59.0,59.9,56.3,57.85,57.95,1083733.0,626.9
2006-11-28,57.95,58.3,55.5,56.5,57.25,1523190.0,866.79
2006-11-29,57.4,58.9,54.5,54.8,55.75,962974.0,548.65
2006-11-30,56.65,56.65,52.4,52.85,53.0,615907.0,333.78
2006-12-01,53.1,55.4,52.5,52.85,53.05,799670.0,430.91
2006-12-04,52.95,54.75,52.95,53.85,53.85,457631.0,246.61
2006-12-05,54.0,54.95,53.2,53.75,53.5,461411.0,248.27
2006-12-06,54.3,56.15,53.5,55.4,55.3,1087527.0,597.6
2006-12-07,55.8,56.9,54.9,55.1,55.35,1008072.0,562.33
2006-12-08,55.7,56.25,52.6,52.7,53.05,576195.0,310.4
2006-12-11,50.65,53.75,50.2,50.6,50.95,739811.0,380.24
2006-12-12,51.4,51.8,46.15,46.5,47.05,905906.0,445.05
2006-12-13,47.25,51.5,46.0,50.5,50.4,998528.0,492.41
2006-12-14,50.4,51.45,50.4,51.35,51.25,402317.0,205.65
2006-12-15,51.5,52.3,50.5,50.7,50.8,426294.0,218.88
2006-12-18,51.0,51.5,50.05,51.45,51.15,434435.0,221.03
2006-12-19,51.75,52.7,50.45,50.85,50.95,714100.0,367.55
2006-12-20,51.25,51.8,49.55,49.8,49.8,515140.0,259.51
2006-12-21,50.0,51.05,49.25,49.55,49.7,551920.0,276.35
2006-12-22,50.0,52.5,50.0,51.5,51.4,955352.0,491.45
2006-12-26,52.0,52.45,51.4,51.7,51.7,536381.0,278.22
2006-12-27,52.0,52.2,51.05,51.15,51.25,488044.0,252.32
2006-12-28,51.7,51.7,50.0,50.5,50.45,486395.0,246.57
2006-12-29,51.0,51.0,50.1,50.7,50.65,440680.0,222.99
2007-01-02,51.0,53.2,50.7,52.25,52.2,800478.0,417.78
2007-01-03,52.5,54.8,52.3,54.65,54.45,1366287.0,731.34
2007-01-04,55.5,58.9,54.7,58.0,58.15,3246212.0,1861.11
2007-01-05,58.25,61.0,57.3,58.0,57.95,2792751.0,1657.38
2007-01-08,58.0,60.3,57.2,58.45,58.65,1675427.0,989.26
2007-01-09,61.9,61.9,56.6,57.65,57.5,1026308.0,595.52
2007-01-10,57.9,58.0,55.4,55.7,55.8,594430.0,335.71
2007-01-11,55.0,57.45,55.0,57.2,57.0,656684.0,371.51
2007-01-12,57.5,59.0,57.5,58.1,58.35,1025724.0,597.35
2007-01-15,58.8,62.2,58.2,61.9,61.65,2439145.0,1479.26
2007-01-16,61.8,73.4,61.25,70.2,70.75,11857061.0,8266.93
2007-01-17,71.65,74.9,70.6,71.9,71.35,3880612.0,2825.82
2007-01-18,72.0,77.7,71.5,74.4,74.0,4924332.0,3685.52
2007-01-19,74.8,75.4,70.25,70.95,71.05,2794941.0,2024.26
2007-01-22,71.95,72.4,66.8,69.1,69.05,1984129.0,1371.55
2007-01-23,68.5,74.2,67.0,71.0,71.4,3779055.0,2715.6
2007-01-24,71.5,72.95,68.5,69.75,69.15,1704477.0,1206.31
2007-01-25,69.8,71.8,69.5,70.8,70.55,1281251.0,904.89
2007-01-29,70.6,71.1,68.25,68.7,68.65,802396.0,555.65
2007-01-31,70.4,72.5,67.25,68.8,69.05,2289918.0,1608.06
2007-02-01,69.75,71.35,69.2,69.8,69.7,1395312.0,977.6
2007-02-02,70.0,78.7,69.3,76.4,77.0,7206226.0,5387.45
2007-02-05,77.2,82.2,77.1,80.0,80.25,7128445.0,5725.01
2007-02-06,80.75,81.4,77.0,77.5,77.35,2244210.0,1769.64
2007-02-07,77.85,92.85,77.05,92.85,92.15,16079550.0,14000.23
2007-02-08,93.0,97.25,87.3,87.75,87.85,9428803.0,8556.73
2007-02-09,88.7,92.4,86.1,87.25,87.25,7604917.0,6852.68
2007-02-12,86.9,87.35,78.55,78.55,78.7,3298168.0,2683.22
2007-02-13,78.0,82.7,71.35,72.75,72.5,4582987.0,3568.67
2007-02-14,71.4,79.35,70.1,79.2,78.15,4324942.0,3247.1
2007-02-15,79.9,83.8,79.4,79.9,80.25,3155459.0,2566.04
2007-02-19,80.0,84.85,80.0,82.0,81.8,4224468.0,3507.75
2007-02-20,82.4,82.4,77.3,78.3,78.05,2257282.0,1802.78
