Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-16,34.25,34.25,34.25,,,,
1998-04-03,34.0,34.0,34.0,34.0,34.0,500.0,0.17
1998-04-15,30.6,30.6,30.6,30.6,30.6,100.0,0.03
1998-04-16,30.6,30.6,27.65,29.0,29.0,600.0,0.17
1998-05-22,31.9,31.9,31.9,31.9,31.9,100.0,0.03
1998-05-25,35.0,35.0,29.0,29.0,29.0,200.0,0.06
1998-05-26,29.0,29.0,29.0,29.0,29.0,100.0,0.03
1999-03-04,27.0,27.0,26.9,26.9,26.9,200.0,0.05
1999-03-09,25.0,25.0,25.0,25.0,25.0,200.0,0.05
1999-03-10,23.0,23.0,23.0,23.0,23.0,200.0,0.05
1999-03-17,23.0,23.0,21.25,21.25,21.25,2100.0,0.47
1999-03-18,19.95,20.4,19.95,20.4,20.4,17400.0,3.51
1999-03-19,19.25,19.25,19.1,19.1,19.1,1500.0,0.29
1999-03-20,19.0,19.0,19.0,19.0,19.0,100.0,0.02
1999-03-22,16.0,19.0,16.0,19.0,19.0,2200.0,0.41
1999-03-23,20.95,21.0,17.0,17.05,17.05,143100.0,24.36
1999-03-24,19.9,20.95,19.0,19.0,19.0,13500.0,2.7
1999-03-25,19.5,20.0,18.05,20.0,20.0,6400.0,1.24
1999-03-26,19.05,20.95,19.0,20.95,20.95,3800.0,0.74
1999-03-30,22.0,22.0,19.3,19.3,19.3,34200.0,6.68
1999-03-31,23.0,23.85,23.0,23.85,23.85,800.0,0.19
1999-04-01,25.65,25.65,21.95,24.9,24.9,1100.0,0.25
1999-04-05,26.4,26.4,26.35,26.35,26.35,4700.0,1.24
1999-04-06,25.0,25.0,25.0,25.0,25.0,100.0,0.02
1999-04-16,23.7,23.75,23.5,23.5,23.5,700.0,0.17
1999-04-21,23.0,23.0,22.0,22.0,22.0,600.0,0.14
1999-04-22,22.0,22.0,21.5,21.5,21.5,600.0,0.13
1999-04-23,21.0,21.0,21.0,21.0,21.0,800.0,0.17
1999-04-28,19.5,19.5,19.5,19.5,19.5,1000.0,0.2
1999-04-29,24.25,24.25,24.25,24.25,24.25,100.0,0.02
1999-06-21,23.05,23.05,22.5,22.5,22.5,200.0,0.05
1999-07-02,22.25,22.25,22.25,22.25,22.25,100.0,0.02
1999-07-07,20.5,20.5,20.5,20.5,20.5,100.0,0.02
1999-07-08,19.5,19.5,19.5,19.5,19.5,100.0,0.02
1999-07-12,16.0,16.0,16.0,16.0,16.0,200.0,0.03
1999-07-13,19.0,19.0,19.0,19.0,19.0,500.0,0.1
1999-07-14,15.2,22.5,15.2,22.5,22.5,700.0,0.14
1999-07-21,21.5,21.5,21.5,21.5,21.5,200.0,0.04
1999-07-22,19.9,19.9,19.9,19.9,19.9,100.0,0.02
1999-07-23,16.0,16.0,16.0,16.0,16.0,200.0,0.03
1999-07-26,14.5,19.95,14.5,18.1,18.1,10900.0,1.87
1999-07-27,19.1,21.45,19.1,20.0,20.0,2500.0,0.5
1999-07-28,20.25,20.25,20.0,20.0,20.0,1500.0,0.3
1999-07-29,21.0,21.6,21.0,21.5,21.5,1400.0,0.3
1999-07-30,20.25,20.25,20.25,20.25,20.25,300.0,0.06
1999-08-02,20.0,21.8,20.0,20.05,20.05,2400.0,0.49
1999-08-03,20.0,20.05,20.0,20.0,20.0,6400.0,1.28
1999-08-04,20.3,21.45,20.3,21.45,21.45,200.0,0.04
1999-08-05,21.9,21.9,21.9,21.9,21.9,100.0,0.02
1999-08-06,21.0,21.0,21.0,21.0,21.0,500.0,0.1
1999-08-09,19.6,19.65,19.6,19.65,19.65,700.0,0.14
1999-08-11,21.05,21.05,21.05,21.05,21.05,500.0,0.11
1999-08-12,22.0,22.7,20.0,22.7,22.7,4600.0,1.01
