Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-08,53.25,58.0,50.8,58.0,57.3,4616.0,2.59
2010-01-11,61.05,61.8,57.6,59.15,59.4,13684.0,8.19
2010-01-12,59.4,62.0,58.0,59.0,59.55,25428.0,15.32
2010-01-13,58.3,59.0,57.0,58.0,57.35,2799.0,1.62
2010-01-14,57.0,58.85,57.0,58.65,57.95,2410.0,1.4
2010-01-15,56.05,57.95,56.0,57.0,56.9,1181.0,0.67
2010-01-18,58.0,58.7,57.5,57.5,57.5,2878.0,1.68
2010-01-19,56.05,57.95,55.05,55.05,55.05,1433.0,0.81
2010-01-20,53.0,58.0,52.0,53.0,53.0,3547.0,1.93
2010-01-21,51.0,52.75,50.0,50.1,51.05,3155.0,1.63
2010-01-22,47.25,51.35,45.1,49.0,49.95,1348.0,0.64
2010-01-25,49.0,49.25,47.2,47.6,47.95,3997.0,1.94
2010-01-27,46.25,49.0,43.6,43.6,45.6,2709.0,1.24
2010-01-28,44.05,46.0,43.5,44.1,44.15,6685.0,3.05
2010-01-29,41.2,46.9,41.2,44.3,45.35,1820.0,0.81
2010-02-01,44.5,48.9,44.5,47.2,47.7,754.0,0.35
2010-02-02,49.45,49.75,44.25,44.25,46.3,906.0,0.43
2010-02-03,45.2,45.25,45.2,45.25,45.25,100.0,0.05
2010-02-04,45.0,45.9,43.1,43.55,43.55,2283.0,1.01
2010-02-05,42.1,42.1,38.2,41.1,41.1,390.0,0.16
2010-02-06,41.4,41.4,41.4,41.4,41.4,90.0,0.04
2010-02-08,42.0,43.5,42.0,42.25,42.25,1481.0,0.62
2010-02-09,43.0,45.5,43.0,45.5,45.5,235.0,0.1
2010-02-10,45.2,46.0,43.0,44.8,43.5,350.0,0.15
2010-02-11,42.2,48.75,42.2,48.5,46.5,1611.0,0.74
2010-02-15,49.8,49.8,45.3,45.3,46.1,380.0,0.18
2010-02-16,44.1,53.5,44.1,47.5,47.9,50345.0,25.45
2010-02-17,48.05,48.65,46.4,47.0,47.3,1252.0,0.6
2010-02-18,46.2,46.4,44.95,44.95,45.15,2770.0,1.26
2010-02-19,45.7,45.7,42.5,42.75,42.75,1542.0,0.67
2010-02-22,43.0,43.25,41.2,41.2,41.2,1607.0,0.68
2010-02-23,38.25,41.9,38.25,39.75,39.8,5226.0,2.08
2010-02-24,37.75,41.0,37.75,39.85,40.05,3045.0,1.2
2010-02-25,39.8,41.7,39.7,40.3,40.3,210.0,0.08
2010-02-26,39.85,44.5,39.85,41.0,42.25,3409.0,1.47
2010-03-02,41.75,42.95,41.0,41.15,41.85,1559.0,0.65
2010-03-03,42.0,42.45,41.35,41.35,41.55,870.0,0.36
2010-03-04,41.3,42.1,41.3,42.1,42.1,110.0,0.05
2010-03-05,40.0,44.75,40.0,43.25,42.25,6080.0,2.6
2010-03-08,43.5,43.85,43.25,43.25,43.25,400.0,0.17
2010-03-09,41.7,43.25,41.45,42.0,42.0,2499.0,1.05
2010-03-10,41.05,41.65,41.05,41.1,41.1,400.0,0.16
2010-03-11,41.85,43.35,40.45,40.45,41.7,5176.0,2.16
2010-03-12,40.65,41.0,39.6,40.9,40.85,2922.0,1.18
2010-03-15,40.7,40.7,39.5,39.9,39.9,44.0,0.02
2010-03-16,39.15,41.7,38.1,40.95,40.95,1606.0,0.64
2010-03-17,41.0,42.0,40.05,40.75,40.8,2477.0,1.02
2010-03-18,40.0,41.7,40.0,40.35,40.35,565.0,0.23
2010-03-19,40.3,40.45,40.2,40.2,40.2,915.0,0.37
2010-03-22,42.4,42.4,40.2,40.2,40.2,920.0,0.38
2010-03-23,40.0,40.0,40.0,40.0,40.0,250.0,0.1
2010-03-25,40.0,43.2,38.1,41.45,41.45,2210.0,0.91
2010-03-26,40.25,41.0,40.05,41.0,40.7,1615.0,0.66
2010-03-29,40.45,42.0,40.0,40.0,40.05,2502.0,1.03
2010-03-30,39.05,40.5,39.05,40.4,40.4,1440.0,0.58
2010-03-31,40.15,40.25,40.05,40.05,40.05,1550.0,0.62
2010-04-01,41.1,41.95,40.05,41.95,41.65,1645.0,0.67
2010-04-05,41.0,45.8,41.0,45.0,44.7,8057.0,3.49
2010-04-06,45.8,47.5,44.75,46.45,46.05,2793.0,1.28
2010-04-07,45.7,48.0,45.0,47.5,45.6,4210.0,1.97
2010-04-08,45.25,49.9,45.25,49.0,49.0,11777.0,5.74
2010-04-09,49.1,58.8,47.8,58.8,58.3,142142.0,81.1
2010-04-12,60.0,61.7,57.05,58.4,58.25,96582.0,57.4
2010-04-13,60.0,60.0,53.1,55.5,54.9,21136.0,11.76
2010-04-15,53.2,56.85,53.15,54.1,54.7,6322.0,3.46
