Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-05-14,88.9,89.85,87.1,87.2,87.45,807146.0,712.24
2010-05-17,86.5,86.5,84.2,86.2,85.9,491284.0,418.98
2010-05-18,86.8,87.25,84.5,85.25,84.95,687534.0,587.49
2010-05-19,85.0,86.9,80.05,82.25,81.55,926283.0,760.98
2010-05-20,82.95,84.0,80.35,82.8,81.8,340913.0,278.49
2010-05-21,80.1,82.4,78.15,81.5,81.85,400944.0,322.79
2010-05-24,82.65,84.5,78.85,79.0,80.8,275502.0,225.04
2010-05-25,79.5,79.7,76.8,77.8,78.05,591640.0,463.45
2010-05-26,79.6,80.4,77.5,77.7,78.55,255987.0,202.15
2010-05-27,79.4,80.7,78.0,79.0,79.15,286380.0,228.06
2010-05-28,80.5,83.5,79.25,83.2,83.0,655745.0,536.14
2010-05-31,84.0,84.0,81.05,82.25,83.45,369255.0,305.73
2010-06-01,82.1,83.7,79.35,79.7,80.1,296104.0,241.71
2010-06-02,81.25,82.75,80.2,80.8,81.4,390168.0,317.31
2010-06-03,82.8,83.85,80.15,80.75,80.85,174862.0,143.16
2010-06-04,81.55,81.55,79.5,80.2,80.4,211744.0,170.41
2010-06-07,79.1,79.8,77.0,77.25,78.0,226468.0,177.79
2010-06-08,77.5,78.65,75.25,75.9,75.8,182397.0,140.84
2010-06-09,76.7,78.0,74.25,74.5,74.6,192443.0,146.29
2010-06-10,75.65,77.9,74.3,76.15,77.0,410792.0,314.39
2010-06-11,77.8,81.0,76.3,78.25,78.25,1023454.0,807.22
2010-06-14,78.35,79.5,77.6,79.5,79.25,147084.0,116.1
2010-06-15,79.9,80.8,78.25,80.7,80.2,158855.0,126.38
2010-06-16,80.5,80.85,78.35,78.85,79.05,177539.0,141.34
2010-06-17,79.1,79.95,78.5,79.6,79.45,124021.0,98.27
2010-06-18,79.85,80.0,78.0,78.55,78.55,156057.0,122.7
2010-06-21,79.0,82.15,78.9,79.75,79.9,887128.0,717.55
2010-06-22,79.4,80.2,78.1,78.5,78.65,149711.0,118.35
2010-06-23,77.25,79.8,77.25,79.3,79.05,178262.0,140.29
2010-06-24,79.45,80.5,78.9,79.5,79.6,135560.0,108.31
2010-06-25,79.6,80.1,78.25,78.45,78.75,95105.0,75.45
2010-06-28,78.25,79.45,77.1,77.2,78.0,160353.0,125.66
2010-06-29,77.9,79.5,76.75,77.7,77.65,206658.0,161.56
2010-06-30,77.0,78.75,76.55,78.5,78.25,191898.0,149.04
2010-07-01,78.0,78.0,76.95,77.25,77.3,67830.0,52.54
2010-07-02,77.75,78.2,76.35,76.6,76.75,58755.0,45.41
2010-07-05,77.8,77.8,76.05,77.0,76.45,52212.0,40.05
2010-07-06,76.35,77.5,76.35,77.5,77.15,53844.0,41.51
2010-07-07,77.0,77.85,76.5,77.4,77.3,162508.0,125.34
2010-07-08,77.4,79.35,76.8,77.2,77.5,173344.0,135.55
2010-07-09,77.9,79.7,77.9,79.5,79.2,154708.0,121.92
2010-07-12,79.95,80.9,79.55,80.0,80.2,187742.0,150.97
2010-07-13,80.95,84.2,80.0,82.75,83.15,716714.0,590.31
2010-07-14,83.85,84.45,80.3,80.95,80.85,394287.0,324.93
2010-07-15,81.4,81.4,79.9,80.55,80.55,108937.0,87.75
2010-07-16,80.8,83.3,80.2,82.5,82.35,382113.0,314.13
2010-07-19,82.55,83.8,81.2,81.55,81.6,169553.0,139.45
2010-07-20,81.75,83.5,81.75,83.05,83.05,265615.0,220.23
2010-07-21,83.9,83.9,82.4,82.75,82.9,83624.0,69.32
2010-07-22,82.1,82.75,81.25,82.1,82.2,72836.0,59.72
2010-07-23,82.75,83.0,80.2,80.2,80.7,105304.0,85.96
2010-07-26,81.8,81.8,78.3,78.5,78.85,87125.0,69.57
2010-07-27,78.95,79.4,78.1,78.15,78.35,132036.0,103.81
2010-07-28,78.1,79.5,77.15,77.75,77.85,78971.0,61.59
2010-07-29,77.85,78.55,77.1,77.1,77.25,62054.0,48.09
2010-07-30,77.0,82.1,76.1,80.75,80.1,508091.0,400.38
2010-08-02,81.4,84.9,80.5,84.7,84.4,1133925.0,949.15
2010-08-03,85.4,89.0,83.5,86.9,87.0,1366646.0,1192.24
2010-08-04,86.95,87.85,84.85,85.75,86.15,382338.0,329.45
2010-08-05,86.9,88.3,85.4,87.0,86.75,648253.0,564.34
2010-08-06,86.25,90.9,86.25,90.0,89.6,2158070.0,1916.83
2010-08-09,89.5,96.2,87.25,95.1,95.6,4145823.0,3879.69
2010-08-10,96.0,97.9,90.2,91.5,92.2,2466609.0,2321.32
2010-08-11,92.9,92.9,88.2,88.65,89.25,829224.0,748.21
2010-08-12,88.1,94.7,87.65,93.5,93.7,1741085.0,1584.28
2010-08-13,94.4,95.9,91.25,91.3,92.0,2398832.0,2248.95
2010-08-16,93.5,95.25,90.3,90.75,91.15,1624730.0,1510.06
2010-08-17,91.7,92.35,90.1,90.35,90.5,516397.0,470.4
2010-08-18,90.3,92.8,88.65,91.55,91.95,942426.0,857.31
2010-08-19,92.35,92.9,90.7,91.5,92.25,1233799.0,1129.73
2010-08-20,91.85,94.4,89.75,93.0,93.45,1130457.0,1052.89
2010-08-23,94.4,95.9,94.0,94.1,94.65,1368633.0,1299.14
2010-08-24,94.0,94.95,90.55,92.9,93.35,810789.0,751.41
2010-08-25,94.3,94.3,90.55,90.6,91.4,612667.0,564.18
2010-08-26,91.2,91.9,89.35,90.0,90.05,415617.0,377.73
2010-08-27,90.75,92.4,82.8,88.75,89.4,598701.0,542.3
2010-08-30,90.3,91.0,85.55,89.1,87.9,670055.0,592.06
2010-08-31,88.5,88.5,84.1,86.65,86.4,599355.0,514.28
2010-09-01,87.8,88.8,85.25,88.3,88.35,332094.0,291.2
2010-09-02,89.9,89.9,87.3,87.8,88.1,468649.0,416.04
2010-09-03,88.1,89.9,87.3,88.9,89.55,450706.0,401.79
2010-09-06,90.0,94.5,88.6,92.5,92.85,1047864.0,960.57
2010-09-07,93.25,94.9,91.3,93.7,94.1,1020153.0,953.86
2010-09-08,93.15,94.5,92.0,92.05,92.6,328688.0,306.21
2010-09-09,93.0,93.5,91.25,91.8,92.3,510526.0,471.59
2010-09-13,93.5,94.75,92.0,93.75,94.15,837658.0,782.95
2010-09-14,93.35,93.7,90.1,90.45,91.6,644206.0,588.65
2010-09-15,91.05,92.2,89.5,89.8,90.5,367968.0,335.6
2010-09-16,91.7,94.3,90.05,91.7,92.7,1795807.0,1669.5
2010-09-17,92.45,93.45,90.6,91.0,92.05,860324.0,795.04
2010-09-20,92.6,92.9,90.1,90.35,90.95,930889.0,854.5
2010-09-21,90.95,91.95,87.65,87.8,88.65,925154.0,833.82
2010-09-22,89.65,89.65,84.6,88.1,88.1,789843.0,692.17
2010-09-23,88.5,89.4,86.6,87.85,87.65,314878.0,276.77
2010-09-24,87.5,90.6,87.1,90.0,90.0,1278545.0,1143.75
2010-09-27,90.8,91.4,87.75,88.2,88.8,698528.0,631.29
2010-09-28,88.8,89.5,83.0,87.15,87.05,1481307.0,1269.6
2010-09-29,88.0,91.0,86.65,88.8,89.65,1444754.0,1294.81
2010-09-30,89.45,95.8,89.4,93.0,94.1,3004683.0,2807.51
2010-10-01,94.85,100.0,93.35,94.0,94.95,1410181.0,1338.9
2010-10-04,95.8,97.4,92.2,93.0,93.0,672530.0,639.99
2010-10-05,93.5,94.7,90.1,90.5,91.4,854762.0,793.13
2010-10-06,93.1,93.9,90.0,91.7,91.05,1118111.0,1029.69
2010-10-07,91.1,93.3,88.65,89.5,89.75,741369.0,680.35
2010-10-08,90.0,90.95,87.0,87.25,88.05,735509.0,654.14
2010-10-11,88.55,91.4,88.25,90.0,90.65,508533.0,457.85
2010-10-12,90.8,91.0,88.0,88.0,89.25,311581.0,279.59
2010-10-13,89.5,93.8,89.35,92.55,93.45,1696554.0,1572.72
2010-10-14,93.2,96.85,92.9,95.4,96.45,2242598.0,2138.57
2010-10-15,96.2,97.7,94.15,94.7,96.1,984748.0,953.75
2010-10-18,95.8,96.85,92.2,94.7,95.3,516568.0,490.38
2010-10-19,95.5,95.5,91.2,91.2,92.25,922584.0,856.33
2010-10-20,94.45,94.45,90.2,91.0,91.0,291372.0,266.95
2010-10-21,91.3,92.1,88.6,89.45,89.6,578140.0,524.07
2010-10-22,89.9,90.8,87.5,87.7,88.2,296119.0,263.84
2010-10-25,89.0,90.25,88.0,88.5,88.3,294402.0,262.52
2010-10-26,88.6,89.5,88.15,88.8,88.5,176230.0,156.49
2010-10-27,88.5,89.45,88.0,88.4,88.35,283483.0,250.88
2010-10-28,88.6,89.25,86.1,86.45,86.6,215471.0,187.88
2010-10-29,86.8,87.8,86.0,87.5,87.1,312964.0,272.52
2010-11-01,87.4,91.75,87.4,89.8,90.4,1255205.0,1137.19
2010-11-02,90.7,91.3,86.45,86.75,86.8,509934.0,451.28
2010-11-03,87.1,89.2,84.75,85.0,85.0,1031702.0,904.83
2010-11-04,84.4,87.85,84.4,84.9,85.2,882794.0,757.62
2010-11-05,86.45,88.7,84.25,85.0,85.15,313105.0,267.49
2010-11-08,85.4,86.4,82.45,83.45,83.05,776056.0,650.05
2010-11-09,83.3,84.65,83.2,84.3,83.85,200182.0,168.14
2010-11-10,84.25,85.9,84.05,85.05,84.5,259300.0,220.72
2010-11-11,85.45,88.8,85.15,88.0,88.15,1860620.0,1632.47
2010-11-12,88.2,89.8,84.0,84.65,86.15,1042190.0,907.99
