Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-07-04,72.9,72.9,48.8,50.55,50.7,9168307.0,4931.06
2008-07-07,58.0,58.0,46.1,48.5,48.0,2039589.0,992.53
2008-07-08,46.2,46.7,43.5,43.75,44.55,690562.0,309.71
2008-07-09,47.0,47.0,42.25,42.7,42.65,680460.0,303.02
2008-07-10,42.0,44.1,39.55,40.75,40.65,663636.0,274.22
2008-07-11,40.65,43.35,40.25,40.55,40.9,560898.0,233.91
2008-07-14,40.4,41.45,39.1,39.6,39.65,247051.0,99.93
2008-07-15,38.9,42.3,37.6,42.1,39.25,214715.0,83.54
2008-07-16,39.15,39.6,37.0,37.35,37.35,114221.0,43.25
2008-07-17,37.0,39.9,35.75,38.85,38.2,181996.0,68.48
2008-07-18,37.55,38.2,36.7,36.95,37.15,77325.0,28.9
2008-07-21,37.0,39.5,35.3,39.0,38.45,132222.0,49.8
2008-07-22,31.7,39.9,31.7,38.4,38.75,112202.0,43.61
2008-07-23,39.0,40.9,38.25,39.2,39.15,143307.0,56.75
2008-07-24,39.9,40.8,37.85,38.0,38.2,42969.0,16.75
2008-07-25,37.95,38.35,36.75,36.75,36.85,50826.0,18.89
2008-07-28,36.5,37.95,36.5,37.5,37.5,36361.0,13.61
2008-07-29,36.55,37.5,36.0,36.3,36.35,45840.0,16.74
2008-07-30,37.3,37.4,36.0,36.4,36.35,33659.0,12.37
2008-07-31,36.9,36.9,35.9,35.95,35.95,15203.0,5.51
2008-08-01,35.9,40.8,35.5,38.25,38.7,231774.0,90.38
2008-08-04,38.0,39.9,37.95,39.25,39.35,50423.0,19.74
2008-08-05,39.9,39.9,38.5,38.7,38.65,64427.0,25.22
2008-08-06,39.0,39.4,37.65,38.0,38.3,74642.0,28.71
2008-08-07,37.8,38.8,36.0,38.25,38.35,41012.0,15.72
2008-08-08,38.7,40.7,38.65,39.05,38.9,52982.0,20.89
2008-08-11,40.9,40.9,38.5,38.8,38.9,83248.0,32.61
2008-08-12,38.6,39.0,37.9,38.3,38.05,19197.0,7.36
2008-08-13,37.15,38.85,37.1,37.8,37.8,19190.0,7.28
2008-08-14,37.5,38.55,37.3,37.3,37.8,30788.0,11.67
2008-08-18,37.7,38.3,36.8,36.9,37.15,11483.0,4.31
2008-08-19,36.8,37.8,36.5,37.8,37.2,22279.0,8.24
2008-08-20,36.8,37.75,36.8,37.4,37.5,12559.0,4.68
2008-08-21,37.7,37.7,36.25,36.25,36.5,8639.0,3.18
2008-08-22,36.3,37.9,35.2,37.6,37.25,45792.0,16.87
2008-08-25,37.5,37.5,36.75,36.8,36.9,7309.0,2.71
2008-08-26,35.55,44.2,35.55,42.25,42.4,845364.0,357.31
2008-08-27,42.15,43.75,40.1,40.1,40.65,402449.0,169.4
2008-08-28,40.4,41.7,38.1,39.5,38.45,66074.0,25.87
2008-08-29,39.5,39.95,35.55,38.5,38.25,74109.0,28.89
2008-09-01,39.2,39.2,37.5,38.7,38.5,26851.0,10.33
2008-09-02,39.0,41.5,38.6,39.75,39.35,111981.0,44.86
