Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-17,73.7,73.7,73.7,,,,
1998-03-24,70.0,70.0,67.15,67.15,67.15,900.0,0.61
1998-03-25,71.95,71.95,71.95,71.95,71.95,100.0,0.07
1998-03-26,72.0,72.0,72.0,72.0,72.0,200.0,0.14
1998-03-27,71.1,71.1,71.1,71.1,71.1,100.0,0.07
1998-03-31,73.0,73.0,71.0,72.0,72.0,300.0,0.22
1998-04-01,72.0,72.0,71.5,72.0,72.0,400.0,0.29
1998-04-03,79.0,79.0,72.0,72.0,72.0,200.0,0.15
1998-04-07,74.25,79.0,74.25,77.25,77.25,800.0,0.61
1998-04-09,80.0,83.95,79.4,83.95,83.95,2600.0,2.09
1998-04-10,83.5,85.0,81.1,85.0,85.0,500.0,0.42
1998-04-13,81.25,81.25,80.0,80.0,80.0,300.0,0.24
1998-04-15,84.0,84.75,81.0,81.0,81.0,1500.0,1.23
1998-04-16,82.0,82.0,80.0,81.0,81.0,1000.0,0.82
1998-04-17,80.0,80.75,76.05,76.05,77.0,400.0,0.31
1998-04-20,77.5,81.0,77.5,79.9,79.9,1600.0,1.27
1998-04-21,80.0,80.0,76.0,76.0,76.0,800.0,0.62
1998-04-22,80.0,82.4,79.0,79.0,79.0,800.0,0.64
1998-04-23,80.0,80.0,79.0,79.0,79.0,600.0,0.48
1998-04-24,78.0,78.0,74.5,74.5,74.5,1200.0,0.91
1998-04-27,77.0,79.0,76.0,76.0,76.0,600.0,0.46
1998-04-28,77.0,77.0,76.0,76.0,76.0,400.0,0.31
1998-04-29,80.0,80.0,78.1,78.1,78.1,300.0,0.24
1998-05-04,81.0,85.4,81.0,85.4,85.4,900.0,0.75
1998-05-05,90.0,90.0,81.5,81.5,81.5,2400.0,2.0
1998-05-06,80.5,82.0,80.5,82.0,82.0,200.0,0.16
1998-05-08,80.55,82.0,80.55,82.0,82.0,400.0,0.32
1998-05-11,82.0,82.0,82.0,82.0,82.0,100.0,0.08
