Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-10-04,8.25,8.25,7.3,8.0,8.0,260505.0,21.04
2010-10-05,8.2,8.25,7.65,7.7,7.7,605409.0,47.38
2010-10-06,8.35,8.35,7.5,7.7,7.65,175480.0,13.47
2010-10-07,7.95,8.45,7.1,7.35,7.35,592907.0,45.86
2010-10-08,7.45,7.65,7.2,7.3,7.25,222496.0,16.25
2010-10-11,7.7,8.0,7.3,8.0,8.0,324821.0,25.64
2010-10-12,8.1,8.3,7.7,7.8,7.75,394763.0,31.34
2010-10-13,8.45,8.55,7.95,8.55,8.55,311104.0,25.96
2010-10-14,9.4,9.4,7.9,7.95,8.15,811362.0,68.17
2010-10-15,8.4,9.0,8.15,9.0,9.0,400636.0,35.03
2010-10-18,9.15,9.2,8.45,8.5,8.55,366344.0,32.06
2010-10-19,8.55,9.45,8.55,9.45,9.45,857927.0,80.62
2010-10-20,9.5,9.6,8.9,9.25,9.25,445610.0,40.9
2010-10-21,9.5,9.6,8.95,9.5,9.55,323447.0,30.14
2010-10-22,9.25,9.45,8.75,8.9,8.8,416780.0,37.34
2010-10-25,8.45,9.1,8.45,8.6,8.55,356777.0,30.76
2010-10-26,8.75,8.75,7.7,7.8,7.75,935937.0,75.68
2010-10-27,8.1,8.1,7.0,7.0,7.0,1275286.0,96.21
2010-10-28,7.2,7.2,6.65,6.65,6.65,771118.0,53.11
2010-10-29,6.9,7.0,6.6,7.0,7.0,82046.0,5.68
2010-11-01,7.25,7.35,7.1,7.35,7.35,334694.0,24.35
2010-11-02,7.6,7.75,7.35,7.75,7.75,154597.0,11.83
2010-11-03,8.0,8.15,7.7,8.15,8.15,245720.0,19.85
2010-11-04,8.3,8.6,8.15,8.6,8.6,214122.0,18.14
2010-11-05,9.0,9.0,8.55,8.95,8.8,42474.0,3.73
2010-11-08,9.1,9.25,8.8,9.25,9.25,196549.0,18.01
2010-11-09,9.3,9.3,8.8,8.85,8.85,240318.0,21.39
2010-11-10,8.8,9.2,8.45,8.45,8.5,419855.0,36.46
2010-11-11,8.9,8.9,8.1,8.25,8.15,458028.0,38.17
2010-11-12,8.45,8.45,7.75,7.75,7.75,282392.0,22.16
2010-11-15,8.1,8.1,7.4,7.45,7.6,329344.0,25.16
2010-11-16,7.95,7.95,7.25,7.25,7.3,198606.0,14.81
2010-11-18,7.6,7.6,6.95,7.05,7.1,284054.0,20.46
2010-11-19,6.8,7.35,6.75,6.75,6.8,351796.0,24.46
2010-11-22,7.1,7.15,6.5,6.5,6.65,878770.0,58.34
2010-11-23,6.95,6.95,6.35,6.35,6.4,488999.0,31.67
2010-11-24,6.5,6.7,6.1,6.1,6.35,877348.0,56.11
2010-11-25,6.6,6.6,6.05,6.1,6.05,300682.0,18.53
2010-11-26,6.2,6.35,6.2,6.35,6.35,224654.0,14.25
2010-11-29,6.65,6.65,6.2,6.3,6.35,103517.0,6.61
2010-11-30,6.6,6.6,6.05,6.05,6.1,210478.0,13.23
2010-12-01,6.25,6.35,5.8,5.8,5.95,397613.0,24.07
2010-12-02,6.15,6.15,5.65,5.65,5.65,161586.0,9.25
2010-12-03,5.65,5.65,5.4,5.4,5.4,212212.0,11.59
2010-12-06,5.4,5.4,5.15,5.15,5.15,90115.0,4.69
2010-12-07,5.35,5.4,5.1,5.35,5.35,264256.0,14.08
2010-12-08,5.6,5.6,5.1,5.1,5.1,247639.0,12.81
2010-12-09,5.35,5.35,4.85,4.85,4.9,295075.0,14.7
2010-12-10,4.8,5.15,4.7,5.15,5.15,291309.0,14.85
2010-12-13,5.45,5.45,5.45,5.45,5.45,683771.0,37.27
2010-12-14,5.35,5.6,5.2,5.2,5.2,373412.0,19.86
2010-12-15,5.15,5.5,5.05,5.5,5.5,1542684.0,84.68
2010-12-16,5.3,5.8,5.3,5.8,5.8,1773230.0,102.71
2010-12-20,6.05,6.1,5.75,6.1,6.1,1421582.0,86.47
2010-12-21,6.25,6.45,6.1,6.45,6.45,943063.0,60.49
2010-12-22,6.15,6.15,6.15,6.15,6.15,18808.0,1.16
2010-12-23,5.85,6.5,5.85,6.5,6.5,1366773.0,88.23
2010-12-24,6.25,6.85,6.2,6.85,6.85,1519908.0,101.5
2010-12-27,6.75,6.75,6.55,6.55,6.55,151618.0,10.01
2010-12-28,6.45,6.45,6.25,6.25,6.25,98634.0,6.17
2010-12-29,5.95,6.1,5.95,5.95,5.95,95225.0,5.69
2010-12-30,5.65,5.85,5.65,5.65,5.65,284125.0,16.13
2010-12-31,5.6,5.6,5.4,5.4,5.4,346756.0,18.86
2011-01-03,5.5,5.5,5.15,5.15,5.15,248412.0,12.94
2011-01-04,5.1,5.1,4.9,4.9,5.0,424995.0,21.16
2011-01-05,5.1,5.1,4.8,5.0,5.0,268777.0,13.38
2011-01-06,5.05,5.05,4.9,4.95,4.95,84810.0,4.2
2011-01-07,5.15,5.15,4.7,4.7,4.7,189314.0,9.1
