Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-11-25,83.0,90.7,83.0,83.85,84.0,13242907.0,11460.53
2009-11-26,84.0,87.2,82.5,83.1,83.05,3703145.0,3127.45
2009-11-27,82.5,84.0,82.0,82.25,82.55,896638.0,742.15
2009-11-30,83.0,86.1,83.0,83.75,84.0,1174907.0,994.22
2009-12-01,84.5,85.35,83.05,83.1,83.45,663636.0,557.42
2009-12-02,84.25,93.8,83.25,89.25,89.65,4680247.0,4183.38
2009-12-03,90.9,95.5,90.05,90.4,90.75,3690873.0,3436.55
2009-12-04,90.4,92.1,86.25,87.0,86.9,1074270.0,955.33
2009-12-07,87.8,92.25,87.0,87.4,87.85,1172633.0,1053.47
2009-12-08,88.45,93.5,88.45,91.75,91.85,2156263.0,1978.62
2009-12-09,91.45,96.25,91.2,93.7,93.5,2346418.0,2211.84
2009-12-10,94.35,95.4,92.1,92.85,92.6,1063530.0,999.55
2009-12-11,94.1,94.4,90.65,91.25,91.1,866238.0,800.73
2009-12-14,91.15,91.95,87.1,87.45,87.7,543563.0,484.58
2009-12-15,89.35,91.0,85.7,86.0,86.15,815861.0,722.51
2009-12-16,85.6,86.9,84.5,86.5,85.95,478618.0,411.11
2009-12-17,86.5,86.7,83.5,84.75,84.55,238415.0,203.64
2009-12-18,83.2,86.25,82.0,82.05,82.25,390097.0,327.22
2009-12-21,83.0,84.1,82.0,82.05,82.2,361884.0,299.49
2009-12-22,83.35,83.35,82.1,82.5,82.6,192501.0,158.95
2009-12-23,83.35,83.9,82.1,82.4,82.55,212052.0,175.63
2009-12-24,83.2,83.2,82.0,82.35,82.05,221397.0,182.04
2009-12-29,82.1,83.95,82.0,82.15,82.2,249666.0,207.03
2009-12-30,82.9,86.45,82.8,84.3,84.2,467406.0,395.7
2009-12-31,84.9,88.0,83.5,83.85,84.0,555510.0,475.27
2010-01-04,84.75,87.0,83.6,83.9,84.1,193481.0,163.91
2010-01-05,85.0,90.5,84.2,87.75,87.4,1291883.0,1142.26
2010-01-06,89.8,95.0,86.15,87.35,87.1,784017.0,690.59
2010-01-07,88.0,100.0,85.9,86.3,86.4,487810.0,426.22
2010-01-08,87.0,87.35,84.6,85.1,85.2,313755.0,269.7
2010-01-11,86.8,87.85,84.3,85.75,85.45,254418.0,219.17
2010-01-12,86.55,86.6,83.35,83.95,83.95,251181.0,213.62
2010-01-13,83.5,85.3,83.0,84.0,83.7,116693.0,97.98
2010-01-14,83.75,88.3,83.75,86.95,86.55,942387.0,821.18
2010-01-15,87.7,88.25,85.05,85.4,85.65,192809.0,166.23
2010-01-18,83.5,86.2,83.5,84.05,84.15,109712.0,93.29
2010-01-19,84.25,85.5,82.5,83.2,83.0,143555.0,120.14
2010-01-20,84.0,85.3,82.2,82.85,82.7,137617.0,114.93
2010-01-21,82.1,83.7,82.0,82.0,82.1,176261.0,145.11
2010-01-22,81.0,81.55,76.05,77.5,77.65,139787.0,109.6
2010-01-25,78.5,81.5,75.0,77.7,78.0,222889.0,175.04
2010-01-27,79.5,79.5,72.0,72.2,73.2,207557.0,156.32
2010-01-28,74.0,76.0,68.5,69.35,69.85,138080.0,99.76
2010-01-29,71.0,71.75,67.25,68.45,68.8,199543.0,138.76
2010-02-01,65.5,71.5,65.5,69.6,69.7,194171.0,136.01
2010-02-02,70.45,83.65,70.45,83.65,83.65,2289303.0,1875.48
2010-02-03,86.1,86.95,66.95,67.2,67.4,8149478.0,5830.16
2010-02-04,68.0,72.3,65.0,68.1,67.65,4076616.0,2838.23
2010-02-05,65.0,66.0,61.15,63.65,63.6,826823.0,530.73
2010-02-06,64.5,64.9,63.9,64.45,64.15,147992.0,95.07
2010-02-08,64.45,65.7,62.25,62.7,62.65,482964.0,307.8
2010-02-09,62.5,65.8,62.2,62.85,62.95,731004.0,466.0
2010-02-10,63.75,65.0,61.0,61.25,61.15,475728.0,297.67
2010-02-11,62.15,62.15,59.5,59.8,59.75,549499.0,332.17
2010-02-15,60.25,61.2,57.4,57.85,57.85,436867.0,257.16
2010-02-16,58.0,58.5,54.35,55.05,54.95,489409.0,272.25
2010-02-17,55.0,59.7,54.5,56.85,56.8,965962.0,554.84
2010-02-18,57.45,58.5,55.2,55.35,55.7,343332.0,194.6
2010-02-19,54.75,55.75,53.25,53.6,53.5,336342.0,182.47
2010-02-22,55.4,55.4,51.35,51.8,51.9,293062.0,155.95
2010-02-23,50.0,51.75,48.1,49.0,49.25,409137.0,203.59
2010-02-24,48.35,49.5,47.4,47.5,47.75,405908.0,195.55
2010-02-25,48.0,49.0,46.5,46.75,47.1,304014.0,145.51
2010-02-26,47.95,47.95,45.5,45.8,45.95,299211.0,138.73
2010-03-02,46.2,47.4,46.0,46.6,46.25,222231.0,103.32
2010-03-03,46.55,48.45,46.2,47.8,47.7,248266.0,118.52
2010-03-04,48.25,52.5,47.35,52.5,52.5,785314.0,402.29
2010-03-05,55.9,55.9,53.15,54.1,54.05,932322.0,505.53
2010-03-08,54.55,54.95,52.1,52.5,52.35,248139.0,132.0
2010-03-09,52.3,52.6,50.55,51.05,51.0,179963.0,92.73
2010-03-10,51.1,51.1,49.65,50.4,50.15,156768.0,78.75
2010-03-11,50.15,50.9,49.0,49.0,49.25,124799.0,62.07
2010-03-12,48.2,50.7,47.1,48.5,48.15,123175.0,59.81
2010-03-15,48.75,48.75,47.0,47.25,47.2,119570.0,56.64
2010-03-16,47.35,48.0,46.4,47.7,47.7,119543.0,56.75
2010-03-17,47.7,49.75,47.3,49.2,48.95,265284.0,129.59
2010-03-18,49.6,51.5,48.1,49.7,49.6,258100.0,129.1
2010-03-19,50.5,50.5,48.55,48.85,48.9,126897.0,62.9
2010-03-22,48.5,49.7,47.55,48.0,47.85,120372.0,58.58
2010-03-23,48.35,51.45,47.6,50.25,50.2,562935.0,282.7
2010-03-25,50.5,52.2,50.1,50.55,50.7,365427.0,187.51
2010-03-26,51.2,52.25,49.2,49.5,49.8,230669.0,117.64
2010-03-29,50.4,50.4,47.65,47.8,47.75,177234.0,85.94
2010-03-30,48.0,49.4,47.95,48.2,48.15,156341.0,75.69
2010-03-31,48.0,51.1,48.0,48.7,49.15,301748.0,150.12
2010-04-01,49.4,51.1,48.7,50.9,50.7,330480.0,167.15
2010-04-05,51.5,52.0,50.85,51.3,51.3,273721.0,140.91
2010-04-06,51.8,52.55,51.15,51.5,51.65,264402.0,136.92
2010-04-07,52.4,52.85,51.35,51.8,51.75,201801.0,105.09
2010-04-08,51.5,52.5,50.6,50.85,50.9,100808.0,52.03
2010-04-09,51.8,51.9,50.5,51.25,51.05,79682.0,40.9
2010-04-12,52.5,52.5,50.85,52.0,51.65,84317.0,43.55
2010-04-13,51.0,55.2,51.0,54.5,54.6,355186.0,190.44
2010-04-15,55.5,59.2,53.5,57.2,57.3,990320.0,564.65
2010-04-16,57.05,59.6,56.3,57.6,57.9,600980.0,350.46
2010-04-19,56.0,58.8,56.0,56.85,56.8,280627.0,161.06
2010-04-20,56.9,58.2,56.3,56.5,56.55,168044.0,96.08
2010-04-21,57.2,62.25,56.75,62.25,61.95,825738.0,502.32
2010-04-22,62.7,64.6,60.55,61.8,61.75,791983.0,498.14
2010-04-23,62.7,63.5,61.5,62.5,62.7,310415.0,195.15
2010-04-26,64.3,64.3,60.5,60.9,61.1,161295.0,100.91
2010-04-27,61.5,62.55,59.25,59.3,59.8,140287.0,85.4
2010-04-28,58.55,59.8,57.3,57.5,57.65,141867.0,83.12
