Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-09-01,2.6,2.6,2.6,2.6,2.6,40500.0,1.05
2006-09-04,2.75,2.75,2.75,2.75,2.75,5111.0,0.14
2006-09-05,2.9,2.9,2.9,2.9,2.9,2920.0,0.08
2006-09-06,3.05,3.05,3.05,3.05,3.05,35951.0,1.1
2006-09-07,3.2,3.2,2.95,3.05,3.05,140466.0,4.42
2006-09-08,3.2,3.2,2.9,2.9,2.9,134605.0,4.08
2006-09-11,2.9,2.95,2.75,2.75,2.75,24164.0,0.67
2006-09-12,2.65,2.7,2.65,2.65,2.65,10600.0,0.28
2006-09-13,2.7,2.75,2.6,2.65,2.65,35702.0,0.96
2006-09-14,2.65,2.65,2.55,2.55,2.55,55496.0,1.42
2006-09-15,2.45,2.7,2.45,2.7,2.65,125828.0,3.23
2006-09-18,2.8,2.8,2.55,2.55,2.55,46586.0,1.21
2006-09-19,2.6,2.6,2.35,2.4,2.4,56555.0,1.4
2006-09-20,2.4,2.55,2.4,2.5,2.4,37918.0,0.93
2006-09-21,2.4,2.5,2.3,2.35,2.3,83784.0,2.01
2006-09-22,2.25,2.3,2.1,2.2,2.25,60932.0,1.34
2006-09-25,2.15,2.45,2.05,2.1,2.05,87954.0,1.84
2006-09-26,2.0,2.1,1.95,2.05,2.0,77278.0,1.55
2006-09-27,2.1,2.1,2.0,2.0,2.0,24601.0,0.5
2006-09-28,2.1,2.1,2.0,2.1,2.05,61828.0,1.27
2006-09-29,2.1,2.1,1.95,2.0,2.0,42669.0,0.87
2006-10-03,2.0,2.2,2.0,2.2,2.2,35374.0,0.74
2006-10-04,2.25,2.35,2.15,2.15,2.25,24016.0,0.53
2006-10-05,2.35,2.5,2.2,2.5,2.5,67191.0,1.62
2006-10-06,2.55,2.55,2.4,2.55,2.55,42717.0,1.08
2006-10-09,2.7,2.7,2.5,2.5,2.5,33529.0,0.85
2006-10-10,2.4,2.6,2.4,2.5,2.5,10693.0,0.27
2006-10-11,2.55,2.55,2.4,2.4,2.4,32182.0,0.79
2006-10-12,2.4,2.4,2.3,2.3,2.3,31526.0,0.74
2006-10-13,2.4,2.45,2.25,2.35,2.35,24505.0,0.58
2006-10-16,2.4,2.4,2.25,2.25,2.25,24103.0,0.55
2006-10-17,2.4,2.4,2.15,2.25,2.25,27037.0,0.61
2006-10-18,2.35,2.35,2.15,2.15,2.15,22990.0,0.51
2006-10-19,2.1,2.3,2.1,2.15,2.15,24592.0,0.54
2006-10-20,2.1,2.25,2.1,2.25,2.25,14697.0,0.33
2006-10-21,2.15,2.25,2.15,2.2,2.2,5704.0,0.12
2006-10-23,2.15,2.2,2.1,2.2,2.2,66191.0,1.41
2006-10-26,2.15,2.25,2.15,2.2,2.2,25258.0,0.55
2006-10-27,2.3,2.3,2.1,2.15,2.1,20383.0,0.44
2006-10-30,2.0,2.25,2.0,2.05,2.05,48933.0,1.02
2006-10-31,2.0,2.1,2.0,2.05,2.1,26992.0,0.56
2006-11-01,2.05,2.15,2.05,2.15,2.15,26211.0,0.56
2006-11-02,2.15,2.2,2.05,2.1,2.15,24862.0,0.53
2006-11-03,2.1,2.3,2.1,2.3,2.3,94993.0,2.14
2006-11-06,2.3,2.35,2.2,2.2,2.2,67065.0,1.48
2006-11-07,2.15,2.35,2.15,2.25,2.25,40419.0,0.92
2006-11-08,2.2,2.25,2.15,2.15,2.15,14968.0,0.33
2006-11-09,2.25,2.3,2.15,2.3,2.3,67826.0,1.52
2006-11-10,2.2,2.35,2.2,2.2,2.2,41229.0,0.92
2006-11-13,2.15,2.3,2.15,2.2,2.25,51957.0,1.16
2006-11-14,2.15,2.25,2.15,2.15,2.2,28025.0,0.61
2006-11-15,2.1,2.2,2.1,2.15,2.15,62813.0,1.35
2006-11-16,2.15,2.15,2.1,2.15,2.15,18142.0,0.38
2006-11-17,2.1,2.15,2.05,2.1,2.05,32806.0,0.69
2006-11-20,2.05,2.1,2.0,2.05,2.05,19549.0,0.4
2006-11-21,2.05,2.15,2.05,2.15,2.15,83894.0,1.79
2006-11-22,2.2,2.25,2.05,2.05,2.05,54305.0,1.16
2006-11-23,2.05,2.1,2.0,2.05,2.05,19169.0,0.39
2006-11-24,2.1,2.15,2.05,2.15,2.15,52961.0,1.13
2006-11-27,2.1,2.15,2.1,2.1,2.1,25255.0,0.53
2006-11-28,2.1,2.15,2.05,2.1,2.1,20252.0,0.42
2006-11-29,2.1,2.15,2.05,2.15,2.15,7903.0,0.17
2006-11-30,2.1,2.1,2.05,2.05,2.05,7623.0,0.16
2006-12-01,2.05,2.15,2.05,2.05,2.05,13654.0,0.29
2006-12-04,2.05,2.1,2.0,2.0,2.0,40979.0,0.84
2006-12-05,2.05,2.1,2.05,2.1,2.1,9995.0,0.21
2006-12-06,2.2,2.2,2.05,2.15,2.1,28083.0,0.59
2006-12-07,2.1,2.1,2.05,2.1,2.05,16125.0,0.33
2006-12-08,2.1,2.15,2.05,2.1,2.1,33652.0,0.7
2006-12-11,2.0,2.1,2.0,2.1,2.05,17657.0,0.36
2006-12-12,2.3,2.3,1.95,2.05,2.05,50319.0,1.02
2006-12-13,1.95,2.05,1.9,2.05,2.05,15038.0,0.29
2006-12-14,2.05,2.1,1.95,2.0,2.0,21155.0,0.43
