Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-25,102.0,134.45,10.0,105.65,106.55,12263371.0,14437.28
2005-10-26,102.5,110.45,97.6,99.9,99.35,4152940.0,4303.33
2005-10-27,100.0,103.7,88.65,92.55,91.35,2405450.0,2293.89
2005-10-28,92.1,95.0,75.2,77.8,77.7,2043237.0,1742.27
2005-10-31,77.0,90.7,71.55,88.5,86.25,3760141.0,3012.15
2005-11-01,92.5,93.0,87.0,88.75,90.25,915182.0,825.21
2005-11-02,89.9,90.0,85.1,86.4,86.4,949748.0,823.42
2005-11-07,87.2,91.3,84.2,87.55,88.0,816086.0,720.28
2005-11-08,89.0,90.65,87.5,89.2,88.8,381154.0,340.16
2005-11-09,85.5,99.7,85.5,98.5,96.7,1766820.0,1659.8
2005-11-10,100.9,106.9,93.75,101.7,102.55,3283034.0,3333.66
2005-11-11,103.45,106.75,99.2,99.5,100.45,1395288.0,1444.27
2005-11-14,100.0,104.2,98.2,100.2,101.05,1082069.0,1102.9
2005-11-16,100.0,103.8,100.0,101.5,101.75,501936.0,512.52
2005-11-17,102.0,103.5,99.9,100.0,100.6,231993.0,236.15
2005-11-18,101.25,102.0,95.55,96.5,96.7,195953.0,193.8
2005-11-21,96.8,96.8,90.85,92.65,93.0,332085.0,311.15
2005-11-22,91.0,96.0,91.0,91.1,91.95,276568.0,258.08
2005-11-23,92.45,95.4,92.0,92.0,92.9,215356.0,202.03
2005-11-24,93.55,93.8,89.0,90.5,91.4,74978.0,69.46
2005-11-25,91.75,93.4,90.2,90.2,90.85,143768.0,131.75
2005-11-26,91.85,92.5,90.25,92.0,91.5,43764.0,39.94
2005-11-28,92.25,95.6,91.85,91.85,92.55,144666.0,135.52
2005-11-29,92.7,92.7,88.5,88.5,89.55,72721.0,65.76
2005-11-30,90.15,91.85,88.55,89.2,89.55,70682.0,64.14
2005-12-01,90.45,91.0,88.5,89.3,89.25,29912.0,26.82
2005-12-02,90.25,94.4,90.25,90.5,90.9,104733.0,96.42
2005-12-05,92.05,92.05,89.0,89.85,89.8,24114.0,21.77
2005-12-06,88.4,90.5,87.55,88.0,88.6,37994.0,33.88
2005-12-07,89.3,89.95,87.45,88.9,88.0,30169.0,26.72
2005-12-08,89.4,91.5,88.0,90.85,90.05,72379.0,65.31
2005-12-09,91.0,92.0,89.75,90.0,90.1,22859.0,20.78
2005-12-12,92.0,93.35,90.5,93.0,92.3,65006.0,60.02
2005-12-13,93.95,94.0,91.2,91.2,91.95,29785.0,27.64
2005-12-14,91.75,92.0,88.55,88.55,88.9,19959.0,17.99
2005-12-15,89.0,90.9,88.5,89.3,89.1,15070.0,13.52
2005-12-16,89.0,90.5,89.0,89.6,89.65,9598.0,8.61
2005-12-19,89.2,94.2,89.2,91.75,92.1,31945.0,29.67
2005-12-20,93.95,94.0,89.5,90.0,89.8,17266.0,15.75
2005-12-21,91.35,91.35,89.05,90.0,89.55,12205.0,10.97
2005-12-22,90.35,90.9,89.0,89.0,89.35,8125.0,7.3
2005-12-23,89.5,90.1,87.05,87.85,87.4,9549.0,8.43
2005-12-26,85.15,88.75,84.25,84.4,84.6,12114.0,10.37
2005-12-27,86.5,88.0,85.1,87.4,87.0,12596.0,10.92
2005-12-28,86.4,91.5,86.35,88.0,88.05,68117.0,60.4
2005-12-29,88.0,89.3,87.0,88.1,88.35,10712.0,9.48
2005-12-30,89.4,102.4,89.4,96.0,95.6,303915.0,299.63
2006-01-02,96.15,108.9,95.35,102.1,101.95,741764.0,766.64
2006-01-03,106.4,106.75,101.0,102.25,102.4,351334.0,365.41
2006-01-04,103.0,104.45,99.2,100.0,100.05,118542.0,120.85
2006-01-05,100.0,102.5,96.55,102.0,101.45,98050.0,98.33
2006-01-06,102.6,108.75,100.75,104.7,104.85,344662.0,364.08
2006-01-09,105.95,109.75,104.5,105.05,105.85,228413.0,245.68
2006-01-10,105.9,107.8,103.1,104.7,104.0,89168.0,94.19
2006-01-12,114.5,114.5,103.0,108.25,108.1,240574.0,262.03
2006-01-13,108.55,111.9,107.3,107.75,108.1,84413.0,92.54
2006-01-16,108.8,112.9,107.2,109.5,109.85,110996.0,123.22
2006-01-17,110.85,112.0,104.1,105.1,104.8,48270.0,51.92
2006-01-18,104.4,107.85,102.75,106.0,105.3,32143.0,33.82
2006-01-19,105.85,117.8,105.85,113.1,113.85,269322.0,307.29
2006-01-20,110.35,115.5,110.1,111.5,112.05,114662.0,130.09
2006-01-23,113.0,121.9,112.2,116.85,118.5,430226.0,508.56
2006-01-24,117.0,120.4,111.05,111.05,112.1,133370.0,154.98
2006-01-25,113.9,114.5,105.6,107.0,107.15,47238.0,52.33
2006-01-27,110.0,110.0,101.65,103.0,103.25,40714.0,42.83
2006-01-30,104.2,107.8,103.0,103.75,103.55,30787.0,32.26
2006-01-31,105.15,105.85,102.1,103.3,102.5,20282.0,21.05
2006-02-01,104.5,104.5,97.6,99.0,98.15,53526.0,53.82
2006-02-02,99.9,108.95,98.25,100.55,99.85,234182.0,242.86
2006-02-03,98.3,106.0,98.0,104.0,102.9,137631.0,141.27
2006-02-06,103.2,104.1,97.0,97.15,98.3,115299.0,117.94
2006-02-07,99.8,102.9,99.5,101.0,101.7,43745.0,44.39
2006-02-08,101.1,108.2,100.1,103.6,104.9,127974.0,134.89
2006-02-10,105.7,107.45,102.5,104.0,103.55,36398.0,38.13
