Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-31,230.0,287.7,230.0,252.5,257.15,5335774.0,14248.14
2007-02-01,255.0,265.85,246.3,251.75,250.45,1754230.0,4539.44
2007-02-02,254.25,300.55,245.0,300.55,300.55,5443156.0,15306.27
2007-02-05,305.4,346.45,303.1,320.9,325.75,6191042.0,20666.72
2007-02-06,325.7,390.9,323.0,390.9,390.9,5331757.0,19546.43
2007-02-07,400.0,430.0,400.0,430.0,430.0,2565524.0,10969.34
2007-02-08,460.0,463.7,387.0,403.1,405.1,3882845.0,15986.5
2007-02-09,418.8,439.9,408.15,414.0,415.75,3313926.0,14154.23
2007-02-12,421.0,457.0,377.05,381.1,385.65,2383333.0,9484.01
2007-02-13,388.75,418.7,359.2,397.9,390.75,2562807.0,10249.97
2007-02-14,385.0,394.95,371.0,377.4,375.55,1096658.0,4206.35
2007-02-15,381.0,413.15,381.0,413.15,412.85,1980041.0,8052.85
2007-02-19,420.0,439.7,418.0,423.0,422.65,1568375.0,6730.33
2007-02-20,424.05,429.3,384.05,402.0,395.9,1007865.0,4101.21
2007-02-21,402.5,425.0,396.5,424.4,420.25,2000238.0,8303.76
2007-02-22,425.8,428.4,398.1,405.0,403.7,1049777.0,4371.98
2007-02-23,398.9,398.9,363.35,363.35,363.35,580396.0,2117.26
2007-02-26,368.0,368.0,327.05,327.05,327.05,148735.0,490.09
2007-02-27,327.05,327.05,310.7,310.7,310.7,17915.0,55.72
2007-02-28,295.2,295.2,295.2,295.2,295.2,5433.0,16.04
2007-03-01,280.45,280.45,280.45,280.45,280.45,6868.0,19.26
2007-03-02,266.45,294.5,266.45,274.0,270.45,1014143.0,2885.2
2007-03-05,270.0,270.0,256.95,256.95,256.95,55662.0,143.95
2007-03-06,256.0,267.8,244.1,244.1,244.1,229778.0,585.37
2007-03-07,231.9,235.0,231.9,231.9,231.9,16038.0,37.28
2007-03-08,217.95,225.0,217.95,218.2,218.3,103055.0,224.98
2007-03-09,215.1,224.7,207.4,207.4,207.4,264730.0,566.65
2007-03-12,215.9,215.9,197.05,197.05,197.05,250228.0,499.96
2007-03-13,195.0,206.9,193.0,206.9,206.9,114060.0,231.19
2007-03-14,202.05,217.25,197.3,217.25,217.25,230549.0,487.65
2007-03-15,226.85,228.15,225.0,228.15,228.15,72091.0,164.33
2007-03-16,238.0,239.6,217.3,234.0,234.85,291839.0,670.69
2007-03-19,237.0,238.9,223.55,229.1,230.15,74351.0,171.97
2007-03-20,234.8,236.85,225.1,228.95,227.0,93662.0,215.44
2007-03-21,228.0,229.9,224.0,227.5,226.75,62712.0,142.19
2007-03-22,231.4,231.4,222.0,227.0,227.35,105729.0,240.44
2007-03-23,229.0,230.0,222.1,223.85,225.25,65452.0,148.23
2007-03-26,225.0,228.0,220.0,225.8,224.7,51948.0,116.77
2007-03-28,225.0,225.0,213.55,217.95,217.8,47456.0,103.63
2007-03-29,215.0,218.0,209.15,209.5,210.35,43895.0,93.57
2007-03-30,211.0,220.9,209.0,220.9,220.9,40052.0,86.69
2007-04-02,219.0,222.9,209.85,209.85,209.85,82573.0,177.18
2007-04-03,212.0,214.5,201.1,201.1,201.85,35173.0,72.25
2007-04-04,206.0,211.95,203.0,211.95,211.95,67808.0,142.28
2007-04-05,215.0,222.0,204.15,212.8,213.1,74840.0,161.57
2007-04-09,218.0,223.8,214.5,223.8,223.8,81096.0,179.68
2007-04-10,233.65,233.65,217.8,218.0,220.3,68286.0,153.06
2007-04-11,224.0,234.7,219.0,224.5,224.85,62133.0,141.73
2007-04-12,215.0,223.95,202.45,219.0,218.5,17860.0,39.44
2007-04-13,223.0,231.0,220.0,224.75,224.65,72739.0,163.99
2007-04-16,229.0,234.45,225.05,228.0,230.55,62463.0,143.68
2007-04-17,230.9,232.0,218.7,222.0,220.35,39922.0,90.47
2007-04-18,222.0,227.0,218.0,219.0,219.7,20026.0,44.56
2007-04-19,219.1,228.5,212.1,217.65,218.4,31788.0,70.2
2007-04-20,223.0,225.0,218.6,219.5,220.1,14849.0,32.94
2007-04-23,224.0,224.0,216.2,216.6,218.75,20822.0,45.7
2007-04-24,218.05,240.65,215.05,240.65,240.65,135926.0,319.27
2007-04-25,247.7,260.5,243.0,249.0,248.2,182797.0,460.82
2007-04-26,250.1,256.0,235.0,238.0,236.45,86368.0,209.12
2007-04-27,238.0,238.0,224.8,227.0,227.15,58663.0,134.93
2007-04-30,223.0,234.0,219.0,227.3,227.9,23509.0,53.53
2007-05-03,233.0,233.9,224.25,226.0,225.45,38564.0,87.84
2007-05-04,227.0,228.95,212.5,218.0,216.8,63423.0,140.11
2007-05-07,222.0,226.0,218.55,225.0,223.4,123444.0,274.99
2007-05-08,224.0,232.0,216.0,216.0,217.8,57320.0,127.41
2007-05-09,219.0,219.9,215.5,217.7,216.25,20493.0,44.49
2007-05-10,220.0,237.9,217.0,237.9,237.9,77568.0,178.75
2007-05-11,261.7,261.7,235.1,237.75,239.0,277957.0,679.86
2007-05-14,244.4,244.4,232.0,232.5,233.45,51900.0,122.41
2007-05-15,230.05,237.8,225.1,225.15,226.35,42801.0,99.37
2007-05-16,227.15,235.0,227.0,227.2,227.9,41365.0,95.14
2007-05-17,228.1,233.0,224.1,224.85,224.95,29380.0,66.7
2007-05-18,222.05,234.0,222.05,227.0,227.3,61688.0,140.78
2007-05-21,231.9,246.8,230.0,237.0,236.65,127462.0,303.06
2007-05-22,238.8,240.0,229.05,230.2,231.0,35869.0,83.44
2007-05-23,232.0,235.0,228.1,231.0,229.7,32403.0,75.08
2007-05-24,232.45,244.9,228.0,236.95,236.4,97877.0,232.73
2007-05-25,230.0,239.0,230.0,234.55,234.75,47441.0,112.14
2007-05-28,238.8,255.0,224.1,227.0,228.2,347781.0,803.25
2007-05-29,234.5,234.5,229.9,233.5,232.6,39191.0,91.19
2007-05-30,232.6,234.0,226.0,231.4,230.4,35079.0,81.23
2007-05-31,234.8,234.9,228.0,230.0,229.5,16838.0,38.83
2007-06-01,230.1,233.75,227.0,227.1,227.8,24914.0,57.17
2007-06-04,232.5,232.5,224.65,226.0,226.15,23449.0,53.25
2007-06-05,225.0,248.8,215.25,244.85,243.1,398677.0,958.62
2007-06-06,247.7,247.7,238.0,240.1,240.3,131005.0,317.94
2007-06-07,236.2,240.0,235.5,239.9,238.0,33032.0,78.66
2007-06-08,227.0,238.5,227.0,235.0,235.3,34180.0,79.97
2007-06-11,236.0,247.0,236.0,240.0,240.3,50906.0,123.13
2007-06-12,240.0,240.0,227.0,230.0,230.9,49621.0,115.05
2007-06-13,231.0,235.0,227.1,235.0,231.25,16320.0,37.69
2007-06-14,235.45,237.9,230.05,232.0,233.2,15198.0,35.59
2007-06-15,234.0,237.7,230.2,231.0,232.2,18677.0,43.78
2007-06-18,234.95,234.95,226.1,228.8,227.7,10446.0,24.09
2007-06-19,226.0,229.4,225.2,225.3,226.55,11660.0,26.47
2007-06-20,232.0,233.85,222.1,225.0,225.4,115905.0,264.75
2007-06-21,224.0,228.1,220.5,220.6,221.6,26865.0,60.05
2007-06-22,219.15,224.95,219.15,220.95,220.25,7837.0,17.4
2007-06-25,221.2,224.0,215.0,218.0,217.7,9659.0,21.22
2007-06-26,217.0,222.5,217.0,217.6,218.5,9423.0,20.64
2007-06-27,217.6,221.9,217.6,219.5,218.7,12885.0,28.26
2007-06-28,219.0,222.5,214.0,215.75,214.95,9926.0,21.55
2007-06-29,218.5,218.5,212.5,214.9,213.6,10664.0,22.94
2007-07-02,215.0,224.5,212.55,215.35,216.15,27353.0,59.66
2007-07-03,219.4,220.0,215.0,217.15,217.2,18427.0,39.93
2007-07-04,217.25,219.35,212.2,216.75,215.4,16741.0,35.99
2007-07-05,218.25,218.25,211.25,213.15,212.65,10551.0,22.48
2007-07-06,214.6,221.0,213.0,216.0,216.7,19272.0,41.84
2007-07-09,217.4,220.0,212.1,213.3,212.9,11522.0,24.85
2007-07-10,215.95,216.8,210.1,211.0,211.35,12618.0,26.84
2007-07-11,200.1,218.0,200.05,213.4,213.0,17372.0,37.25
2007-07-12,216.45,216.45,211.25,212.5,212.3,9510.0,20.31
2007-07-13,215.0,216.0,210.0,212.0,211.45,11913.0,25.41
2007-07-16,211.15,213.0,207.05,210.0,208.85,13442.0,28.31
2007-07-17,212.45,212.45,206.0,207.0,206.85,15757.0,32.9
2007-07-18,209.0,209.0,202.5,203.7,203.35,13941.0,28.54
2007-07-19,205.0,209.6,202.15,207.0,206.05,34672.0,71.51
2007-07-20,207.7,211.5,197.0,197.5,198.0,49535.0,100.53
2007-07-23,194.9,199.0,192.0,196.2,196.5,18583.0,36.31
2007-07-24,198.0,217.0,198.0,211.0,212.35,119230.0,250.98
2007-07-25,209.7,210.0,201.0,205.0,205.85,29788.0,61.68
2007-07-26,209.35,209.5,204.1,204.5,205.1,12397.0,25.59
2007-07-27,198.7,208.0,195.5,204.1,204.3,21486.0,43.58
2007-07-30,203.0,204.9,196.5,197.0,197.8,13482.0,27.0
2007-07-31,200.95,200.95,194.0,196.5,196.75,9716.0,19.21
2007-08-01,190.65,198.0,190.65,193.6,193.9,8815.0,17.16
2007-08-02,188.1,198.7,188.1,193.0,192.45,5620.0,10.88
2007-08-03,194.0,195.0,187.75,188.0,189.1,12423.0,23.6
2007-08-06,188.0,195.0,182.35,193.05,192.3,11477.0,21.64
2007-08-07,196.5,199.8,192.1,192.1,193.3,10710.0,20.79
2007-08-08,194.0,201.0,192.7,197.0,195.85,11490.0,22.56
2007-08-09,195.0,198.9,190.1,194.0,193.7,26682.0,51.65
2007-08-10,185.15,189.55,185.15,187.1,187.4,7271.0,13.62
2007-08-13,187.1,189.8,184.1,184.8,186.15,12503.0,23.27
2007-08-14,186.0,214.8,186.0,203.15,203.3,155082.0,319.45
2007-08-16,199.0,223.4,190.1,207.05,206.7,126268.0,266.72
2007-08-17,192.2,215.2,192.2,196.25,200.15,53932.0,110.48
2007-08-20,208.0,211.95,202.4,205.7,204.1,19266.0,39.68
2007-08-21,201.15,203.0,193.0,194.3,195.15,31843.0,63.19
2007-08-22,195.0,200.0,190.2,195.0,195.05,14493.0,28.07
2007-08-23,190.15,197.5,185.3,187.9,186.45,13579.0,26.07
2007-08-24,199.05,199.05,187.15,187.8,188.4,4747.0,8.95
2007-08-27,194.0,199.0,189.5,197.0,195.45,21919.0,42.75
2007-08-28,196.0,207.5,192.6,203.0,204.05,27260.0,55.23
2007-08-29,204.0,204.0,197.0,199.95,199.8,10450.0,20.96
2007-08-30,203.85,203.85,197.0,197.0,197.6,9781.0,19.52
2007-08-31,199.9,203.8,196.55,199.5,198.2,10912.0,21.85
2007-09-03,199.0,204.65,197.4,199.1,199.95,29738.0,59.91
2007-09-04,200.05,201.0,194.0,196.2,195.6,25562.0,50.03
2007-09-05,201.0,206.0,197.1,199.0,198.3,31404.0,63.07
2007-09-06,201.9,203.4,197.15,200.4,200.5,25730.0,51.63
2007-09-07,201.4,201.8,196.5,199.95,198.55,26801.0,53.31
2007-09-10,196.5,200.9,195.65,196.0,196.9,22699.0,44.89
2007-09-11,199.4,199.4,195.25,195.25,195.9,10878.0,21.38
2007-09-12,196.5,209.0,196.1,205.0,204.95,44273.0,89.84
2007-09-13,205.0,212.6,205.0,210.9,211.0,27267.0,57.32
2007-09-14,212.05,214.65,207.1,209.0,209.2,21901.0,46.03
2007-09-17,206.25,209.95,202.0,204.5,204.05,9507.0,19.5
2007-09-18,200.0,214.0,200.0,207.75,208.75,25058.0,52.47
2007-09-19,211.0,213.8,207.1,208.75,208.75,16063.0,33.69
2007-09-20,207.0,220.0,207.0,215.0,216.1,43207.0,92.67
2007-09-21,207.15,224.0,207.1,216.0,214.7,40112.0,87.43
2007-09-24,216.0,217.0,208.25,208.3,209.25,13241.0,28.06
2007-09-25,210.1,213.0,207.5,212.0,211.2,18382.0,38.59
2007-09-26,210.0,211.4,205.45,207.0,207.05,18621.0,38.8
2007-09-27,191.35,216.0,191.35,209.1,210.8,17281.0,36.52
2007-09-28,210.75,221.0,208.0,216.0,216.65,53731.0,116.16
2007-10-01,221.9,229.0,216.0,220.55,222.4,48372.0,107.96
2007-10-03,226.0,226.5,208.6,213.3,212.95,27548.0,59.52
2007-10-04,210.0,217.8,208.0,215.0,213.3,16146.0,34.09
2007-10-05,215.1,215.95,210.0,210.0,210.4,10211.0,21.73
2007-10-08,208.1,210.0,197.45,205.4,205.35,25338.0,51.94
2007-10-09,209.9,211.75,202.0,209.5,209.1,13955.0,28.88
2007-10-10,209.5,210.0,203.1,205.0,203.8,18234.0,37.42
2007-10-11,205.0,207.0,201.25,204.45,204.05,9791.0,20.0
2007-10-12,206.75,206.75,201.55,203.4,203.65,12624.0,25.74
2007-10-15,208.0,208.7,201.2,204.7,203.6,16821.0,34.46
2007-10-16,209.75,209.75,199.7,200.0,199.95,20724.0,41.86
2007-10-17,190.0,198.9,187.0,197.0,196.65,9871.0,19.25
2007-10-18,198.0,200.0,191.0,191.0,193.95,13937.0,27.53
2007-10-19,192.1,195.0,187.5,189.1,189.95,12551.0,23.98
2007-10-22,182.1,204.0,182.1,187.0,187.6,5993.0,11.3
2007-10-23,194.5,198.0,189.0,192.7,193.2,5346.0,10.37
2007-10-24,194.5,198.0,190.1,192.6,191.9,7102.0,13.64
2007-10-25,197.8,197.8,192.6,193.5,195.25,8441.0,16.49
2007-10-26,196.9,201.0,191.3,198.2,198.1,19450.0,38.36
