Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,24.1,25.0,22.5,,,,
1998-03-23,24.0,24.35,23.25,24.3,24.3,1800.0,0.43
1998-03-24,25.9,26.45,24.6,25.7,25.85,40700.0,10.45
1998-03-25,26.5,28.45,26.5,28.45,28.45,40400.0,11.42
1998-03-26,29.75,30.4,29.0,29.25,29.2,46500.0,13.8
1998-03-27,29.0,29.85,28.3,29.75,29.7,15700.0,4.61
1998-03-30,30.0,31.95,29.5,29.5,29.75,42500.0,13.11
1998-03-31,29.5,30.4,27.05,28.6,27.9,47800.0,13.7
1998-04-01,28.8,30.7,28.8,30.7,30.7,22900.0,6.95
1998-04-02,31.5,31.8,30.0,30.05,30.2,23600.0,7.25
1998-04-03,30.0,30.65,28.5,29.1,29.0,18000.0,5.27
1998-04-06,30.0,30.15,29.5,29.6,29.6,13200.0,3.93
1998-04-07,29.75,30.0,27.25,28.0,27.95,31100.0,8.92
1998-04-09,29.5,30.75,29.25,30.75,30.75,23800.0,7.2
1998-04-10,31.5,32.9,30.5,31.6,31.55,49600.0,15.6
1998-04-13,30.1,34.75,30.1,34.75,34.75,34000.0,11.46
1998-04-15,38.25,38.25,38.25,38.25,38.25,3200.0,1.22
1998-04-16,42.05,42.1,39.3,41.1,41.75,94500.0,39.24
1998-04-17,41.75,43.4,38.55,43.4,43.1,76800.0,31.53
1998-04-20,43.0,43.4,43.0,43.0,43.15,39700.0,17.2
1998-04-21,43.4,43.4,41.4,43.4,43.4,59900.0,25.89
1998-04-22,47.5,47.75,44.0,44.5,44.25,64000.0,29.99
1998-04-23,45.0,46.0,39.85,39.9,40.4,30400.0,12.78
1998-04-24,40.0,40.0,36.4,38.5,38.4,26000.0,9.76
1998-04-27,42.25,42.25,37.0,38.15,38.1,22700.0,8.8
1998-04-28,37.5,39.0,36.1,37.5,37.5,29600.0,11.11
1998-04-29,38.0,39.5,37.0,37.1,37.25,15500.0,5.97
1998-04-30,35.1,38.9,35.1,38.75,38.2,14300.0,5.2
1998-05-04,39.5,40.0,37.05,37.05,37.6,17700.0,6.86
1998-05-05,38.0,38.5,36.6,38.25,38.3,24600.0,9.37
1998-05-06,40.0,40.0,36.55,37.0,36.9,9700.0,3.66
1998-05-08,36.9,37.3,36.0,36.95,36.85,7300.0,2.67
1998-05-11,36.0,37.2,35.5,37.15,37.15,3300.0,1.21
1998-05-12,36.0,36.0,33.55,33.6,34.15,21700.0,7.47
1998-05-13,33.15,33.7,32.5,32.5,32.65,13000.0,4.3
1998-05-14,32.25,33.3,30.75,33.0,33.0,10200.0,3.28
1998-05-15,33.0,34.5,32.5,32.6,32.9,9000.0,3.0
1998-05-18,32.5,33.85,32.5,33.4,33.4,6400.0,2.14
1998-05-19,32.25,33.5,31.1,32.6,32.7,9800.0,3.21
1998-05-20,32.25,34.95,32.25,34.9,34.85,15000.0,5.14
1998-05-21,34.85,35.0,31.5,32.0,32.5,24400.0,8.1
1998-05-22,32.0,33.0,32.0,33.0,32.85,3300.0,1.07
1998-05-25,32.6,32.9,31.5,32.7,32.6,9800.0,3.17
1998-05-26,32.8,32.8,30.1,31.4,31.1,16900.0,5.33
1998-05-27,30.0,32.2,30.0,31.6,31.6,6600.0,2.09
1998-05-28,32.0,32.0,31.1,31.4,31.4,2900.0,0.91
1998-05-29,30.5,30.85,28.5,30.75,30.75,6900.0,2.04
1998-06-01,29.55,30.0,28.0,29.0,29.1,14900.0,4.39
