Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-10,158.0,158.0,120.0,127.5,130.9,56295.0,81.31
2007-01-11,133.0,140.0,131.0,135.0,134.1,7642.0,10.31
2007-01-12,136.5,142.5,133.1,136.25,136.15,5457.0,7.54
2007-01-15,133.6,139.0,133.6,136.0,135.75,465.0,0.63
2007-01-16,131.15,132.0,131.15,132.0,132.0,456.0,0.6
2007-01-17,126.2,140.0,126.0,130.0,130.0,13593.0,17.66
2007-01-18,130.0,134.75,130.0,130.5,130.6,1036.0,1.35
2007-01-19,126.0,130.5,121.1,122.6,122.6,6899.0,8.72
2007-01-22,126.0,138.0,111.2,120.5,123.55,19615.0,24.0
2007-01-23,125.0,125.95,120.0,121.05,123.25,4706.0,5.77
2007-01-24,121.1,125.45,120.0,121.0,121.3,4369.0,5.32
2007-01-25,116.0,122.65,116.0,118.5,118.5,7810.0,9.34
2007-01-29,116.0,122.0,116.0,117.1,117.15,452.0,0.53
2007-01-31,123.0,124.0,118.0,119.0,118.7,1026.0,1.23
2007-02-01,124.0,142.45,123.0,142.45,141.5,15314.0,21.11
2007-02-02,147.0,147.9,131.4,134.0,134.65,22338.0,30.88
2007-02-05,130.3,143.0,130.3,137.0,137.35,11316.0,15.76
2007-02-06,144.0,144.0,133.0,133.05,134.25,1564.0,2.14
2007-02-07,140.0,140.0,128.0,128.0,129.95,1916.0,2.53
2007-02-08,130.0,133.0,129.0,131.25,131.25,1157.0,1.51
2007-02-09,129.0,134.0,125.0,130.1,130.1,1232.0,1.63
2007-02-12,134.9,134.9,125.1,127.0,126.2,668.0,0.85
2007-02-13,125.0,129.95,123.8,129.95,127.8,750.0,0.95
2007-02-14,125.0,127.15,121.1,122.0,121.9,474.0,0.58
2007-02-15,125.0,129.95,125.0,126.0,126.0,652.0,0.84
2007-02-19,127.0,130.0,127.0,128.0,128.2,965.0,1.24
2007-02-20,125.0,127.0,125.0,125.25,125.3,890.0,1.12
2007-02-21,127.0,130.0,122.05,122.05,124.35,607.0,0.77
2007-02-22,128.0,128.0,118.25,120.5,120.55,616.0,0.75
2007-02-23,118.0,118.0,115.0,115.0,115.2,240.0,0.28
2007-02-26,112.0,112.0,110.0,110.0,110.0,700.0,0.77
2007-02-27,111.0,116.0,106.3,106.3,106.3,692.0,0.76
2007-02-28,112.0,114.9,107.1,110.25,110.35,1600.0,1.77
2007-03-01,110.35,112.5,110.35,111.9,111.9,502.0,0.56
2007-03-02,112.0,112.0,107.25,108.0,108.0,392.0,0.42
2007-03-05,107.25,110.0,100.0,103.0,103.0,1429.0,1.48
2007-03-06,108.95,108.95,100.0,100.0,100.0,635.0,0.64
2007-03-07,108.95,108.95,95.1,98.9,98.9,284.0,0.28
2007-03-08,101.0,110.0,98.0,106.0,106.0,1210.0,1.28
2007-03-09,107.0,107.0,101.0,106.0,106.0,624.0,0.63
2007-03-12,102.1,104.0,102.0,104.0,104.0,222.0,0.23
2007-03-13,108.0,109.5,105.5,108.1,108.1,275.0,0.3
2007-03-14,94.1,110.0,93.1,103.0,104.15,1157.0,1.1
2007-03-15,110.0,110.0,106.55,106.55,106.55,501.0,0.54
2007-03-16,104.5,113.25,104.5,105.5,105.5,4888.0,5.3
2007-03-19,102.25,109.0,102.25,109.0,109.0,126.0,0.13
2007-03-20,106.55,110.55,103.0,103.0,103.6,1572.0,1.69
2007-03-21,95.0,104.7,95.0,102.0,102.4,742.0,0.76
2007-03-22,105.0,105.9,102.0,105.0,105.0,1398.0,1.45
2007-03-23,101.7,104.7,101.7,102.0,102.0,452.0,0.46
2007-03-26,102.0,106.1,100.1,101.0,101.05,579.0,0.59
2007-03-28,102.0,102.0,97.5,102.0,99.75,959.0,0.96
2007-03-29,102.0,102.0,99.0,101.9,99.4,306.0,0.31
2007-03-30,102.0,103.5,96.5,100.5,100.5,629.0,0.64
2007-04-03,101.0,101.0,98.0,98.0,98.0,237.0,0.23
2007-04-04,100.9,100.9,93.1,98.3,98.3,234.0,0.23
2007-04-05,101.0,101.0,96.0,97.65,97.65,3589.0,3.52
2007-04-09,99.95,99.95,96.55,99.0,99.0,1100.0,1.08
2007-04-10,101.0,101.9,100.0,101.9,101.9,175.0,0.18
2007-04-11,100.0,102.75,92.6,102.5,101.4,582.0,0.58
2007-04-12,100.0,104.15,100.0,100.5,100.85,450.0,0.46
2007-04-13,101.0,101.0,100.0,100.0,100.3,25.0,0.03
2007-04-16,100.0,106.0,100.0,104.5,104.5,712.0,0.75
2007-04-17,104.0,108.9,104.0,104.1,104.1,585.0,0.62
2007-04-18,105.0,108.0,103.2,105.0,105.0,123.0,0.13
2007-04-19,100.0,109.6,98.0,108.0,106.5,1168.0,1.21
2007-04-20,106.5,114.1,106.5,113.5,110.8,3709.0,4.13
2007-04-23,103.0,117.45,103.0,106.05,107.2,768.0,0.83
2007-04-24,105.15,107.95,103.6,107.95,105.35,495.0,0.52
2007-04-25,104.0,106.5,103.0,103.0,105.1,1250.0,1.31
2007-04-26,102.1,105.1,102.05,102.05,102.05,541.0,0.56
2007-04-27,101.25,101.25,100.1,100.1,100.1,211.0,0.21
2007-04-30,105.85,108.4,102.25,108.4,108.3,1962.0,2.09
2007-05-03,109.0,112.0,108.55,108.95,109.05,3182.0,3.46
2007-05-04,106.05,107.95,105.0,107.5,107.5,720.0,0.77
2007-05-07,102.15,105.35,102.0,102.0,102.45,365.0,0.37
2007-05-08,105.0,108.85,102.05,102.75,102.75,1548.0,1.6
2007-05-09,103.0,103.0,101.0,102.5,102.45,710.0,0.73
2007-05-10,107.95,107.95,101.1,101.2,101.2,441.0,0.45
2007-05-11,101.4,101.95,96.0,99.75,99.75,1818.0,1.8
2007-05-14,101.95,102.0,99.05,99.05,99.95,831.0,0.83
2007-05-15,99.3,101.85,99.3,101.85,101.85,210.0,0.21
2007-05-16,98.15,98.55,98.15,98.4,98.4,296.0,0.29
2007-05-17,98.4,98.55,97.5,97.65,97.65,415.0,0.41
2007-05-18,97.15,99.95,97.15,99.95,99.95,450.0,0.44
2007-05-21,107.0,107.0,99.1,99.3,99.3,921.0,0.93
2007-05-22,98.2,101.7,98.2,99.0,99.5,510.0,0.51
2007-05-23,93.65,100.0,93.65,98.25,97.2,1424.0,1.38
2007-05-24,98.25,98.25,98.25,98.25,98.25,50.0,0.05
2007-05-25,95.2,98.8,95.2,97.85,97.5,725.0,0.7
2007-05-28,96.0,98.1,96.0,97.05,97.05,300.0,0.29
2007-05-29,100.0,100.0,96.2,96.35,96.35,1444.0,1.4
2007-05-30,98.9,98.9,96.1,96.1,96.1,532.0,0.51
2007-05-31,95.0,98.9,95.0,97.0,97.0,83.0,0.08
2007-06-01,97.0,97.0,95.0,95.0,95.0,540.0,0.52
2007-06-04,95.05,95.05,94.5,94.6,94.6,581.0,0.55
2007-06-05,97.0,97.0,93.0,93.55,93.55,221.0,0.21
