Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-05-26,600.0,619.0,501.0,505.1,509.1,3145446.0,17263.68
2008-05-27,505.0,610.95,491.1,564.0,554.65,4349144.0,24883.7
2008-05-28,564.0,665.6,564.0,643.0,640.95,4588759.0,28375.3
2008-05-29,656.65,703.0,608.0,634.5,632.4,4522302.0,29829.21
2008-05-30,642.4,668.0,588.3,647.0,644.0,3057669.0,19459.29
2008-06-02,650.0,699.0,622.0,687.0,686.95,2247399.0,15069.13
2008-06-03,672.0,689.8,632.55,670.55,672.05,2299383.0,15310.82
2008-06-04,674.0,674.0,566.6,595.0,598.95,2832725.0,17063.17
2008-06-05,603.0,639.8,572.3,631.5,631.85,1344712.0,8211.52
2008-06-06,639.25,642.9,608.05,635.0,630.9,794722.0,4994.33
2008-06-09,620.0,648.0,580.0,645.0,629.9,758393.0,4739.58
2008-06-10,618.0,675.0,618.0,672.0,669.25,939180.0,6138.97
2008-06-11,672.0,682.0,641.1,641.1,653.5,750714.0,4975.03
2008-06-12,629.0,638.45,601.0,602.0,605.9,414320.0,2544.85
2008-06-13,607.0,624.5,572.75,577.0,580.8,458514.0,2755.66
2008-06-16,595.0,618.0,587.25,613.1,614.05,496439.0,3009.28
2008-06-17,610.0,626.0,605.1,610.0,611.05,248850.0,1528.14
2008-06-18,615.0,617.2,585.1,595.0,591.95,142386.0,861.86
2008-06-19,580.0,625.0,578.05,613.0,611.85,468038.0,2875.54
2008-06-20,603.0,618.25,532.0,569.0,554.95,289352.0,1659.42
2008-06-23,551.0,575.9,550.0,566.55,565.4,514992.0,2893.38
2008-06-24,565.5,572.0,537.0,547.1,549.15,294467.0,1624.66
2008-06-25,542.0,632.5,540.0,580.0,577.1,124264.0,701.53
2008-06-26,578.0,600.0,578.0,588.0,590.25,134458.0,794.5
2008-06-27,585.0,585.0,550.0,565.0,562.0,170967.0,962.75
2008-06-30,565.0,570.0,520.0,523.0,537.85,105379.0,582.74
2008-07-01,535.0,536.9,502.65,526.5,517.75,86030.0,446.35
2008-07-02,511.0,530.0,495.0,518.0,522.55,225316.0,1140.17
2008-07-03,495.2,513.85,446.0,455.0,478.5,291484.0,1457.06
2008-07-04,471.35,500.0,447.0,499.05,499.7,98707.0,479.41
2008-07-07,494.65,544.0,494.65,518.0,521.8,422193.0,2153.85
2008-07-08,475.8,518.0,475.8,513.1,510.95,236281.0,1195.43
2008-07-09,550.0,550.0,512.0,517.9,518.05,91041.0,482.59
2008-07-10,515.0,519.85,500.0,510.0,506.8,83723.0,426.22
2008-07-11,519.9,520.0,466.65,477.0,478.95,45764.0,228.04
2008-07-14,498.0,498.0,455.0,458.0,461.9,79049.0,372.24
2008-07-15,447.0,463.0,436.05,436.05,448.5,52550.0,239.67
2008-07-16,440.0,451.95,417.5,424.1,424.95,269364.0,1145.97
2008-07-17,439.0,439.0,415.1,421.0,421.75,391481.0,1646.6
2008-07-18,405.35,428.0,388.05,406.65,410.7,166930.0,698.08
2008-07-21,411.0,421.6,408.1,411.0,410.7,109056.0,451.72
2008-07-22,402.35,424.95,402.35,420.9,420.0,125018.0,527.02
2008-07-23,433.0,449.95,428.05,437.15,437.85,524250.0,2283.61
2008-07-24,439.0,480.5,439.0,455.0,451.4,146863.0,663.36
2008-07-25,436.0,455.0,436.0,446.0,446.25,39059.0,174.61
2008-07-28,437.0,452.0,432.05,435.0,436.05,15178.0,66.89
2008-07-29,435.0,435.0,426.0,430.0,429.85,53978.0,231.97
2008-07-30,408.4,442.5,408.4,435.5,437.55,14333.0,62.7
2008-07-31,429.0,447.0,429.0,435.0,442.65,13873.0,61.24
2008-08-01,430.0,449.9,423.0,442.0,443.0,23610.0,104.45
2008-08-04,431.25,454.95,431.25,454.95,452.65,12186.0,54.67
2008-08-05,452.65,475.0,438.0,467.0,467.9,15674.0,72.77
2008-08-06,465.0,497.0,465.0,482.0,482.2,46278.0,224.03
2008-08-07,495.0,535.0,470.15,522.55,515.3,127300.0,639.24
2008-08-08,510.0,530.0,505.0,520.0,517.5,40717.0,210.13
2008-08-11,535.0,592.0,528.0,540.0,540.5,235630.0,1313.52
2008-08-12,550.0,550.0,512.5,528.4,523.7,54384.0,288.85
2008-08-13,518.75,555.0,510.0,540.6,544.1,77028.0,418.76
2008-08-14,535.0,549.45,525.0,530.0,528.95,27675.0,148.75
2008-08-18,504.0,528.0,504.0,521.95,519.15,52577.0,273.28
2008-08-19,502.0,549.9,502.0,549.05,540.7,181658.0,938.11
2008-08-20,551.1,551.1,523.1,530.0,531.65,29888.0,159.11
2008-08-21,516.5,546.0,516.5,526.9,528.1,27053.0,145.21
2008-08-22,524.0,529.7,517.5,522.0,522.4,24210.0,127.0
2008-08-25,530.0,540.95,521.0,522.55,529.8,30557.0,162.29
2008-08-26,520.15,547.95,520.15,527.0,527.6,48975.0,260.84
2008-08-27,553.95,553.95,512.0,517.15,519.7,44049.0,234.05
2008-08-28,510.5,550.0,510.5,540.0,544.25,69852.0,372.42
2008-08-29,550.0,558.0,532.4,537.05,537.3,49228.0,270.02
2008-09-01,532.4,545.0,530.0,531.0,534.15,9667.0,51.88
2008-09-02,535.0,542.6,533.35,534.1,536.1,18033.0,97.12
2008-09-04,530.0,538.8,521.1,527.0,526.2,33867.0,178.74
2008-09-05,520.1,544.0,520.0,523.25,524.95,34115.0,181.21
2008-09-08,545.0,545.0,518.0,519.0,521.85,38680.0,205.16
2008-09-09,520.0,528.0,515.5,521.0,522.2,72156.0,378.7
2008-09-10,512.0,539.8,505.0,523.0,520.55,68972.0,362.54
2008-09-11,520.0,523.0,473.0,479.05,479.1,47512.0,233.18
2008-09-12,481.0,489.0,453.1,470.2,469.3,23704.0,111.53
2008-09-15,450.0,454.85,409.5,443.5,443.1,17263.0,73.82
2008-09-16,420.95,420.95,388.05,395.5,403.2,280801.0,1135.58
2008-09-17,405.0,423.85,391.55,403.65,402.15,56180.0,229.25
2008-09-18,395.0,395.0,351.0,370.0,373.25,41952.0,153.52
2008-09-19,389.95,389.95,362.4,373.15,374.75,142879.0,535.11
2008-09-22,375.0,393.5,375.0,390.0,390.1,87283.0,338.94
