Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,18.0,18.0,18.0,,,,
1998-03-24,17.75,17.75,17.75,17.75,17.75,100.0,0.02
1998-03-26,17.5,17.75,17.5,17.75,17.75,200.0,0.04
1998-03-31,16.5,16.5,16.5,16.5,16.5,100.0,0.02
1998-04-03,16.0,16.0,16.0,16.0,16.0,200.0,0.03
1998-04-06,14.4,14.4,14.4,14.4,14.4,1000.0,0.14
1998-04-07,14.0,14.0,14.0,14.0,14.0,100.0,0.01
1998-04-09,14.6,14.6,14.6,14.6,14.6,200.0,0.03
1998-04-10,15.0,16.1,15.0,16.1,16.1,1000.0,0.16
1998-04-13,16.3,16.5,16.3,16.5,16.5,200.0,0.03
1998-04-15,16.9,18.1,16.9,18.1,18.1,200.0,0.04
1998-04-16,19.95,19.95,19.95,19.95,19.95,100.0,0.02
1998-04-17,19.0,20.5,19.0,20.3,20.3,400.0,0.08
1998-04-20,20.0,20.65,20.0,20.65,20.65,900.0,0.18
1998-04-21,20.6,20.65,19.55,19.55,19.55,800.0,0.16
1998-04-22,19.0,20.0,19.0,20.0,20.0,600.0,0.12
1998-04-23,19.0,19.0,18.75,18.75,18.75,200.0,0.04
1998-04-24,18.5,20.0,18.5,18.5,18.5,400.0,0.08
1998-04-27,18.05,18.05,18.0,18.0,18.0,200.0,0.04
1998-04-28,18.0,18.0,18.0,18.0,18.0,100.0,0.02
1998-04-29,18.0,18.0,17.05,17.05,17.05,200.0,0.04
1998-04-30,16.25,16.25,16.25,16.25,16.25,100.0,0.02
1998-05-05,16.5,16.5,16.5,16.5,16.5,100.0,0.02
1998-05-06,16.5,17.0,16.5,16.5,16.5,600.0,0.1
1998-05-08,16.0,16.5,16.0,16.5,16.5,200.0,0.03
1998-05-12,16.0,16.0,16.0,16.0,16.0,100.0,0.02
1998-05-13,15.5,15.5,15.5,15.5,15.5,100.0,0.02
1998-05-18,15.0,15.0,15.0,15.0,15.0,200.0,0.03
1998-05-22,15.0,15.0,15.0,15.0,15.0,200.0,0.03
1998-05-25,13.5,13.5,13.5,13.5,13.5,100.0,0.01
1998-05-28,13.55,14.5,13.55,14.5,14.5,1100.0,0.16
1998-06-12,15.4,15.4,15.4,15.4,15.4,100.0,0.02
1998-06-15,14.1,14.2,14.1,14.2,14.2,200.0,0.03
1998-06-16,13.0,13.0,13.0,13.0,13.0,300.0,0.04
1998-06-18,13.0,13.0,13.0,13.0,13.0,100.0,0.01
1998-06-19,12.5,12.5,12.0,12.0,12.0,300.0,0.04
1998-06-23,12.0,12.0,12.0,12.0,12.0,600.0,0.07
1998-06-26,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1998-06-30,14.0,14.0,11.2,11.2,11.2,1100.0,0.15
1998-07-01,11.15,13.5,11.0,13.5,13.5,1100.0,0.12
1998-07-02,16.0,16.0,13.0,13.0,13.0,200.0,0.03
1998-07-03,13.0,13.1,13.0,13.0,13.0,300.0,0.04
1998-07-06,13.0,13.0,13.0,13.0,13.0,100.0,0.01
1998-07-07,12.95,13.0,12.95,13.0,13.0,200.0,0.03
1998-07-13,11.5,11.5,11.5,11.5,11.5,600.0,0.07
1998-07-14,11.5,11.5,11.5,11.5,11.5,500.0,0.06
1998-07-24,11.5,11.5,11.5,11.5,11.5,100.0,0.01
1998-08-04,9.5,9.5,9.5,9.5,9.5,200.0,0.02
1998-08-05,9.5,9.5,9.5,9.5,9.5,100.0,0.01
1998-08-06,8.75,8.75,8.1,8.1,8.1,1000.0,0.08
1998-08-07,8.75,8.75,8.75,8.75,8.75,400.0,0.04
1998-08-13,8.25,8.5,8.25,8.5,8.5,300.0,0.03
1998-08-18,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-08-19,8.5,8.5,8.5,8.5,8.5,500.0,0.04
1998-09-01,9.0,9.0,9.0,9.0,9.0,500.0,0.04
1998-09-02,9.0,9.0,9.0,9.0,9.0,300.0,0.03
1998-09-08,10.0,10.0,9.0,9.0,9.1,900.0,0.08
1998-09-11,9.05,9.3,8.75,8.75,8.75,500.0,0.04
1998-09-14,10.5,10.5,10.5,10.5,10.5,100.0,0.01
1998-09-17,10.0,10.0,10.0,10.0,10.0,500.0,0.05
1998-09-22,9.5,9.5,8.55,8.55,8.55,400.0,0.04
1998-09-30,9.5,9.5,9.0,9.0,9.0,200.0,0.02
1998-10-05,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-10-16,9.0,9.0,9.0,9.0,9.0,100.0,0.01
1998-10-26,9.5,9.5,9.5,9.5,9.5,100.0,0.01
1998-10-27,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-10-30,8.05,8.05,8.05,8.05,8.05,100.0,0.01
1998-11-02,7.0,7.0,7.0,7.0,7.0,100.0,0.01
1998-11-06,6.9,9.0,6.9,9.0,9.0,200.0,0.02
1998-11-10,9.0,9.0,9.0,9.0,9.0,500.0,0.04
1998-11-11,9.9,9.9,9.9,9.9,9.9,100.0,0.01
1998-11-12,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-11-18,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-11-20,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-11-24,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-12-02,7.6,7.6,7.6,7.6,7.6,100.0,0.01
1998-12-04,8.75,8.75,8.75,8.75,8.75,100.0,0.01
1998-12-08,7.55,7.55,7.55,7.55,7.55,100.0,0.01
1998-12-10,8.0,8.0,8.0,8.0,8.0,100.0,0.01
1999-01-13,6.0,6.0,6.0,6.0,6.0,100.0,0.01
1999-01-15,4.0,6.5,4.0,6.5,6.5,200.0,0.01
1999-01-18,8.0,8.0,8.0,8.0,8.0,100.0,0.01
1999-01-25,8.0,8.0,8.0,8.0,8.0,200.0,0.02
1999-02-09,6.1,6.1,6.1,6.1,6.1,1200.0,0.07
1999-02-10,5.0,5.0,5.0,5.0,5.0,100.0,0.0
1999-02-22,6.5,6.5,6.5,6.5,6.5,100.0,0.01
1999-02-24,6.0,6.25,6.0,6.25,6.25,200.0,0.01
1999-02-26,6.75,6.75,6.75,6.75,6.75,200.0,0.01
1999-03-03,8.0,8.0,8.0,8.0,8.0,100.0,0.01
1999-03-05,8.0,8.25,8.0,8.25,8.25,1100.0,0.09
1999-03-08,12.0,12.0,12.0,12.0,12.0,100.0,0.01
1999-03-09,12.5,12.5,12.5,12.5,12.5,500.0,0.06
1999-03-10,12.95,13.0,12.95,13.0,13.0,1000.0,0.13
1999-03-11,9.75,9.75,9.75,9.75,9.75,200.0,0.02
1999-03-12,9.5,9.5,9.4,9.4,9.4,600.0,0.06
1999-03-15,6.5,6.5,6.5,6.5,6.5,100.0,0.01
1999-03-16,6.05,6.05,6.05,6.05,6.05,100.0,0.01
1999-03-17,8.25,8.25,8.25,8.25,8.25,1000.0,0.08
1999-03-18,12.0,12.0,7.0,8.5,8.5,2300.0,0.2
1999-03-19,8.7,9.25,8.55,8.6,8.6,700.0,0.06
1999-03-20,8.5,8.5,8.5,8.5,8.5,300.0,0.03
1999-03-22,7.1,7.1,7.1,7.1,7.1,16500.0,1.17
1999-03-23,8.5,8.5,7.55,8.3,8.3,1100.0,0.09
1999-03-24,8.1,10.5,8.1,9.8,9.8,1100.0,0.11
1999-03-25,10.0,10.5,9.5,9.5,9.5,2600.0,0.26
1999-03-26,7.0,7.0,7.0,7.0,7.0,100.0,0.01
1999-03-30,7.1,8.05,7.1,8.05,8.05,1100.0,0.08
1999-03-31,7.6,7.6,7.6,7.6,7.6,200.0,0.02
1999-04-01,9.4,9.5,9.4,9.5,9.5,1200.0,0.11
1999-04-05,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1999-04-08,7.2,7.2,7.2,7.2,7.2,300.0,0.02
