Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,80.75,82.5,80.75,,,,
1998-03-23,80.5,81.0,80.0,81.0,81.0,1300.0,1.05
1998-03-24,81.1,82.5,81.0,81.5,81.5,5000.0,4.09
1998-03-25,82.0,84.75,82.0,83.75,83.8,4300.0,3.59
1998-03-26,87.5,87.5,83.0,83.5,83.6,6400.0,5.37
1998-03-27,82.25,83.5,82.25,83.0,83.0,1200.0,1.0
1998-03-30,83.0,84.0,82.0,82.25,82.25,3900.0,3.23
1998-03-31,83.0,83.0,79.55,79.55,81.25,7800.0,6.36
1998-04-01,83.0,83.5,82.0,83.5,83.4,2000.0,1.66
1998-04-02,83.1,83.5,82.25,83.25,83.1,1600.0,1.33
1998-04-03,82.0,83.0,81.0,83.0,83.0,3700.0,3.06
1998-04-06,80.0,85.0,80.0,85.0,84.8,3700.0,3.08
1998-04-07,83.0,87.0,83.0,87.0,86.95,3700.0,3.17
1998-04-09,90.5,95.0,90.0,92.5,92.15,12800.0,11.91
1998-04-10,94.0,100.0,92.0,94.25,94.8,9800.0,9.42
1998-04-13,92.9,95.0,90.1,90.75,91.6,13200.0,12.19
1998-04-15,98.0,99.7,95.0,98.2,98.7,8900.0,8.67
1998-04-16,99.25,101.1,91.0,97.8,97.5,19000.0,18.53
1998-04-17,95.1,97.0,93.0,97.0,97.0,7000.0,6.67
1998-04-20,93.5,95.0,93.0,93.0,93.25,6800.0,6.39
1998-04-21,93.05,94.5,92.0,94.0,92.9,7400.0,6.9
1998-04-22,96.5,102.0,95.6,97.1,97.1,13500.0,13.36
1998-04-23,94.6,95.75,94.25,95.0,94.85,3800.0,3.6
1998-04-24,93.15,93.15,90.0,93.0,92.7,2900.0,2.67
1998-04-27,91.0,93.9,89.8,90.5,90.1,2400.0,2.18
1998-04-28,89.9,89.9,86.5,88.95,88.3,3800.0,3.33
1998-04-29,89.3,89.3,86.1,86.3,87.7,3500.0,3.09
1998-04-30,85.05,90.0,84.0,90.0,89.75,5500.0,4.81
1998-05-04,91.0,91.0,88.5,89.0,89.65,2500.0,2.24
1998-05-05,89.75,95.8,89.0,92.0,92.2,5700.0,5.18
1998-05-06,95.75,95.75,92.0,94.9,93.7,5800.0,5.45
1998-05-08,93.0,94.9,92.0,92.0,92.0,3600.0,3.34
1998-05-11,92.6,92.6,92.0,92.0,92.0,1700.0,1.57
1998-05-12,88.05,89.9,86.5,89.9,88.45,8300.0,7.34
1998-05-13,88.1,88.5,85.5,85.5,86.8,4600.0,4.03
1998-05-14,88.0,92.0,85.75,92.0,92.0,5400.0,4.71
1998-05-15,90.1,91.0,90.0,91.0,91.0,2300.0,2.07
1998-05-18,87.75,92.0,87.75,90.0,91.0,2800.0,2.55
1998-05-19,91.1,95.0,90.0,95.0,92.85,5600.0,5.18
1998-05-20,92.0,94.2,91.0,94.2,94.2,9400.0,8.66
1998-05-21,97.0,99.8,94.5,95.0,95.05,23600.0,22.7
