Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-04-15,165.1,165.95,163.75,164.0,164.35,112707.0,185.71
2015-04-16,163.55,164.1,162.0,162.95,162.7,127122.0,206.92
2015-04-17,163.1,163.15,160.4,161.7,161.55,135205.0,218.76
2015-04-20,162.0,163.3,161.05,162.15,162.05,126267.0,204.76
2015-04-21,161.45,162.7,160.55,161.1,161.1,137047.0,221.24
2015-04-22,161.85,163.85,161.0,163.8,162.95,140865.0,228.13
2015-04-23,163.6,163.95,162.9,162.9,162.95,115872.0,189.32
2015-04-24,163.2,163.5,161.55,161.7,161.8,133031.0,216.59
2015-04-27,161.9,162.5,159.05,159.8,159.6,122538.0,196.67
2015-04-28,159.5,162.4,159.0,162.25,162.15,124029.0,199.39
2015-04-29,162.1,162.45,160.8,161.7,161.7,124302.0,200.96
2015-04-30,161.4,161.7,160.05,161.05,161.0,127451.0,205.07
2015-05-04,162.0,166.15,161.9,165.15,165.1,129027.0,212.32
2015-05-05,164.85,165.15,161.9,163.05,162.7,136896.0,223.75
2015-05-06,162.1,162.55,157.35,157.4,157.7,125661.0,200.41
2015-05-07,157.45,160.3,156.95,157.65,157.55,149681.0,237.17
2015-05-08,158.4,168.05,158.35,164.55,165.6,174820.0,286.24
2015-05-11,166.4,168.05,164.45,167.45,167.35,153819.0,255.81
2015-05-12,167.1,167.25,161.0,162.65,162.45,153663.0,250.9
2015-05-13,163.15,167.1,162.95,164.8,164.9,153076.0,253.21
2015-05-14,164.6,164.7,159.8,164.35,163.75,153919.0,249.87
2015-05-15,164.0,167.2,160.4,167.05,166.6,157107.0,256.81
2015-05-18,166.85,172.0,166.75,171.95,171.15,156188.0,264.45
2015-05-19,170.4,170.55,167.1,169.35,169.4,160819.0,271.72
2015-05-20,170.1,174.4,169.65,174.25,173.3,218400.0,376.4
2015-05-21,173.95,174.1,170.0,170.1,170.4,161733.0,277.84
2015-05-22,170.2,173.1,168.35,172.9,172.75,152179.0,259.61
2015-05-25,172.0,172.2,168.25,169.1,168.95,150138.0,255.81
2015-05-26,168.35,168.5,164.65,165.6,165.5,154227.0,256.38
2015-05-27,164.85,166.45,162.15,166.35,166.3,163510.0,268.88
2015-05-28,167.75,169.25,165.8,167.8,167.65,162614.0,272.36
2015-05-29,167.05,171.4,166.7,169.1,168.7,150467.0,254.15
2015-06-01,167.9,168.0,162.5,162.7,163.35,164463.0,272.3
2015-06-02,163.7,164.9,162.05,163.75,163.65,173207.0,283.62
2015-06-03,163.1,163.3,160.95,162.05,162.1,168771.0,273.45
2015-06-04,162.55,162.65,157.35,159.35,159.0,176148.0,281.0
2015-06-05,158.05,160.55,156.65,157.6,158.0,177978.0,281.74
2015-06-08,158.35,158.4,155.15,156.5,156.5,178882.0,280.42
2015-06-09,156.0,158.05,155.4,156.3,156.55,185922.0,290.59
2015-06-10,156.25,159.0,156.1,157.55,157.55,186065.0,292.85
2015-06-11,159.0,161.8,158.4,160.6,160.85,183463.0,294.44
2015-06-12,160.05,161.05,155.7,157.1,157.1,192355.0,303.68
2015-06-15,158.1,164.0,156.9,157.0,159.25,218605.0,352.8
2015-06-16,158.7,158.7,155.35,156.3,156.4,174376.0,273.5
2015-06-17,156.95,160.95,155.95,160.75,160.7,196835.0,313.07
2015-06-18,161.85,164.9,161.8,163.5,163.6,196630.0,321.66
2015-06-19,164.2,167.75,164.0,166.0,166.1,189346.0,314.62
2015-06-22,166.65,169.9,166.05,167.7,168.0,180374.0,303.13
2015-06-23,168.75,168.75,165.15,165.95,166.2,174212.0,289.83
2015-06-24,166.35,169.25,166.3,167.0,167.65,173895.0,292.0
2015-06-25,167.35,171.5,166.55,170.1,170.3,180859.0,307.18
2015-06-26,169.8,171.0,167.15,169.2,168.9,183461.0,310.72
2015-06-29,167.5,171.45,166.35,171.45,170.75,190204.0,321.95
2015-06-30,170.45,173.0,168.55,172.0,171.7,204841.0,350.76
2015-07-01,171.15,175.25,171.15,174.7,174.0,185716.0,321.85
2015-07-02,173.5,176.05,173.0,173.15,173.45,212614.0,370.68
2015-07-03,172.5,174.85,172.5,174.3,174.05,189031.0,328.58
2015-07-06,172.85,174.55,170.1,174.25,173.55,204076.0,351.98
2015-07-07,173.25,173.7,169.35,170.0,170.1,191313.0,327.49
2015-07-08,169.25,169.45,166.15,166.4,166.65,223274.0,373.43
2015-07-09,167.25,169.0,165.55,166.25,166.45,161957.0,271.35
2015-07-10,168.05,171.3,166.35,168.6,168.8,281024.0,472.66
2015-07-13,169.8,176.8,169.5,172.4,172.7,305196.0,530.34
2015-07-14,172.65,173.05,168.1,168.8,168.95,244376.0,414.84
2015-07-15,167.5,168.7,164.9,167.65,167.35,231289.0,386.8
2015-07-16,166.5,170.85,165.6,168.3,168.1,276008.0,464.26
2015-07-17,169.5,170.3,165.85,168.65,168.55,301113.0,506.3
2015-07-20,169.25,169.25,165.3,166.7,166.8,219197.0,365.86
2015-07-21,166.7,169.9,166.5,167.5,167.6,254196.0,426.87
2015-07-22,166.85,170.6,166.8,169.0,169.2,319128.0,538.25
2015-07-23,168.5,171.75,167.75,170.95,170.8,212231.0,359.7
2015-07-24,172.5,175.4,169.95,170.9,170.85,260392.0,450.29
2015-07-27,169.65,171.3,168.25,170.5,170.35,323838.0,548.79
2015-07-28,170.8,171.8,168.85,169.75,170.0,238467.0,405.69
2015-07-29,169.7,181.5,169.35,176.35,176.5,433999.0,759.61
2015-07-30,174.7,175.4,170.65,172.0,171.65,371878.0,642.09
2015-07-31,172.55,174.95,172.5,173.6,173.6,238361.0,413.4
2015-08-03,173.7,176.25,172.9,174.65,174.55,207153.0,361.25
2015-08-04,175.0,176.0,171.35,172.7,172.8,268382.0,466.26
2015-08-05,173.7,177.45,173.5,175.65,175.45,290273.0,508.45
2015-08-06,173.6,176.5,171.7,174.7,174.9,227030.0,395.51
2015-08-07,173.5,175.05,169.25,170.15,169.95,234393.0,404.57
2015-08-10,169.5,169.75,166.35,167.2,167.35,172521.0,289.99
2015-08-11,168.4,168.4,164.85,165.75,165.6,217165.0,361.03
2015-08-12,163.75,165.15,161.35,162.55,162.55,240666.0,392.95
2015-08-13,163.4,167.5,161.35,167.0,166.8,206562.0,338.98
2015-08-14,167.3,169.95,166.9,168.45,168.35,254551.0,429.14
2015-08-17,167.55,167.8,164.25,165.65,165.7,187101.0,310.37
2015-08-18,167.25,170.05,167.0,169.2,169.35,215799.0,364.19
2015-08-19,168.2,170.2,167.95,169.85,169.65,242781.0,411.03
2015-08-20,167.8,171.6,166.85,170.9,170.7,200549.0,339.9
2015-08-21,167.75,169.0,165.25,168.7,168.15,176528.0,294.84
2015-08-24,165.3,165.9,161.7,165.0,165.05,134870.0,221.21
2015-08-25,166.7,168.2,163.3,166.2,166.35,153126.0,253.42
2015-08-26,165.2,167.6,161.2,161.2,162.15,171697.0,282.76
2015-08-27,163.2,166.0,162.5,164.8,164.55,135807.0,223.31
2015-08-28,166.0,167.4,162.9,163.75,163.65,102710.0,170.3
2015-08-31,162.3,163.55,160.85,162.45,162.55,93252.0,151.18
