Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-12-06,222.3,227.85,212.2,213.5,216.3,97260.0,212.01
2012-12-07,218.0,223.95,215.0,216.9,216.3,92696.0,203.07
2012-12-10,216.7,216.8,192.6,203.5,205.1,83893.0,174.24
2012-12-11,201.1,211.95,196.2,196.55,198.75,60844.0,123.4
2012-12-12,199.3,203.0,190.6,191.2,191.95,56506.0,110.39
2012-12-13,192.15,196.0,186.45,188.0,188.05,52930.0,101.71
2012-12-14,189.2,197.5,188.0,195.0,194.05,50825.0,98.03
2012-12-17,193.95,205.0,192.05,195.0,194.6,144724.0,287.38
2012-12-18,196.9,202.95,194.5,199.05,200.9,105358.0,210.25
2012-12-19,202.0,203.5,196.0,196.65,197.35,76223.0,152.29
2012-12-20,197.05,199.95,195.9,196.1,196.9,1357160.0,2664.67
2012-12-21,196.2,201.5,192.35,195.7,198.5,65403.0,129.18
2012-12-24,198.0,200.95,190.65,191.05,192.45,23400.0,45.9
2012-12-26,186.1,193.9,186.1,188.7,188.6,35534.0,67.54
2012-12-27,189.5,191.0,186.1,187.4,186.95,21206.0,39.92
2012-12-28,187.0,192.9,186.7,189.8,190.2,32471.0,61.93
2012-12-31,192.0,192.85,187.65,188.35,189.35,18751.0,35.73
2013-01-01,191.2,193.2,189.65,189.65,190.1,19584.0,37.45
2013-01-02,191.0,193.95,190.0,190.15,190.55,67026.0,128.62
2013-01-03,192.0,218.0,191.2,207.0,206.75,653566.0,1354.2
2013-01-04,208.0,212.45,205.25,208.0,208.15,173723.0,363.32
2013-01-07,208.25,210.6,204.4,206.0,205.75,56001.0,116.56
2013-01-08,207.35,207.35,201.85,203.2,204.05,33958.0,69.15
2013-01-09,200.1,211.0,200.1,205.7,205.45,72623.0,151.38
2013-01-10,207.0,207.9,199.5,201.0,200.85,36255.0,73.43
2013-01-11,205.0,205.0,197.0,197.1,198.6,38695.0,77.29
2013-01-14,198.05,204.75,198.05,203.9,203.6,24384.0,49.18
2013-01-15,204.95,206.0,198.0,199.2,199.7,32857.0,66.27
2013-01-16,200.15,201.85,192.35,193.15,194.8,22937.0,45.19
2013-01-17,195.0,199.7,195.0,196.6,196.75,23412.0,46.13
2013-01-18,197.95,199.65,193.3,196.0,195.8,28261.0,55.88
2013-01-21,195.95,198.0,192.2,194.5,193.15,23459.0,45.54
2013-01-22,194.3,205.0,192.35,192.75,193.1,50560.0,99.58
2013-01-23,194.3,195.95,188.5,191.0,191.2,30341.0,58.2
2013-01-24,191.2,192.35,182.0,182.95,183.45,40217.0,74.86
2013-01-25,182.25,184.65,179.0,182.4,181.9,22823.0,41.54
2013-01-28,182.0,188.0,181.5,187.2,186.95,18812.0,35.01
2013-01-29,186.0,187.95,182.0,182.35,182.45,11580.0,21.32
2013-01-30,183.5,184.95,182.85,183.5,183.35,8024.0,14.72
2013-01-31,181.35,187.0,180.4,181.3,183.1,23583.0,43.48
2013-02-01,181.0,184.95,173.8,178.0,178.35,16206.0,29.23
2013-02-04,179.1,182.0,176.2,178.8,178.05,16582.0,29.66
2013-02-05,177.0,177.9,174.0,175.05,175.0,9639.0,16.9
2013-02-06,174.95,181.7,174.2,178.0,178.15,19043.0,33.95
2013-02-07,177.0,179.0,171.85,173.5,173.85,20086.0,35.34
2013-02-08,175.55,175.75,173.75,175.75,174.9,12480.0,21.83
2013-02-11,175.0,177.75,173.5,174.95,175.05,14119.0,24.71
2013-02-12,175.1,175.85,169.0,173.05,173.0,18591.0,31.93
2013-02-13,174.7,177.0,172.55,176.0,175.35,14290.0,24.96
2013-02-14,173.95,175.2,165.15,168.0,165.9,18058.0,30.44
2013-02-15,165.9,168.75,156.2,160.45,160.1,21325.0,34.38
2013-02-18,158.0,166.0,158.0,165.0,163.75,8671.0,14.22
2013-02-19,163.55,165.65,162.1,165.45,164.3,4237.0,6.94
2013-02-20,164.0,169.9,163.0,164.0,165.25,10700.0,17.85
2013-02-21,165.05,165.65,162.9,163.95,163.6,12406.0,20.46
