Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-06-23,171.0,181.0,171.0,179.0,179.0,438.0,0.79
2014-06-24,177.0,182.0,176.2,178.2,178.2,2293.0,4.12
2014-06-25,178.2,182.0,178.2,181.0,181.25,746.0,1.35
2014-06-26,183.0,185.0,174.0,177.05,179.75,3192.0,5.7
2014-06-27,177.3,197.7,177.05,197.7,197.7,4811.0,9.13
2014-06-30,217.45,217.45,217.45,217.45,217.45,860.0,1.87
2014-07-01,239.15,239.15,231.1,239.15,239.15,10736.0,25.51
2014-07-02,242.05,251.1,240.0,251.1,251.1,4224.0,10.5
2014-07-03,262.9,263.65,257.5,263.65,263.65,6324.0,16.47
2014-07-04,276.8,276.8,276.8,276.8,276.8,2178.0,6.03
2014-07-07,286.0,290.0,263.0,278.0,279.35,20868.0,57.2
2014-07-08,276.4,276.4,265.4,265.4,265.4,7699.0,20.61
2014-07-09,264.0,264.0,252.15,253.55,253.9,4935.0,12.52
2014-07-10,261.95,266.55,248.1,264.95,265.35,6735.0,17.65
2014-07-11,266.0,278.0,265.0,265.0,265.25,4654.0,12.51
2014-07-14,273.0,273.0,252.0,252.0,254.2,3961.0,10.27
2014-07-15,254.2,266.9,254.2,266.9,266.9,643.0,1.69
2014-07-16,280.2,280.2,280.2,280.2,280.2,2429.0,6.81
2014-07-17,294.2,294.2,280.0,294.2,292.6,16537.0,48.17
2014-07-18,300.0,307.2,282.25,307.2,307.2,6911.0,20.83
2014-07-21,319.0,322.55,316.0,322.55,322.55,7547.0,24.2
2014-07-22,335.95,338.65,331.05,338.65,338.65,3763.0,12.73
2014-07-23,355.55,355.55,330.1,335.0,338.95,46259.0,162.14
2014-07-24,338.95,338.95,322.05,322.05,322.05,8456.0,27.72
2014-07-25,306.05,322.05,306.05,322.05,315.95,9600.0,29.87
2014-07-28,315.0,331.7,314.0,331.7,330.5,6850.0,22.53
2014-07-30,341.0,347.0,321.0,347.0,347.0,21871.0,75.57
2014-07-31,361.0,364.35,354.25,364.35,364.35,11177.0,40.6
2014-08-01,381.0,382.55,350.0,367.0,369.9,45937.0,174.05
2014-08-04,376.0,377.7,351.45,361.1,363.35,10549.0,38.7
2014-08-05,369.0,373.8,355.25,370.0,367.2,8645.0,31.65
2014-08-06,365.0,378.5,352.05,352.05,354.5,5122.0,18.7
2014-08-07,355.0,359.9,340.3,348.0,350.8,8943.0,31.37
2014-08-08,345.0,349.75,335.5,342.5,338.45,5045.0,17.2
2014-08-11,355.0,355.0,341.0,347.4,345.9,2286.0,7.91
