Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-12-26,940.0,985.0,895.0,927.0,922.55,10188263.0,94838.88
2012-12-27,924.8,948.0,915.55,934.0,934.55,1617271.0,15092.2
2012-12-28,932.55,944.7,923.35,924.0,927.0,418253.0,3907.63
2012-12-31,935.0,935.0,912.55,913.1,914.8,257787.0,2371.37
2013-01-01,916.25,930.9,910.0,917.0,918.95,369659.0,3404.65
2013-01-02,920.1,935.5,915.0,921.1,923.95,346897.0,3208.88
2013-01-03,925.2,957.1,924.8,934.5,934.85,678465.0,6403.27
2013-01-04,932.3,940.0,926.75,934.1,934.75,184140.0,1720.78
2013-01-07,936.95,948.0,926.6,928.35,929.25,177039.0,1659.41
2013-01-08,933.8,934.0,917.55,918.5,920.85,102999.0,952.9
2013-01-09,923.8,931.4,919.0,923.9,923.7,192278.0,1777.9
2013-01-10,926.0,948.9,925.0,941.05,936.7,627088.0,5883.76
2013-01-11,939.5,955.8,935.75,937.9,938.65,306517.0,2900.49
2013-01-14,940.0,944.35,921.5,922.0,923.45,138506.0,1286.13
2013-01-15,926.0,936.0,920.0,933.95,931.05,100382.0,931.46
2013-01-16,932.95,934.6,916.0,920.0,919.35,47590.0,439.93
2013-01-17,920.0,932.0,920.0,925.5,925.65,58228.0,538.92
2013-01-18,927.65,928.45,922.15,925.0,924.85,58792.0,543.87
2013-01-21,925.0,932.0,923.0,925.0,925.05,59569.0,551.87
2013-01-22,927.0,930.7,925.0,926.0,926.0,63555.0,588.85
2013-01-23,928.1,941.95,920.8,930.95,929.6,252828.0,2354.16
2013-01-24,928.0,932.9,918.0,920.55,920.85,115624.0,1067.92
2013-01-25,921.45,928.7,919.55,923.0,924.85,28665.0,265.05
2013-01-28,926.95,930.0,913.0,913.0,917.1,208678.0,1925.86
2013-01-29,920.1,920.1,867.35,876.45,877.8,237919.0,2104.0
2013-01-30,877.9,891.5,861.0,863.95,865.1,48716.0,425.7
2013-01-31,856.1,865.25,836.55,847.0,842.25,125937.0,1064.24
2013-02-01,845.0,872.0,844.95,850.05,852.15,56772.0,487.6
2013-02-04,853.0,859.75,825.7,832.25,831.15,35064.0,294.52
2013-02-05,829.7,836.0,820.1,823.6,823.25,27745.0,228.97
2013-02-06,822.5,829.9,821.8,824.0,822.2,26572.0,218.9
2013-02-07,823.5,848.0,821.7,830.5,829.4,32365.0,270.31
