Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,65.5,66.25,64.05,,,,
1998-03-23,66.5,67.5,65.1,66.0,66.0,17800.0,11.84
1998-03-24,72.5,72.6,68.0,72.6,72.6,153300.0,109.02
1998-03-25,76.5,79.9,75.2,79.9,79.9,408400.0,320.4
1998-03-26,81.0,82.25,75.2,75.5,75.6,186200.0,146.05
1998-03-27,75.0,77.0,73.35,75.0,75.25,138400.0,103.66
1998-03-30,76.5,76.75,71.75,71.8,72.1,76700.0,56.61
1998-03-31,70.65,72.7,67.05,67.6,68.15,244950.0,170.16
1998-04-01,69.45,72.2,69.45,71.85,71.6,82200.0,58.36
1998-04-02,70.1,72.6,69.0,70.5,70.1,62400.0,44.7
1998-04-03,70.0,71.6,69.1,71.25,70.5,129000.0,91.02
1998-04-06,73.4,77.55,73.4,77.55,77.55,208700.0,158.79
1998-04-07,77.0,81.0,76.1,78.85,78.5,84750.0,66.95
1998-04-09,79.95,84.5,79.4,80.5,80.45,319250.0,259.11
1998-04-10,79.05,86.5,78.5,81.75,81.2,403650.0,335.47
1998-04-13,79.05,89.3,77.0,88.95,88.05,490200.0,416.21
1998-04-15,93.5,95.5,90.5,92.4,92.4,657900.0,611.06
1998-04-16,92.9,93.45,87.0,88.0,88.05,252650.0,229.09
1998-04-17,87.5,88.5,84.0,87.25,87.05,198550.0,171.21
1998-04-20,87.0,90.9,85.5,85.5,86.55,298950.0,263.65
1998-04-21,87.0,92.25,86.0,92.0,90.9,529900.0,477.67
1998-04-22,94.8,99.0,90.0,90.1,91.35,509500.0,482.89
1998-04-23,90.05,92.0,86.5,87.0,87.85,176400.0,158.47
1998-04-24,87.9,88.5,79.1,83.3,83.45,169600.0,141.98
1998-04-27,86.0,86.0,80.0,81.1,80.6,108000.0,88.49
1998-04-28,80.5,80.5,73.0,75.0,74.05,249550.0,186.23
1998-04-29,77.0,78.25,73.05,73.15,73.3,148650.0,112.95
1998-04-30,72.0,75.0,70.05,74.4,74.7,111250.0,81.36
1998-05-04,75.0,76.4,74.5,76.4,76.15,103650.0,78.51
1998-05-05,77.5,83.2,75.6,82.5,82.3,206050.0,164.9
1998-05-06,82.0,86.0,78.0,78.8,78.7,159950.0,128.44
1998-05-08,75.5,79.2,75.35,77.0,77.3,86650.0,67.57
1998-05-11,77.0,77.5,76.3,77.45,77.15,30300.0,23.32
1998-05-12,74.05,74.9,69.45,73.0,72.75,189250.0,136.16
1998-05-13,69.75,72.5,68.0,68.4,68.65,77250.0,54.34
1998-05-14,67.7,72.0,67.25,71.85,71.7,70500.0,49.65
1998-05-15,71.0,72.6,69.1,70.2,69.65,80000.0,56.37
1998-05-18,70.9,72.4,70.7,71.3,71.35,64100.0,45.84
1998-05-19,71.0,75.8,70.9,74.9,74.75,97850.0,72.0
1998-05-20,77.9,78.0,75.65,76.7,76.75,87900.0,67.3
