Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-02-03,18.0,18.5,18.0,18.5,18.5,200.0,0.04
2014-02-04,18.0,18.0,18.0,18.0,18.0,150.0,0.03
2014-02-05,18.0,18.0,18.0,18.0,18.0,100.0,0.02
2014-02-06,18.0,18.0,18.0,18.0,18.0,100.0,0.02
2014-02-12,18.0,18.0,18.0,18.0,18.0,100.0,0.02
2014-02-18,18.0,18.0,18.0,18.0,18.0,500.0,0.09
2014-02-19,18.0,18.0,18.0,18.0,18.0,75.0,0.01
2014-02-20,18.0,18.0,18.0,18.0,18.0,150.0,0.03
2014-02-21,18.0,18.0,18.0,18.0,18.0,542.0,0.1
2014-02-26,18.0,18.0,18.0,18.0,18.0,150.0,0.03
2014-03-04,18.0,18.0,18.0,18.0,18.0,1.0,0.0
2014-03-06,19.0,19.5,19.0,19.5,19.5,200.0,0.04
2014-03-07,19.0,19.0,19.0,19.0,19.0,150.0,0.03
2014-03-10,19.0,19.0,19.0,19.0,19.0,900.0,0.17
2014-03-12,19.8,19.8,19.8,19.8,19.8,400.0,0.08
2014-03-13,20.75,20.75,20.75,20.75,20.75,75.0,0.02
2014-03-14,20.75,21.2,20.75,21.0,21.0,845.0,0.18
2014-03-19,21.05,21.05,21.0,21.0,21.0,200.0,0.04
2014-03-21,22.0,22.0,22.0,22.0,22.0,150.0,0.03
2014-03-24,23.0,23.1,22.0,22.0,22.0,327.0,0.08
2014-03-25,23.0,23.0,23.0,23.0,23.0,522.0,0.12
2014-03-26,23.0,23.0,23.0,23.0,23.0,40.0,0.01
2014-03-28,24.0,24.0,23.8,23.8,23.8,990.0,0.24
2014-03-31,24.0,24.0,24.0,24.0,24.0,439.0,0.11
2014-04-01,24.05,24.05,24.05,24.05,24.05,425.0,0.1
2014-04-02,25.0,25.05,22.95,24.05,24.05,1562.0,0.39
2014-04-03,25.0,25.0,24.9,24.9,24.9,600.0,0.15
2014-04-04,26.0,26.0,26.0,26.0,26.0,585.0,0.15
2014-04-07,26.0,26.0,26.0,26.0,26.0,325.0,0.08
2014-04-09,26.0,26.0,26.0,26.0,26.0,125.0,0.03
2014-04-10,27.0,27.0,27.0,27.0,27.0,75.0,0.02
2014-04-11,27.0,27.0,27.0,27.0,27.0,150.0,0.04
2014-04-15,27.0,27.0,27.0,27.0,27.0,125.0,0.03
2014-04-16,28.0,28.0,28.0,28.0,28.0,200.0,0.06
2014-04-17,28.05,28.05,28.05,28.05,28.05,37.0,0.01
2014-04-21,29.0,29.0,29.0,29.0,29.0,600.0,0.17
2014-04-22,29.0,29.0,29.0,29.0,29.0,500.0,0.14
2014-04-23,29.0,29.0,29.0,29.0,29.0,110.0,0.03
2014-04-28,30.0,30.0,30.0,30.0,30.0,275.0,0.08
2014-04-29,31.0,31.0,31.0,31.0,31.0,500.0,0.16
2014-04-30,30.5,30.5,30.1,30.1,30.1,400.0,0.12
2014-05-02,30.05,30.05,30.05,30.05,30.05,250.0,0.08
2014-05-05,30.0,30.0,30.0,30.0,30.0,97.0,0.03
2014-05-06,31.0,31.0,31.0,31.0,31.0,500.0,0.16
2014-05-07,31.0,31.0,31.0,31.0,31.0,500.0,0.16
2014-05-08,32.0,32.5,32.0,32.5,32.5,650.0,0.21
2014-05-09,32.5,32.5,32.5,32.5,32.5,502.0,0.16
2014-05-12,33.0,34.95,29.25,33.0,33.0,1700.0,0.56
2014-05-13,33.0,33.0,33.0,33.0,33.0,600.0,0.2
2014-05-14,33.0,33.05,33.0,33.0,33.0,1050.0,0.35
2014-05-15,32.0,32.0,30.45,31.0,31.0,500.0,0.16
2014-05-16,33.0,33.0,30.0,33.0,33.0,203.0,0.06
2014-05-19,32.45,32.95,29.7,32.95,32.95,1100.0,0.34
2014-05-20,30.0,30.05,30.0,30.05,30.05,305.0,0.09
2014-05-21,29.05,32.65,29.05,32.65,32.65,909.0,0.27
2014-05-22,30.0,34.0,30.0,30.0,30.0,1948.0,0.58
2014-05-23,29.25,32.8,27.0,29.0,29.0,905.0,0.26
2014-05-26,29.0,31.9,28.55,31.8,31.8,460.0,0.14
2014-05-27,28.65,28.7,28.65,28.65,28.65,600.0,0.17
2014-05-28,28.0,31.5,28.0,31.5,30.1,850.0,0.26
2014-05-29,32.9,32.9,27.1,28.0,28.0,1200.0,0.35
2014-05-30,28.0,30.35,28.0,30.35,30.35,400.0,0.11
2014-06-02,28.0,31.4,28.0,31.4,28.3,315.0,0.09
