Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-03-02,13.65,13.95,12.85,13.35,13.0,39357.0,5.2
2012-03-03,13.7,13.7,12.55,12.55,12.65,2560.0,0.33
2012-03-05,13.05,13.4,12.5,12.75,12.6,31174.0,4.0
2012-03-06,13.4,13.4,12.35,12.4,12.45,54535.0,6.97
2012-03-07,12.85,12.85,12.25,12.6,12.6,37146.0,4.65
2012-03-09,12.0,13.2,12.0,12.6,12.6,20112.0,2.54
2012-03-12,13.45,13.45,12.3,12.6,12.45,67208.0,8.4
2012-03-13,12.5,13.15,12.2,12.3,12.3,26437.0,3.36
2012-03-14,12.95,12.95,12.5,12.55,12.55,32429.0,4.11
2012-03-15,12.0,12.9,12.0,12.9,12.75,10783.0,1.37
2012-03-16,12.0,12.95,12.0,12.7,12.5,12523.0,1.57
2012-03-19,12.05,12.8,12.05,12.55,12.4,17760.0,2.19
2012-03-20,12.25,12.55,12.0,12.35,12.35,8149.0,1.0
2012-03-21,12.35,12.6,12.35,12.35,12.45,50995.0,6.37
2012-03-22,12.15,13.0,12.15,12.35,12.25,64508.0,8.09
2012-03-23,12.85,12.85,12.05,12.15,12.1,14045.0,1.7
2012-03-26,12.0,12.15,11.7,11.95,11.95,10310.0,1.23
2012-03-27,12.0,12.0,11.85,11.85,11.85,11400.0,1.36
2012-03-28,12.4,12.4,11.15,11.2,11.2,63228.0,7.34
2012-03-29,11.95,11.95,9.2,11.2,11.2,10312.0,1.15
2012-03-30,10.95,11.85,10.95,11.8,11.6,4362.0,0.5
2012-04-02,11.9,11.95,11.5,11.95,11.95,2937.0,0.35
2012-04-03,11.55,12.3,11.0,11.85,11.85,6266.0,0.74
2012-04-04,12.35,12.95,12.3,12.3,12.3,3404.0,0.42
2012-04-09,13.35,13.35,11.95,12.0,12.2,25810.0,3.17
2012-04-10,12.05,12.5,10.0,11.9,11.95,41879.0,5.01
2012-04-11,12.25,12.25,11.6,11.8,11.9,50210.0,6.04
2012-04-12,12.4,12.4,11.7,12.0,11.8,17776.0,2.15
2012-04-13,11.9,12.2,11.9,11.9,11.9,6636.0,0.8
2012-04-16,12.4,12.4,11.65,11.8,12.05,5608.0,0.67
2012-04-17,12.25,12.25,11.65,11.8,11.75,9506.0,1.13
2012-04-18,11.8,11.95,11.55,11.95,11.9,73517.0,8.68
2012-04-19,12.25,12.25,10.15,11.4,11.45,157356.0,18.53
2012-04-20,11.4,11.6,11.2,11.2,11.55,9157.0,1.05
2012-04-23,11.9,11.9,11.15,11.35,11.45,200394.0,22.98
2012-04-24,12.45,12.45,11.2,11.4,11.4,112246.0,12.8
2012-04-25,11.5,11.8,10.75,11.8,11.7,59547.0,6.93
2012-04-26,11.9,11.9,11.1,11.85,11.8,164255.0,19.27
2012-04-27,11.7,11.9,11.1,11.45,11.4,75841.0,8.54
2012-04-28,11.3,11.3,11.3,11.3,11.3,13.0,0.0
2012-04-30,11.75,11.85,11.1,11.75,11.75,4150.0,0.48
2012-05-02,11.75,11.75,11.25,11.5,11.5,3341.0,0.39
2012-05-03,11.7,11.7,11.3,11.5,11.5,7202.0,0.82
2012-05-04,11.1,11.7,11.0,11.05,11.15,33937.0,3.83
2012-05-07,10.75,11.35,10.75,10.75,10.9,21726.0,2.35
2012-05-08,10.95,11.2,10.7,10.9,11.2,53910.0,6.02
2012-05-09,9.5,11.0,9.15,10.45,10.55,28819.0,3.05
2012-05-10,10.0,10.95,9.7,10.55,10.55,26478.0,2.82
2012-05-11,10.5,10.7,10.25,10.3,10.3,10207.0,1.07
2012-05-14,10.85,10.85,10.1,10.2,10.2,12113.0,1.24
2012-05-15,10.1,10.75,10.1,10.5,10.25,58611.0,6.02
2012-05-16,10.05,10.7,10.05,10.7,10.65,9990.0,1.05
2012-05-17,10.75,10.75,10.3,10.35,10.3,3489.0,0.36
2012-05-18,10.5,10.7,9.55,10.15,10.1,12296.0,1.24
2012-05-21,10.7,10.7,10.05,10.7,10.7,6337.0,0.67
2012-05-22,10.95,10.95,10.25,10.25,10.25,7150.0,0.74
2012-05-23,10.6,10.6,9.6,10.05,10.1,2234.0,0.22
2012-05-24,10.65,10.65,10.25,10.25,10.25,100.0,0.01
2012-05-25,10.05,10.25,9.7,9.95,9.95,133848.0,13.49
2012-05-28,10.2,10.3,9.7,10.0,10.25,185098.0,18.57
2012-05-29,10.25,10.4,10.0,10.4,10.25,4797.0,0.49
2012-05-30,9.8,10.7,9.8,10.4,10.3,17063.0,1.77
2012-05-31,10.35,10.35,9.6,10.15,10.2,35751.0,3.65
2012-06-01,9.95,10.45,9.95,10.0,10.0,7400.0,0.75
2012-06-04,8.55,11.0,8.55,10.15,10.15,27224.0,2.76
2012-06-05,10.4,10.4,10.3,10.3,10.3,4156.0,0.43
2012-06-06,10.9,10.9,10.15,10.2,10.35,16281.0,1.7
2012-06-07,10.6,10.6,10.2,10.2,10.2,1200.0,0.12
2012-06-08,10.75,10.95,9.9,10.1,10.1,44060.0,4.48
2012-06-11,10.6,10.6,10.0,10.1,10.1,28144.0,2.88
2012-06-12,10.3,10.6,9.8,10.25,10.0,33564.0,3.39
2012-06-13,10.45,10.45,9.9,10.4,10.4,7801.0,0.79
2012-06-14,10.4,10.4,10.05,10.3,10.1,14920.0,1.51
2012-06-15,10.3,10.4,9.9,10.0,9.95,7440.0,0.75
2012-06-18,10.2,10.2,9.95,10.0,10.0,9402.0,0.94
2012-06-19,10.15,10.3,9.95,10.25,10.25,10927.0,1.11
2012-06-20,10.75,10.75,9.9,10.05,10.05,156353.0,15.72
2012-06-21,10.15,10.35,10.0,10.05,10.1,13553.0,1.37
2012-06-22,10.4,10.4,9.85,9.85,9.85,47563.0,4.76
2012-06-25,9.9,10.25,9.6,10.0,10.0,25999.0,2.57
2012-06-26,10.15,10.35,9.8,10.35,10.2,41912.0,4.2
2012-06-27,10.6,10.6,10.05,10.15,10.1,13188.0,1.33
2012-06-28,10.7,10.7,10.15,10.15,10.15,62197.0,6.33
2012-06-29,10.85,10.85,10.25,10.85,10.8,12670.0,1.35
2012-07-02,10.85,10.85,10.15,10.85,10.85,11124.0,1.17
2012-07-03,10.85,10.85,10.4,10.85,10.75,7936.0,0.85
2012-07-04,10.85,11.3,10.8,11.2,11.2,15081.0,1.66
2012-07-05,11.4,11.45,11.0,11.05,11.15,13808.0,1.54
2012-07-06,11.45,11.45,10.7,11.3,11.2,11611.0,1.28
2012-07-09,11.65,11.65,10.75,11.3,11.3,757.0,0.08
2012-07-10,11.65,11.65,11.1,11.5,11.35,5710.0,0.64
2012-07-11,11.95,11.95,10.75,11.4,11.4,1259.0,0.14
2012-07-12,11.6,11.6,10.65,11.1,10.95,6269.0,0.69
2012-07-13,10.85,11.95,10.7,10.75,10.9,39781.0,4.32
2012-07-16,11.4,11.4,10.65,11.35,11.25,10654.0,1.18
2012-07-17,11.65,11.65,10.8,11.25,11.2,3303.0,0.37
2012-07-18,11.55,11.55,11.0,11.0,11.05,7172.0,0.8
2012-07-19,11.85,11.85,11.1,11.4,11.4,7775.0,0.88
2012-07-20,11.6,11.9,11.05,11.9,11.8,5802.0,0.67
2012-07-23,11.9,12.2,11.15,12.0,12.0,184746.0,22.15
2012-07-24,12.0,12.5,11.6,12.45,12.3,12604.0,1.54
2012-07-25,12.5,12.5,11.8,12.25,12.25,102870.0,12.54
2012-07-26,12.4,12.4,11.5,11.6,11.65,5627.0,0.66
2012-07-27,12.1,12.1,11.05,11.45,11.1,6448.0,0.73
2012-07-30,11.8,11.85,11.05,11.2,11.25,956.0,0.11
2012-07-31,11.9,11.9,10.85,11.0,11.0,3792.0,0.42
2012-08-01,11.65,11.65,11.0,11.0,11.0,1464.0,0.16
2012-08-02,11.7,11.7,10.75,11.0,11.0,1917.0,0.21
2012-08-03,10.5,11.25,10.4,10.85,10.85,20288.0,2.2
2012-08-06,10.8,11.25,10.5,11.0,11.0,38651.0,4.26
2012-08-07,11.0,11.65,10.75,10.9,10.95,27824.0,3.05
2012-08-08,10.75,11.65,10.75,10.85,10.9,13115.0,1.43
2012-08-09,10.75,11.7,10.65,11.0,11.0,55770.0,6.13
2012-08-10,11.0,11.0,10.8,11.0,11.0,31400.0,3.44
2012-08-13,11.8,11.8,10.85,10.95,11.0,35027.0,3.85
2012-08-14,11.0,11.0,10.0,10.85,10.8,57719.0,6.22
2012-08-16,10.75,11.0,10.75,11.0,10.9,12220.0,1.33
2012-08-17,10.8,11.0,10.8,10.95,10.95,24018.0,2.64
2012-08-21,11.55,11.55,10.2,10.85,10.85,829.0,0.09
2012-08-22,11.0,11.0,10.65,10.85,10.85,1645.0,0.18
2012-08-23,10.75,10.95,10.2,10.8,10.8,1993.0,0.21
2012-08-24,10.75,10.75,10.4,10.7,10.7,20610.0,2.18
2012-08-27,10.6,10.9,10.25,10.7,10.5,7698.0,0.8
2012-08-28,10.35,10.85,10.05,10.4,10.6,7333.0,0.77
2012-08-29,10.85,10.9,10.4,10.65,10.65,11560.0,1.22
2012-08-30,10.5,10.9,10.5,10.8,10.8,1121.0,0.12
2012-08-31,10.55,11.0,10.5,10.65,10.65,3201.0,0.34
2012-09-03,10.35,10.9,10.0,10.85,10.8,7634.0,0.82
2012-09-04,11.25,11.25,10.1,10.8,10.75,61889.0,6.61
2012-09-05,11.55,11.55,10.2,10.7,10.75,54791.0,5.89
2012-09-06,11.35,11.35,10.25,10.65,10.85,10273.0,1.11
2012-09-07,10.7,10.7,10.4,10.7,10.7,2706.0,0.29
2012-09-08,11.4,11.4,10.55,10.55,10.7,11930.0,1.28
2012-09-10,10.9,11.2,10.75,11.05,11.05,27271.0,3.0
2012-09-11,11.0,11.2,11.0,11.05,11.05,4313.0,0.47
2012-09-12,12.6,12.6,11.0,11.15,11.1,5720.0,0.63
2012-09-13,12.85,12.85,11.0,11.0,11.0,20504.0,2.28
2012-09-14,11.0,11.45,11.0,11.25,11.25,4500.0,0.5
2012-09-17,11.05,12.0,11.0,11.25,11.25,4904.0,0.55
2012-09-18,12.05,12.05,11.25,11.5,11.5,3256.0,0.37
2012-09-20,11.95,11.95,11.1,11.45,11.35,3234.0,0.36
2012-09-21,11.55,11.7,11.0,11.0,11.05,25998.0,2.88
2012-09-24,11.05,11.7,11.0,11.0,11.05,10287.0,1.14
2012-09-25,11.9,11.9,11.05,11.25,11.25,59282.0,6.7
2012-09-26,11.7,11.7,10.9,11.4,11.4,4151.0,0.47
2012-09-27,11.85,11.85,11.05,11.1,11.2,7104.0,0.8
2012-09-28,11.2,11.6,11.0,11.1,11.25,121610.0,13.98
2012-10-01,11.3,11.7,11.1,11.7,11.7,3002.0,0.34
2012-10-03,11.95,12.2,11.3,12.2,11.95,8392.0,0.99
2012-10-04,12.25,12.25,11.9,12.25,12.25,104076.0,12.55
2012-10-05,12.6,12.6,11.7,11.8,11.95,3930.0,0.47
2012-10-08,12.5,12.5,11.8,12.5,12.4,16675.0,2.03
2012-10-09,12.6,12.9,12.4,12.6,12.6,106866.0,13.36
