Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-09,420.0,420.0,420.0,,,,
1998-04-17,457.0,457.0,457.0,457.0,457.0,100.0,0.46
1998-04-30,462.5,462.5,462.5,462.5,462.5,100.0,0.46
1998-05-12,457.0,457.0,457.0,457.0,457.0,600.0,2.74
1998-05-28,502.0,502.0,502.0,502.0,502.0,100.0,0.5
1998-06-15,457.0,457.0,457.0,457.0,457.0,5000.0,22.85
1998-07-17,457.0,457.0,457.0,457.0,457.0,10000.0,45.7
1998-09-23,475.0,475.0,475.0,475.0,475.0,100.0,0.48
1998-10-28,404.8,404.8,404.8,404.8,404.8,100.0,0.4
1998-11-26,231.3,231.3,230.0,230.0,230.0,500.0,1.15
1998-11-27,230.0,236.95,230.0,236.95,236.95,600.0,1.41
1998-11-30,250.0,250.0,250.0,250.0,250.0,100.0,0.25
1998-12-10,260.0,260.0,260.0,260.0,260.0,400.0,1.04
1998-12-18,240.6,240.6,240.25,240.25,240.25,300.0,0.72
1999-01-05,230.0,230.0,230.0,230.0,230.0,14200.0,32.66
1999-01-08,246.0,246.0,246.0,246.0,246.0,100.0,0.25
1999-01-22,240.0,245.9,233.0,245.0,245.0,735600.0,1760.97
1999-01-25,245.0,264.0,244.9,256.0,256.0,3500.0,8.91
1999-01-27,276.0,276.1,260.0,268.0,268.0,272600.0,729.91
1999-01-28,270.0,270.0,246.6,246.6,246.6,23300.0,59.39
1999-01-29,236.0,249.0,236.0,249.0,249.0,22700.0,55.21
1999-02-01,246.0,260.0,246.0,253.0,253.0,292300.0,751.6
1999-02-02,252.9,252.9,232.8,237.8,237.8,31500.0,75.1
1999-02-03,254.5,256.85,247.0,252.4,252.4,158700.0,399.3
1999-02-04,253.9,254.0,238.2,244.95,244.95,56200.0,138.27
1999-02-05,239.0,247.95,239.0,240.05,240.05,29500.0,71.48
1999-02-08,243.9,244.5,238.0,238.5,238.5,13200.0,31.58
1999-02-09,236.5,236.5,219.45,224.5,224.5,27800.0,61.63
1999-02-10,217.05,235.0,210.5,229.35,229.35,23400.0,52.16
1999-02-11,234.9,246.0,232.0,239.0,239.0,35000.0,84.29
1999-02-12,240.0,240.0,219.95,226.85,226.85,16100.0,36.38
1999-02-15,229.0,229.0,222.0,222.0,222.0,1400.0,3.12
1999-02-16,225.0,225.95,223.0,223.0,223.0,2500.0,5.62
1999-02-17,228.8,228.8,220.0,220.0,220.0,1200.0,2.67
1999-02-18,223.75,224.0,203.15,209.5,209.5,165200.0,352.71
1999-02-19,202.5,209.0,196.0,196.0,196.0,7900.0,15.92
1999-02-22,191.0,191.0,180.5,180.5,180.5,17000.0,30.87
1999-02-23,180.4,187.0,175.0,184.5,184.5,5000.0,8.98
1999-02-24,189.0,190.0,183.05,183.05,183.05,4400.0,8.15
1999-02-25,180.0,194.0,180.0,189.2,189.2,14500.0,27.05
1999-02-26,194.5,203.85,186.9,200.25,200.25,31300.0,61.99
1999-02-27,200.0,207.0,195.0,197.0,197.0,9400.0,18.92
1999-03-01,193.1,193.1,181.4,187.5,187.5,273400.0,500.98
