Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-04-04,18.0,19.43,18.0,19.4,19.35,83506926.0,15869.85
2014-04-07,19.45,19.73,19.18,19.41,19.36,13205437.0,2552.41
2014-04-09,19.4,19.72,19.35,19.67,19.69,4651893.0,911.25
2014-04-10,19.78,19.88,19.5,19.83,19.82,6410765.0,1263.55
2014-04-11,19.82,19.82,19.5,19.68,19.66,1724842.0,339.42
2014-04-15,18.9,19.69,18.9,19.55,19.59,3261107.0,638.79
2014-04-16,19.6,19.7,19.36,19.4,19.4,2136682.0,417.12
2014-04-17,19.4,19.76,19.36,19.72,19.7,2559602.0,500.19
2014-04-21,19.78,19.9,19.71,19.86,19.87,1810924.0,359.09
2014-04-22,20.0,20.22,19.75,20.11,20.05,3582889.0,719.85
2014-04-23,20.15,20.3,20.01,20.09,20.08,3403500.0,687.85
2014-04-25,20.3,20.3,19.91,20.03,19.99,2021184.0,405.07
2014-04-28,20.0,20.0,19.8,19.9,19.87,2688958.0,534.63
2014-04-29,19.8,19.95,19.69,19.79,19.77,3127546.0,619.3
2014-04-30,19.8,20.03,19.51,19.81,19.68,4697940.0,932.75
2014-05-02,19.78,19.92,19.68,19.85,19.85,3033304.0,601.31
2014-05-05,19.85,20.25,19.8,20.03,20.05,6429240.0,1291.76
2014-05-06,19.85,20.3,19.85,20.2,20.18,3039086.0,614.8
2014-05-07,20.2,20.28,20.05,20.08,20.13,1130726.0,228.68
2014-05-08,20.1,20.17,20.02,20.1,20.08,649808.0,130.7
2014-05-09,20.4,20.85,19.98,20.7,20.72,4784156.0,980.26
2014-05-12,20.8,21.59,20.7,21.59,21.54,4987113.0,1061.07
2014-05-13,21.8,22.39,21.6,22.12,22.1,3664323.0,812.23
2014-05-14,22.1,23.95,19.25,22.38,22.42,8963699.0,1983.2
2014-05-15,22.15,22.74,22.15,22.72,22.59,6041377.0,1365.25
2014-05-16,23.0,24.62,22.99,23.48,23.46,17301787.0,4088.18
2014-05-19,23.65,25.85,23.65,25.66,25.62,6644639.0,1663.01
2014-05-20,25.65,26.4,24.8,24.91,24.88,3597361.0,902.59
2014-05-21,24.88,25.25,24.56,24.95,24.79,3364740.0,834.18
2014-05-22,25.0,25.7,25.0,25.7,25.48,4319103.0,1100.2
2014-05-23,27.75,29.82,25.63,26.1,25.82,5400545.0,1392.98
2014-05-26,26.38,27.1,25.15,25.9,25.76,11651215.0,3101.53
2014-05-27,26.0,26.0,24.61,24.84,24.84,2470986.0,616.96
2014-05-28,24.9,24.9,24.52,24.61,24.63,1563826.0,385.61
2014-05-29,24.5,24.8,24.16,24.24,24.22,2443175.0,597.41
2014-05-30,24.1,24.59,24.07,24.14,24.15,2411182.0,587.96
2014-06-02,24.22,25.9,24.0,25.1,25.0,5782200.0,1439.19
2014-06-03,25.0,25.37,24.91,25.2,25.27,2577036.0,647.73
2014-06-04,25.01,25.4,24.52,25.15,25.15,1717017.0,433.87
2014-06-05,25.07,26.02,25.0,25.71,25.75,2640012.0,674.31
2014-06-06,25.95,27.05,25.8,27.0,26.93,4171479.0,1107.15
2014-06-09,27.0,27.53,26.9,27.49,27.46,2879459.0,785.55
2014-06-10,27.52,27.54,26.6,27.19,27.04,2241959.0,605.31
2014-06-11,27.0,27.35,26.15,26.32,26.43,4148295.0,1111.37
2014-06-12,25.5,27.0,25.5,26.3,26.25,2674237.0,707.11
2014-06-13,26.45,26.45,25.15,25.58,25.55,3948922.0,1021.6
2014-06-16,25.55,26.0,25.2,25.92,25.9,1355762.0,347.64
2014-06-17,26.4,27.0,25.89,26.76,26.77,2689588.0,708.57
2014-06-18,26.89,27.2,26.1,26.45,26.51,3000114.0,802.1
2014-06-19,26.75,26.75,25.68,25.88,25.81,2057201.0,534.96
2014-06-20,26.0,26.09,25.68,25.86,25.77,1237175.0,320.68
2014-06-23,25.99,26.25,25.71,26.11,26.09,908325.0,236.11
2014-06-24,26.2,26.83,26.1,26.8,26.76,2051649.0,545.41
2014-06-25,26.91,27.08,26.81,26.93,26.95,1901946.0,513.26
2014-06-26,26.75,26.75,26.1,26.2,26.16,1880490.0,495.73
2014-06-27,26.24,26.34,25.86,25.9,25.94,2852999.0,741.37
2014-06-30,26.08,26.6,26.07,26.51,26.52,881849.0,232.86
2014-07-01,27.0,27.0,26.47,26.54,26.53,800932.0,213.36
2014-07-02,26.8,27.0,26.55,26.8,26.81,1269092.0,340.05
2014-07-03,27.0,27.06,26.67,26.7,26.72,1666103.0,446.92
2014-07-04,26.86,26.98,26.43,26.78,26.81,855605.0,228.51
2014-07-07,26.82,26.99,26.7,26.86,26.84,1084493.0,290.99
2014-07-08,27.0,27.0,25.55,25.71,25.7,2862116.0,751.12
2014-07-09,25.55,25.99,25.2,25.67,25.63,3513727.0,903.37
2014-07-10,26.3,26.5,25.11,25.81,25.88,2395825.0,619.88
2014-07-11,26.0,26.03,24.95,25.05,25.01,2507659.0,636.82
2014-07-14,25.05,25.26,24.74,25.24,25.19,1401894.0,351.86
2014-07-15,25.32,25.74,25.31,25.67,25.67,1023066.0,261.56
2014-07-16,26.9,26.9,25.3,25.67,25.56,944322.0,240.34
2014-07-17,25.49,25.67,25.4,25.63,25.63,910685.0,232.61
2014-07-18,25.46,25.5,25.25,25.34,25.36,1769958.0,448.5
2014-07-21,25.8,25.8,25.22,25.26,25.3,1370508.0,347.78
2014-07-22,25.6,25.6,25.29,25.46,25.44,892047.0,226.71
2014-07-23,25.75,25.75,25.31,25.39,25.38,783737.0,199.18
2014-07-24,25.9,25.9,25.24,25.28,25.25,752069.0,190.37
2014-07-25,25.31,25.37,24.83,24.9,24.9,1050538.0,263.99
2014-07-28,24.91,24.91,24.36,24.45,24.49,567866.0,139.37
2014-07-30,24.64,24.77,24.45,24.72,24.73,703580.0,173.33
2014-07-31,24.7,24.9,24.6,24.68,24.68,720539.0,178.57
2014-08-01,24.5,29.0,24.23,24.3,24.3,903978.0,221.5
2014-08-04,24.64,24.64,24.0,24.55,24.51,735840.0,179.74
2014-08-05,24.55,24.65,24.3,24.6,24.59,471576.0,115.34
2014-08-06,24.58,24.86,24.41,24.48,24.45,375274.0,92.67
2014-08-07,24.47,24.73,24.35,24.54,24.54,373781.0,91.89
2014-08-08,26.75,26.75,24.0,24.15,24.07,423421.0,102.13
2014-08-11,24.12,24.77,24.0,24.1,24.05,301892.0,72.95
2014-08-12,24.08,24.71,24.07,24.68,24.69,388126.0,95.26
2014-08-13,24.6,24.71,24.03,24.21,24.21,2735525.0,663.7
2014-08-14,24.21,24.56,24.0,24.48,24.51,250411.0,60.86
2014-08-18,24.5,25.6,24.26,25.29,25.31,2049430.0,516.05
2014-08-19,25.48,25.9,25.16,25.25,25.3,1154022.0,292.28
2014-08-20,25.28,25.47,24.98,25.01,25.06,1140644.0,286.64
2014-08-21,24.26,25.4,20.33,25.16,24.94,1676257.0,420.95
2014-08-22,25.19,25.4,25.04,25.11,25.1,1400189.0,353.5
2014-08-25,25.15,25.4,22.55,24.85,24.85,326213.0,81.71
2014-08-26,24.85,24.92,24.36,24.71,24.65,440267.0,108.29
2014-08-27,24.9,25.08,24.76,25.05,24.95,1085604.0,270.1
2014-08-28,25.1,25.37,25.06,25.15,25.18,2401631.0,605.95
2014-09-01,25.2,26.1,25.2,25.96,26.03,4596113.0,1185.2
2014-09-02,25.96,26.1,25.73,25.92,25.91,1660784.0,429.84
2014-09-03,25.95,26.16,25.7,25.85,25.85,2650762.0,685.88
2014-09-04,25.8,25.96,25.62,25.73,25.78,691827.0,178.15
2014-09-05,25.73,26.0,25.5,25.88,25.87,515549.0,133.29
2014-09-08,30.0,30.0,26.0,26.29,26.29,936992.0,245.33
2014-09-09,26.4,26.45,26.07,26.28,26.29,773165.0,202.66
2014-09-10,26.29,26.3,25.9,25.95,25.96,512493.0,133.74
2014-09-11,26.05,26.05,25.68,25.75,25.77,1128750.0,291.15
2014-09-12,25.95,26.04,25.71,25.73,25.76,4442938.0,1147.11
2014-09-15,27.0,27.0,25.48,25.56,25.58,3609421.0,923.5
2014-09-16,25.69,25.69,24.78,24.89,24.84,891621.0,223.43
2014-09-17,24.97,25.03,24.05,24.63,24.64,801632.0,197.33
2014-09-18,24.57,25.0,24.51,24.88,24.91,518424.0,129.09
2014-09-19,25.08,25.17,24.73,24.78,24.77,316325.0,79.15
2014-09-22,24.73,25.15,24.65,25.08,25.09,2599629.0,648.97
2014-09-23,25.05,25.75,24.45,25.25,25.23,2574626.0,643.4
2014-09-24,25.0,25.0,24.25,24.75,24.73,2715640.0,664.88
2014-09-25,24.7,24.72,24.25,24.45,24.36,735207.0,180.08
2014-09-26,24.36,24.74,24.02,24.71,24.67,396424.0,96.65
2014-09-29,24.68,24.72,24.43,24.55,24.49,328087.0,80.63
2014-09-30,24.45,24.85,24.2,24.49,24.5,814736.0,200.83
2014-10-01,24.58,24.63,24.4,24.4,24.45,339119.0,83.13
2014-10-07,24.4,24.6,24.05,24.1,24.08,331725.0,80.2
2014-10-08,24.0,24.3,23.8,24.25,24.21,404385.0,97.73
2014-10-09,24.25,24.78,24.25,24.66,24.69,469485.0,115.6
2014-10-10,24.54,24.59,24.27,24.35,24.35,343664.0,83.99
2014-10-13,24.32,24.54,24.05,24.41,24.46,216307.0,52.55
2014-10-14,24.53,24.65,24.38,24.58,24.52,243979.0,59.89
2014-10-16,24.5,24.7,24.25,24.27,24.33,4471050.0,1100.88
2014-10-17,24.45,24.55,24.14,24.45,24.41,182418.0,44.45
2014-10-20,24.72,25.47,24.72,25.4,25.39,709621.0,179.38
2014-10-21,25.3,25.59,25.2,25.39,25.38,298322.0,75.91
2014-10-22,25.5,25.59,25.24,25.4,25.35,512532.0,129.89
2014-10-23,25.5,25.55,25.22,25.36,25.38,90623.0,23.03
2014-10-27,25.58,25.58,25.25,25.31,25.31,284122.0,72.3
2014-10-28,25.3,25.56,25.27,25.48,25.48,258010.0,65.7
2014-10-29,25.58,25.68,25.45,25.54,25.57,246943.0,63.12
2014-10-30,25.7,25.75,25.56,25.62,25.63,371981.0,95.49
2014-10-31,25.7,26.52,25.7,26.27,26.31,2453021.0,642.7
2014-11-03,26.55,26.6,25.86,25.89,25.92,455343.0,118.45
