Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-09-30,63.05,63.05,63.05,63.05,63.05,4978.0,3.14
2010-10-01,59.9,59.9,59.9,59.9,59.9,8328.0,4.99
2010-10-04,56.9,61.0,56.9,56.9,57.2,96898.0,55.57
2010-10-05,56.0,58.0,54.35,54.85,54.95,57244.0,31.57
2010-10-06,56.0,57.45,55.0,55.95,55.35,37008.0,20.61
2010-10-07,57.0,57.0,54.5,55.0,54.9,36821.0,20.37
2010-10-08,56.0,61.0,56.0,56.5,56.65,123387.0,71.41
2010-10-11,58.6,59.75,55.8,56.0,55.95,55265.0,31.24
2010-10-12,56.9,56.9,54.0,54.9,54.35,68316.0,37.22
2010-10-13,54.9,57.0,54.0,54.9,54.5,48961.0,27.08
2010-10-14,55.9,55.9,52.5,53.4,53.1,31950.0,17.24
2010-10-15,53.0,54.1,52.1,53.35,52.55,30481.0,16.1
2010-10-18,53.0,53.0,51.05,51.1,51.25,20437.0,10.57
2010-10-19,52.9,61.0,51.0,52.0,52.25,27916.0,14.76
2010-10-20,52.0,52.45,50.4,50.7,50.7,19679.0,10.08
2010-10-21,51.15,53.0,50.0,50.95,51.0,25049.0,12.82
2010-10-22,51.05,52.0,50.5,50.85,50.7,17586.0,9.01
2010-10-25,50.6,56.0,50.5,50.55,50.8,28713.0,14.67
2010-10-26,50.85,51.5,50.0,50.7,50.5,26029.0,13.19
2010-10-27,50.7,51.0,49.5,49.5,49.6,20899.0,10.47
2010-10-28,49.5,52.6,48.05,52.3,51.55,42999.0,21.36
2010-10-29,52.9,52.9,48.1,48.35,48.6,25744.0,12.71
2010-11-01,48.2,50.35,48.2,48.5,48.95,18667.0,9.14
2010-11-02,50.45,50.45,47.5,48.1,48.2,18075.0,8.82
2010-11-03,49.0,50.0,48.5,48.6,48.85,22220.0,10.94
2010-11-04,49.8,49.8,48.05,48.45,48.25,14032.0,6.79
2010-11-05,50.0,50.5,48.4,49.0,49.1,8084.0,3.99
2010-11-08,49.5,55.3,49.45,49.9,50.1,76904.0,39.17
2010-11-09,50.6,51.7,49.65,50.25,50.0,58509.0,29.59
2010-11-10,50.0,50.9,49.05,49.3,49.5,23938.0,11.95
2010-11-11,49.75,50.25,48.55,49.05,49.1,19491.0,9.65
2010-11-12,49.1,49.5,48.0,49.0,48.35,24861.0,12.12
2010-11-15,49.9,49.9,47.55,47.55,47.85,13217.0,6.35
2010-11-16,48.0,48.85,45.5,45.95,46.05,16132.0,7.57
2010-11-18,47.9,47.9,41.0,44.5,44.05,25124.0,11.17
2010-11-19,44.85,45.0,43.2,43.55,43.75,16177.0,7.14
2010-11-22,44.0,46.25,43.0,43.5,43.45,12679.0,5.57
2010-11-23,43.0,43.6,42.25,43.5,43.3,12974.0,5.58
2010-11-24,43.0,44.7,43.0,44.3,43.75,22115.0,9.69
2010-11-25,44.9,44.9,42.15,43.35,42.8,8022.0,3.47
2010-11-26,42.15,43.5,38.0,38.1,38.7,31299.0,12.39
2010-11-29,38.1,40.9,36.1,37.7,37.65,23933.0,9.22
2010-11-30,38.0,39.5,38.0,38.35,38.4,23623.0,9.17
2010-12-01,39.0,40.4,39.0,39.45,39.45,19870.0,7.87
2010-12-02,39.85,41.35,39.55,40.0,40.25,31290.0,12.64
2010-12-03,40.4,40.8,39.75,39.75,39.85,21646.0,8.71
2010-12-06,42.4,42.45,39.75,40.1,40.2,14038.0,5.67
2010-12-07,41.35,41.4,39.0,39.0,39.45,20042.0,8.03
2010-12-08,42.95,42.95,37.5,38.7,38.25,13104.0,5.07
2010-12-09,38.5,38.9,36.0,36.95,36.6,15154.0,5.68
2010-12-10,36.0,39.5,35.75,37.95,37.75,14637.0,5.49
2010-12-13,38.0,38.7,37.0,37.05,37.2,11359.0,4.27
2010-12-14,41.25,41.25,37.0,37.8,37.8,37075.0,14.03
2010-12-15,38.1,38.2,37.2,37.5,37.45,12821.0,4.81
2010-12-16,38.4,39.5,37.0,37.2,37.4,14924.0,5.66
2010-12-20,37.5,38.25,37.0,37.25,37.05,20190.0,7.55
2010-12-21,37.1,38.4,36.75,36.9,36.85,15066.0,5.57
2010-12-22,36.9,37.0,31.0,36.85,36.7,14543.0,5.3
2010-12-23,37.0,37.0,36.25,36.5,36.6,10115.0,3.71
2010-12-24,36.7,38.0,36.7,37.6,37.75,12899.0,4.87
2010-12-27,38.0,39.0,37.3,38.85,38.6,19753.0,7.65
2010-12-28,39.0,39.0,38.0,38.9,38.75,12291.0,4.75
2010-12-29,38.75,39.95,38.15,38.55,38.6,16573.0,6.44
2010-12-30,38.2,38.2,37.5,37.65,37.9,14763.0,5.59
2010-12-31,38.0,38.5,37.55,38.0,37.8,16470.0,6.27
2011-01-03,37.5,38.7,37.5,38.25,38.0,12647.0,4.84
2011-01-04,38.6,38.65,37.5,37.8,37.75,18048.0,6.82
2011-01-05,37.75,38.65,37.75,38.3,38.3,9668.0,3.68
2011-01-06,38.75,38.75,36.55,37.15,37.05,14061.0,5.25
2011-01-07,36.85,37.7,35.75,36.0,35.95,16830.0,6.12
2011-01-10,38.95,39.0,35.1,35.9,35.4,10525.0,3.76
2011-01-11,36.2,36.4,35.0,36.1,35.85,12938.0,4.64
2011-01-12,35.75,36.8,34.0,35.0,35.4,10408.0,3.67
2011-01-13,36.5,37.0,35.65,36.7,36.35,12724.0,4.63
2011-01-14,36.4,36.8,35.0,35.05,35.4,15629.0,5.66
2011-01-17,35.6,35.9,35.2,35.2,35.25,5708.0,2.03
2011-01-18,35.55,35.7,34.0,34.55,34.35,9434.0,3.3
2011-01-19,34.85,35.95,34.2,34.2,34.5,7380.0,2.56
2011-01-20,34.5,35.0,32.15,33.0,33.2,16764.0,5.63
2011-01-21,35.5,35.5,33.25,34.0,33.95,8037.0,2.75
2011-01-24,33.95,34.5,32.5,32.5,32.95,13462.0,4.5
2011-01-25,33.75,33.8,32.7,32.7,33.05,11093.0,3.7
2011-01-27,33.8,34.5,27.0,30.25,30.1,30833.0,9.71
2011-01-28,31.0,31.0,28.05,28.35,28.45,24108.0,6.94
2011-01-31,28.0,29.7,28.0,29.7,29.3,14084.0,4.02
2011-02-01,29.3,29.65,28.4,29.0,29.05,8549.0,2.47
2011-02-02,28.0,29.75,28.0,29.0,29.1,10455.0,3.06
2011-02-03,28.75,29.25,28.1,28.85,29.05,12776.0,3.69
2011-02-04,28.3,29.2,28.3,29.0,28.95,7280.0,2.11
2011-02-07,28.5,29.0,28.3,28.5,28.6,115944.0,33.16
2011-02-08,28.9,29.15,28.0,28.0,28.05,5762.0,1.64
2011-02-09,28.15,28.35,25.25,27.35,26.9,10650.0,2.94
2011-02-10,27.9,27.9,25.2,26.5,26.35,20406.0,5.41
2011-02-11,26.05,27.85,26.0,26.25,27.5,9162.0,2.46
2011-02-14,28.0,29.25,25.05,28.7,28.6,17903.0,4.98
2011-02-15,29.0,29.25,27.6,29.25,28.75,12100.0,3.49
2011-02-16,29.0,29.15,27.6,28.0,28.05,12610.0,3.57
2011-02-17,27.65,28.45,27.5,27.5,27.7,11673.0,3.27
2011-02-18,28.0,28.0,26.5,27.7,27.25,9635.0,2.65
2011-02-21,27.9,27.9,25.6,26.95,26.95,7756.0,2.07
2011-02-22,26.5,28.25,26.0,26.85,27.2,7813.0,2.14
2011-02-23,27.5,27.5,26.2,26.85,26.85,13412.0,3.6
2011-02-24,26.85,27.0,25.6,26.15,26.45,5677.0,1.51
2011-02-25,27.0,27.0,25.0,26.6,25.85,11438.0,2.98
2011-02-28,26.6,26.8,25.5,25.5,25.55,8215.0,2.16
2011-03-01,26.5,26.5,25.0,25.65,25.95,12455.0,3.18
2011-03-03,28.9,29.0,25.2,26.5,26.2,22647.0,5.99
2011-03-04,25.4,26.45,25.4,26.45,25.85,4888.0,1.27
2011-03-07,25.2,26.5,25.2,25.8,25.95,6440.0,1.66
2011-03-08,26.45,26.45,25.5,25.9,25.8,6458.0,1.67
2011-03-09,25.5,26.25,25.5,25.75,25.95,8874.0,2.3
2011-03-10,26.4,26.4,23.0,25.0,25.1,15139.0,3.86
2011-03-11,25.8,25.8,25.05,25.05,25.25,7958.0,2.02
2011-03-14,25.0,27.2,24.5,24.5,24.5,9465.0,2.38
2011-03-15,24.5,26.9,24.0,24.1,24.2,13306.0,3.24
2011-03-16,24.2,24.85,23.4,24.0,23.95,8714.0,2.1
2011-03-17,23.25,24.6,23.25,24.6,24.45,6284.0,1.52
2011-03-18,24.95,25.5,24.2,25.5,24.9,13198.0,3.26
2011-03-21,25.0,25.1,24.1,24.5,24.45,6123.0,1.5
2011-03-22,24.25,25.05,24.0,24.6,24.45,19075.0,4.7
2011-03-23,25.5,25.5,24.5,24.85,24.95,10833.0,2.7
2011-03-24,25.0,25.2,24.5,24.5,24.6,7517.0,1.85
2011-03-25,25.0,25.2,24.0,24.45,24.1,22099.0,5.39
2011-03-28,24.4,24.6,24.1,24.35,24.25,15187.0,3.68
2011-03-29,24.5,24.95,24.1,24.4,24.2,21906.0,5.31
2011-03-30,24.75,24.75,24.1,24.1,24.15,11638.0,2.82
2011-03-31,24.6,24.65,24.15,24.25,24.3,170483.0,41.52
2011-04-01,24.05,25.0,24.05,25.0,24.95,11459.0,2.85
2011-04-04,24.8,26.4,24.8,26.0,25.85,33221.0,8.61
2011-04-05,26.9,27.25,25.1,26.05,26.1,314452.0,82.95
2011-04-06,27.45,27.45,26.3,26.85,26.8,25146.0,6.75
2011-04-07,26.8,27.35,26.05,26.6,26.9,26416.0,7.05
2011-04-08,27.0,27.35,26.15,26.45,26.4,13288.0,3.54
2011-04-11,26.2,26.7,25.2,25.45,25.35,19600.0,5.02
2011-04-13,25.5,25.9,25.0,25.85,25.85,14684.0,3.75
2011-04-15,25.95,26.0,25.25,25.5,25.55,15181.0,3.88
2011-04-18,28.5,28.5,25.4,26.0,25.65,21051.0,5.45
2011-04-19,25.95,25.95,25.0,25.1,25.1,12703.0,3.23
2011-04-20,25.25,26.25,24.65,24.75,24.85,13788.0,3.46
2011-04-21,25.6,25.6,24.75,24.8,24.85,11054.0,2.76
2011-04-25,26.0,26.35,25.05,25.5,25.4,171063.0,43.87
2011-04-26,25.55,26.0,25.15,25.2,25.45,34864.0,8.87
2011-04-27,25.5,26.2,25.25,25.55,25.5,32706.0,8.42
2011-04-28,25.85,25.85,25.2,25.3,25.5,9840.0,2.5
2011-04-29,25.85,25.85,25.0,25.2,25.05,17841.0,4.51
2011-05-02,25.8,25.8,24.5,25.05,25.1,5606.0,1.41
2011-05-03,24.65,25.4,24.1,24.6,24.2,4500.0,1.11
2011-05-04,24.2,26.4,24.05,24.1,24.15,9746.0,2.4
2011-05-05,24.05,24.45,23.8,24.0,24.0,11329.0,2.74
2011-05-06,23.7,24.3,23.6,24.2,24.0,13085.0,3.12
2011-05-09,24.1,24.85,23.5,23.6,23.7,16651.0,3.98
2011-05-10,23.05,23.75,23.0,23.5,23.4,13804.0,3.23
2011-05-11,23.9,24.0,23.5,23.9,23.75,11887.0,2.81
2011-05-12,23.5,25.4,23.15,23.6,23.35,15244.0,3.63
2011-05-13,23.05,23.75,23.0,23.3,23.3,16206.0,3.79
2011-05-16,23.5,23.5,22.5,22.9,22.95,11546.0,2.66
2011-05-17,22.9,23.4,22.5,23.0,23.0,22846.0,5.21
2011-05-18,22.65,23.05,22.0,22.05,22.05,32842.0,7.4
2011-05-19,22.5,22.5,22.0,22.2,22.1,8594.0,1.91
2011-05-20,22.15,22.65,21.3,21.5,21.75,8684.0,1.91
2011-05-23,22.0,22.0,20.8,20.8,21.05,8181.0,1.74
2011-05-24,21.0,21.0,20.2,20.6,20.4,17312.0,3.55
2011-05-25,20.4,20.5,19.5,19.5,19.7,12246.0,2.45
2011-05-26,20.95,20.95,19.5,19.5,19.6,6878.0,1.36
2011-05-27,19.5,20.3,19.5,19.85,20.0,12161.0,2.43
2011-05-30,19.5,22.0,19.5,21.2,21.35,18445.0,3.91
2011-05-31,21.0,21.7,20.75,21.7,21.55,10155.0,2.16
2011-06-01,21.85,22.0,21.05,22.0,21.7,10181.0,2.19
2011-06-02,22.2,22.2,21.15,21.55,21.6,7328.0,1.59
2011-06-03,22.0,22.2,21.0,21.1,21.2,32590.0,7.02
2011-06-06,21.0,21.95,20.5,20.8,20.6,8387.0,1.75
2011-06-07,20.0,21.4,20.0,20.0,20.1,18645.0,3.8
2011-06-08,20.0,20.8,20.0,20.05,20.15,23538.0,4.75
2011-06-09,19.55,20.5,19.0,19.1,19.25,124572.0,24.27
2011-06-10,19.65,19.65,18.95,19.1,19.05,79973.0,15.26
2011-06-13,19.0,19.25,18.7,19.0,19.0,26501.0,5.03
2011-06-14,19.0,19.1,18.6,18.7,18.8,39397.0,7.47
2011-06-15,18.6,18.95,18.5,18.8,18.6,22458.0,4.19
2011-06-16,18.9,18.9,17.95,18.0,18.1,37128.0,6.8
2011-06-17,18.0,18.6,17.7,17.8,17.8,17241.0,3.1
2011-06-20,17.7,18.0,16.5,16.5,16.6,45468.0,7.76
2011-06-21,17.0,18.4,16.4,17.0,16.95,15611.0,2.64
2011-06-22,16.55,17.25,16.55,16.9,17.0,15250.0,2.58
2011-06-23,17.05,18.1,17.0,17.0,17.05,25106.0,4.36
2011-06-24,17.2,17.2,16.45,16.95,16.95,28021.0,4.73
2011-06-27,17.0,17.2,16.7,16.8,16.75,41148.0,6.96
2011-06-28,16.45,17.2,16.45,16.8,17.0,14461.0,2.44
2011-06-29,17.0,17.1,16.45,16.85,17.0,55289.0,9.36
2011-06-30,17.0,17.0,16.85,17.0,16.85,9112.0,1.55
2011-07-01,17.0,17.0,16.75,17.0,16.95,17043.0,2.89
2011-07-04,17.0,17.35,16.8,16.95,16.95,232551.0,39.55
2011-07-05,17.0,17.8,16.85,17.1,17.0,92177.0,15.76
2011-07-06,17.0,18.25,17.0,18.1,18.1,35949.0,6.36
2011-07-07,18.3,19.1,17.55,18.1,18.3,50366.0,9.34
2011-07-08,18.2,18.6,17.7,18.1,17.9,33043.0,6.01
2011-07-11,18.5,19.8,17.8,18.75,18.5,81653.0,15.47
2011-07-12,19.95,19.95,18.2,18.55,18.7,25120.0,4.72
2011-07-13,19.5,19.5,18.55,18.65,18.65,19592.0,3.71
2011-07-14,19.7,19.7,18.5,18.55,18.7,23854.0,4.5
2011-07-15,18.75,19.9,18.55,18.55,18.65,13574.0,2.57
2011-07-18,18.6,18.95,18.35,18.5,18.45,8440.0,1.57
2011-07-19,18.6,18.6,18.35,18.55,18.5,3678.0,0.68
2011-07-20,18.85,18.85,18.0,18.0,18.05,15386.0,2.82
2011-07-21,18.15,18.5,18.1,18.45,18.25,9615.0,1.76
2011-07-22,18.5,18.5,18.15,18.2,18.25,13232.0,2.42
2011-07-25,18.3,18.75,18.15,18.25,18.4,7851.0,1.44
2011-07-26,18.25,20.15,18.05,18.95,18.95,60453.0,11.53
2011-07-27,18.85,18.9,18.35,18.8,18.65,9246.0,1.72
2011-07-28,18.35,18.7,18.05,18.25,18.25,12973.0,2.39
2011-07-29,18.25,18.65,18.25,18.25,18.4,19273.0,3.56
2011-08-01,18.1,18.8,18.1,18.7,18.65,8999.0,1.66
2011-08-02,18.65,18.65,18.0,18.0,18.05,23579.0,4.3
