Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-08-02,170.0,189.4,151.5,180.0,168.75,48148.0,78.98
2007-08-03,169.0,177.0,168.45,170.65,169.65,5973.0,10.24
2007-08-06,168.0,170.95,165.3,170.0,170.0,1323.0,2.24
2007-08-07,170.0,174.55,170.0,171.5,173.65,1682.0,2.9
2007-08-08,173.0,174.55,165.2,171.7,171.85,1544.0,2.63
2007-08-09,173.6,176.8,172.55,172.55,176.25,1366.0,2.38
2007-08-10,169.95,170.45,165.55,168.45,168.45,1516.0,2.54
2007-08-13,174.45,180.0,171.6,175.9,177.8,1325.0,2.35
2007-08-14,176.0,179.5,176.0,178.5,177.5,751.0,1.33
2007-08-16,165.2,178.0,165.2,175.1,175.95,1365.0,2.38
2007-08-17,177.6,179.3,167.0,170.0,170.0,4463.0,7.66
2007-08-20,172.0,183.9,172.0,179.0,180.5,452.0,0.8
2007-08-21,184.0,184.0,171.0,171.25,171.1,1225.0,2.12
2007-08-22,177.0,181.75,172.5,178.0,179.7,8623.0,15.45
2007-08-23,179.0,185.0,176.05,180.5,180.35,3333.0,6.06
2007-08-24,178.0,178.0,176.0,176.0,176.0,153.0,0.27
2007-08-27,181.0,198.9,178.0,183.0,190.45,1590.0,2.94
2007-08-28,190.9,195.9,190.0,195.9,195.1,2764.0,5.35
2007-08-29,190.5,195.9,190.5,195.5,193.9,1763.0,3.42
2007-08-30,187.15,204.0,187.15,197.0,197.4,2504.0,4.93
2007-08-31,195.0,198.0,194.0,198.0,197.7,949.0,1.86
2007-09-03,188.0,205.0,188.0,198.1,197.75,2042.0,4.05
2007-09-04,203.0,214.9,200.5,206.0,209.15,7147.0,14.83
2007-09-05,209.0,210.0,205.0,208.0,208.3,792.0,1.64
2007-09-06,205.0,214.0,205.0,210.5,210.0,1530.0,3.21
2007-09-07,205.0,212.95,202.0,203.75,209.25,458.0,0.95
2007-09-10,204.0,209.9,204.0,209.9,206.5,535.0,1.1
2007-09-11,209.9,215.0,207.05,207.2,207.2,1220.0,2.56
2007-09-12,212.0,217.0,205.2,205.2,208.5,1661.0,3.5
2007-09-13,215.5,225.0,208.2,221.0,221.3,8360.0,18.23
2007-09-14,228.0,228.0,215.1,218.75,218.9,1524.0,3.34
2007-09-17,218.0,219.0,212.0,216.0,214.55,1048.0,2.24
2007-09-18,218.5,254.9,218.5,238.75,238.0,16762.0,38.91
2007-09-19,250.0,250.0,229.95,230.0,231.0,5366.0,12.54
2007-09-20,227.2,233.0,220.0,226.0,226.0,2136.0,4.89
2007-09-21,230.0,240.0,221.05,231.0,233.1,13426.0,31.04
2007-09-24,220.0,241.5,220.0,230.0,230.75,716.0,1.66
2007-09-25,221.15,231.0,221.15,225.0,225.0,3112.0,7.01
2007-09-26,230.95,235.0,223.05,229.0,229.0,1250.0,2.87
2007-09-27,226.0,240.0,224.95,230.0,229.3,1673.0,3.8
2007-09-28,226.0,235.0,226.0,233.05,234.85,4934.0,11.4
2007-10-01,190.1,234.0,190.1,233.05,233.05,2104.0,4.8
2007-10-03,227.0,239.0,222.15,234.0,234.0,2353.0,5.45
2007-10-04,239.0,248.9,232.0,237.1,241.35,4962.0,11.82
2007-10-05,230.1,258.75,230.1,248.0,248.0,3838.0,9.5
2007-10-08,239.0,253.35,230.15,247.0,244.85,12169.0,29.91
2007-10-09,249.0,252.5,249.0,250.3,251.0,2811.0,7.05
2007-10-10,251.0,260.0,251.0,255.5,255.6,5114.0,13.16
2007-10-11,251.15,260.0,247.0,256.0,259.8,5211.0,13.32
2007-10-12,256.0,264.0,245.2,250.0,249.35,4338.0,11.03
2007-10-15,248.75,253.0,240.0,249.0,249.6,12096.0,29.93
2007-10-16,235.1,256.9,235.1,250.0,250.25,2036.0,5.08
2007-10-17,242.0,249.75,242.0,245.1,245.1,3176.0,7.78
2007-10-18,249.9,258.95,235.0,235.0,235.1,8826.0,21.4
2007-10-19,248.95,248.95,225.0,225.0,225.0,2301.0,5.22
2007-10-22,220.05,232.0,220.05,230.0,230.0,756.0,1.72
2007-10-23,247.95,247.95,230.0,237.7,235.2,1001.0,2.37
2007-10-24,235.3,243.0,235.3,240.0,240.0,2545.0,6.09
2007-10-25,244.0,252.0,244.0,248.95,247.2,4807.0,12.04
2007-10-26,249.95,270.95,249.95,270.0,266.1,5351.0,14.12
2007-10-29,315.0,318.85,297.5,304.85,301.75,14320.0,43.99
2007-10-30,310.0,314.45,285.0,293.6,291.0,5889.0,17.38
2007-10-31,298.7,302.0,276.05,295.0,294.95,5006.0,14.95
2007-11-01,290.05,297.0,290.0,290.0,290.15,1800.0,5.28
2007-11-02,292.0,292.0,286.0,286.2,286.55,422.0,1.21
2007-11-05,290.0,314.95,290.0,300.9,300.15,5520.0,16.68
2007-11-06,301.0,309.85,290.0,290.0,292.05,1997.0,6.01
2007-11-07,277.05,299.9,277.05,283.25,285.5,4360.0,12.46
2007-11-08,293.0,309.0,293.0,298.5,297.1,3975.0,11.78
2007-11-09,299.9,299.9,289.25,289.55,291.35,428.0,1.25
2007-11-12,293.8,294.5,286.3,288.05,288.05,761.0,2.21
2007-11-13,299.95,310.0,285.15,300.0,300.0,6092.0,18.13
2007-11-14,304.7,313.45,297.0,300.0,300.85,7886.0,23.96
2007-11-15,302.0,329.9,302.0,322.0,323.2,9501.0,30.09
2007-11-16,320.0,342.0,320.0,327.0,327.1,4960.0,16.72
2007-11-19,345.0,357.95,345.0,352.05,352.85,2513.0,8.84
2007-11-20,356.0,372.0,355.0,358.0,360.05,3816.0,13.89
2007-11-21,369.9,369.9,334.25,341.0,337.7,2189.0,7.71
2007-11-22,330.0,340.05,315.0,323.35,329.7,4695.0,15.31
2007-11-23,338.1,340.0,337.9,340.0,340.0,2601.0,8.8
2007-11-26,362.0,362.0,341.55,343.0,343.0,375.0,1.31
2007-11-27,341.0,341.0,341.0,341.0,341.0,15.0,0.05
2007-11-28,341.05,341.05,321.25,325.0,326.65,2772.0,9.17
2007-11-29,328.5,344.95,328.5,329.2,332.25,923.0,3.06
2007-11-30,358.95,358.95,319.05,344.5,344.5,2652.0,9.0
2007-12-03,350.0,352.0,341.05,350.0,350.8,5928.0,20.75
2007-12-04,350.0,367.75,350.0,355.9,360.0,7896.0,28.33
2007-12-05,360.0,364.0,355.0,355.0,355.0,1933.0,6.94
2007-12-06,361.8,361.8,343.8,345.55,345.4,1212.0,4.23
2007-12-07,351.0,354.0,338.2,350.0,344.6,3730.0,12.93
2007-12-10,345.0,348.9,337.1,338.05,338.4,1205.0,4.12
2007-12-11,350.0,360.0,332.0,356.95,355.55,2427.0,8.52
2007-12-12,341.25,356.0,341.0,350.0,351.05,1076.0,3.73
2007-12-13,355.0,363.0,351.05,359.3,361.85,2290.0,8.21
2007-12-14,370.0,386.0,352.0,376.0,377.3,3088.0,11.75
2007-12-17,395.0,398.0,373.0,375.0,376.0,1738.0,6.74
2007-12-18,395.0,395.0,340.2,360.0,360.5,362.0,1.31
2007-12-19,389.95,399.85,372.15,381.9,379.95,6781.0,26.55
2007-12-20,390.0,390.0,362.0,373.5,364.15,5635.0,20.92
2007-12-24,364.15,380.0,360.0,380.0,379.2,504.0,1.87
2007-12-26,395.0,398.9,385.5,385.5,386.9,770.0,3.03
2007-12-27,399.0,400.0,391.0,394.9,394.95,3415.0,13.52
2007-12-28,390.0,400.0,387.0,393.0,395.45,6206.0,24.62
2007-12-31,404.4,423.0,385.0,420.0,420.75,9353.0,38.65
2008-01-01,419.0,440.4,419.0,437.0,438.8,7610.0,33.14
2008-01-02,437.0,446.0,411.0,440.0,432.35,3645.0,16.09
2008-01-03,442.0,450.0,430.0,440.0,440.0,4636.0,20.14
2008-01-04,449.5,449.5,420.1,425.0,424.95,3046.0,13.24
2008-01-07,419.95,441.0,411.05,437.2,436.8,3183.0,13.62
2008-01-08,450.0,454.95,426.0,426.0,426.0,303.0,1.34
2008-01-09,426.0,434.0,390.65,400.0,399.9,2276.0,9.16
2008-01-10,409.95,409.95,385.1,385.1,385.1,1336.0,5.29
2008-01-11,385.95,386.0,350.0,370.0,372.8,3400.0,12.35
2008-01-14,346.1,386.75,346.1,381.95,381.95,301.0,1.1
2008-01-15,352.4,384.9,352.4,384.9,384.9,202.0,0.74
2008-01-16,357.0,376.0,345.5,345.5,354.25,937.0,3.42
2008-01-17,369.0,379.95,360.7,360.7,364.55,1949.0,7.21
2008-01-18,355.35,380.0,350.0,350.0,353.2,968.0,3.49
2008-01-21,350.0,350.0,300.0,320.0,302.4,2107.0,6.85
2008-01-22,299.0,309.95,283.1,283.1,292.9,375.0,1.11
2008-01-23,310.0,349.0,310.0,347.45,347.45,1198.0,3.96
2008-01-24,359.0,359.0,315.0,315.0,318.95,406.0,1.37
2008-01-25,350.0,355.0,296.75,355.0,350.35,768.0,2.58
2008-01-28,340.0,357.95,329.1,334.1,334.1,290.0,0.96
2008-01-29,342.5,342.5,322.0,322.0,325.1,493.0,1.66
2008-01-30,325.0,333.0,305.3,310.0,310.1,3528.0,11.11
2008-01-31,305.0,315.0,305.0,309.0,310.4,276.0,0.86
2008-02-01,305.05,329.25,305.05,311.0,310.9,6119.0,19.19
2008-02-04,311.55,324.0,311.0,318.0,311.7,2790.0,8.86
2008-02-05,324.15,325.0,310.0,316.0,317.05,287.0,0.9
2008-02-06,321.0,327.0,318.05,323.75,323.75,611.0,1.96
2008-02-07,325.0,339.9,325.0,326.25,326.25,128.0,0.42
2008-02-08,310.1,314.9,303.0,310.0,310.0,465.0,1.44
2008-02-11,300.1,313.0,292.0,292.0,292.0,1076.0,3.21
2008-02-12,280.1,298.0,280.0,280.0,280.0,810.0,2.27
2008-02-13,306.95,306.95,280.0,284.0,283.95,827.0,2.33
2008-02-14,281.0,300.0,281.0,289.0,289.75,256.0,0.75
2008-02-15,291.0,310.0,291.0,303.5,304.45,1167.0,3.5
2008-02-18,300.2,315.0,300.2,306.05,311.45,610.0,1.89
2008-02-19,315.0,325.0,315.0,317.0,317.0,778.0,2.49
2008-02-20,322.35,322.35,306.0,307.15,307.05,189.0,0.58
2008-02-21,308.05,332.0,308.0,309.0,310.2,545.0,1.68
2008-02-22,300.05,322.0,300.05,307.0,306.85,434.0,1.34
2008-02-25,307.0,322.0,300.0,322.0,316.3,3329.0,10.45
2008-02-26,320.5,328.0,306.55,311.05,311.05,327.0,1.01
2008-02-27,314.1,321.0,311.5,311.5,311.5,216.0,0.69
2008-02-28,329.95,329.95,311.0,313.0,313.0,347.0,1.1
2008-02-29,313.0,318.0,301.7,306.1,306.35,571.0,1.74
2008-03-03,301.0,312.0,299.0,303.0,303.0,141.0,0.43
2008-03-04,290.3,300.0,280.05,280.55,280.7,1495.0,4.29
2008-03-05,294.0,294.0,275.0,275.25,283.2,1915.0,5.36
2008-03-07,270.0,270.0,252.0,260.0,260.0,2815.0,7.34
2008-03-10,250.0,250.0,235.0,240.0,240.0,3430.0,8.18
2008-03-11,251.75,269.8,251.75,269.0,269.0,15.0,0.04
2008-03-12,295.0,295.0,270.0,270.0,270.0,138.0,0.38
2008-03-13,251.0,260.0,240.0,245.0,245.05,691.0,1.7
2008-03-14,245.0,274.0,241.0,250.2,244.65,1178.0,2.89
2008-03-17,232.0,245.0,231.5,240.0,236.7,1416.0,3.38
2008-03-18,226.0,250.0,226.0,230.0,230.05,807.0,1.88
2008-03-19,234.0,240.0,234.0,234.1,235.95,175.0,0.41
2008-03-24,225.05,229.0,225.0,225.0,225.35,109.0,0.25
2008-03-25,244.0,249.8,226.25,237.0,236.1,369.0,0.86
2008-03-26,245.0,245.0,245.0,245.0,245.0,169.0,0.41
2008-03-27,251.0,259.0,246.0,246.0,246.0,1633.0,4.11
2008-03-28,247.2,260.0,247.2,260.0,260.0,1350.0,3.43
2008-03-31,255.9,255.9,250.0,250.0,251.1,295.0,0.74
2008-04-01,250.0,255.0,250.0,250.0,250.0,266.0,0.67
2008-04-02,250.1,251.2,250.1,251.2,251.2,150.0,0.38
2008-04-03,250.0,250.0,250.0,250.0,250.0,35.0,0.09
2008-04-04,251.0,251.0,251.0,251.0,251.0,225.0,0.56
2008-04-07,240.6,267.95,240.6,250.0,250.0,743.0,1.86
2008-04-08,260.0,260.0,240.0,240.0,240.45,365.0,0.88
2008-04-09,256.0,256.0,241.2,241.2,241.2,55.0,0.14
2008-04-10,250.0,250.0,248.1,248.1,248.1,59.0,0.15
2008-04-11,251.5,266.95,251.5,251.5,251.5,148.0,0.38
2008-04-15,246.95,287.95,246.95,260.05,260.05,537.0,1.37
2008-04-16,251.25,298.0,251.25,286.0,288.75,6468.0,18.03
2008-04-17,296.7,296.7,290.0,290.0,290.0,105.0,0.31
2008-04-21,319.0,319.0,300.05,311.1,311.05,2971.0,9.22
2008-04-22,323.95,324.0,314.05,319.7,315.4,2583.0,8.24
2008-04-23,319.0,319.0,301.0,307.95,304.45,1396.0,4.29
2008-04-24,276.0,325.0,276.0,295.0,300.5,6920.0,20.78
2008-04-25,310.0,310.0,280.0,298.5,296.5,729.0,2.15
2008-04-28,286.0,309.95,286.0,287.0,287.1,372.0,1.08
2008-04-29,291.0,294.0,280.2,280.5,281.85,519.0,1.47
2008-04-30,285.0,294.95,280.0,290.0,290.0,343.0,0.97
2008-05-02,305.0,305.0,275.0,285.8,277.0,2045.0,5.78
2008-05-05,280.0,284.9,280.0,284.0,280.35,147.0,0.41
2008-05-06,272.4,284.85,272.3,284.5,282.95,104.0,0.29
2008-05-07,280.0,284.0,272.25,280.0,280.0,807.0,2.26
2008-05-08,273.0,273.0,268.0,269.0,269.0,3633.0,9.85
2008-05-09,266.0,322.75,265.0,280.0,284.9,2276.0,6.27
2008-05-12,341.9,341.9,255.0,264.5,264.5,1619.0,4.67
2008-05-13,262.0,269.95,262.0,266.4,266.15,117.0,0.31
2008-05-14,263.0,277.0,260.5,264.0,266.0,198.0,0.53
2008-05-15,263.0,275.0,260.0,263.0,263.0,189.0,0.5
2008-05-16,261.0,277.0,261.0,265.0,265.0,115.0,0.31
2008-05-20,265.0,275.0,256.5,265.0,265.0,401.0,1.05
2008-05-21,260.0,271.0,260.0,271.0,271.0,170.0,0.45
2008-05-22,256.0,266.7,256.0,258.0,257.3,51.0,0.13
2008-05-23,258.1,265.0,258.1,260.1,260.1,176.0,0.46
2008-05-26,260.0,260.0,252.0,259.6,259.6,646.0,1.65
2008-05-27,256.0,256.0,252.0,252.0,252.0,125.0,0.32
