Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2003-03-12,155.0,183.9,155.0,176.0,176.25,1233452.0,2199.4
2003-03-13,174.0,186.65,174.0,180.0,180.0,1177678.0,2131.13
2003-03-17,180.0,180.0,167.65,173.5,171.0,176654.0,309.22
2003-03-19,174.0,178.9,172.7,175.0,176.75,106862.0,187.42
2003-03-20,175.8,191.2,175.0,182.8,183.55,433277.0,799.05
2003-03-21,183.0,191.8,183.0,187.0,185.55,227349.0,425.18
2003-03-22,188.0,195.0,187.1,194.0,193.2,148001.0,282.94
2003-03-24,195.0,205.8,191.5,198.6,201.45,790914.0,1589.8
2003-03-25,200.4,222.0,196.8,216.85,218.0,1583444.0,3369.33
2003-03-26,218.8,231.8,217.0,218.9,219.7,1656273.0,3743.58
2003-03-27,220.05,221.6,205.0,208.15,207.4,1031428.0,2184.68
2003-03-28,205.0,240.85,205.0,231.9,234.45,2680172.0,6046.69
2003-03-31,228.0,234.75,217.0,221.1,219.15,1526826.0,3465.52
2003-04-01,224.0,238.3,220.95,229.95,230.75,1234990.0,2870.72
2003-04-02,233.9,237.95,230.5,236.65,235.8,585978.0,1376.02
2003-04-03,238.1,243.7,235.0,235.1,236.35,596968.0,1427.0
2003-04-04,236.1,238.4,233.0,234.0,233.65,332725.0,782.45
2003-04-07,235.0,239.25,234.35,237.25,236.2,273976.0,649.51
2003-04-08,235.0,260.8,235.0,250.4,250.5,1294743.0,3261.36
2003-04-09,251.05,263.85,251.05,255.95,255.65,701154.0,1814.57
2003-04-10,258.0,258.0,242.0,242.0,243.8,250513.0,626.7
2003-04-11,244.5,253.9,241.0,251.5,248.1,136630.0,338.45
2003-04-15,254.0,275.0,252.55,256.0,256.15,272453.0,713.42
2003-04-16,259.5,262.0,249.15,252.25,251.95,165178.0,421.31
2003-04-17,254.0,255.0,243.5,248.0,246.05,220243.0,547.96
2003-04-21,250.0,253.75,244.25,245.35,245.35,104187.0,258.09
2003-04-22,246.7,258.5,240.2,256.8,256.3,537677.0,1350.66
2003-04-23,259.7,263.85,254.0,260.0,259.85,420333.0,1093.41
2003-04-24,263.0,263.0,255.15,256.8,256.45,150244.0,388.44
2003-04-25,257.65,259.8,248.0,255.1,255.1,127515.0,327.47
2003-04-28,256.0,269.3,251.5,269.0,265.85,316043.0,827.88
2003-04-29,267.0,283.3,267.0,279.5,277.65,952003.0,2638.69
2003-04-30,275.5,295.0,275.0,294.0,290.25,698681.0,1997.58
2003-05-02,295.9,301.4,286.15,290.0,289.6,884071.0,2598.72
2003-05-05,292.75,295.8,273.1,279.95,278.65,464233.0,1328.26
2003-05-06,281.9,293.7,280.0,287.0,288.2,490192.0,1407.67
2003-05-07,292.0,295.7,285.05,287.0,286.6,428378.0,1246.39
2003-05-08,285.0,289.4,278.3,280.5,279.85,256066.0,725.14
2003-05-09,281.9,285.7,277.2,279.55,281.75,305672.0,862.42
2003-05-12,285.0,294.0,282.05,289.55,289.05,355352.0,1031.86
2003-05-13,291.0,293.7,281.9,284.0,283.6,253599.0,729.96
2003-05-14,285.65,288.8,283.5,285.65,285.4,177650.0,508.21
2003-05-15,278.0,319.95,252.0,318.05,316.7,1371793.0,4196.59
2003-05-16,320.5,334.7,317.0,319.0,321.65,1024383.0,3362.7
2003-05-19,320.15,326.7,307.1,308.25,311.05,406096.0,1290.33
2003-05-20,309.65,335.0,309.0,334.0,331.55,891406.0,2915.98
2003-05-21,333.0,339.7,318.1,322.0,320.8,519096.0,1708.93
2003-05-22,325.0,335.0,316.0,331.0,331.1,807994.0,2643.77
2003-05-23,338.0,369.0,324.55,361.0,361.35,1747877.0,6097.24
2003-05-26,365.0,376.75,351.0,369.0,369.95,733394.0,2715.17
2003-05-27,370.5,374.7,364.0,366.5,366.55,406814.0,1504.62
2003-05-28,366.1,384.0,364.25,368.9,367.9,620142.0,2312.67
2003-05-29,370.0,376.35,365.65,365.8,367.6,267503.0,993.81
2003-05-30,368.0,386.0,368.0,373.1,374.2,491858.0,1860.18
2003-06-02,377.4,386.45,372.65,378.75,377.9,310845.0,1183.09
2003-06-03,376.0,386.0,376.0,377.75,378.55,233063.0,888.34
2003-06-04,378.0,399.75,378.0,397.05,396.65,674253.0,2635.84
2003-06-05,398.5,404.0,388.9,391.5,392.25,231452.0,918.0
2003-06-06,400.0,400.0,386.55,390.3,392.25,168702.0,660.49
