Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-11-12,89.0,91.0,88.05,89.95,89.85,15594.0,13.99
2014-11-13,91.55,91.55,88.0,88.5,88.15,10405.0,9.27
2014-11-14,95.0,95.0,85.5,89.35,89.7,9963.0,8.91
2014-11-17,92.95,92.95,87.0,87.25,87.8,10649.0,9.51
2014-11-18,88.0,90.6,86.0,86.55,86.75,16248.0,14.33
2014-11-19,85.25,92.0,85.0,86.1,86.25,17497.0,15.31
2014-11-20,86.4,87.2,85.4,87.0,86.75,3374.0,2.91
2014-11-21,84.1,89.45,84.1,86.95,87.05,8593.0,7.51
2014-11-24,87.1,91.25,86.5,90.3,90.1,22962.0,20.62
2014-11-25,90.8,92.0,85.1,86.55,86.8,9344.0,8.24
2014-11-26,86.0,88.8,85.95,87.45,87.4,9434.0,8.19
2014-11-27,87.4,88.25,85.5,87.15,87.15,10999.0,9.61
2014-11-28,86.05,92.9,86.05,87.45,87.25,6059.0,5.33
2014-12-01,87.1,88.95,86.4,87.0,87.0,15755.0,13.72
2014-12-02,86.7,88.7,86.1,87.4,86.95,5869.0,5.11
2014-12-03,86.9,87.8,86.05,86.25,86.5,12984.0,11.27
2014-12-04,86.9,88.5,86.0,86.5,86.3,9468.0,8.22
2014-12-05,86.1,87.75,85.5,86.0,86.15,6383.0,5.51
2014-12-08,85.5,87.8,85.05,85.55,85.7,4010.0,3.45
2014-12-09,85.5,87.8,82.0,82.05,82.35,8293.0,6.95
2014-12-10,82.35,84.95,81.9,81.9,82.25,23814.0,19.78
2014-12-11,81.9,82.9,80.5,82.45,81.55,7345.0,5.98
2014-12-12,93.0,93.0,80.5,82.0,82.05,2271.0,1.87
2014-12-15,86.65,86.65,79.05,79.3,79.3,7108.0,5.7
2014-12-16,79.1,79.25,68.8,70.4,71.05,24636.0,17.95
2014-12-17,71.1,73.9,65.3,68.05,68.85,20351.0,14.18
2014-12-18,70.3,74.0,70.3,73.8,73.75,16440.0,11.89
2014-12-19,73.0,78.9,70.5,74.0,74.65,3686.0,2.82
2014-12-22,72.0,78.25,72.0,76.5,77.8,2830.0,2.17
2014-12-23,75.0,78.8,75.0,78.8,77.0,9283.0,7.01
2014-12-24,75.0,77.45,75.0,77.0,76.6,5826.0,4.44
2014-12-26,75.0,78.5,75.0,75.35,75.4,6102.0,4.63
2014-12-29,75.2,77.0,75.2,76.9,76.4,3967.0,3.02
2014-12-30,75.6,78.15,75.05,78.15,76.4,9023.0,6.88
2014-12-31,75.4,77.55,75.05,76.5,76.75,1625.0,1.25
2015-01-01,77.1,77.25,75.1,76.0,75.85,6057.0,4.62
2015-01-02,76.4,77.0,72.2,76.5,75.85,19985.0,14.9
2015-01-05,75.05,78.95,73.65,78.95,77.25,21923.0,16.49
2015-01-06,75.1,77.0,73.2,74.5,74.7,14981.0,11.18
2015-01-07,74.05,75.95,73.2,73.75,74.65,6080.0,4.55
2015-01-08,77.0,77.0,74.55,76.0,76.05,6841.0,5.18
2015-01-09,76.5,90.95,75.05,84.25,87.6,55415.0,47.25
2015-01-12,86.8,86.8,81.0,84.55,84.55,14620.0,12.31
2015-01-13,87.75,89.5,83.0,88.0,87.45,17114.0,15.03
2015-01-14,87.0,89.85,85.2,86.0,85.8,13968.0,12.07
2015-01-15,85.7,87.1,82.65,82.65,83.2,10436.0,8.81
2015-01-16,82.0,84.6,79.55,79.95,80.05,18149.0,14.66
2015-01-19,79.4,82.75,79.4,79.8,80.1,8063.0,6.5
2015-01-20,82.45,82.45,78.6,80.15,79.95,17544.0,14.07
2015-01-21,79.05,80.0,77.0,77.0,78.0,8391.0,6.61
2015-01-22,79.2,79.5,74.5,75.0,75.15,13317.0,10.1
2015-01-23,76.6,76.6,72.55,74.0,74.45,15847.0,11.75
2015-01-27,74.0,76.3,73.0,73.5,73.7,3157.0,2.33
2015-01-28,72.05,74.8,69.0,70.8,70.65,46037.0,32.78
