Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-04-21,55.2,620.6,55.2,620.6,619.55,2733.0,9.28
2008-04-22,743.5,743.5,625.0,743.5,743.5,8518.0,61.9
2008-04-23,815.0,892.0,630.0,800.0,810.9,52036.0,414.75
2008-04-24,810.9,810.9,755.0,802.0,793.05,13330.0,104.31
2008-04-25,760.0,940.0,760.0,915.0,857.55,9178.0,75.6
2008-04-28,877.0,1029.1,877.0,1029.1,1029.1,19513.0,193.53
2008-04-29,1051.0,1132.05,1050.0,1132.05,1132.05,9058.0,100.04
2008-04-30,1245.3,1245.3,1061.2,1210.0,1181.25,20083.0,241.55
2008-05-02,1251.0,1280.0,1100.0,1240.0,1210.2,14334.0,169.43
2008-05-05,1211.25,1265.0,1150.0,1150.0,1153.6,2412.0,29.19
2008-05-06,1100.0,1130.0,1095.95,1095.95,1095.95,757.0,8.33
2008-05-07,1084.0,1084.0,1041.15,1041.15,1041.15,90.0,0.94
2008-05-08,989.1,989.1,989.1,989.1,989.1,56.0,0.55
2008-05-09,939.65,939.65,939.65,939.65,939.65,10.0,0.09
2008-05-12,892.7,892.7,892.7,892.7,892.7,1.0,0.01
2008-05-13,848.1,848.1,848.1,848.1,848.1,15.0,0.13
2008-05-14,805.7,805.7,805.7,805.7,805.7,1.0,0.01
2008-05-15,765.45,765.45,765.45,765.45,765.45,301.0,2.3
2008-05-16,727.2,727.2,727.2,727.2,727.2,17.0,0.12
2008-05-20,690.85,690.85,690.85,690.85,690.85,61.0,0.42
2008-05-21,656.4,725.4,656.4,725.4,725.4,1419.0,9.43
2008-05-22,758.0,761.7,689.2,689.2,689.2,1104.0,7.84
2008-05-23,656.0,656.0,654.75,654.75,654.75,125.0,0.82
2008-05-26,622.1,622.1,622.05,622.05,622.05,65.0,0.4
2008-05-27,590.95,590.95,590.95,590.95,590.95,15.0,0.09
2008-05-28,561.4,561.4,561.4,561.4,561.4,81.0,0.45
2008-05-29,533.35,549.9,533.35,533.35,533.35,2154.0,11.54
2008-05-30,511.0,559.9,506.7,506.7,506.7,492.0,2.52
2008-06-02,485.0,486.0,481.4,481.4,481.4,437.0,2.11
2008-06-03,457.4,500.0,457.4,466.0,499.3,526.0,2.48
2008-06-04,478.0,500.0,475.0,478.35,480.3,229.0,1.09
2008-06-05,478.0,491.0,466.0,466.0,466.0,61.0,0.29
2008-06-06,446.5,462.2,446.2,451.0,451.0,136.0,0.62
2008-06-09,449.0,449.0,428.5,449.0,449.0,212.0,0.91
2008-06-10,470.0,470.0,437.0,469.95,469.95,41.0,0.18
2008-06-11,470.0,470.0,447.0,460.0,460.0,82.0,0.37
2008-06-12,437.5,477.0,437.0,477.0,475.3,62.0,0.28
2008-06-13,461.0,499.1,461.0,499.1,499.1,70.0,0.35
2008-06-16,524.1,524.1,508.05,511.0,511.0,172.0,0.89
2008-06-17,495.7,528.0,495.7,502.5,504.35,399.0,2.03
2008-06-18,506.0,515.95,506.0,506.0,506.1,18.0,0.09
2008-06-19,506.0,506.0,483.0,485.0,484.25,35.0,0.17
2008-06-20,508.0,508.0,460.5,461.0,461.0,42.0,0.2
