Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-09,6.0,6.0,6.0,,,,
1998-04-20,6.7,6.7,6.7,6.7,6.7,100.0,0.01
1998-04-21,7.2,7.3,7.2,7.3,7.3,1000.0,0.07
1998-04-23,7.55,7.55,7.55,7.55,7.55,500.0,0.04
1998-04-24,7.55,7.55,7.55,7.55,7.55,100.0,0.01
1998-05-11,7.0,7.0,7.0,7.0,7.0,300.0,0.02
1998-05-15,7.5,7.5,7.5,7.5,7.5,200.0,0.02
1998-05-18,7.0,7.95,7.0,7.95,7.95,1000.0,0.07
1998-05-19,7.5,7.5,7.5,7.5,7.5,500.0,0.04
1998-07-31,7.6,8.0,7.6,8.0,8.0,1300.0,0.1
1998-08-03,7.0,7.0,6.95,6.95,6.95,1100.0,0.08
1998-08-06,6.5,6.5,6.5,6.5,6.5,500.0,0.03
1998-08-07,6.55,6.55,6.55,6.55,6.55,100.0,0.01
1998-08-12,6.05,6.05,6.05,6.05,6.05,100.0,0.01
1998-08-14,6.25,6.25,6.0,6.0,6.0,5000.0,0.3
1998-08-25,6.0,6.0,6.0,6.0,6.0,100.0,0.01
1998-09-04,5.5,5.5,5.5,5.5,5.5,500.0,0.03
1998-09-07,5.5,5.5,5.5,5.5,5.5,100.0,0.01
1998-09-08,5.5,5.5,5.5,5.5,5.5,200.0,0.01
1998-10-23,5.0,5.0,5.0,5.0,5.0,100.0,0.0
1998-10-28,5.0,5.0,5.0,5.0,5.0,600.0,0.03
1998-11-19,5.05,5.05,5.05,5.05,5.05,1000.0,0.05
1998-11-20,3.5,3.5,3.5,3.5,3.5,100.0,0.0
1998-11-23,5.25,5.25,5.25,5.25,5.25,100.0,0.01
1998-11-24,7.5,7.5,7.5,7.5,7.5,100.0,0.01
1998-11-27,7.0,7.0,7.0,7.0,7.0,100.0,0.01
1998-12-01,6.6,6.6,6.5,6.5,6.5,400.0,0.03
1998-12-02,7.0,7.0,7.0,7.0,7.0,200.0,0.01
1998-12-14,5.05,5.05,5.05,5.05,5.05,100.0,0.01
1998-12-28,4.85,5.25,4.85,5.25,5.25,700.0,0.03
1999-01-01,5.1,5.1,5.1,5.1,5.1,100.0,0.01
1999-01-05,4.0,4.0,4.0,4.0,4.0,200.0,0.01
1999-01-06,5.0,5.0,5.0,5.0,5.0,400.0,0.02
1999-01-08,7.0,7.0,7.0,7.0,7.0,500.0,0.04
1999-02-02,5.0,5.0,5.0,5.0,5.0,100.0,0.0
1999-02-18,4.0,4.7,4.0,4.7,4.7,200.0,0.01
1999-02-23,5.0,5.0,5.0,5.0,5.0,100.0,0.0
1999-02-27,5.0,5.0,5.0,5.0,5.0,300.0,0.02
1999-03-01,6.0,7.5,6.0,7.5,7.5,1500.0,0.1
1999-03-03,10.0,10.75,8.8,8.8,8.8,8600.0,0.83
1999-03-04,8.05,8.2,7.5,8.0,8.0,1300.0,0.1
1999-03-05,8.0,8.65,8.0,8.0,8.0,1200.0,0.1
1999-03-08,8.0,8.0,5.5,5.5,5.5,1000.0,0.07
1999-03-09,6.0,6.5,6.0,6.5,6.5,1300.0,0.08
1999-03-10,5.5,5.5,5.5,5.5,5.5,1200.0,0.07
1999-03-11,6.0,6.5,6.0,6.5,6.5,600.0,0.04
1999-03-12,5.0,5.0,5.0,5.0,5.0,300.0,0.02
1999-03-15,4.95,4.95,4.95,4.95,4.95,1000.0,0.05
