Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-09-29,1040.0,1100.0,1012.1,1055.05,1059.35,1554.0,16.32
2006-10-03,1105.0,1125.0,1058.0,1108.5,1107.9,1092.0,11.79
2006-10-04,1145.0,1145.0,1076.0,1076.0,1080.0,653.0,7.16
2006-10-05,1180.0,1180.0,1062.0,1138.9,1091.95,939.0,10.27
2006-10-06,1140.0,1157.8,1127.15,1140.1,1148.85,5939.0,68.28
2006-10-09,1190.0,1249.0,1189.0,1222.9,1206.8,2424.0,29.24
2006-10-10,1238.0,1325.0,1220.0,1266.05,1262.95,9126.0,115.31
2006-10-11,1299.0,1304.0,1206.0,1226.0,1222.25,3891.0,48.39
2006-10-12,1225.0,1239.7,1202.55,1225.05,1225.0,3457.0,41.95
2006-10-13,1230.0,1239.4,1225.0,1228.25,1228.65,1248.0,15.35
2006-10-16,1230.0,1280.0,1230.0,1250.0,1240.9,2583.0,32.36
2006-10-17,226.0,245.9,225.4,242.0,242.2,84636.0,198.36
2006-10-18,238.0,246.0,238.0,239.6,240.15,23376.0,56.6
2006-10-19,248.0,248.0,238.75,244.0,244.45,15406.0,37.4
2006-10-20,244.0,247.0,244.0,246.5,245.4,13358.0,32.84
2006-10-21,245.0,248.8,245.0,246.5,247.25,3294.0,8.12
2006-10-23,249.75,273.8,244.0,260.0,261.45,52759.0,137.0
2006-10-26,262.05,282.9,257.0,272.0,270.85,39503.0,107.78
2006-10-27,275.0,286.0,263.4,265.0,265.15,16869.0,46.24
2006-10-30,269.0,272.0,254.0,264.0,262.7,78583.0,204.33
2006-10-31,258.05,275.9,256.3,257.0,259.45,46312.0,123.35
2006-11-01,267.0,274.45,264.1,271.0,269.85,125015.0,337.07
2006-11-02,270.0,316.85,269.95,308.0,305.75,292860.0,863.52
2006-11-03,308.0,321.75,295.55,301.0,299.85,205026.0,631.49
2006-11-06,300.25,327.0,296.0,318.0,315.4,343556.0,1086.13
2006-11-07,321.0,327.9,306.0,312.4,309.2,112910.0,358.0
2006-11-08,312.0,314.9,294.2,305.25,305.7,70612.0,214.36
2006-11-09,308.6,318.05,302.2,307.0,308.2,83913.0,260.34
2006-11-10,310.15,316.8,304.75,312.0,311.05,46974.0,145.96
2006-11-13,310.0,332.0,310.0,320.55,322.45,136698.0,442.46
2006-11-14,324.9,332.0,323.0,325.0,326.2,93902.0,306.0
2006-11-15,329.0,329.85,323.0,326.0,325.85,35849.0,116.84
