Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,133.1,133.6,132.0,,,,
1998-03-23,136.0,136.5,135.0,135.0,135.0,500.0,0.68
1998-03-24,136.0,138.5,133.0,135.9,135.45,3200.0,4.36
1998-03-25,138.9,141.9,138.9,140.5,140.45,1500.0,2.1
1998-03-26,142.5,144.0,140.5,141.15,141.15,2600.0,3.7
1998-03-27,141.0,142.9,141.0,142.9,142.9,800.0,1.13
1998-03-30,143.5,144.0,140.05,141.0,141.4,2400.0,3.41
1998-03-31,141.0,141.0,139.0,141.0,140.95,1900.0,2.66
1998-04-01,142.6,145.0,142.0,145.0,144.55,2300.0,3.3
1998-04-02,143.1,143.1,142.1,142.5,142.5,1200.0,1.71
1998-04-03,141.0,143.5,141.0,142.5,142.5,900.0,1.28
1998-04-06,140.6,142.45,139.1,142.0,141.9,4600.0,6.47
1998-04-07,145.0,146.5,142.0,145.25,145.85,3900.0,5.63
1998-04-09,159.9,160.45,158.0,160.45,160.45,2700.0,4.33
1998-04-10,162.0,176.5,162.0,176.0,175.9,23500.0,40.04
1998-04-13,179.0,181.4,170.0,180.5,180.5,7400.0,13.23
1998-04-15,188.0,198.1,188.0,198.0,196.15,16100.0,31.6
1998-04-16,203.0,203.0,182.0,185.6,186.55,8500.0,16.34
1998-04-17,181.1,185.0,178.0,185.0,185.0,5600.0,10.16
1998-04-20,179.0,191.0,179.0,188.0,188.45,8300.0,15.67
1998-04-21,190.0,197.0,186.5,197.0,192.65,10200.0,19.56
1998-04-22,208.5,208.5,187.0,187.0,187.35,10400.0,20.41
1998-04-23,183.0,191.0,182.0,184.1,184.5,4800.0,8.83
1998-04-24,183.0,183.0,174.5,180.0,180.0,5600.0,9.93
1998-04-27,184.0,188.0,178.0,179.0,178.5,3500.0,6.32
1998-04-28,178.0,180.0,175.0,180.0,178.25,4200.0,7.43
1998-04-29,181.0,182.0,179.0,180.9,179.9,3100.0,5.58
1998-04-30,177.0,178.5,174.0,178.5,177.2,3700.0,6.5
1998-05-04,190.0,194.95,187.05,194.25,194.25,8000.0,15.48
1998-05-05,200.0,203.0,193.0,202.0,199.7,14100.0,27.82
1998-05-06,204.0,211.0,198.25,204.0,205.15,23600.0,48.62
1998-05-08,202.9,203.0,200.0,201.6,202.15,6600.0,13.31
1998-05-11,199.0,202.0,198.0,199.95,199.95,4000.0,7.99
1998-05-12,196.0,196.5,185.0,190.0,188.2,10300.0,19.51
1998-05-13,180.5,185.0,180.5,180.5,181.05,3800.0,6.96
1998-05-14,179.0,185.75,170.1,185.0,185.0,3700.0,6.6
1998-05-15,189.5,189.5,184.0,185.0,185.0,2100.0,3.9
1998-05-18,185.95,186.9,185.0,186.4,185.6,3300.0,6.12
1998-05-19,191.0,192.0,186.0,188.5,187.7,3500.0,6.6
1998-05-20,191.0,199.85,191.0,195.6,196.45,5200.0,10.2
1998-05-21,197.0,198.0,192.0,193.0,193.0,3500.0,6.77
1998-05-22,191.0,191.0,182.0,186.5,186.3,1500.0,2.81
1998-05-25,188.0,188.1,186.0,186.0,186.0,800.0,1.5
1998-05-26,185.0,186.5,181.6,182.0,183.75,4100.0,7.57
1998-05-27,183.5,187.5,181.05,184.0,182.05,2000.0,3.67
1998-05-28,185.0,185.0,180.0,182.5,181.2,1500.0,2.73
1998-05-29,178.0,181.9,177.1,178.6,178.6,2000.0,3.58
1998-06-01,180.0,195.0,180.0,185.0,185.95,4700.0,8.81
1998-06-02,181.0,181.95,172.0,172.0,175.85,2400.0,4.28
1998-06-03,180.0,180.5,175.0,180.0,179.65,1300.0,2.33
1998-06-04,181.9,184.0,180.15,180.15,180.15,800.0,1.45
