Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1997-07-04,60.0,60.0,60.0,,,,
2007-08-20,544.9,544.9,466.0,498.0,484.0,105443.0,507.45
2007-08-21,483.0,489.95,465.0,470.0,468.3,4401.0,20.92
2007-08-22,482.0,487.0,445.0,475.0,472.45,586.0,2.74
2007-08-23,487.9,487.9,450.1,454.95,452.15,1196.0,5.67
2007-08-24,475.0,498.0,467.0,474.9,474.75,5296.0,25.06
2007-08-27,484.0,499.0,484.0,499.0,490.7,2414.0,11.82
2007-08-28,497.0,503.95,485.0,485.0,488.25,1105.0,5.43
2007-08-29,489.85,495.0,483.0,493.0,487.4,905.0,4.42
2007-08-30,493.0,527.0,489.0,497.1,501.65,6542.0,33.16
2007-08-31,520.0,535.0,508.1,516.0,513.55,6002.0,31.33
2007-09-03,533.0,533.0,500.0,503.0,503.3,3142.0,16.03
2007-09-04,432.05,513.0,432.05,510.0,506.35,3921.0,19.91
2007-09-05,521.0,521.0,495.0,495.0,495.0,4034.0,20.15
2007-09-06,503.0,518.5,500.0,518.5,515.55,2101.0,10.76
2007-09-07,538.0,538.0,506.0,514.0,506.5,1235.0,6.33
2007-09-10,503.0,520.0,503.0,520.0,517.55,1829.0,9.39
2007-09-11,524.0,528.0,507.0,511.5,508.2,1571.0,8.06
2007-09-12,515.0,524.95,510.0,518.95,516.65,2116.0,10.96
2007-09-13,510.0,519.0,501.55,505.0,505.0,4321.0,21.97
2007-09-14,450.0,505.0,450.0,499.0,500.5,3557.0,17.88
2007-09-17,508.0,508.0,496.0,501.0,500.0,973.0,4.88
2007-09-18,505.0,505.0,496.05,505.0,501.4,1225.0,6.13
2007-09-19,513.0,513.0,495.0,498.05,500.8,3372.0,16.93
2007-09-20,505.0,517.95,498.1,507.0,505.3,8435.0,42.62
2007-09-21,510.0,510.0,490.0,506.0,498.7,4266.0,21.44
2007-09-24,506.0,506.0,495.0,502.95,503.3,1235.0,6.17
2007-09-25,503.0,505.0,492.0,504.0,504.2,1096.0,5.48
2007-09-26,500.0,505.0,470.0,478.0,474.1,11485.0,55.9
2007-09-27,513.0,513.0,475.1,489.0,491.15,5861.0,29.18
2007-09-28,508.0,508.0,487.0,488.35,489.7,1973.0,9.78
