Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,187.0,187.0,185.0,,,,
1998-03-23,190.0,191.9,185.0,185.0,185.0,1750.0,3.27
1998-03-24,186.0,190.0,185.95,187.0,186.35,9300.0,17.56
1998-03-25,193.9,205.0,193.9,205.0,205.0,30350.0,60.93
1998-03-26,215.0,224.8,210.0,212.0,212.2,21350.0,46.15
1998-03-27,205.0,213.0,205.0,210.0,209.75,5800.0,12.2
1998-03-30,215.0,215.0,204.0,204.0,204.75,6300.0,13.3
1998-03-31,199.0,202.0,191.0,191.0,192.4,8900.0,17.4
1998-04-01,201.0,207.75,200.0,206.75,206.75,5300.0,10.93
1998-04-02,214.0,214.0,205.0,206.55,206.55,2150.0,4.48
1998-04-03,209.0,217.5,204.5,214.0,214.0,5600.0,11.88
1998-04-06,220.0,225.0,218.0,220.1,220.0,14300.0,31.75
1998-04-07,220.0,223.75,217.5,217.5,219.65,5200.0,11.48
1998-04-09,226.0,230.0,223.25,225.0,224.9,11250.0,25.44
1998-04-10,230.0,233.9,224.95,225.0,227.45,18200.0,41.99
1998-04-13,220.5,226.9,220.0,220.25,221.15,9400.0,21.01
1998-04-15,235.0,243.25,234.0,243.25,242.8,16000.0,38.53
1998-04-16,248.9,249.9,234.5,237.95,237.9,6650.0,15.92
1998-04-17,235.0,235.0,227.25,229.25,229.5,4900.0,11.27
1998-04-20,228.0,240.0,225.0,234.0,234.7,7150.0,16.76
1998-04-21,238.0,240.0,223.2,232.0,227.75,9350.0,21.65
1998-04-22,244.0,250.25,239.0,239.0,239.9,14750.0,36.22
1998-04-23,237.0,238.0,225.35,225.35,225.35,3650.0,8.5
1998-04-24,240.0,240.0,210.0,219.0,219.0,2650.0,5.78
1998-04-27,225.0,225.0,216.0,216.0,217.05,3050.0,6.71
1998-04-28,212.0,218.0,208.0,212.5,212.55,4850.0,10.33
1998-04-29,220.0,228.0,210.0,210.0,210.9,3300.0,7.17
1998-04-30,211.3,216.0,209.0,216.0,216.0,2850.0,6.02
1998-05-04,230.0,230.0,217.5,217.5,218.7,1950.0,4.28
1998-05-05,217.95,220.25,214.0,220.0,217.1,5400.0,11.78
1998-05-06,220.0,224.0,216.0,216.0,216.6,5100.0,11.22
1998-05-08,216.5,216.5,212.5,214.0,214.0,1100.0,2.36
1998-05-11,214.0,214.0,211.0,211.0,211.35,900.0,1.92
1998-05-12,207.0,207.0,198.0,200.0,199.95,2200.0,4.47
1998-05-13,195.0,203.0,195.0,197.5,198.1,2850.0,5.68
1998-05-14,190.0,205.0,190.0,205.0,205.0,6300.0,12.65
1998-05-15,215.0,215.0,202.0,207.0,206.95,700.0,1.44
1998-05-18,205.0,205.0,198.25,198.25,198.25,650.0,1.31
1998-05-19,200.0,203.1,200.0,200.1,201.3,1300.0,2.62
1998-05-20,200.0,221.0,200.0,220.0,217.5,4350.0,9.32
1998-05-21,219.0,219.0,206.0,208.0,208.0,1350.0,2.88
1998-05-22,210.0,215.85,207.5,207.5,207.75,450.0,0.95
1998-05-25,198.05,216.0,198.05,212.0,214.2,1750.0,3.7
1998-05-26,212.0,212.0,207.6,207.6,208.3,1700.0,3.55
1998-05-27,206.0,214.0,206.0,212.0,212.0,1500.0,3.17
1998-05-28,211.5,211.5,206.0,208.0,207.35,700.0,1.46
1998-05-29,200.0,208.0,200.0,203.0,203.05,650.0,1.32
1998-06-01,210.0,210.0,203.0,203.0,203.0,1350.0,2.78
1998-06-02,203.0,203.0,190.1,198.0,198.15,3550.0,7.03
1998-06-03,200.0,200.0,195.0,197.0,197.6,4950.0,9.77
1998-06-04,191.5,200.0,190.0,195.0,195.0,8600.0,16.77
1998-06-05,195.0,195.0,190.0,194.5,194.5,4350.0,8.39
1998-06-08,183.0,190.0,181.0,190.0,190.0,2900.0,5.43
1998-06-09,177.0,193.7,177.0,190.05,190.15,6200.0,11.78
1998-06-10,190.05,194.0,185.0,189.0,189.5,1650.0,3.09
1998-06-11,185.0,189.85,185.0,188.0,188.0,1600.0,2.99
1998-06-12,185.1,190.0,185.05,190.0,190.0,600.0,1.12
1998-06-15,185.05,187.9,182.0,185.0,185.85,1500.0,2.77
1998-06-16,175.0,181.0,175.0,180.0,180.0,1700.0,3.06
1998-06-17,185.0,190.0,185.0,190.0,190.0,150.0,0.28
1998-06-18,195.0,195.0,180.0,180.0,180.0,600.0,1.11
1998-06-22,165.0,175.0,165.0,175.0,175.0,800.0,1.4
1998-06-23,174.0,174.0,165.0,165.0,165.05,400.0,0.67
1998-06-24,178.0,178.0,170.0,170.0,170.0,200.0,0.35
1998-06-25,180.0,180.0,178.0,178.0,178.0,150.0,0.27
1998-06-26,182.75,182.75,178.0,178.0,178.0,100.0,0.18
1998-06-29,170.0,172.5,170.0,172.0,172.0,150.0,0.26
1998-06-30,170.0,170.0,165.0,165.0,165.0,100.0,0.17
1998-07-01,171.5,171.5,171.5,171.5,171.5,50.0,0.09
1998-07-02,168.5,168.5,165.0,165.0,165.0,250.0,0.42
1998-07-03,163.1,165.15,160.05,160.05,161.4,350.0,0.57
1998-07-06,160.5,161.0,160.0,160.0,160.0,850.0,1.36
1998-07-07,161.0,167.0,159.0,163.0,164.35,1250.0,2.02
1998-07-08,173.0,177.5,172.0,177.5,177.5,1450.0,2.53
1998-07-09,189.5,191.5,186.5,189.9,189.65,3100.0,5.88
1998-07-10,195.0,199.9,194.15,198.75,198.75,1150.0,2.27
1998-07-13,204.7,210.4,191.5,191.5,191.8,2250.0,4.54
1998-07-14,190.0,200.0,190.0,200.0,199.45,1400.0,2.75
1998-07-15,199.0,200.0,190.0,192.1,192.1,1950.0,3.82
1998-07-16,189.0,194.0,189.0,192.0,192.0,2300.0,4.42
1998-07-17,194.0,194.0,191.0,191.0,191.0,1250.0,2.4
1998-07-20,190.5,191.0,187.25,189.5,189.5,750.0,1.42
1998-07-21,188.55,189.9,187.0,187.0,188.55,550.0,1.04
1998-07-22,184.0,185.0,180.0,185.0,185.0,800.0,1.46
1998-07-23,180.1,180.1,175.0,175.0,176.65,1350.0,2.39
1998-07-24,177.0,178.0,175.5,175.5,175.5,400.0,0.71
1998-07-27,171.0,173.9,170.0,170.0,170.0,550.0,0.94
1998-07-28,170.0,172.5,170.0,172.5,172.5,350.0,0.6
1998-07-29,172.0,173.0,172.0,173.0,173.0,350.0,0.6
1998-07-30,179.5,180.0,173.0,173.0,173.0,850.0,1.5
1998-07-31,182.0,184.75,180.0,180.0,180.3,3050.0,5.56
1998-08-03,180.0,181.75,178.0,180.9,180.9,1450.0,2.6
1998-08-04,178.0,179.0,176.0,177.0,176.35,600.0,1.06
1998-08-05,174.0,174.95,172.3,172.3,172.3,400.0,0.7
1998-08-06,174.25,174.95,170.5,174.3,174.3,1250.0,2.16
1998-08-07,170.0,172.0,169.0,172.0,172.0,850.0,1.45
1998-08-10,170.0,170.0,161.0,162.5,161.3,950.0,1.58
1998-08-11,158.0,162.0,152.0,162.0,157.05,3700.0,5.78
1998-08-12,156.5,156.5,156.0,156.0,156.0,200.0,0.31
1998-08-13,155.5,159.45,155.5,159.45,159.45,300.0,0.47
1998-08-14,162.4,162.4,160.0,161.0,161.7,950.0,1.53
1998-08-17,160.0,160.0,158.0,160.0,160.0,350.0,0.56
1998-08-18,156.0,156.0,152.5,152.5,152.75,550.0,0.85
1998-08-21,164.55,164.55,155.35,155.35,155.35,350.0,0.56
1998-08-24,154.0,154.0,154.0,154.0,154.0,50.0,0.08
1998-08-25,154.15,161.6,154.15,161.6,161.6,350.0,0.55
1998-08-27,162.0,164.5,162.0,164.5,164.5,150.0,0.24
1998-08-28,158.0,158.0,157.0,157.0,157.0,250.0,0.39
1998-08-31,160.0,161.5,160.0,161.5,161.5,300.0,0.48
1998-09-01,159.0,160.0,158.0,160.0,160.0,300.0,0.48
1998-09-02,160.35,160.35,157.6,157.6,157.6,100.0,0.16
1998-09-03,156.0,156.0,155.0,155.0,155.0,100.0,0.16
1998-09-04,152.75,152.75,152.1,152.1,152.1,250.0,0.38
1998-09-08,159.9,159.9,158.0,159.4,159.4,250.0,0.4
1998-09-09,167.95,170.0,166.05,169.0,168.0,750.0,1.27
1998-09-10,170.0,181.35,170.0,181.35,181.35,750.0,1.33
1998-09-11,180.0,183.5,171.0,183.5,182.6,1900.0,3.34
1998-09-14,193.9,193.9,182.55,185.0,185.0,2350.0,4.43
1998-09-15,180.05,180.05,172.0,172.0,172.1,3100.0,5.45
1998-09-16,173.0,173.0,168.0,168.0,168.15,2150.0,3.68
1998-09-17,167.0,169.5,167.0,169.5,169.25,150.0,0.25
1998-09-18,170.0,170.0,164.5,164.5,167.35,1650.0,2.76
1998-09-21,167.75,167.8,160.0,161.0,161.0,1700.0,2.75
1998-09-22,160.5,160.5,157.0,157.0,158.0,2350.0,3.74
1998-09-23,160.0,160.0,160.0,160.0,160.0,1550.0,2.48
1998-09-24,167.95,167.95,159.0,160.0,160.0,10250.0,16.43
1998-09-25,161.95,161.95,158.4,159.0,159.0,2850.0,4.55
1998-09-28,162.9,162.9,158.0,159.0,159.0,2450.0,3.93
1998-09-29,160.95,160.95,152.0,157.0,154.55,2150.0,3.37
1998-09-30,160.0,164.8,160.0,164.8,164.8,1300.0,2.09
1998-10-05,158.0,159.95,155.0,156.0,155.85,1950.0,3.05
1998-10-06,155.0,162.0,155.0,161.0,161.0,850.0,1.36
1998-10-07,164.5,172.25,163.0,170.0,170.2,2800.0,4.71
1998-10-08,169.0,169.0,160.0,160.0,160.0,2450.0,4.02
1998-10-09,159.0,161.0,159.0,160.55,160.55,650.0,1.04
1998-10-12,160.0,160.5,157.0,157.0,159.25,1400.0,2.23
1998-10-13,158.9,159.75,151.0,151.0,153.45,1300.0,2.04
1998-10-14,155.0,155.55,155.0,155.5,155.5,150.0,0.23
1998-10-15,158.0,158.0,158.0,158.0,158.0,550.0,0.87
1998-10-16,158.25,160.0,158.25,160.0,160.0,600.0,0.96
1998-10-19,159.0,159.9,159.0,159.9,159.3,150.0,0.24
1998-10-20,150.5,154.0,148.0,153.0,153.0,550.0,0.83
1998-10-23,158.0,162.0,158.0,160.0,160.0,450.0,0.72
1998-10-26,169.0,172.8,161.0,172.8,172.8,3550.0,6.04
1998-10-27,176.0,177.25,171.95,175.0,174.95,2000.0,3.49
1998-10-28,175.0,183.0,174.0,176.3,175.85,1400.0,2.47
1998-10-29,174.5,179.9,170.0,179.9,178.8,1800.0,3.16
1998-10-30,179.85,193.1,179.8,193.1,193.1,9950.0,19.02
1998-10-31,199.0,208.5,197.7,200.0,201.3,4250.0,8.69
1998-11-02,204.0,204.0,192.5,193.6,194.3,6350.0,12.43
1998-11-03,191.75,196.0,181.0,186.9,183.5,4500.0,8.48
1998-11-05,186.0,190.9,186.0,188.75,188.75,1650.0,3.12
1998-11-06,185.0,187.45,180.0,180.0,180.8,1250.0,2.29
1998-11-09,179.0,188.0,179.0,185.05,185.05,1450.0,2.67
1998-11-10,187.0,191.0,186.1,190.0,187.8,1900.0,3.58
1998-11-11,192.0,192.0,187.25,187.55,189.7,2000.0,3.79
1998-11-12,185.05,187.0,185.0,186.5,186.5,1300.0,2.41
1998-11-13,190.0,190.0,186.25,187.0,187.0,350.0,0.66
1998-11-16,186.9,188.0,185.5,186.3,186.85,800.0,1.5
1998-11-17,187.95,190.0,186.5,186.5,188.15,1500.0,2.83
1998-11-18,187.0,198.0,187.0,196.9,196.9,2450.0,4.8
1998-11-19,202.0,203.0,196.0,200.1,200.1,4200.0,8.42
1998-11-20,198.55,199.0,195.0,195.0,195.0,2600.0,5.12
1998-11-21,197.95,198.3,197.95,198.3,198.3,300.0,0.59
1998-11-23,197.6,197.95,194.1,194.65,194.65,1600.0,3.13
1998-11-24,195.7,198.0,194.0,194.0,194.0,2500.0,4.89
1998-11-26,195.0,195.0,190.05,190.05,190.05,800.0,1.54
1998-11-27,185.05,188.0,184.95,184.95,184.95,1100.0,2.04
1998-11-28,185.5,188.95,185.5,188.95,188.95,100.0,0.19
1998-11-30,187.0,189.95,187.0,187.3,187.3,500.0,0.94
1998-12-01,192.0,192.0,188.0,192.0,192.0,500.0,0.95
1998-12-02,191.0,191.0,189.0,190.5,190.5,800.0,1.53
1998-12-04,186.5,189.7,186.5,189.7,189.7,250.0,0.47
1998-12-07,191.9,191.9,188.65,188.65,188.65,350.0,0.67
1998-12-08,192.0,193.0,188.15,193.0,193.0,1200.0,2.29
1998-12-09,194.0,200.0,194.0,195.0,195.0,2650.0,5.21
1998-12-10,197.0,198.5,194.0,196.5,196.5,5400.0,10.58
1998-12-11,196.5,196.5,193.0,194.5,194.5,350.0,0.68
1998-12-14,190.0,192.0,189.0,190.0,190.0,1300.0,2.48
1998-12-15,186.0,189.0,184.0,184.0,184.0,1800.0,3.35
1998-12-16,190.0,190.0,190.0,190.0,190.0,200.0,0.38
1998-12-17,186.0,187.5,186.0,187.0,187.0,700.0,1.31
1998-12-18,185.15,189.85,185.0,188.0,188.0,1250.0,2.33
1998-12-21,192.0,192.0,192.0,192.0,192.0,50.0,0.1
1998-12-22,198.0,198.0,191.0,192.0,192.0,700.0,1.35
1998-12-23,190.0,191.0,190.0,191.0,191.0,150.0,0.29
1998-12-24,191.95,192.0,187.75,188.5,188.5,650.0,1.23
1998-12-28,195.0,195.0,189.25,189.25,189.25,600.0,1.15
1998-12-29,187.5,190.0,185.0,186.0,186.0,500.0,0.94
1998-12-30,191.0,191.0,187.0,189.0,189.0,1600.0,3.03
1998-12-31,190.0,191.0,189.95,189.95,189.95,550.0,1.05
1999-01-01,188.2,190.0,186.25,190.0,190.0,650.0,1.22
1999-01-04,189.75,190.0,188.5,189.5,189.5,1750.0,3.32
1999-01-05,189.85,193.0,189.85,190.15,190.15,2750.0,5.26
1999-01-06,198.0,200.0,195.05,195.05,195.05,1850.0,3.66
1999-01-07,200.0,202.0,198.0,200.0,200.0,2200.0,4.41
1999-01-08,204.0,204.0,198.05,200.0,200.0,1800.0,3.61
1999-01-11,198.05,205.0,197.1,202.25,202.25,3150.0,6.39
1999-01-12,200.0,203.0,195.1,199.95,199.95,2750.0,5.49
1999-01-13,198.0,215.0,197.0,215.0,215.0,6300.0,13.16
1999-01-14,215.0,222.0,209.05,210.0,210.0,6850.0,14.67
1999-01-15,214.25,214.25,206.0,207.0,207.0,1850.0,3.85
1999-01-18,204.15,208.0,201.9,206.0,206.0,2300.0,4.71
1999-01-19,209.9,209.9,203.0,204.25,204.25,4400.0,9.04
1999-01-21,205.0,211.0,205.0,206.0,206.0,5000.0,10.41
1999-01-22,211.95,215.0,204.0,204.0,204.0,3100.0,6.5
