Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-07-28,598.8,598.8,86.0,103.7,104.8,20312611.0,22742.77
2010-07-29,104.0,106.8,95.5,96.3,97.4,6921640.0,6962.63
2010-07-30,96.1,99.35,80.15,89.65,89.75,13258044.0,11974.73
2010-08-02,91.0,91.8,72.6,74.6,74.05,13133453.0,10566.12
2010-08-03,74.0,75.05,66.7,66.9,67.3,7225944.0,5017.0
2010-08-04,65.0,72.3,64.25,70.5,70.35,11268506.0,7803.88
2010-08-05,71.0,72.2,69.0,69.25,69.35,2710594.0,1914.7
2010-08-06,69.45,69.8,66.65,66.85,67.2,1333759.0,908.21
2010-08-09,67.85,70.9,67.0,70.55,70.3,2066401.0,1438.81
2010-08-10,70.0,71.3,69.05,70.25,70.05,1088485.0,763.0
2010-08-11,70.4,70.65,67.5,67.75,67.7,552086.0,380.0
2010-08-12,67.7,68.0,66.4,66.5,66.8,428947.0,287.14
2010-08-13,66.8,68.45,65.25,65.5,65.95,620074.0,415.25
2010-08-16,66.0,66.45,62.85,63.5,63.6,391309.0,252.52
2010-08-17,65.05,65.05,61.6,62.25,62.25,414013.0,260.31
2010-08-18,62.55,64.5,61.7,62.45,62.7,493075.0,311.16
2010-08-19,63.2,63.95,62.2,62.4,62.45,312971.0,196.85
2010-08-20,62.45,63.65,62.2,63.15,63.1,362548.0,228.64
2010-08-23,63.1,63.9,61.05,61.65,62.0,202776.0,126.71
2010-08-24,62.0,62.5,59.9,60.15,60.05,303969.0,184.56
2010-08-25,60.0,60.05,58.0,58.0,58.15,249093.0,145.87
2010-08-26,58.35,58.55,56.0,56.15,56.3,229620.0,131.41
2010-08-27,56.2,56.6,54.2,54.8,54.6,365081.0,201.09
2010-08-30,55.5,55.5,52.8,53.3,53.0,254620.0,136.24
2010-08-31,52.95,56.9,51.0,54.2,54.1,1028349.0,560.59
2010-09-01,54.3,59.55,54.15,59.55,59.55,465799.0,268.25
2010-09-02,64.4,64.4,57.0,57.8,57.95,1141113.0,694.91
2010-09-03,58.0,61.7,56.6,58.3,58.15,714280.0,422.1
2010-09-06,59.0,60.5,58.35,58.65,58.85,294711.0,174.86
2010-09-07,59.1,61.05,58.6,58.75,58.85,543303.0,324.61
2010-09-08,58.7,61.85,58.1,60.2,60.15,779286.0,471.3
2010-09-09,60.8,61.3,59.5,59.55,59.9,246245.0,148.55
2010-09-13,60.0,61.1,59.0,59.2,59.4,414480.0,249.27
2010-09-14,59.2,59.8,57.7,57.8,57.95,231570.0,135.5
2010-09-15,58.0,58.1,56.5,56.5,56.75,160859.0,92.03
2010-09-16,56.8,58.15,56.0,56.45,56.4,198766.0,113.09
2010-09-17,56.4,58.6,56.2,56.65,56.75,249291.0,142.97
2010-09-20,56.6,57.8,56.15,56.4,56.6,248671.0,141.35
2010-09-21,57.0,57.2,55.5,55.7,55.65,168054.0,94.24
2010-09-22,55.25,57.4,55.25,55.5,55.9,294839.0,166.04
2010-09-23,56.0,56.2,54.4,54.7,54.9,149436.0,82.71
2010-09-24,54.9,56.8,54.9,55.2,55.3,217740.0,121.75
2010-09-27,55.55,56.25,55.0,55.2,55.2,112584.0,62.54
2010-09-28,56.3,56.5,55.1,55.35,55.25,199642.0,111.13
2010-09-29,55.3,55.9,54.1,54.1,54.25,102548.0,56.33
2010-09-30,54.3,54.3,52.1,52.3,52.65,231077.0,122.89
2010-10-01,53.2,54.5,45.0,52.7,52.85,315070.0,166.95
2010-10-04,52.5,56.0,52.5,55.5,55.55,348664.0,190.76
2010-10-05,55.0,56.05,53.85,54.2,54.35,271751.0,148.72
2010-10-06,55.0,56.45,54.45,54.7,54.75,164674.0,91.03
2010-10-07,55.0,55.4,54.0,54.2,54.3,79386.0,43.44
2010-10-08,54.8,54.8,53.0,53.1,53.1,96794.0,52.01
2010-10-11,57.0,57.0,53.25,53.5,53.65,71355.0,38.43
2010-10-12,53.4,53.9,53.0,53.0,53.2,84355.0,45.12
2010-10-13,53.9,55.1,53.2,54.6,54.7,218791.0,118.96
2010-10-14,55.0,55.4,53.0,53.1,53.25,103238.0,55.76
2010-10-15,52.3,53.6,52.3,52.5,52.7,108762.0,57.58
2010-10-18,52.5,52.8,48.7,52.2,52.3,97422.0,50.48
2010-10-19,52.9,53.15,51.4,51.6,51.65,80959.0,42.31
2010-10-20,51.4,51.95,51.1,51.7,51.7,67998.0,35.06
2010-10-21,52.0,52.0,50.8,51.1,51.1,103400.0,53.06
