Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-08-03,279.0,279.0,260.0,263.05,268.6,47217.0,126.53
2006-08-04,270.0,270.0,255.0,255.0,257.75,2540.0,6.64
2006-08-07,258.0,258.0,248.0,249.05,255.05,1653.0,4.21
2006-08-08,249.4,257.85,249.4,250.0,253.3,6492.0,16.5
2006-08-09,253.0,259.0,251.0,258.0,258.5,1681.0,4.32
2006-08-10,264.9,264.9,254.1,254.1,255.0,192.0,0.49
2006-08-11,267.0,268.0,255.5,260.15,260.3,3903.0,10.25
2006-08-14,263.0,263.0,254.1,256.5,255.6,774.0,1.99
2006-08-16,256.0,267.9,256.0,260.0,264.25,17580.0,46.1
2006-08-17,270.0,270.0,251.0,266.1,265.1,4715.0,12.46
2006-08-18,259.8,268.3,259.8,263.0,264.45,883.0,2.33
2006-08-21,259.0,268.0,259.0,267.0,267.0,120.0,0.32
2006-08-22,263.0,263.0,258.9,262.9,261.0,220.0,0.57
2006-08-23,244.0,265.5,244.0,260.0,260.0,25685.0,66.8
2006-08-24,253.0,261.9,253.0,255.0,255.0,956.0,2.44
2006-08-25,256.0,259.95,245.5,252.0,253.45,1562.0,3.96
2006-08-28,257.0,264.8,252.5,258.0,258.15,1429.0,3.7
2006-08-29,262.0,262.0,250.5,256.95,254.1,477.0,1.21
2006-08-30,255.85,274.0,255.85,263.0,265.2,6050.0,16.24
2006-08-31,252.0,266.0,251.1,266.0,265.1,2700.0,7.12
2006-09-01,257.0,273.25,255.55,272.0,271.25,20414.0,54.85
2006-09-04,274.0,274.0,263.0,267.0,267.0,269.0,0.73
2006-09-05,266.0,273.85,265.1,266.95,266.9,129.0,0.34
2006-09-06,262.0,264.7,260.0,261.0,261.1,400.0,1.05
2006-09-07,253.7,258.0,253.7,255.0,255.25,360.0,0.92
2006-09-08,269.5,269.5,252.0,253.3,258.25,2185.0,5.63
2006-09-11,253.0,253.0,245.3,246.5,247.05,853.0,2.13
2006-09-12,247.0,251.0,245.0,246.0,246.0,830.0,2.06
2006-09-13,246.0,254.45,246.0,254.45,248.15,904.0,2.25
2006-09-14,245.0,256.95,244.15,248.0,248.0,1582.0,3.94
2006-09-15,244.0,270.0,238.0,270.0,261.5,10296.0,26.2
2006-09-18,255.05,270.0,255.05,258.15,261.75,39876.0,105.23
2006-09-19,261.85,263.0,245.0,245.0,247.6,2439.0,6.21
2006-09-20,247.0,258.6,247.0,253.0,252.25,902.0,2.29
2006-09-21,269.8,269.8,247.0,256.0,254.2,1786.0,4.5
2006-09-22,253.1,265.0,253.1,257.0,261.75,4723.0,12.35
2006-09-25,255.0,264.9,254.1,260.05,259.35,1851.0,4.8
2006-09-26,258.0,269.5,255.5,269.5,267.6,8955.0,23.9
2006-09-27,255.85,275.8,255.85,261.2,261.0,11502.0,30.74
2006-09-28,269.8,274.5,263.05,264.0,264.35,610.0,1.65
2006-09-29,256.1,273.0,256.1,270.0,267.9,7682.0,20.42
2006-10-03,254.0,272.4,254.0,265.5,261.15,2978.0,7.85
2006-10-04,260.65,263.7,255.0,255.0,255.9,1135.0,2.93
2006-10-05,260.0,264.5,260.0,262.5,261.8,664.0,1.74
2006-10-06,267.6,288.0,264.9,284.1,283.55,20006.0,55.52
2006-10-09,319.0,320.0,295.0,295.25,295.75,24646.0,74.16
2006-10-10,296.0,299.0,288.3,295.9,295.05,12614.0,37.19
2006-10-11,301.0,301.5,285.1,286.0,286.75,949.0,2.76
2006-10-12,280.0,299.0,275.05,297.0,297.0,3817.0,11.2
2006-10-13,297.0,297.0,286.0,297.0,296.65,5400.0,15.98
2006-10-16,292.0,299.0,285.0,299.0,293.25,1920.0,5.6
2006-10-17,286.0,304.9,286.0,304.25,300.45,4241.0,12.69
2006-10-18,309.8,309.8,298.0,300.0,298.4,3031.0,9.05
2006-10-19,300.0,300.0,292.6,298.8,293.15,280.0,0.82
2006-10-20,350.0,350.0,287.0,300.0,295.5,1791.0,5.38
2006-10-21,304.0,304.0,286.05,297.0,296.25,345.0,1.02
2006-10-23,302.0,302.0,287.0,295.0,291.8,2255.0,6.57
2006-10-26,297.0,302.0,272.05,299.9,299.25,1828.0,5.42
2006-10-27,299.0,310.0,296.0,300.0,299.6,34141.0,102.63
2006-10-30,300.0,301.75,295.0,295.0,296.0,7045.0,21.09
2006-10-31,290.0,298.0,276.1,284.9,284.05,3169.0,9.06
2006-11-01,281.15,287.95,281.15,285.25,285.35,822.0,2.34
2006-11-02,286.0,302.0,282.0,299.0,290.9,3673.0,10.65
2006-11-03,291.0,304.8,291.0,296.9,296.55,7055.0,21.17
2006-11-06,300.0,300.0,290.0,296.0,294.15,987.0,2.9
2006-11-07,298.0,298.0,291.0,291.0,291.0,438.0,1.28
2006-11-08,290.5,302.0,285.2,300.0,298.25,2717.0,8.05
2006-11-09,289.3,299.0,280.0,298.0,292.5,2964.0,8.67
2006-11-10,286.7,295.0,280.0,280.0,284.85,5074.0,14.46
2006-11-13,285.0,293.0,284.0,289.95,289.8,11973.0,34.39
2006-11-14,286.0,295.0,280.1,284.0,287.55,1262.0,3.62
2006-11-15,283.0,298.4,282.0,298.4,290.15,1875.0,5.38
2006-11-16,288.0,292.0,278.0,289.5,287.35,1457.0,4.17
2006-11-17,281.0,288.0,277.1,288.0,285.45,1389.0,3.94
2006-11-20,275.2,288.8,271.0,272.0,278.3,6301.0,17.46
2006-11-21,271.0,272.2,265.1,265.1,266.6,5533.0,14.92
2006-11-22,266.0,280.0,265.0,265.0,273.95,41129.0,111.26
2006-11-23,270.0,278.0,267.05,267.05,271.4,1688.0,4.61
2006-11-24,276.0,291.0,275.0,290.0,289.8,9203.0,26.38
2006-11-27,276.4,292.95,276.4,285.5,286.35,12304.0,35.63
2006-11-28,267.1,293.75,267.1,279.9,279.55,5404.0,15.17
2006-11-29,281.0,284.0,275.5,279.8,277.6,2569.0,7.21
2006-11-30,281.5,281.5,267.0,270.0,268.85,2310.0,6.27
2006-12-01,308.9,308.9,267.1,270.0,269.15,2827.0,8.03
2006-12-04,279.35,279.35,258.1,258.15,259.4,13241.0,34.63
2006-12-05,260.0,263.4,257.05,261.0,260.4,2549.0,6.66
2006-12-06,256.0,266.0,255.0,256.9,256.45,2921.0,7.56
2006-12-07,274.0,279.15,245.0,246.1,247.55,8298.0,21.09
2006-12-08,255.0,279.9,247.0,262.4,265.6,15910.0,42.64
2006-12-11,279.0,279.0,252.0,256.1,259.5,6120.0,15.82
2006-12-12,267.85,267.85,241.0,242.1,242.65,7724.0,19.43
2006-12-13,233.1,247.4,232.0,239.0,242.35,6880.0,16.51
2006-12-14,249.95,259.9,235.5,247.9,246.15,9955.0,24.78
2006-12-15,247.0,256.0,240.0,247.15,249.25,243902.0,609.46
2006-12-18,252.0,252.0,244.0,244.0,244.8,1831.0,4.53
2006-12-19,242.05,248.8,242.05,245.0,246.15,687.0,1.68
2006-12-20,244.5,247.0,240.1,242.0,241.6,361.0,0.88
2006-12-21,245.0,246.0,240.15,242.3,243.25,312.0,0.76
2006-12-22,242.25,246.0,238.0,238.0,238.45,4047.0,9.73
2006-12-26,242.0,247.9,236.0,237.0,236.95,5457.0,13.02
2006-12-27,242.0,252.15,241.0,245.5,248.25,7252.0,17.91
