Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-12-15,498.7,498.7,476.0,480.0,478.9,3974.0,19.3
2005-12-16,485.0,485.0,465.0,465.0,470.85,4566.0,21.75
2005-12-19,475.0,482.95,470.0,470.0,476.1,2247.0,10.7
2005-12-20,475.0,483.9,475.0,483.9,483.9,250.0,1.2
2005-12-21,479.0,482.0,474.0,480.0,477.65,929.0,4.46
2005-12-22,480.0,480.0,470.0,470.05,472.0,3793.0,17.99
2005-12-23,473.0,473.8,451.05,457.95,455.5,435.0,2.01
2005-12-26,472.1,472.1,433.05,440.0,440.0,3357.0,14.98
2005-12-27,450.0,468.5,443.0,466.5,457.8,6489.0,29.65
2005-12-28,452.05,460.0,452.05,460.0,460.0,136.0,0.62
2005-12-29,470.0,483.75,467.1,468.05,469.35,2936.0,13.93
2005-12-30,472.0,477.0,471.3,473.5,473.5,2157.0,10.23
2006-01-02,480.0,483.95,472.8,480.0,476.55,1647.0,7.87
2006-01-03,481.0,483.0,474.0,476.5,476.7,1210.0,5.78
2006-01-04,475.0,481.0,467.0,472.0,472.0,304.0,1.45
2006-01-05,472.0,476.95,455.0,455.0,455.8,3186.0,14.65
2006-01-06,465.0,465.0,458.0,462.0,460.45,11017.0,50.63
2006-01-09,460.0,474.95,450.0,465.0,465.6,4448.0,20.87
2006-01-10,474.9,474.9,457.5,457.5,458.6,4820.0,22.18
2006-01-12,437.0,461.0,437.0,456.0,458.55,1332.0,6.1
2006-01-13,459.9,464.0,454.0,462.05,461.5,2753.0,12.65
2006-01-16,464.0,470.0,460.25,460.6,461.0,448.0,2.08
2006-01-17,464.0,470.0,462.2,468.0,467.15,2326.0,10.87
2006-01-18,468.95,469.1,451.0,465.0,465.0,10211.0,47.08
2006-01-19,470.6,485.0,465.0,481.0,481.05,12386.0,59.37
2006-01-20,486.0,518.65,480.05,496.8,493.8,26611.0,132.4
2006-01-23,499.85,532.0,499.85,525.05,525.2,26849.0,140.17
2006-01-24,538.5,552.0,531.05,545.0,546.0,22222.0,120.43
2006-01-25,555.0,555.0,527.0,545.0,544.35,29435.0,158.92
2006-01-27,545.0,546.95,527.05,539.0,533.5,26181.0,141.57
2006-01-30,535.0,535.0,500.05,517.0,514.5,6023.0,31.15
2006-01-31,521.95,521.95,500.0,509.0,505.0,2142.0,10.86
2006-02-01,515.0,523.0,515.0,515.2,518.55,4766.0,24.59
2006-02-02,515.6,555.0,515.6,538.95,539.5,8301.0,44.6
2006-02-03,530.0,536.0,521.1,534.0,529.85,3304.0,17.53
2006-02-06,535.75,549.9,525.0,535.0,534.85,1679.0,9.01
2006-02-07,532.3,539.0,532.3,532.3,532.8,2103.0,11.2
2006-02-08,542.4,544.95,533.5,535.0,539.55,2716.0,14.62
2006-02-10,545.0,549.95,539.0,549.0,546.25,2705.0,14.7
2006-02-13,550.0,555.0,541.0,542.0,543.15,16554.0,89.78
2006-02-14,560.0,560.0,540.0,544.8,542.7,5692.0,31.01
2006-02-15,540.0,558.0,540.0,550.0,550.15,20897.0,115.15
2006-02-16,564.0,574.0,550.4,556.0,560.9,4292.0,24.27
2006-02-17,560.1,585.0,557.0,560.0,560.35,4925.0,27.69
2006-02-20,540.0,561.0,500.05,553.0,553.7,10225.0,56.94
2006-02-21,554.0,571.8,550.0,554.3,553.85,9595.0,53.41
