Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-04-28,130.0,143.0,111.0,140.0,136.75,6678169.0,8895.12
2006-04-29,141.0,164.1,141.0,153.1,153.25,1768717.0,2765.35
2006-05-02,157.0,158.0,143.6,145.0,146.45,1112178.0,1665.75
2006-05-03,145.55,149.3,138.05,138.45,139.4,383205.0,551.82
2006-05-04,139.05,142.75,131.5,132.05,132.95,320967.0,438.03
2006-05-05,137.0,137.0,124.55,125.0,126.25,314377.0,405.49
2006-05-08,127.0,134.9,124.2,130.5,131.15,258174.0,337.24
2006-05-09,131.75,132.5,129.9,130.9,130.2,173772.0,226.78
2006-05-10,130.0,136.5,130.0,132.0,131.0,128259.0,170.35
2006-05-11,125.0,134.0,125.0,130.0,130.05,80532.0,105.4
2006-05-12,130.1,132.3,128.0,128.0,129.45,140154.0,182.13
2006-05-15,131.85,132.0,127.0,129.0,127.75,75405.0,96.6
2006-05-16,129.0,129.45,114.0,128.5,128.15,91652.0,114.0
2006-05-17,129.95,130.9,127.0,127.0,127.75,28950.0,37.17
2006-05-18,128.4,129.95,124.0,125.5,125.85,104391.0,131.93
2006-05-19,125.85,125.85,115.0,119.0,117.5,79146.0,94.26
2006-05-22,117.0,119.75,95.0,115.0,115.15,73575.0,82.48
2006-05-23,106.0,111.9,102.15,109.5,110.2,20142.0,21.92
2006-05-24,107.1,112.0,107.1,111.5,110.25,17420.0,19.19
2006-05-25,109.0,109.0,105.1,106.0,105.9,10378.0,11.04
2006-05-26,108.2,112.0,105.0,109.7,110.15,27949.0,30.55
2006-05-29,112.0,112.0,105.25,108.0,106.8,9451.0,10.22
2006-05-30,106.0,115.0,106.0,109.0,110.2,30527.0,34.08
2006-05-31,106.5,106.95,95.0,104.0,104.0,33113.0,34.0
2006-06-01,105.0,106.7,98.25,101.0,100.75,14003.0,14.26
2006-06-02,99.0,101.0,88.0,93.5,93.55,25089.0,23.7
2006-06-05,94.2,95.0,92.0,93.0,93.1,11685.0,10.88
2006-06-06,96.0,96.0,85.0,85.25,85.75,11652.0,10.18
2006-06-07,81.1,87.8,71.55,73.5,72.75,23670.0,18.56
2006-06-08,65.0,69.0,58.6,61.05,60.65,48643.0,29.69
2006-06-09,60.0,72.4,59.9,68.2,69.1,20755.0,13.84
2006-06-12,70.0,72.0,64.0,64.0,65.25,12530.0,8.48
2006-06-13,64.0,64.0,54.15,61.0,59.9,45403.0,26.32
2006-06-14,63.0,66.0,54.1,60.0,58.25,39589.0,22.89
2006-06-15,59.0,68.5,58.0,63.5,64.4,43396.0,27.45
2006-06-16,68.0,68.0,63.0,64.5,64.55,100340.0,65.22
2006-06-19,60.05,67.0,60.05,66.0,65.9,26497.0,17.29
2006-06-20,66.0,66.75,63.1,64.7,65.3,17242.0,11.21
2006-06-21,65.0,69.9,65.0,69.2,68.95,19719.0,13.51
2006-06-22,69.5,75.0,69.45,69.5,69.6,23048.0,16.55
2006-06-23,67.0,69.8,67.0,69.0,69.05,7584.0,5.22
2006-06-25,69.85,69.85,68.0,68.0,68.25,694.0,0.48
2006-06-26,64.0,69.0,63.15,63.95,63.5,16931.0,11.08
2006-06-27,65.0,65.0,61.6,63.65,63.35,3516.0,2.22
2006-06-28,61.4,64.0,61.4,63.65,62.65,6134.0,3.83
2006-06-29,64.0,64.5,62.6,63.0,63.1,5558.0,3.54
2006-06-30,65.85,67.95,63.6,67.0,67.1,16004.0,10.6
2006-07-03,65.7,67.6,65.7,66.15,66.55,2844.0,1.9
2006-07-04,64.2,67.35,64.2,66.25,66.4,2441.0,1.62
2006-07-05,67.0,68.0,64.8,65.55,65.55,5019.0,3.31
2006-07-06,60.2,66.85,60.2,65.0,65.1,2244.0,1.47
2006-07-07,63.0,66.2,63.0,63.0,64.1,5002.0,3.24
2006-07-10,64.8,64.8,61.05,61.85,62.05,8096.0,5.04
2006-07-11,62.95,62.95,61.15,62.0,61.95,2043.0,1.27
2006-07-12,60.5,72.0,60.5,68.5,69.15,19627.0,13.39
2006-07-13,70.9,70.9,67.0,67.55,68.4,11986.0,8.14
2006-07-14,64.25,69.5,64.25,69.35,68.85,6926.0,4.69
2006-07-17,68.6,75.4,68.6,71.55,72.4,32556.0,23.7
2006-07-18,72.65,74.85,68.15,74.7,74.0,23131.0,16.62
2006-07-19,74.7,75.0,65.6,65.6,67.35,25980.0,18.37
2006-07-20,70.5,72.0,67.5,68.3,69.55,30767.0,21.51
2006-07-21,68.7,69.65,66.0,67.0,67.6,15813.0,10.7
2006-07-24,65.2,65.2,62.0,63.0,63.2,4920.0,3.12
2006-07-25,62.25,64.25,62.25,62.5,63.35,4928.0,3.12
2006-07-26,63.25,65.0,62.3,62.6,63.15,6648.0,4.22
2006-07-27,65.0,65.0,58.0,64.15,64.05,7093.0,4.49
2006-07-28,63.0,63.75,61.0,61.5,61.9,10600.0,6.61
2006-07-31,63.0,65.0,61.1,61.1,61.35,18147.0,11.27
2006-08-01,61.35,62.25,60.25,60.5,60.95,269262.0,162.37
2006-08-02,63.0,64.0,60.5,60.55,60.6,19477.0,12.01
2006-08-03,62.7,62.7,60.3,60.3,60.55,17395.0,10.66
2006-08-04,60.55,61.0,58.05,59.7,58.9,13605.0,8.13
2006-08-07,58.6,61.0,58.6,61.0,59.85,4871.0,2.91
2006-08-08,59.3,61.0,59.15,59.15,59.7,7936.0,4.76
2006-08-09,59.9,60.25,59.2,59.55,59.8,18638.0,11.15
2006-08-10,60.0,66.0,59.15,61.5,63.25,63945.0,40.09
2006-08-11,64.7,67.0,63.0,63.05,63.9,30520.0,19.85
2006-08-14,64.5,71.7,64.1,68.0,69.15,81377.0,55.73
2006-08-16,70.0,82.4,70.0,74.5,73.75,70230.0,51.28
2006-08-17,74.3,76.5,70.25,70.7,71.2,40792.0,29.75
2006-08-18,71.75,74.5,70.3,72.6,72.3,37441.0,27.21
2006-08-21,73.0,74.9,72.3,73.5,73.95,13408.0,9.88
2006-08-22,73.3,76.05,72.2,72.5,73.7,25416.0,19.02
2006-08-23,74.0,74.5,69.8,70.45,70.1,15317.0,10.96
2006-08-24,74.0,74.0,69.1,69.65,70.25,13320.0,9.35
2006-08-25,72.0,72.45,69.75,69.75,70.5,7970.0,5.64
2006-08-28,73.8,73.8,70.05,70.05,70.9,6065.0,4.33
2006-08-29,73.0,73.0,70.1,70.3,70.45,6522.0,4.64
2006-08-30,70.0,70.85,68.1,68.25,68.65,10780.0,7.46
2006-08-31,68.15,70.5,67.25,67.75,67.8,4723.0,3.22
2006-09-01,68.2,70.0,66.8,67.0,67.9,15143.0,10.29
2006-09-04,69.65,70.0,68.0,68.05,68.25,8528.0,5.88
2006-09-05,68.95,69.5,68.0,68.9,68.65,52197.0,35.76
2006-09-06,69.65,77.5,69.65,74.0,74.05,115051.0,86.22
2006-09-07,75.0,75.0,70.2,71.0,71.05,23735.0,17.16
2006-09-08,72.25,72.6,69.55,70.4,70.1,87895.0,62.29
2006-09-11,76.4,76.45,66.35,67.45,68.0,36263.0,25.57
2006-09-12,68.0,72.9,66.1,70.9,71.5,50396.0,35.71
2006-09-13,73.0,73.0,70.5,70.75,71.3,22425.0,16.12
2006-09-14,72.2,72.8,70.15,70.2,70.85,10637.0,7.59
2006-09-15,71.0,71.5,68.75,69.0,69.45,9732.0,6.85
2006-09-18,72.5,72.5,68.05,69.5,69.0,10745.0,7.53
2006-09-19,69.2,69.8,67.0,67.35,68.0,20427.0,13.93
2006-09-20,66.65,68.75,66.5,67.65,67.65,11823.0,8.01
2006-09-21,69.9,71.8,68.15,69.6,69.6,51220.0,35.91
2006-09-22,70.0,70.0,67.2,67.35,67.55,13283.0,9.07
2006-09-25,68.2,68.9,66.7,66.7,67.35,11215.0,7.6
2006-09-26,67.75,68.5,66.5,66.6,66.95,20407.0,13.69
2006-09-27,67.35,67.5,65.35,65.5,65.75,23610.0,15.74
2006-09-28,66.1,66.75,63.0,63.0,63.65,38377.0,24.68
2006-09-29,65.0,65.95,64.0,64.1,64.4,37397.0,24.22
2006-10-03,65.05,65.85,63.95,64.55,64.35,17734.0,11.48
2006-10-04,65.25,65.5,64.4,65.0,64.8,10100.0,6.56
2006-10-05,66.0,68.5,64.0,65.75,65.95,30821.0,20.44
2006-10-06,67.9,70.9,67.1,68.8,69.1,62343.0,43.04
2006-10-09,69.6,72.5,68.0,70.0,69.9,34887.0,24.64
2006-10-10,71.8,71.85,70.0,70.75,70.2,16121.0,11.42
2006-10-11,70.0,72.4,67.3,68.5,68.35,45925.0,32.36
2006-10-12,68.8,69.5,67.05,67.45,68.0,12954.0,8.86
2006-10-13,68.3,71.5,68.2,69.7,69.35,13578.0,9.47
2006-10-16,71.5,72.5,70.5,71.0,71.0,30711.0,21.91
2006-10-17,72.7,72.8,70.05,71.05,70.9,14805.0,10.55
2006-10-18,71.65,73.45,71.15,72.45,72.05,38293.0,27.68
2006-10-19,70.2,71.65,67.25,67.85,68.0,26523.0,18.34
2006-10-20,67.85,71.0,66.0,67.15,67.35,29465.0,20.07
2006-10-21,69.7,69.7,66.1,67.2,67.15,3692.0,2.48
2006-10-23,67.3,67.95,66.35,67.0,67.05,9507.0,6.38
2006-10-26,67.0,67.8,66.35,66.35,66.85,9944.0,6.67
