Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,482.0,482.0,482.0,,,,
1998-03-26,500.0,500.0,500.0,500.0,500.0,100.0,0.5
1998-03-27,545.0,545.0,545.0,545.0,545.0,100.0,0.54
1998-03-30,570.0,570.0,491.0,491.0,491.0,300.0,1.57
1998-03-31,460.0,499.0,460.0,499.0,499.0,300.0,1.42
1998-04-01,450.0,450.0,450.0,450.0,450.0,200.0,0.9
1998-04-02,405.0,450.0,405.0,425.0,425.0,600.0,2.58
1998-04-03,450.0,450.0,405.0,405.0,405.0,700.0,2.92
1998-04-06,405.0,405.0,400.0,400.0,400.0,200.0,0.8
1998-04-07,380.0,380.0,375.0,375.0,377.5,200.0,0.76
1998-04-09,415.0,415.0,415.0,415.0,415.0,100.0,0.42
1998-04-10,453.0,455.0,425.0,425.0,425.0,500.0,2.19
1998-04-15,383.0,400.0,383.0,385.0,385.0,500.0,1.96
1998-04-21,385.0,400.0,385.0,400.0,400.0,200.0,0.78
1998-04-22,385.0,385.0,385.0,385.0,385.0,600.0,2.31
1998-05-05,376.0,376.0,376.0,376.0,376.0,200.0,0.75
1998-05-11,400.0,400.0,340.0,340.0,340.0,2900.0,11.46
1998-05-13,370.0,370.0,370.0,370.0,370.0,100.0,0.37
1998-05-18,399.0,399.0,370.0,370.0,370.0,200.0,0.77
1998-05-19,370.0,370.0,370.0,370.0,370.0,500.0,1.85
1998-05-22,405.0,407.0,370.0,370.0,370.0,500.0,1.92
1998-05-25,404.0,404.0,404.0,404.0,404.0,100.0,0.4
1998-05-26,370.5,419.0,370.5,419.0,386.5,700.0,2.69
1998-06-30,425.0,425.0,425.0,425.0,425.0,100.0,0.42
1998-07-07,400.0,400.0,400.0,400.0,400.0,100.0,0.4
1998-07-09,370.0,370.0,370.0,370.0,370.0,100.0,0.37
1998-07-17,350.0,350.0,350.0,350.0,350.0,100.0,0.35
1998-07-23,340.0,340.0,335.0,335.0,335.0,300.0,1.01
1998-09-21,335.0,335.0,335.0,335.0,335.0,100.0,0.34
1998-09-22,335.0,335.0,335.0,335.0,335.0,100.0,0.34
1998-10-15,310.0,310.0,310.0,310.0,310.0,100.0,0.31
1998-12-02,290.0,290.0,290.0,290.0,290.0,100.0,0.29
1998-12-04,313.0,313.0,313.0,313.0,313.0,100.0,0.31
1999-01-29,338.05,338.05,338.05,338.05,338.05,100.0,0.34
1999-02-01,365.1,365.1,365.1,365.1,365.1,100.0,0.37
1999-02-03,394.25,394.25,394.25,394.25,394.25,100.0,0.39
1999-02-04,425.8,425.8,400.0,400.0,400.0,200.0,0.83
1999-02-05,420.0,420.0,420.0,420.0,420.0,100.0,0.42
1999-02-09,387.0,387.0,386.75,387.0,387.0,300.0,1.16
1999-02-11,390.0,390.0,390.0,390.0,390.0,100.0,0.39
1999-03-03,422.0,422.0,365.0,365.0,365.0,1500.0,6.04
1999-03-04,336.0,337.0,336.0,337.0,337.0,1000.0,3.36
1999-03-05,342.0,350.0,340.0,350.0,350.0,1000.0,3.42
1999-03-09,348.0,348.0,344.9,344.9,344.9,500.0,1.73
1999-03-10,369.9,369.9,369.9,369.9,369.9,100.0,0.37
1999-03-30,399.5,399.5,399.5,399.5,399.5,100.0,0.4
1999-03-31,431.0,431.0,431.0,431.0,431.0,100.0,0.43
1999-04-01,440.0,440.0,440.0,440.0,440.0,200.0,0.88
