Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-02-15,240.0,287.65,240.0,264.95,264.7,23249721.0,62073.7
2006-02-16,269.0,273.8,255.6,259.0,258.4,4601763.0,12007.58
2006-02-17,261.0,262.4,241.15,243.25,243.2,2258499.0,5673.59
2006-02-20,243.8,254.35,225.6,248.9,247.05,3964149.0,9602.26
2006-02-21,249.5,251.6,238.5,239.5,239.75,1403291.0,3451.54
2006-02-22,240.25,241.4,231.5,236.7,237.1,1732499.0,4096.57
2006-02-23,236.0,246.4,232.5,240.15,239.1,1244219.0,3005.74
2006-02-24,241.0,244.8,237.5,240.45,240.6,614549.0,1478.59
2006-02-27,242.95,250.1,238.0,243.0,246.5,1494971.0,3675.49
2006-02-28,245.1,245.1,230.55,234.5,234.6,387700.0,915.99
2006-03-01,234.7,235.0,223.8,224.0,226.15,355322.0,815.39
2006-03-02,228.0,235.8,224.0,225.0,226.0,447037.0,1025.36
2006-03-03,226.0,231.85,221.5,222.0,222.55,259789.0,588.31
2006-03-06,223.0,224.75,220.25,222.3,221.1,130384.0,289.22
2006-03-07,223.0,228.45,220.5,224.05,224.7,133985.0,299.88
2006-03-08,224.0,231.0,222.25,223.7,224.0,309996.0,704.28
2006-03-09,225.0,225.7,221.05,222.6,222.35,76977.0,171.44
2006-03-10,223.0,236.5,223.0,234.1,233.55,320617.0,740.95
2006-03-13,234.55,235.95,225.0,227.1,226.6,91002.0,209.09
2006-03-14,228.0,228.0,222.0,222.55,222.5,46793.0,104.68
2006-03-16,223.8,233.5,218.0,225.0,224.9,167186.0,376.82
2006-03-17,225.5,228.0,223.5,224.35,224.35,123600.0,277.3
2006-03-20,227.0,238.0,224.1,234.2,234.35,429353.0,1004.71
2006-03-21,238.25,239.4,229.1,235.05,233.95,226716.0,532.57
2006-03-22,234.1,237.0,221.55,225.0,224.1,238845.0,546.75
2006-03-23,226.2,233.7,226.2,231.7,231.4,85456.0,197.16
2006-03-24,232.0,234.6,227.05,229.5,227.95,45398.0,104.49
2006-03-27,228.15,232.0,225.5,229.5,227.85,79314.0,180.99
2006-03-28,227.0,230.0,221.0,223.0,222.45,91673.0,205.46
2006-03-29,223.5,226.9,222.0,222.1,223.5,55027.0,123.33
2006-03-30,225.95,225.95,220.0,222.7,224.1,45730.0,102.43
2006-03-31,223.5,225.5,218.0,218.9,219.5,76070.0,168.06
2006-04-03,221.5,231.8,220.0,230.0,230.1,85152.0,193.3
2006-04-04,235.0,239.5,233.2,235.0,235.6,177502.0,418.55
2006-04-05,237.0,246.0,237.0,239.85,239.65,185682.0,450.13
2006-04-07,236.95,248.9,227.0,229.0,228.9,60826.0,142.54
2006-04-10,228.0,232.0,225.15,226.0,226.35,38277.0,87.6
2006-04-12,225.0,233.4,220.6,220.85,221.4,42866.0,97.15
2006-04-13,222.0,223.1,197.0,214.0,213.2,87651.0,185.74
2006-04-17,220.0,220.0,212.25,213.55,213.7,36028.0,78.1
2006-04-18,215.0,222.0,214.0,222.0,217.9,40870.0,88.55
2006-04-19,222.1,245.0,221.0,222.15,222.35,37083.0,82.81
2006-04-20,227.95,236.0,225.05,230.3,230.9,141987.0,330.37
2006-04-21,235.2,244.9,231.6,232.95,232.95,362410.0,866.32
2006-04-24,233.5,234.9,218.35,218.35,219.6,85942.0,192.65
2006-04-25,221.0,263.55,217.5,263.55,263.55,686677.0,1730.91
2006-04-26,268.0,276.0,254.0,263.1,264.95,1154810.0,3083.07
2006-04-27,265.0,277.05,260.0,268.1,267.55,614864.0,1662.52
2006-04-28,260.0,265.0,222.0,255.3,255.55,127627.0,328.36
2006-04-29,258.4,268.4,256.0,265.2,265.05,93521.0,247.64
2006-05-02,260.1,275.0,260.1,266.4,267.1,263831.0,713.99
2006-05-03,269.7,275.05,265.55,265.55,267.2,107303.0,289.7
2006-05-04,270.55,270.55,260.0,260.0,261.8,56195.0,149.27
2006-05-05,265.95,273.0,260.5,269.2,270.5,97633.0,260.69
2006-05-08,270.05,283.8,265.15,266.0,267.1,126603.0,348.45
2006-05-09,267.5,269.8,263.05,264.0,264.7,30336.0,80.49
2006-05-10,265.0,270.0,263.0,265.5,266.15,40284.0,107.57
2006-05-11,265.5,265.5,258.4,262.3,263.65,30336.0,79.84
2006-05-12,255.1,269.0,250.0,253.15,255.3,20280.0,52.69
2006-05-15,257.0,259.0,235.3,235.6,240.65,28898.0,71.95
2006-05-16,241.0,244.45,225.0,238.5,242.0,23653.0,55.69
2006-05-17,257.95,260.0,241.15,257.0,258.25,43646.0,108.88
2006-05-18,242.0,255.0,219.0,246.0,244.95,38337.0,93.57
2006-05-19,260.1,270.0,235.1,243.9,239.6,77700.0,188.19
2006-05-22,225.0,250.0,202.0,245.0,241.7,115406.0,259.2
2006-05-23,225.1,245.0,225.0,230.1,232.05,16912.0,39.05
2006-05-24,235.0,243.0,222.05,225.8,223.5,14161.0,32.81
2006-05-25,224.9,228.4,218.0,221.0,223.95,9494.0,21.29
2006-05-26,232.0,235.0,228.0,235.0,232.55,63343.0,146.89
2006-05-29,232.0,237.9,221.0,230.0,225.95,8822.0,20.02
2006-05-30,227.8,230.0,222.05,225.0,224.05,9990.0,22.48
2006-05-31,216.0,222.0,203.6,215.5,217.3,30059.0,63.79
2006-06-01,220.5,225.0,198.25,207.0,205.25,26971.0,56.66
2006-06-02,210.0,210.0,165.4,197.0,192.7,60238.0,117.34
2006-06-05,202.0,202.2,186.0,192.9,189.3,14902.0,28.76
2006-06-06,175.05,187.9,175.05,183.0,181.15,15851.0,28.77
2006-06-07,177.0,187.0,166.0,185.0,182.3,43003.0,75.1
2006-06-08,168.0,180.0,168.0,172.0,174.15,46627.0,79.83
2006-06-09,169.0,194.0,169.0,189.1,188.1,19457.0,34.8
2006-06-12,176.15,190.0,176.15,180.15,183.6,7118.0,13.01
2006-06-13,174.0,179.9,172.0,176.0,173.45,5622.0,9.83
2006-06-14,173.45,180.0,160.15,164.0,165.0,10163.0,17.36
2006-06-15,165.05,179.0,165.05,179.0,175.65,10212.0,17.66
2006-06-16,187.0,190.0,175.0,177.85,178.6,10243.0,18.78
2006-06-19,178.0,181.4,173.0,174.9,174.9,7243.0,12.69
2006-06-20,173.6,189.0,173.6,183.05,185.75,12406.0,22.58
2006-06-21,184.0,193.0,184.0,190.0,189.9,14376.0,27.3
2006-06-22,190.0,217.0,190.0,214.0,214.7,64856.0,136.48
2006-06-23,200.0,217.0,200.0,213.0,213.75,20540.0,43.82
2006-06-25,217.0,217.0,208.05,209.8,210.25,621.0,1.31
2006-06-26,214.95,216.0,182.1,187.0,185.25,20976.0,41.21
2006-06-27,188.5,195.0,176.65,190.0,192.05,21239.0,39.78
2006-06-28,177.1,196.0,177.1,187.2,192.75,15606.0,29.64
2006-06-29,193.05,196.7,191.0,193.05,193.55,13303.0,25.75
2006-06-30,201.0,204.0,185.0,191.45,191.85,36751.0,70.9
2006-07-03,192.0,195.0,185.0,193.7,191.85,7517.0,14.37
2006-07-04,191.25,191.3,184.5,185.5,185.9,15799.0,29.7
2006-07-05,190.85,191.0,183.65,183.75,184.75,10634.0,19.77
2006-07-06,184.0,187.8,183.8,185.9,185.1,14562.0,26.99
2006-07-07,185.1,190.0,181.1,187.0,186.35,10015.0,18.73
2006-07-10,178.05,187.0,178.05,182.05,182.7,4275.0,7.76
2006-07-11,182.1,186.0,180.0,186.0,185.2,4302.0,7.86
2006-07-12,185.0,188.8,180.0,188.8,188.05,4020.0,7.43
2006-07-13,181.5,192.0,181.5,192.0,190.7,5369.0,10.1
2006-07-14,183.1,190.0,182.0,189.0,188.45,3623.0,6.75
2006-07-17,188.0,188.4,183.1,188.4,186.5,5284.0,9.78
2006-07-18,182.25,185.5,182.25,185.0,184.2,4721.0,8.69
2006-07-19,189.0,189.0,183.0,184.0,183.8,7910.0,14.56
2006-07-20,185.3,190.0,184.0,187.0,188.5,6741.0,12.61
2006-07-21,184.3,185.0,183.5,184.0,184.1,5230.0,9.62
2006-07-24,183.95,184.95,179.0,179.0,180.15,2387.0,4.34
2006-07-25,181.5,189.0,181.5,186.4,187.75,9360.0,17.38
2006-07-26,185.0,195.0,184.5,192.0,191.35,8932.0,16.92
2006-07-27,190.1,202.0,190.05,201.0,200.65,25484.0,50.46
2006-07-28,215.0,220.0,190.0,191.05,195.65,37868.0,75.32
2006-07-31,192.0,199.0,189.35,199.0,196.05,9167.0,17.84
2006-08-01,195.0,195.0,186.05,187.1,187.75,5961.0,11.28
2006-08-02,189.9,189.9,185.2,185.2,186.9,10534.0,19.78
2006-08-03,187.0,190.5,185.05,185.1,185.7,6725.0,12.64
2006-08-04,188.55,189.8,185.35,185.5,186.1,1696.0,3.17
2006-08-07,184.35,187.25,184.3,185.0,185.1,3358.0,6.22
2006-08-08,185.05,188.5,184.5,188.5,187.45,6239.0,11.64
2006-08-09,189.0,195.9,189.0,192.0,191.85,11599.0,22.38
2006-08-10,192.5,192.5,187.0,188.1,188.25,4541.0,8.56
2006-08-11,195.0,204.45,188.9,202.0,201.1,33726.0,66.92
2006-08-14,205.0,230.0,198.1,222.3,223.2,82290.0,178.59
2006-08-16,223.2,250.0,220.0,239.5,238.65,104815.0,246.14
2006-08-17,242.0,244.0,225.0,230.1,230.45,29879.0,69.16
2006-08-18,234.6,234.6,225.0,228.5,228.05,15060.0,34.36
2006-08-21,226.0,228.8,223.15,224.75,224.8,8065.0,18.17
2006-08-22,228.0,236.85,222.05,231.8,231.9,45183.0,104.12
2006-08-23,232.0,245.3,224.0,234.05,234.1,68541.0,163.94
2006-08-24,234.5,253.0,232.0,246.5,246.0,251783.0,623.94
2006-08-25,249.4,249.4,235.3,236.0,237.95,56980.0,137.73
2006-08-28,236.0,241.85,231.15,235.35,235.2,46206.0,109.49
2006-08-29,236.05,239.0,232.05,234.2,235.8,35395.0,83.92
2006-08-30,232.05,236.0,231.0,231.85,231.35,11162.0,25.94
2006-08-31,235.0,242.0,235.0,240.0,239.95,38324.0,91.75
2006-09-01,241.0,241.85,239.0,239.0,240.15,9924.0,23.81
2006-09-04,240.0,241.0,232.35,234.5,233.8,13082.0,30.99
2006-09-05,240.0,245.9,234.1,239.0,240.7,31379.0,75.48
2006-09-06,243.0,248.8,240.15,240.15,241.3,34357.0,83.98
2006-09-07,239.9,240.0,235.0,236.7,235.85,13934.0,33.05
2006-09-08,232.5,238.95,232.5,235.0,233.9,7443.0,17.53
2006-09-11,249.9,249.9,227.5,229.7,228.5,13071.0,30.27
2006-09-12,216.05,231.8,216.0,226.0,226.05,11827.0,26.66
2006-09-13,230.0,238.9,229.1,234.0,233.65,9355.0,21.72
2006-09-14,234.0,236.85,232.0,234.9,233.8,21112.0,49.53
2006-09-15,230.0,238.0,230.0,238.0,236.35,7054.0,16.6
2006-09-18,242.0,242.0,230.7,233.25,234.3,13124.0,30.68
2006-09-19,230.5,245.9,230.5,239.0,238.35,37992.0,91.74
2006-09-20,231.55,245.25,231.55,242.55,243.75,39183.0,94.98
2006-09-21,246.0,263.95,246.0,250.1,250.8,117714.0,302.13
2006-09-22,247.0,252.25,243.5,246.5,245.9,19289.0,47.65
2006-09-25,247.9,248.0,238.5,246.0,245.75,18220.0,44.48
2006-09-26,246.0,262.9,245.0,254.0,254.35,101445.0,258.78
2006-09-27,255.0,258.0,242.55,244.0,244.6,77033.0,191.35
2006-09-28,253.5,253.5,242.0,245.15,245.35,9176.0,22.45
2006-09-29,242.0,251.75,240.25,247.0,245.0,17970.0,44.59
2006-10-03,248.0,254.4,242.05,244.95,244.35,21216.0,52.34
2006-10-04,245.0,246.8,240.35,242.1,244.05,14334.0,34.93
2006-10-05,244.05,249.85,242.0,242.0,242.55,7311.0,17.84
2006-10-06,243.25,245.95,242.8,242.8,243.3,6464.0,15.75
2006-10-09,242.0,246.9,240.55,240.55,241.3,6627.0,16.06
2006-10-10,243.0,247.9,234.05,235.75,237.0,28807.0,68.51
2006-10-11,239.0,244.0,232.15,234.95,233.45,7845.0,18.53
2006-10-12,235.0,240.0,230.0,230.9,230.9,5557.0,12.94
2006-10-13,233.0,242.0,232.0,235.9,235.7,18164.0,43.11
2006-10-16,219.5,236.45,219.5,232.0,230.4,7399.0,17.16
2006-10-17,230.0,241.0,228.5,240.0,234.5,7720.0,18.0
2006-10-18,231.0,240.9,230.1,240.0,238.5,10927.0,25.71
2006-10-19,238.0,243.7,234.0,239.95,236.85,11456.0,27.3
2006-10-20,233.0,243.0,233.0,236.0,236.85,8302.0,19.74
2006-10-21,237.0,240.0,230.0,235.35,237.4,3660.0,8.68
2006-10-23,239.9,249.3,236.55,244.15,244.3,38039.0,92.91
2006-10-26,249.8,251.0,241.5,248.0,247.95,18977.0,46.91
2006-10-27,249.6,251.95,246.0,246.0,246.95,11116.0,27.57
2006-10-30,240.0,249.0,238.5,242.75,241.55,6723.0,16.45
2006-10-31,241.0,246.1,240.6,241.5,242.1,9869.0,24.03
2006-11-01,240.5,249.0,238.05,238.05,239.05,19821.0,48.29
2006-11-02,242.5,245.6,234.0,235.0,235.15,14475.0,34.59
2006-11-03,235.0,237.2,229.0,230.0,231.8,22455.0,51.98
2006-11-06,230.25,245.5,228.0,228.7,229.3,18902.0,43.8
2006-11-07,230.0,232.4,220.0,223.0,223.0,21707.0,48.75
2006-11-08,227.5,228.0,211.0,216.0,214.6,20998.0,45.56
2006-11-09,219.0,232.0,216.0,231.0,229.45,36821.0,83.7
2006-11-10,234.0,234.5,221.2,221.2,224.7,13974.0,31.99
2006-11-13,222.0,229.5,218.5,229.0,227.5,30037.0,67.23
2006-11-14,230.0,231.0,218.0,218.65,220.15,16178.0,35.85
2006-11-15,218.8,232.95,218.8,229.7,227.35,34809.0,79.17
2006-11-16,229.3,229.5,220.1,222.05,222.9,15534.0,34.57
2006-11-17,228.0,232.7,220.6,220.8,221.55,49166.0,111.37
2006-11-20,219.5,221.5,214.0,217.2,217.95,9979.0,21.69
2006-11-21,221.35,227.9,215.75,226.75,224.65,17074.0,38.04
2006-11-22,221.0,229.6,221.0,227.0,227.95,15385.0,34.71
2006-11-23,231.8,233.9,222.8,228.0,228.35,33981.0,78.16
2006-11-24,228.0,231.85,226.55,228.95,228.55,14746.0,33.79
2006-11-27,225.1,261.95,225.1,247.5,248.2,295994.0,738.45
2006-11-28,246.0,263.9,235.0,244.8,246.25,366968.0,932.7
2006-11-29,245.0,255.9,242.25,243.0,243.65,116669.0,291.6
