Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,106.1,109.75,106.1,,,,
1998-03-23,110.0,112.8,110.0,112.8,112.8,2000.0,2.23
1998-03-24,115.0,123.75,111.0,117.75,117.75,15700.0,18.55
1998-03-25,123.85,126.9,121.75,124.1,124.9,32400.0,40.42
1998-03-26,127.0,128.0,118.0,118.5,118.75,15900.0,19.83
1998-03-27,117.9,122.75,117.9,121.0,121.15,5000.0,6.03
1998-03-30,119.9,121.95,116.6,116.6,117.6,10100.0,12.01
1998-03-31,119.8,120.0,112.0,113.75,113.8,19200.0,22.06
1998-04-01,118.0,123.95,118.0,123.0,122.95,8500.0,10.35
1998-04-02,125.0,135.0,125.0,130.5,133.15,39100.0,50.93
1998-04-03,131.0,139.95,130.0,138.5,138.3,34200.0,46.36
1998-04-06,139.0,141.9,134.0,136.4,135.8,26300.0,36.63
1998-04-07,135.9,139.5,132.0,138.5,137.9,32200.0,43.8
1998-04-09,139.5,155.0,139.5,151.0,150.2,34800.0,52.46
1998-04-10,148.2,149.0,139.0,139.0,140.8,32900.0,47.78
1998-04-13,136.1,145.0,128.5,135.25,136.0,43100.0,59.45
1998-04-15,142.0,145.0,142.0,143.25,143.15,10300.0,14.77
1998-04-16,145.0,145.0,137.5,138.25,140.15,19200.0,26.96
1998-04-17,139.0,139.0,133.5,137.25,136.85,6800.0,9.29
1998-04-20,136.5,146.9,136.05,146.9,145.15,73800.0,106.51
1998-04-21,150.0,159.7,148.0,159.7,159.7,25700.0,40.18
1998-04-22,175.0,175.0,152.0,152.05,152.6,73100.0,118.6
1998-04-23,153.0,155.0,147.0,148.4,148.4,28600.0,42.73
1998-04-24,148.0,148.0,135.0,141.75,141.8,23000.0,32.98
1998-04-27,142.0,143.0,133.25,135.0,134.2,15800.0,21.66
1998-04-28,132.3,134.75,126.1,127.5,127.05,46900.0,61.43
1998-04-29,134.95,135.0,126.65,127.5,127.7,35100.0,45.95
1998-04-30,125.0,135.0,124.0,134.5,133.55,30000.0,37.86
1998-05-04,138.8,139.0,132.5,139.0,138.55,30500.0,41.85
1998-05-05,141.05,143.5,139.05,142.0,142.8,20900.0,29.39
1998-05-06,144.9,144.95,133.0,133.0,133.35,13000.0,17.77
1998-05-08,131.0,133.5,129.55,129.75,130.25,11000.0,14.45
1998-05-11,131.8,135.5,130.5,134.6,135.15,5700.0,7.6
1998-05-12,127.5,133.0,126.25,132.0,131.25,9600.0,12.43
1998-05-13,124.5,128.5,120.0,120.0,120.05,8700.0,10.6
1998-05-14,122.5,125.95,119.0,125.95,125.65,5300.0,6.49
