Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-12-28,265.0,265.0,235.1,238.75,238.3,7180599.0,17568.56
2006-12-29,240.1,271.8,238.75,263.0,261.55,3524063.0,9044.39
2007-01-02,265.8,273.7,252.5,263.85,262.65,2160478.0,5708.61
2007-01-03,266.0,275.4,257.0,275.0,271.8,1583460.0,4229.14
2007-01-04,275.0,288.95,272.25,283.0,281.75,1874528.0,5283.57
2007-01-05,282.0,284.0,263.7,266.0,266.5,563891.0,1543.91
2007-01-08,265.0,274.5,258.95,272.0,269.8,698213.0,1872.95
2007-01-09,270.8,274.4,260.2,263.95,263.1,247922.0,662.43
2007-01-10,262.6,268.0,245.35,262.5,262.3,444015.0,1155.09
2007-01-11,249.0,271.5,249.0,258.0,257.75,288883.0,762.23
2007-01-12,262.4,268.5,256.0,265.0,265.4,370814.0,980.19
2007-01-15,266.0,291.9,265.0,281.8,282.9,1098907.0,3115.13
2007-01-16,283.8,285.7,268.1,269.5,270.3,325886.0,904.46
2007-01-17,271.0,278.45,268.05,270.5,269.55,201331.0,548.39
2007-01-18,272.0,292.4,269.5,287.0,286.95,631839.0,1783.44
2007-01-19,290.85,326.0,276.65,322.6,320.45,1829867.0,5618.04
2007-01-22,326.85,326.85,302.1,303.3,305.8,1120643.0,3516.66
2007-01-23,306.4,317.4,300.2,304.7,304.1,912367.0,2822.29
2007-01-24,305.0,322.7,304.4,311.0,312.45,1361823.0,4291.89
2007-01-25,315.4,319.7,308.25,310.3,310.2,627928.0,1976.17
2007-01-29,312.05,315.9,304.15,311.0,311.7,359883.0,1114.33
2007-01-31,313.9,313.9,296.0,299.95,300.55,321504.0,989.38
2007-02-01,301.0,308.4,295.4,307.8,307.45,435002.0,1324.77
2007-02-02,310.0,310.0,298.0,299.0,300.05,235457.0,715.41
2007-02-05,301.2,338.0,296.0,318.0,318.6,1156019.0,3740.28
2007-02-06,320.9,343.3,315.25,323.5,324.35,1236810.0,4109.1
2007-02-07,326.0,337.5,309.1,320.05,318.0,520681.0,1693.62
2007-02-08,318.7,321.3,305.6,307.9,308.65,373501.0,1164.76
