Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,75.0,75.0,75.0,,,,
1998-03-24,73.5,74.0,73.5,74.0,74.0,200.0,0.15
1998-03-25,74.25,76.0,74.0,76.0,76.0,300.0,0.22
1998-03-26,76.5,78.0,76.25,76.25,76.25,300.0,0.23
1998-03-30,76.0,76.0,76.0,76.0,76.0,200.0,0.15
1998-03-31,73.0,78.0,72.75,78.0,76.6,700.0,0.52
1998-04-01,75.0,80.0,75.0,80.0,80.0,600.0,0.47
1998-04-02,77.5,77.5,77.5,77.5,77.5,100.0,0.08
1998-04-03,75.0,76.0,75.0,75.05,75.05,300.0,0.23
1998-04-06,75.0,76.5,75.0,75.25,75.25,800.0,0.6
1998-04-07,75.0,82.8,75.0,82.8,82.8,2500.0,2.0
1998-04-09,90.0,91.05,90.0,91.05,91.05,300.0,0.27
1998-04-10,100.0,100.1,95.5,99.95,99.2,4100.0,4.06
1998-04-13,95.0,95.75,92.0,93.0,93.0,2100.0,1.96
1998-04-15,96.5,102.3,95.0,102.3,102.3,6400.0,6.41
1998-04-16,103.0,110.25,103.0,105.0,105.35,4400.0,4.74
1998-04-17,101.0,103.0,99.3,99.8,99.8,1900.0,1.91
1998-04-20,99.0,100.75,99.0,99.0,99.0,700.0,0.69
1998-04-21,96.0,108.6,96.0,108.6,108.55,5400.0,5.55
1998-04-22,110.0,119.25,108.45,112.0,112.0,20000.0,22.65
1998-04-23,110.0,110.0,104.0,105.0,105.0,3500.0,3.71
1998-04-24,99.0,102.0,99.0,102.0,102.0,2400.0,2.38
1998-04-27,102.0,102.0,100.0,100.0,100.0,1000.0,1.01
1998-04-28,98.0,100.0,95.25,95.25,95.25,10400.0,10.23
1998-04-29,98.5,98.5,98.5,98.5,98.5,200.0,0.2
1998-04-30,98.5,100.7,98.0,100.0,100.0,600.0,0.6
1998-05-04,98.0,101.0,98.0,101.0,101.0,900.0,0.89
1998-05-05,99.0,100.0,98.0,99.25,99.6,1900.0,1.88
1998-05-06,102.0,102.0,100.0,101.0,101.0,800.0,0.81
1998-05-11,98.9,99.0,98.9,99.0,99.0,200.0,0.2
1998-05-12,95.0,95.0,90.05,90.05,90.7,500.0,0.46
1998-05-13,94.0,94.0,90.5,90.5,90.5,1500.0,1.38
1998-05-14,91.45,95.0,91.0,95.0,94.6,1400.0,1.31
1998-05-15,96.1,96.1,96.0,96.0,96.0,300.0,0.29
1998-05-18,95.35,98.5,95.35,98.5,98.5,900.0,0.87
1998-05-19,97.75,99.5,96.0,99.5,99.0,1100.0,1.07
1998-05-20,103.75,105.0,100.75,102.0,102.0,2600.0,2.68
1998-05-21,103.8,103.8,101.0,101.25,101.25,1000.0,1.02
1998-05-25,97.0,97.5,97.0,97.05,97.05,900.0,0.87
1998-05-26,96.05,97.0,96.0,97.0,96.55,3100.0,2.99
1998-05-27,93.0,95.0,93.0,95.0,95.0,200.0,0.19
1998-05-28,99.0,99.0,94.0,94.0,94.0,600.0,0.57
1998-05-29,98.5,102.0,98.5,102.0,102.0,1600.0,1.6
1998-06-01,101.9,101.9,98.05,98.5,98.5,900.0,0.9
1998-06-02,96.0,97.9,95.75,95.75,97.1,2100.0,2.04
1998-06-03,95.5,97.8,95.5,97.8,97.4,800.0,0.78
