Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,4.2,4.4,4.2,,,,
1998-03-24,4.4,4.4,4.2,4.2,4.2,1000.0,0.04
1998-03-25,3.85,4.3,3.85,4.3,4.3,3600.0,0.15
1998-03-26,4.3,4.8,4.3,4.8,4.8,700.0,0.03
1998-03-27,4.55,4.7,4.55,4.55,4.55,1800.0,0.08
1998-03-30,4.75,4.75,4.5,4.5,4.5,1400.0,0.06
1998-03-31,4.35,4.5,4.25,4.25,4.35,900.0,0.04
1998-04-01,3.8,4.3,3.8,4.05,4.05,1900.0,0.08
1998-04-02,4.5,4.65,4.35,4.65,4.65,900.0,0.04
1998-04-03,4.8,5.0,4.5,5.0,5.0,9100.0,0.44
1998-04-06,5.15,5.55,5.0,5.5,5.5,3200.0,0.17
1998-04-07,5.65,5.65,5.65,5.65,5.65,700.0,0.04
1998-04-10,6.5,6.5,6.5,6.5,6.5,300.0,0.02
1998-04-13,6.6,7.3,6.6,7.3,7.3,4700.0,0.34
1998-04-15,8.4,8.4,8.4,8.4,8.4,1700.0,0.14
1998-04-16,9.25,9.4,8.5,8.6,8.6,24200.0,2.21
1998-04-17,8.45,8.5,7.85,8.0,8.0,5500.0,0.45
1998-04-20,8.0,8.0,7.25,7.75,7.55,7500.0,0.57
1998-04-21,7.9,8.0,7.15,7.5,7.65,15500.0,1.18
1998-04-22,8.1,8.5,7.75,7.85,7.85,14500.0,1.18
1998-04-23,7.85,7.9,7.4,7.45,7.45,6600.0,0.5
1998-04-24,7.0,7.25,6.65,6.9,6.9,3100.0,0.22
1998-04-27,7.45,7.6,7.1,7.2,7.2,8500.0,0.62
1998-04-28,7.05,7.25,6.65,6.65,6.65,2700.0,0.19
1998-04-29,6.65,7.1,6.55,6.7,6.7,2900.0,0.2
1998-04-30,5.85,6.45,5.85,6.25,6.25,900.0,0.06
1998-05-04,6.95,7.0,6.45,6.75,6.75,1800.0,0.12
1998-05-05,6.8,6.85,6.5,6.55,6.55,1800.0,0.12
1998-05-06,6.8,7.0,6.6,6.6,6.6,3100.0,0.21
1998-05-08,6.3,6.3,6.1,6.1,6.1,300.0,0.02
1998-05-11,6.0,6.25,6.0,6.0,6.0,1000.0,0.06
