Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,71.9,72.6,71.0,,,,
1998-03-23,73.0,73.25,72.0,72.25,72.25,6600.0,4.79
1998-03-24,74.5,75.95,72.75,74.75,75.2,160700.0,119.52
1998-03-25,76.0,80.35,75.05,78.9,79.55,302500.0,235.92
1998-03-26,79.0,81.9,77.05,77.3,77.35,285900.0,227.28
1998-03-27,76.35,78.75,76.25,78.3,78.35,104600.0,80.98
1998-03-30,80.5,80.5,76.25,76.3,76.5,146700.0,114.99
1998-03-31,77.0,77.0,74.5,74.5,74.95,184500.0,138.97
1998-04-01,76.0,81.0,75.7,79.9,79.95,225700.0,178.62
1998-04-02,81.6,84.0,79.1,80.8,81.1,329500.0,269.49
1998-04-03,82.0,83.0,80.75,82.5,82.25,170600.0,139.57
1998-04-06,83.95,87.6,82.5,86.1,85.9,351500.0,298.72
1998-04-07,85.0,90.0,85.0,88.05,87.75,217900.0,189.01
1998-04-09,89.5,95.0,89.2,93.0,93.05,272000.0,252.1
1998-04-10,92.0,95.75,91.5,93.1,93.35,280100.0,263.55
1998-04-13,90.0,102.4,90.0,102.0,100.6,461900.0,453.3
1998-04-15,109.0,110.7,106.0,110.7,110.7,98900.0,108.58
1998-04-16,121.65,121.65,106.1,109.1,109.9,477400.0,543.12
1998-04-17,110.0,113.25,103.8,113.0,112.15,342800.0,371.89
1998-04-20,111.0,114.0,107.4,107.5,107.95,310700.0,344.74
1998-04-21,109.25,111.5,106.1,109.25,110.1,403700.0,441.65
1998-04-22,114.8,119.5,110.3,111.5,111.5,326300.0,372.93
1998-04-23,108.75,111.0,102.65,103.5,103.55,185000.0,198.55
1998-04-24,103.5,105.95,95.0,101.1,100.85,290900.0,290.01
1998-04-27,101.85,104.7,98.6,100.1,99.65,200500.0,204.01
1998-04-28,99.05,99.85,95.75,98.0,96.4,282200.0,274.76
1998-04-29,101.0,104.0,95.3,96.0,96.25,292200.0,292.29
1998-04-30,94.6,97.0,91.0,96.0,95.25,183600.0,171.3
1998-05-04,96.1,98.0,93.5,95.2,95.3,122500.0,116.96
1998-05-05,95.6,96.0,93.0,96.0,94.7,169100.0,159.34
1998-05-06,96.05,96.05,92.0,92.9,92.25,134100.0,125.72
1998-05-08,91.5,92.5,90.05,91.7,91.55,73900.0,67.57
1998-05-11,91.6,92.1,90.25,91.65,91.5,38900.0,35.44
1998-05-12,89.0,90.0,82.5,83.35,83.1,160500.0,136.34
1998-05-13,82.0,82.0,75.0,77.6,77.95,165600.0,132.3
1998-05-14,77.0,83.0,75.1,83.0,82.6,124200.0,99.61
1998-05-15,83.95,84.4,80.5,81.65,81.75,100500.0,82.52
1998-05-18,83.0,83.15,81.0,81.6,81.3,75300.0,61.86
1998-05-19,81.05,81.95,80.55,81.45,81.0,94100.0,76.37
1998-05-20,83.25,89.1,82.15,89.1,89.1,173800.0,150.16
1998-05-21,92.45,96.4,86.0,87.3,87.0,209900.0,187.22
1998-05-22,87.9,89.5,86.25,88.35,88.8,84200.0,73.89
1998-05-25,87.05,96.0,86.0,93.0,94.4,316500.0,291.52
1998-05-26,92.3,93.8,90.1,91.0,90.85,207300.0,189.69
1998-05-27,92.5,92.75,89.7,90.65,90.95,198600.0,181.23
1998-05-28,90.2,91.55,89.1,90.25,89.85,111600.0,100.76
1998-05-29,89.05,90.25,84.3,88.6,89.15,175000.0,153.78
1998-06-01,91.0,92.0,86.25,86.9,87.1,134700.0,122.08
1998-06-02,84.2,88.5,80.1,81.1,81.65,108800.0,91.05
1998-06-03,82.7,83.0,79.2,82.9,82.7,88700.0,71.94
1998-06-04,83.9,86.85,82.0,83.9,84.1,79000.0,67.01
1998-06-05,82.45,82.9,79.0,79.2,79.6,101400.0,82.1
1998-06-08,78.0,79.75,71.7,74.95,73.9,94200.0,69.83
1998-06-09,79.0,79.5,73.5,76.0,74.95,77200.0,57.97
1998-06-10,76.0,76.5,72.75,72.75,72.95,47800.0,35.32
1998-06-11,73.0,73.45,70.0,73.35,73.0,43000.0,30.87
1998-06-12,75.25,78.0,72.8,74.0,73.45,48700.0,36.18
1998-06-15,73.7,73.9,70.0,70.1,70.05,40800.0,29.05
1998-06-16,69.1,69.1,63.5,64.5,64.95,98400.0,64.38
1998-06-17,68.5,71.45,67.5,71.45,71.45,52200.0,36.56
1998-06-18,73.6,75.9,71.0,71.0,71.5,78900.0,57.92
1998-06-19,66.0,70.0,66.0,68.1,68.3,29700.0,20.42
1998-06-22,65.0,65.0,61.5,64.0,64.0,44500.0,28.18
1998-06-23,64.0,64.5,61.05,64.0,63.5,52900.0,33.51
1998-06-24,64.9,67.9,61.75,67.5,67.25,36000.0,23.85
1998-06-25,69.9,71.6,68.55,69.25,69.8,55200.0,38.45
1998-06-26,68.7,69.0,67.35,68.5,68.6,26900.0,18.35
1998-06-29,67.1,69.0,67.1,69.0,68.75,18900.0,12.94
1998-06-30,68.5,69.0,67.25,68.65,68.15,33300.0,22.65
1998-07-01,68.0,68.9,66.2,67.0,67.2,18900.0,12.7
1998-07-02,67.6,68.4,65.75,67.1,66.75,12200.0,8.19
1998-07-03,65.6,66.25,64.1,64.5,64.55,24100.0,15.65
1998-07-06,64.5,67.0,63.5,64.3,64.2,38800.0,25.07
1998-07-07,64.2,65.0,63.5,63.6,63.7,55000.0,35.34
1998-07-08,65.25,66.9,64.0,64.35,64.65,97400.0,63.28
1998-07-09,65.0,66.45,63.6,65.05,65.3,52300.0,34.16
1998-07-10,66.25,66.25,64.5,65.65,65.55,89800.0,58.67
1998-07-13,65.35,67.0,62.85,62.9,63.4,118900.0,77.72
1998-07-14,63.0,64.15,62.5,63.2,62.8,63200.0,39.85
1998-07-15,64.75,66.45,64.1,65.45,65.0,95600.0,62.72
1998-07-16,65.9,66.9,64.75,66.85,66.4,69800.0,45.87
1998-07-17,66.0,68.0,65.3,68.0,67.4,101800.0,67.92
1998-07-20,68.0,68.95,66.45,66.75,66.8,161100.0,108.83
1998-07-21,65.1,67.5,65.1,66.0,65.45,113900.0,75.15
1998-07-22,70.7,70.7,69.85,70.7,70.7,251000.0,177.32
1998-07-23,72.8,74.0,70.3,71.0,70.65,261300.0,187.24
1998-07-24,70.3,72.0,69.5,71.25,70.6,155200.0,109.67
1998-07-27,71.7,72.1,69.55,70.1,70.25,74100.0,52.28
1998-07-28,70.8,72.3,70.4,72.3,72.0,90100.0,64.39
1998-07-29,72.7,73.0,71.25,72.55,72.65,93600.0,67.56
1998-07-30,73.0,74.0,71.5,71.75,71.85,65700.0,47.56
1998-07-31,72.25,72.6,71.5,72.0,71.95,55300.0,39.83
1998-08-03,71.5,71.5,70.1,70.95,71.1,51600.0,36.63
1998-08-04,70.95,71.5,70.95,71.4,71.3,29200.0,20.8
1998-08-05,70.5,71.75,70.5,71.45,71.5,39100.0,27.8
1998-08-06,71.5,72.0,71.0,71.0,71.1,27500.0,19.64
1998-08-07,71.45,71.45,70.6,71.15,71.1,14600.0,10.36
1998-08-10,70.4,70.75,69.75,69.9,70.0,32500.0,22.84
1998-08-11,69.0,69.95,66.5,67.25,67.5,84000.0,57.17
1998-08-12,66.5,67.7,66.1,66.7,66.4,68600.0,45.8
1998-08-13,66.2,69.8,66.15,68.3,68.7,70300.0,47.72
1998-08-14,68.0,68.5,67.4,67.65,67.5,26800.0,18.18
1998-08-17,69.5,70.9,66.75,66.9,66.95,25700.0,17.33
1998-08-18,67.45,67.45,65.65,66.2,66.05,43400.0,28.74
1998-08-19,66.2,66.65,62.25,63.65,63.4,87400.0,55.71
1998-08-20,64.4,64.4,63.1,63.9,63.9,112900.0,71.99
1998-08-21,64.5,64.5,61.1,61.75,61.55,105500.0,65.65
1998-08-24,61.0,61.95,59.2,59.25,59.35,93200.0,55.71
1998-08-25,59.05,59.25,57.0,57.45,57.35,252800.0,146.3
1998-08-27,58.75,61.9,58.35,60.95,61.0,170800.0,104.06
1998-08-28,60.05,60.05,58.1,58.75,58.5,68600.0,40.42
1998-08-31,58.5,59.35,57.15,58.35,58.2,45400.0,26.45
1998-09-01,58.05,58.05,55.75,56.2,56.1,95600.0,54.08
1998-09-02,58.0,58.0,56.55,57.65,57.65,30400.0,17.48
1998-09-03,57.9,58.45,57.15,57.7,57.5,34600.0,20.0
1998-09-04,57.6,59.9,57.3,59.8,59.3,41500.0,24.32
1998-09-07,59.1,63.5,59.1,62.2,62.4,117900.0,72.73
1998-09-08,62.05,63.0,60.65,62.95,62.4,71700.0,44.27
1998-09-09,64.1,64.2,62.25,62.25,62.45,63100.0,39.96
1998-09-10,62.1,63.0,62.05,62.2,62.5,28500.0,17.81
1998-09-11,62.0,62.0,60.7,60.7,60.95,34800.0,21.27
1998-09-14,62.45,62.45,61.0,62.0,61.95,27700.0,17.11
1998-09-15,61.1,62.7,61.1,62.3,61.95,50200.0,31.02
1998-09-16,62.5,62.7,61.5,61.75,61.75,44400.0,27.59
1998-09-17,61.55,61.9,61.05,61.2,61.2,26700.0,16.4
1998-09-18,61.0,61.45,60.6,61.15,61.25,14700.0,8.97
1998-09-21,62.2,62.2,60.75,60.75,60.95,36000.0,22.05
1998-09-22,60.75,60.9,60.0,60.8,60.6,30000.0,18.15
1998-09-23,60.75,61.75,60.75,61.75,61.35,19100.0,11.69
1998-09-24,61.9,62.5,61.6,62.25,62.2,30900.0,19.19
1998-09-25,62.3,62.5,61.6,61.8,61.9,32400.0,20.1
1998-09-28,60.6,61.85,59.5,59.5,59.95,44400.0,26.91
1998-09-29,59.35,59.5,56.3,56.3,56.7,70600.0,40.64
1998-09-30,57.25,59.5,57.2,59.2,59.2,33900.0,19.75
1998-10-05,58.1,58.1,54.5,54.5,54.5,50800.0,28.11
1998-10-06,53.75,54.85,53.7,54.1,54.0,55900.0,30.23
1998-10-07,55.0,56.35,55.0,55.5,55.75,35400.0,19.79
1998-10-08,55.0,56.2,53.5,53.5,53.7,28700.0,15.63
1998-10-09,54.25,54.4,53.15,53.5,53.65,17800.0,9.59
1998-10-12,53.6,53.6,50.0,50.95,50.65,34700.0,17.76
1998-10-13,49.2,50.75,49.0,49.3,49.3,46600.0,23.24
1998-10-14,51.2,53.25,49.75,53.25,53.25,55300.0,28.43
1998-10-15,52.0,53.45,51.45,51.5,51.55,32200.0,16.76
1998-10-16,51.6,51.6,50.0,50.75,50.55,30500.0,15.39
1998-10-19,50.05,50.25,49.0,49.0,49.3,16600.0,8.25
1998-10-20,49.0,49.0,46.1,46.55,46.45,48500.0,22.74
1998-10-22,48.2,49.5,47.5,48.35,48.1,28200.0,13.63
1998-10-23,48.3,49.9,48.05,49.9,49.65,24300.0,11.95
1998-10-26,53.0,53.65,52.05,53.65,53.65,28200.0,15.09
1998-10-27,55.0,55.5,52.0,54.35,53.35,53600.0,28.56
