Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-10-19,169.25,169.25,119.55,121.8,121.55,2558307.0,3318.27
2006-10-20,122.0,133.9,122.0,124.7,125.1,1992156.0,2565.02
2006-10-21,125.8,127.5,123.1,123.85,123.95,90310.0,112.21
2006-10-23,123.4,126.45,117.75,118.65,118.95,218970.0,268.45
2006-10-26,121.0,122.5,116.25,116.35,117.2,279272.0,333.83
2006-10-27,117.1,118.7,107.75,108.35,108.55,225940.0,253.6
2006-10-30,108.6,111.1,102.0,102.15,102.6,227783.0,241.73
2006-10-31,104.65,104.65,98.0,98.5,98.5,206259.0,207.12
2006-11-01,100.4,107.9,97.5,104.5,104.15,520801.0,536.64
2006-11-02,105.75,107.9,101.5,102.05,102.55,185416.0,194.15
2006-11-03,103.0,103.0,99.3,99.7,99.9,87501.0,88.48
2006-11-06,97.3,102.15,97.3,99.0,99.35,59943.0,60.19
2006-11-07,101.0,104.4,97.3,97.55,98.1,239498.0,242.5
2006-11-08,101.6,101.6,96.1,96.25,96.5,63614.0,62.45
2006-11-09,97.8,98.2,95.5,96.0,96.25,61297.0,59.4
2006-11-10,96.8,96.8,93.0,93.3,93.65,55439.0,52.53
2006-11-13,94.0,94.0,90.05,90.1,90.55,55079.0,50.67
2006-11-14,91.0,91.8,88.0,88.35,88.35,64223.0,57.43
2006-11-15,88.4,92.5,88.15,89.1,89.4,120048.0,108.47
2006-11-16,91.9,93.7,90.0,90.7,90.6,109928.0,100.85
2006-11-17,91.0,96.5,90.2,94.25,94.2,170229.0,160.5
2006-11-20,90.25,105.7,90.25,99.0,98.9,882944.0,894.33
2006-11-21,100.1,104.45,98.5,100.1,100.15,295466.0,299.7
2006-11-22,101.7,109.9,100.5,105.0,105.35,995761.0,1061.08
2006-11-23,106.0,107.4,102.1,102.4,103.25,194173.0,204.13
2006-11-24,105.0,108.0,102.0,105.8,105.1,169223.0,178.47
2006-11-27,106.0,118.5,104.5,116.85,116.45,1263634.0,1439.4
2006-11-28,114.0,121.2,113.1,120.05,119.45,621800.0,733.28
2006-11-29,121.0,128.9,120.8,122.7,123.25,547867.0,686.04
2006-11-30,123.5,125.0,118.1,121.0,120.0,163244.0,199.09
2006-12-01,120.15,126.75,119.1,124.5,124.95,303117.0,376.82
2006-12-04,124.75,135.4,122.2,130.0,129.4,504845.0,658.96
2006-12-05,128.0,135.7,125.3,128.15,128.45,547387.0,719.39
2006-12-06,129.7,132.05,125.5,127.0,126.6,243864.0,313.79
2006-12-07,127.7,136.95,127.0,131.75,131.35,1109010.0,1479.48
2006-12-08,132.25,132.25,124.0,126.25,125.2,254984.0,323.32
2006-12-11,125.0,125.0,112.0,114.5,115.25,150501.0,177.97
2006-12-12,116.55,118.9,100.05,107.0,105.45,185729.0,208.76
2006-12-13,106.0,109.5,100.05,108.0,108.05,162647.0,169.83
2006-12-14,109.5,113.95,108.55,113.0,112.4,113041.0,126.83
2006-12-15,113.05,117.0,111.1,111.25,111.85,148088.0,169.83
2006-12-18,113.0,113.85,109.1,110.8,111.05,59447.0,66.03
2006-12-19,111.0,118.5,108.0,109.5,109.9,181594.0,207.06
2006-12-20,113.75,114.4,110.0,112.0,111.95,104062.0,116.55
2006-12-21,112.0,112.0,109.0,110.3,109.85,45531.0,50.4
2006-12-22,109.0,111.5,106.7,107.05,107.4,61081.0,66.63
2006-12-26,102.25,110.0,102.25,108.75,108.55,19745.0,21.47
2006-12-27,109.9,115.3,109.0,114.5,113.55,64966.0,73.06
2006-12-28,110.0,116.2,110.0,112.5,112.75,40672.0,46.05
2006-12-29,112.1,115.9,110.5,111.8,112.4,42579.0,48.06
2007-01-02,107.1,120.95,107.1,119.8,118.55,121763.0,144.1
2007-01-03,119.8,125.0,119.0,119.55,119.45,81672.0,99.12
2007-01-04,124.5,125.0,119.1,119.5,119.9,71784.0,87.71
2007-01-05,118.55,130.45,118.55,125.55,125.75,218250.0,275.4
2007-01-08,123.0,126.4,121.05,124.0,123.1,60898.0,75.17
2007-01-09,124.1,128.25,121.95,123.4,122.6,124513.0,155.95
2007-01-10,122.5,127.85,121.55,125.6,124.9,81880.0,102.74
2007-01-11,126.0,132.8,125.95,132.5,131.2,247700.0,322.59
2007-01-12,132.7,135.4,125.6,127.0,126.65,113928.0,149.71
2007-01-15,128.1,130.5,127.1,130.0,129.45,77896.0,100.7
2007-01-16,132.0,132.0,128.05,128.6,128.35,36640.0,47.35
2007-01-17,129.85,129.85,124.1,127.3,127.55,39263.0,50.1
2007-01-18,127.0,127.5,123.0,123.7,124.65,27515.0,34.59
2007-01-19,126.0,126.0,122.0,125.0,124.9,13946.0,17.27
2007-01-22,123.5,125.5,122.5,122.5,123.35,16624.0,20.54
2007-01-23,126.5,129.0,122.8,127.5,127.65,41852.0,52.98
2007-01-24,129.95,132.0,125.5,126.7,127.85,70766.0,91.32
2007-01-25,128.0,132.0,125.0,125.0,125.2,9184.0,11.62
2007-01-29,126.0,126.0,120.25,121.0,120.95,12444.0,15.31
2007-01-31,122.9,123.85,116.05,116.05,117.6,14441.0,17.42
2007-02-01,118.05,119.55,116.5,118.5,118.2,31841.0,37.6
2007-02-02,119.0,126.0,119.0,121.4,121.75,44533.0,54.75
2007-02-05,121.45,124.0,120.25,120.5,121.25,11328.0,13.83
2007-02-06,123.95,123.95,117.05,117.05,118.0,15632.0,18.74
2007-02-07,118.35,119.85,115.25,116.25,115.8,11675.0,13.74
2007-02-08,118.05,118.05,114.1,115.7,115.05,8901.0,10.3
2007-02-09,117.55,117.6,110.1,110.4,111.15,11528.0,13.09
2007-02-12,110.55,110.55,103.0,104.5,104.8,9973.0,10.49
2007-02-13,103.0,108.0,100.15,103.0,103.4,16196.0,16.93
2007-02-14,101.0,106.9,100.0,106.9,106.25,14409.0,15.15
2007-02-15,106.9,115.0,106.9,114.4,113.75,38085.0,42.57
2007-02-19,117.0,123.0,114.0,121.0,119.85,61021.0,73.34
2007-02-20,124.9,125.0,110.2,111.5,111.65,62210.0,73.61
