Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-06-20,425.0,425.0,373.0,387.0,386.9,27968.0,111.34
2005-06-21,392.9,424.4,383.0,406.5,405.7,41380.0,167.94
2005-06-22,415.0,449.0,415.0,440.05,437.9,145355.0,626.61
2005-06-23,444.9,453.8,425.5,436.2,437.1,63692.0,280.75
2005-06-24,432.1,439.85,425.0,431.2,434.85,34179.0,148.7
2005-06-27,430.0,441.9,425.0,430.05,430.4,67333.0,291.53
2005-06-28,432.0,449.0,421.1,437.15,440.4,62193.0,271.62
2005-06-29,446.0,480.0,446.0,478.45,473.05,202178.0,945.17
2005-06-30,482.0,498.0,480.0,490.0,487.3,98909.0,484.54
2005-07-01,490.15,540.0,490.0,515.0,517.35,265825.0,1390.21
2005-07-04,526.2,564.8,519.05,562.5,555.05,300662.0,1636.52
2005-07-05,570.0,603.0,540.15,603.0,591.5,512653.0,2982.02
2005-07-06,600.0,692.0,600.0,656.0,656.65,1128301.0,7443.04
2005-07-07,667.0,732.9,663.1,684.0,693.5,1301679.0,9122.16
2005-07-08,700.0,714.0,690.0,704.0,706.55,71591.0,506.67
2005-07-11,710.0,730.0,701.2,725.0,721.5,41867.0,302.73
2005-07-12,730.0,749.9,690.0,711.95,709.7,27214.0,192.12
2005-07-13,722.9,722.9,701.0,701.0,705.65,27899.0,197.22
2005-07-14,700.0,707.9,690.0,700.0,700.15,43296.0,301.97
2005-07-15,708.0,708.0,695.0,700.05,700.3,17345.0,121.38
2005-07-18,714.0,759.95,705.1,748.95,741.25,33301.0,245.59
2005-07-19,767.0,824.5,756.75,824.5,817.3,36147.0,287.89
2005-07-20,889.4,924.95,830.0,924.95,913.95,49444.0,435.92
2005-07-21,950.0,960.0,780.0,810.0,800.4,44951.0,383.01
2005-07-22,796.0,830.0,760.0,795.25,801.4,43866.0,348.26
2005-07-25,839.95,860.0,810.0,840.0,837.9,728746.0,5944.61
2005-07-26,819.0,855.9,780.05,806.0,801.4,18172.0,145.42
2005-07-27,799.0,799.0,780.1,792.9,791.05,2562.0,20.25
2005-07-29,655.0,805.0,655.0,802.0,800.0,18474.0,147.42
2005-08-01,770.0,814.7,770.0,800.0,800.25,10210.0,81.76
2005-08-02,817.9,843.0,801.0,815.0,810.35,15247.0,124.84
2005-08-03,815.0,824.5,780.0,800.0,799.4,21359.0,170.4
2005-08-04,795.0,818.7,791.5,801.1,801.7,11841.0,95.03
2005-08-05,740.0,827.0,740.0,810.0,810.55,17785.0,144.59
2005-08-08,810.0,824.7,800.0,806.0,802.35,20469.0,165.76
2005-08-09,798.0,810.0,795.0,805.05,805.2,8471.0,68.04
2005-08-10,802.05,820.0,802.0,815.95,814.0,6583.0,53.43
2005-08-11,815.0,865.0,810.0,835.6,846.75,11911.0,99.52
2005-08-12,850.0,969.4,835.0,960.0,938.45,39803.0,362.81
2005-08-16,970.0,1035.0,940.0,973.8,962.25,35142.0,343.81
2005-08-17,974.0,987.0,932.1,940.0,941.85,23691.0,230.49
2005-08-18,970.0,990.0,901.0,925.0,908.4,27131.0,252.88
2005-08-19,901.0,943.0,901.0,911.95,905.3,4961.0,45.43
2005-08-22,940.0,959.0,889.0,900.0,895.7,11240.0,103.04
2005-08-23,935.0,935.0,900.0,913.0,910.35,12896.0,117.48
2005-08-24,894.0,954.4,860.0,954.4,935.8,17091.0,156.02
2005-08-25,935.0,978.0,935.0,945.0,955.9,12557.0,120.67
2005-08-26,965.0,965.0,910.0,918.0,919.05,4703.0,43.85
2005-08-29,921.0,921.0,890.3,890.3,901.0,3499.0,31.68
2005-08-30,892.0,922.0,880.0,906.0,912.55,7854.0,71.83
2005-08-31,925.0,959.95,910.0,940.0,940.05,9947.0,92.72
2005-09-01,960.0,960.0,940.0,940.0,940.95,4948.0,46.58
2005-09-02,940.0,952.4,930.0,952.4,949.85,63800.0,604.94
2005-09-05,960.0,1114.0,960.0,1065.0,1063.15,167110.0,1695.4
2005-09-06,920.0,1160.0,920.0,1138.0,1144.7,150365.0,1661.01
2005-09-08,1141.0,1324.5,1141.0,1294.0,1282.7,193721.0,2435.56
2005-09-09,1325.0,1329.75,1240.0,1252.0,1257.15,32111.0,404.77
2005-09-12,1275.0,1300.0,1201.0,1255.0,1255.25,38474.0,485.3
2005-09-13,1245.0,1350.0,1245.0,1340.0,1343.5,22801.0,299.45
2005-09-14,1351.0,1410.0,1351.0,1390.0,1392.9,47225.0,659.29
2005-09-15,1394.95,1475.0,1394.95,1470.0,1468.6,19570.0,284.24
2005-09-16,1494.0,1500.0,1399.0,1424.0,1413.7,37764.0,539.28
2005-09-19,1475.0,1490.0,1440.0,1480.0,1482.8,28316.0,417.36
2005-09-20,1470.0,1621.0,1432.0,1620.0,1580.15,56257.0,859.13
2005-09-21,1659.0,1659.0,1501.15,1501.15,1501.15,63586.0,961.03
2005-09-22,1426.1,1426.1,1426.1,1426.1,1426.1,33325.0,475.25
2005-09-23,1354.8,1354.8,1354.8,1354.8,1354.8,1853.0,25.1
2005-09-26,1287.1,1287.1,1287.1,1287.1,1287.1,3234.0,41.62
2005-09-27,1222.75,1351.5,1222.75,1315.0,1311.0,43954.0,576.28
2005-09-28,1349.0,1370.0,1290.0,1315.0,1318.1,15282.0,201.72
2005-09-29,1340.0,1340.0,1252.2,1260.0,1286.05,51066.0,652.52
