Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,17.6,17.6,17.6,,,,
1998-03-23,17.9,18.15,17.9,18.15,18.15,600.0,0.11
1998-03-24,17.75,18.4,17.35,18.25,18.25,4800.0,0.86
1998-03-25,18.75,19.2,18.5,18.9,18.9,3800.0,0.71
1998-03-26,18.6,19.7,18.6,19.5,19.5,3250.0,0.63
1998-03-27,19.5,19.9,19.5,19.75,19.75,2600.0,0.51
1998-03-30,20.0,20.2,19.25,19.75,19.75,2600.0,0.52
1998-03-31,19.25,19.5,18.95,18.95,18.95,1950.0,0.37
1998-04-01,19.0,20.0,18.85,19.5,19.5,1000.0,0.19
1998-04-02,19.25,19.25,19.0,19.25,19.25,2550.0,0.49
1998-04-03,19.15,19.35,19.0,19.35,19.35,5800.0,1.11
1998-04-06,20.0,20.6,19.7,20.6,20.6,7150.0,1.45
1998-04-07,20.3,22.15,20.25,22.0,22.05,22000.0,4.78
1998-04-09,22.4,24.25,22.25,24.15,24.15,55700.0,12.87
1998-04-10,24.25,24.85,23.2,24.25,24.0,28250.0,6.76
1998-04-13,23.25,24.45,23.0,23.9,23.9,16350.0,3.89
1998-04-15,24.0,25.0,23.6,25.0,24.8,42350.0,10.42
1998-04-16,25.0,25.8,23.5,23.6,23.7,16400.0,3.95
1998-04-17,24.1,24.1,23.3,24.0,23.65,10350.0,2.46
1998-04-20,23.5,24.0,23.0,23.25,23.25,11200.0,2.61
1998-04-21,23.05,23.4,22.8,23.35,23.2,13000.0,3.0
1998-04-22,24.0,24.0,22.5,22.5,22.5,14100.0,3.2
1998-04-23,22.5,22.5,21.35,21.4,21.5,6400.0,1.38
1998-04-24,21.6,21.75,21.0,21.45,21.2,4250.0,0.9
1998-04-27,22.2,22.25,21.45,21.45,21.45,2300.0,0.5
1998-04-28,21.25,22.05,21.25,21.4,21.4,6450.0,1.4
1998-04-29,21.5,21.5,20.5,20.5,20.5,5500.0,1.15
1998-04-30,20.7,20.75,19.65,20.0,20.0,5650.0,1.13
1998-05-04,19.3,20.1,19.3,20.0,20.0,10450.0,2.08
1998-05-05,20.0,20.0,19.25,19.8,19.5,8950.0,1.76
1998-05-06,19.5,19.5,18.7,18.7,18.7,8200.0,1.56
1998-05-08,18.65,18.85,18.6,18.65,18.65,7100.0,1.33
1998-05-11,19.0,19.0,18.25,18.45,18.5,12650.0,2.36
1998-05-12,17.15,18.35,16.65,17.5,17.1,24850.0,4.31
1998-05-13,17.75,18.0,17.7,17.85,17.9,4050.0,0.72
1998-05-14,17.2,18.0,17.2,18.0,18.0,2150.0,0.38
1998-05-15,18.0,18.5,18.0,18.5,18.5,1350.0,0.25
1998-05-18,17.9,18.5,17.9,18.25,18.25,2050.0,0.37
1998-05-19,17.9,18.0,17.5,17.5,17.8,1850.0,0.33
1998-05-20,18.5,18.5,17.8,17.8,17.8,1100.0,0.2
1998-05-21,18.1,18.1,17.75,17.8,17.8,1950.0,0.35
1998-05-22,18.1,18.1,17.5,18.05,18.0,2250.0,0.4
1998-05-25,18.0,18.25,17.05,17.3,17.3,2000.0,0.35
1998-05-26,17.5,17.8,17.5,17.8,17.8,3100.0,0.55
1998-05-27,17.5,17.75,17.5,17.7,17.7,900.0,0.16
1998-05-28,17.2,17.5,17.2,17.25,17.25,2300.0,0.4
1998-05-29,17.1,17.5,16.0,17.5,17.5,2000.0,0.34
1998-06-01,17.5,17.5,17.0,17.0,17.0,3100.0,0.53
