Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-07-08,110.0,129.9,81.0,90.0,89.2,12423126.0,10740.14
2008-07-09,89.5,107.05,89.5,107.0,105.2,9065730.0,9200.52
2008-07-10,107.0,112.8,98.05,105.05,104.45,6626265.0,6930.91
2008-07-11,105.25,108.4,96.1,96.15,96.8,2498089.0,2505.1
2008-07-14,97.5,108.8,92.5,106.9,107.6,3712884.0,3891.76
2008-07-15,105.0,106.0,90.0,95.9,93.35,1686392.0,1662.77
2008-07-16,95.5,105.95,95.0,103.95,103.2,2502821.0,2559.4
2008-07-17,108.8,122.9,105.5,119.0,121.05,4773543.0,5571.49
2008-07-18,116.5,126.95,107.2,110.5,110.8,5580939.0,6400.84
2008-07-21,111.5,127.2,105.8,125.15,125.3,4936014.0,5870.78
2008-07-22,121.5,142.0,108.25,134.25,139.3,6454330.0,8799.26
2008-07-23,141.8,153.25,137.45,143.5,144.2,4991818.0,7255.56
2008-07-24,146.7,149.0,133.0,133.0,133.05,1940600.0,2687.07
2008-07-25,130.0,132.25,122.0,122.0,122.05,1411273.0,1775.27
2008-07-28,122.0,134.3,118.3,134.3,134.25,1358483.0,1767.56
2008-07-29,132.05,140.0,120.85,120.85,120.85,1938567.0,2508.63
2008-07-30,122.0,126.75,111.0,113.0,113.65,3410652.0,4062.76
2008-07-31,115.0,124.7,110.75,121.35,123.35,2367264.0,2822.29
2008-08-01,121.25,135.7,118.5,135.7,135.7,2210147.0,2859.09
2008-08-04,139.05,147.7,138.05,144.0,144.55,1734434.0,2508.46
2008-08-05,144.0,159.0,144.0,153.1,154.15,1999344.0,3091.82
2008-08-06,159.9,161.85,148.0,148.05,148.3,1325844.0,2041.97
2008-08-07,148.9,148.9,140.9,140.9,140.9,749874.0,1074.59
2008-08-08,136.55,137.8,133.85,133.85,133.85,247831.0,334.11
2008-08-11,128.1,131.75,127.2,127.2,127.2,15847.0,20.25
2008-08-12,123.0,123.0,120.85,120.85,120.85,12868.0,15.57
2008-08-13,114.85,114.85,114.85,114.85,114.85,11246.0,12.92
2008-08-14,109.15,109.15,109.15,109.15,109.15,6447.0,7.04
2008-08-18,103.7,103.7,103.7,103.7,103.7,3909.0,4.05
2008-08-19,98.55,108.9,98.55,108.9,108.9,209695.0,222.01
2008-08-20,114.35,114.35,114.35,114.35,114.35,15324.0,17.52
2008-08-21,119.9,119.9,110.4,110.4,113.9,193384.0,224.26
2008-08-22,113.0,117.25,108.35,108.95,109.45,110854.0,125.68
2008-08-25,113.85,113.85,104.0,104.0,104.1,66790.0,72.28
2008-08-26,100.1,100.9,98.9,100.0,99.55,47975.0,47.83
2008-08-27,101.9,103.85,95.05,96.95,96.75,90394.0,90.49
2008-08-28,94.0,99.0,93.0,95.0,93.85,34029.0,32.65
2008-08-29,94.0,96.9,91.6,91.85,92.8,31617.0,29.72
2008-09-01,94.0,94.0,89.0,90.5,89.9,41081.0,37.04
2008-09-02,90.0,93.35,90.0,91.85,91.85,49063.0,45.32
2008-09-04,89.1,91.9,88.0,88.1,88.55,14680.0,13.06
2008-09-05,88.0,93.0,84.5,93.0,93.0,36621.0,33.26
2008-09-08,97.65,97.65,97.65,97.65,97.65,7900.0,7.71
2008-09-09,102.55,102.55,92.8,93.0,93.3,36267.0,34.38
2008-09-10,88.8,92.5,88.75,90.0,89.5,13694.0,12.37
2008-09-11,86.05,93.8,86.05,87.0,86.6,14287.0,12.5
2008-09-12,87.5,88.0,82.5,82.6,83.2,21534.0,18.18
2008-09-15,79.5,79.5,79.05,79.05,79.05,4403.0,3.48
2008-09-16,77.0,81.0,75.1,76.9,76.0,10987.0,8.34
2008-09-17,74.0,77.0,72.55,73.25,75.1,48709.0,36.59
2008-09-18,71.35,72.9,71.35,72.25,71.55,6755.0,4.82
2008-09-19,75.0,75.0,68.0,68.0,68.0,106646.0,74.13
2008-09-22,68.0,68.9,64.6,65.15,65.8,425303.0,288.57
2008-09-23,63.6,67.45,62.55,62.55,62.55,36141.0,23.29
2008-09-24,60.15,64.5,59.45,62.2,63.6,98160.0,59.5
2008-09-25,65.0,66.8,63.0,66.15,66.5,55455.0,36.15
2008-09-26,64.5,67.0,63.2,63.2,63.2,10165.0,6.61
2008-09-29,61.0,61.5,60.05,60.05,60.05,3808.0,2.29
2008-09-30,57.1,58.0,57.05,57.05,57.05,3811.0,2.18
2008-10-01,55.0,59.0,54.2,54.2,54.2,5928.0,3.23
2008-10-03,51.5,52.95,51.5,51.5,51.5,25245.0,13.01
2008-10-06,51.95,51.95,48.95,48.95,48.95,630.0,0.31
2008-10-07,47.1,47.1,46.5,46.5,46.5,613.0,0.29
2008-10-08,44.2,44.2,44.2,44.2,44.2,116.0,0.05
2008-10-10,42.0,42.0,42.0,42.0,42.0,585.0,0.25
2008-10-13,39.9,41.0,39.9,39.9,39.9,917.0,0.37
2008-10-14,37.95,41.4,37.9,37.9,37.9,2551.0,0.97
2008-10-15,36.0,36.0,36.0,36.0,36.0,108.0,0.04
2008-10-16,34.2,34.2,34.2,34.2,34.2,71.0,0.02
2008-10-17,32.5,32.5,32.5,32.5,32.5,24.0,0.01
2008-10-20,30.9,30.9,30.9,30.9,30.9,451.0,0.14
2008-10-21,29.35,29.35,29.35,29.35,29.35,686.0,0.2
2008-10-22,27.9,29.0,27.9,27.9,27.9,1313.0,0.37
2008-10-23,26.55,26.65,26.55,26.65,26.65,2737.0,0.73
2008-10-24,25.35,25.35,25.35,25.35,25.35,211.0,0.05
2008-10-27,24.1,24.1,24.1,24.1,24.1,34.0,0.01
2008-10-28,23.0,24.0,22.9,22.9,23.0,2915.0,0.67
2008-10-29,22.0,24.0,21.9,21.9,22.25,12992.0,2.94
2008-10-31,21.9,23.0,21.15,21.45,21.55,5987.0,1.29
2008-11-03,22.5,22.65,22.0,22.65,22.65,2963.0,0.67
2008-11-04,23.65,23.8,22.9,23.0,23.2,12959.0,3.03
2008-11-05,24.4,24.4,22.05,22.05,22.05,8722.0,1.93
2008-11-06,22.8,22.8,20.95,21.6,21.6,2752.0,0.59
2008-11-07,22.0,22.6,20.55,21.45,21.0,6156.0,1.3
2008-11-10,20.05,22.0,20.05,21.6,21.6,6068.0,1.29
2008-11-11,21.5,21.9,21.1,21.2,21.2,6466.0,1.39
2008-11-12,21.6,21.6,20.15,20.15,20.4,4622.0,0.96
2008-11-14,20.15,20.85,19.4,19.5,19.7,2591.0,0.52
