Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-10-27,250.0,250.0,170.05,187.8,187.5,2872269.0,5387.8
2006-10-30,188.0,217.4,185.25,205.75,207.45,2426756.0,5011.45
2006-10-31,207.45,209.7,191.2,191.2,192.6,733582.0,1470.12
2006-11-01,193.0,197.9,179.4,196.0,193.7,489945.0,941.9
2006-11-02,193.9,211.0,191.9,204.75,204.7,989271.0,2034.52
2006-11-03,206.8,207.4,195.1,196.7,197.0,276555.0,558.26
2006-11-06,197.2,198.7,190.0,191.0,191.05,184084.0,356.7
2006-11-07,193.0,198.0,190.65,191.55,191.7,250322.0,484.89
2006-11-08,193.0,197.4,183.0,187.5,187.8,174335.0,333.3
2006-11-09,190.65,194.4,185.0,186.5,186.5,161932.0,307.24
2006-11-10,188.45,190.0,182.05,182.05,182.6,67845.0,126.09
2006-11-13,183.95,184.45,179.25,180.0,180.0,69593.0,126.88
2006-11-14,170.0,188.0,170.0,176.3,176.45,89186.0,161.59
2006-11-15,178.0,179.0,166.0,168.0,169.25,94966.0,163.56
2006-11-16,169.7,175.0,169.1,175.0,172.15,50658.0,86.69
2006-11-17,180.0,180.0,162.05,163.55,163.3,61693.0,104.39
2006-11-20,163.0,165.0,154.15,165.0,161.1,41295.0,65.41
2006-11-21,171.0,172.85,160.15,169.0,168.4,45220.0,76.0
2006-11-22,162.0,179.0,162.0,173.3,173.85,62019.0,107.94
2006-11-23,177.0,177.9,167.1,167.25,168.3,46305.0,79.91
2006-11-24,172.05,172.05,163.0,163.0,164.5,30013.0,50.6
2006-11-27,166.0,171.95,162.2,162.2,162.85,22560.0,37.52
2006-11-28,160.0,163.0,157.9,158.25,158.65,16097.0,25.83
2006-11-29,161.35,165.0,159.0,159.8,159.6,14117.0,22.82
2006-11-30,164.9,165.0,158.3,159.0,160.35,16102.0,26.09
2006-12-01,164.0,192.45,159.1,192.45,188.25,290822.0,532.15
2006-12-04,197.0,216.9,192.5,203.0,204.0,1155532.0,2399.86
2006-12-05,209.0,223.7,198.0,199.05,200.05,402094.0,827.23
2006-12-06,202.0,202.0,185.0,197.4,196.1,217641.0,421.74
2006-12-07,192.1,232.0,192.1,217.0,218.2,2166239.0,4749.37
2006-12-08,217.8,223.9,206.15,207.3,208.4,659944.0,1427.74
2006-12-11,207.95,207.95,188.0,191.4,190.7,252102.0,495.51
2006-12-12,191.0,209.4,185.0,192.0,193.65,535949.0,1065.17
2006-12-13,194.65,210.55,190.15,208.6,206.1,535241.0,1072.53
2006-12-14,208.95,225.9,206.4,217.25,217.1,462113.0,1005.21
2006-12-15,218.75,227.0,212.65,216.0,215.85,534726.0,1182.06
2006-12-18,218.35,253.7,217.1,237.95,236.95,1996115.0,4785.44
2006-12-19,239.6,246.4,227.5,229.3,231.2,1030242.0,2453.57
2006-12-20,230.0,242.0,228.35,232.2,230.85,568668.0,1338.51
2006-12-21,231.55,244.2,228.1,239.0,236.85,517204.0,1228.81
2006-12-22,239.9,243.9,233.2,235.95,235.8,161402.0,385.57
