Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-06,18.0,18.0,18.0,,,,
1999-01-14,55.75,55.75,55.75,55.75,55.75,100.0,0.06
1999-02-18,51.5,51.5,51.5,51.5,51.5,100.0,0.05
1999-02-23,47.4,47.4,47.4,47.4,47.4,100.0,0.05
1999-03-22,46.0,46.0,46.0,46.0,46.0,200.0,0.09
1999-07-02,44.65,44.65,44.65,44.65,44.65,500.0,0.22
1999-07-09,41.1,41.1,41.1,41.1,41.1,500.0,0.21
1999-07-12,37.85,37.85,37.85,37.85,37.85,100.0,0.04
1999-07-13,34.85,34.85,34.85,34.85,34.85,100.0,0.03
1999-07-15,32.1,32.1,32.1,32.1,32.1,100.0,0.03
1999-07-20,29.55,29.55,29.55,29.55,29.55,100.0,0.03
1999-07-27,27.2,27.2,27.2,27.2,27.2,100.0,0.03
1999-07-29,25.05,25.05,25.05,25.05,25.05,100.0,0.03
1999-07-30,23.05,23.05,23.05,23.05,23.05,100.0,0.02
1999-08-02,21.25,21.25,21.25,21.25,21.25,400.0,0.08
1999-08-03,19.55,19.55,19.55,19.55,19.55,200.0,0.04
1999-08-04,18.65,18.65,15.5,15.5,15.5,200.0,0.03
1999-08-05,14.7,14.7,14.7,14.7,14.7,100.0,0.01
1999-08-06,13.5,13.5,13.5,13.5,13.5,100.0,0.01
1999-08-12,10.25,10.25,10.25,10.25,10.25,100.0,0.01
1999-08-13,8.1,8.1,8.1,8.1,8.1,100.0,0.01
1999-08-17,9.0,10.0,9.0,10.0,10.0,200.0,0.02
1999-08-18,10.0,12.5,8.3,12.5,12.5,600.0,0.06
1999-08-19,10.5,10.5,10.5,10.5,10.5,100.0,0.01
1999-08-20,11.75,11.75,11.75,11.75,11.75,1000.0,0.12
1999-08-23,12.0,12.0,11.4,12.0,12.0,1100.0,0.13
1999-08-24,11.8,12.0,10.5,10.5,10.5,2000.0,0.24
1999-08-25,10.5,10.5,10.4,10.4,10.4,200.0,0.02
1999-08-26,10.4,10.4,10.25,10.25,10.25,400.0,0.04
1999-08-27,10.0,10.0,10.0,10.0,10.0,200.0,0.02
1999-08-30,11.9,12.0,11.9,12.0,12.0,2200.0,0.26
1999-08-31,11.5,12.0,11.5,12.0,12.0,2000.0,0.24
1999-09-20,15.0,15.0,15.0,15.0,15.0,100.0,0.02
1999-10-01,17.5,17.5,17.5,17.5,17.5,100.0,0.02
1999-11-25,15.45,15.45,13.15,13.15,13.15,300.0,0.04
2000-11-22,14.0,14.0,14.0,14.0,14.0,100.0,0.01
