Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-11-08,310.0,310.0,260.0,283.0,281.65,49883.0,141.07
2007-11-09,300.0,301.8,287.6,292.3,295.65,16966.0,50.26
2007-11-12,300.0,300.0,271.15,284.0,282.1,14708.0,42.1
2007-11-13,308.0,308.0,285.1,286.6,286.65,10179.0,29.52
2007-11-14,290.0,303.9,290.0,290.5,291.65,16137.0,47.85
2007-11-15,294.0,305.0,281.1,282.55,290.2,62553.0,186.2
2007-11-16,298.95,324.0,289.0,304.05,307.6,81090.0,253.11
2007-11-19,324.0,336.0,315.0,324.0,324.5,81457.0,266.02
2007-11-20,324.5,349.7,324.5,340.2,334.95,65118.0,219.75
2007-11-21,345.0,345.0,306.0,306.0,311.35,47563.0,153.08
2007-11-22,310.0,312.0,290.0,298.0,296.2,13402.0,39.97
2007-11-23,313.5,318.95,295.05,305.15,305.45,23418.0,72.31
2007-11-26,319.9,325.65,312.2,319.8,319.0,37126.0,118.78
2007-11-27,324.0,324.0,304.0,308.0,306.55,12279.0,38.11
2007-11-28,315.0,324.0,301.25,304.0,304.85,21669.0,67.88
2007-11-29,310.0,311.9,295.15,295.15,297.6,22654.0,68.44
2007-11-30,308.0,308.95,301.0,305.0,305.4,8888.0,27.13
2007-12-03,309.0,315.0,294.0,308.4,308.45,14281.0,43.75
2007-12-04,310.0,310.0,298.0,302.0,300.35,12444.0,37.85
2007-12-05,301.1,311.0,298.0,302.1,302.55,13191.0,39.94
2007-12-06,305.0,315.0,303.1,306.0,309.7,19465.0,60.21
2007-12-07,311.8,311.95,291.0,298.0,295.75,17208.0,51.91
2007-12-10,300.1,304.3,295.05,295.05,297.15,13572.0,40.57
2007-12-11,301.0,305.85,295.2,299.9,300.35,21999.0,66.31
2007-12-12,299.9,305.0,293.6,298.0,297.45,21882.0,65.47
2007-12-13,300.0,303.65,294.6,296.0,297.15,15807.0,47.21
2007-12-14,305.0,305.0,293.0,294.7,293.55,23358.0,69.45
2007-12-17,298.8,298.8,270.0,285.0,278.35,25135.0,71.42
2007-12-18,284.95,284.95,264.0,276.5,274.85,19161.0,52.01
2007-12-19,280.0,289.0,271.1,275.0,274.15,30380.0,84.65
2007-12-20,272.15,284.5,272.15,273.0,274.25,22712.0,63.19
2007-12-24,277.1,284.0,272.25,279.3,277.2,10640.0,29.58
2007-12-26,282.0,286.95,273.0,286.0,285.1,15717.0,44.39
2007-12-27,306.0,306.0,290.0,292.0,292.0,19643.0,57.67
2007-12-28,276.0,350.4,276.0,332.15,338.15,271784.0,918.72
2007-12-31,347.5,362.8,339.15,357.0,356.3,277606.0,978.05
2008-01-01,380.0,392.0,354.0,354.0,356.5,107475.0,388.2
2008-01-02,363.0,390.0,363.0,376.0,374.45,235891.0,886.01
2008-01-03,374.0,374.0,356.0,360.0,360.1,92492.0,335.96
2008-01-04,361.2,372.9,340.0,345.0,347.3,69883.0,250.41
2008-01-07,344.55,347.8,330.0,333.0,333.45,55188.0,186.95
2008-01-08,345.0,345.0,315.9,322.0,320.6,54099.0,176.57
2008-01-09,316.0,335.0,315.0,319.0,321.9,83073.0,270.41
2008-01-10,323.0,328.0,293.0,301.0,300.5,35694.0,112.04
2008-01-11,295.0,304.95,290.0,299.0,294.35,48189.0,142.71
2008-01-14,303.65,319.55,291.0,293.1,296.8,99747.0,300.59
2008-01-15,304.85,304.85,282.2,287.3,288.8,81694.0,242.91
2008-01-16,286.0,299.0,280.0,280.4,284.8,54670.0,157.64
2008-01-17,282.8,289.7,281.15,283.0,283.35,43376.0,124.09
2008-01-18,287.0,287.0,265.0,266.9,267.35,25790.0,71.37
2008-01-21,252.0,295.0,214.0,215.0,216.0,46271.0,109.78
2008-01-22,174.25,209.95,172.8,172.8,172.85,45567.0,79.75
2008-01-23,159.25,190.1,159.0,187.0,188.0,125204.0,230.05
2008-01-24,200.0,206.8,178.5,198.7,187.35,470650.0,921.72
2008-01-25,195.0,206.1,184.0,205.95,204.3,60840.0,118.61
2008-01-28,194.5,212.0,188.1,207.0,207.8,14214.0,28.39
2008-01-29,215.0,219.0,203.0,207.0,207.45,22391.0,46.95
2008-01-30,217.95,217.95,203.1,207.0,206.4,375680.0,765.71
2008-01-31,214.95,214.95,193.0,200.0,198.15,14881.0,29.74
2008-02-01,202.0,204.9,196.0,199.9,199.8,20960.0,41.95
2008-02-04,203.0,209.9,200.05,206.0,204.9,15639.0,32.14
2008-02-05,203.5,208.0,202.05,205.0,205.85,11947.0,24.51
2008-02-06,202.0,203.6,194.1,197.0,197.5,373155.0,735.43
2008-02-07,197.25,214.0,197.25,200.6,200.7,53696.0,110.97
2008-02-08,200.0,203.0,185.0,185.0,187.0,369294.0,701.12
2008-02-11,185.0,185.1,168.3,168.3,169.2,28680.0,49.35
2008-02-12,178.0,178.0,152.7,153.0,153.9,84682.0,139.45
2008-02-13,157.1,161.6,155.0,158.3,155.5,19223.0,30.74
2008-02-14,161.0,163.3,160.3,163.3,163.3,19560.0,31.7
2008-02-15,164.1,171.5,164.0,171.5,171.5,13195.0,22.45
2008-02-18,179.0,180.1,177.0,178.15,178.9,20562.0,36.8
2008-02-19,182.0,185.4,175.4,178.8,176.95,14898.0,26.92
2008-02-20,180.0,180.0,170.1,175.8,174.7,7785.0,13.5
2008-02-21,179.0,179.0,171.0,173.4,172.45,10239.0,17.99
2008-02-22,170.0,177.0,165.6,167.9,168.65,17299.0,29.69
2008-02-25,169.8,169.8,161.1,165.0,165.05,37875.0,62.33
2008-02-26,165.0,171.9,156.8,158.55,159.1,45474.0,75.09
2008-02-27,166.45,167.1,163.5,167.0,166.45,37645.0,62.18
2008-02-28,170.0,174.0,166.0,170.8,170.2,23164.0,39.31
2008-02-29,165.5,172.0,162.25,164.0,164.85,22616.0,37.7
2008-03-03,160.0,162.5,157.0,157.05,157.45,13510.0,21.43
2008-03-04,155.0,157.95,149.6,149.6,150.25,27129.0,41.05
2008-03-05,144.1,149.5,142.75,145.0,143.75,40955.0,59.19
2008-03-07,141.0,143.95,136.6,138.5,137.5,45951.0,63.5
2008-03-10,138.5,140.95,129.0,137.1,137.2,22628.0,30.27
2008-03-11,143.0,150.9,133.0,148.0,148.4,23395.0,33.49
2008-03-12,153.5,158.95,135.0,138.0,137.1,41330.0,59.27
2008-03-13,132.1,139.75,127.1,130.5,128.9,21301.0,28.22
2008-03-14,130.0,135.8,128.5,135.25,134.0,48298.0,63.9
2008-03-17,123.1,129.0,120.6,120.6,120.6,55217.0,67.87
2008-03-18,111.0,115.0,108.55,108.55,108.55,89999.0,97.97
2008-03-19,112.0,113.0,103.15,103.15,103.55,26766.0,28.77
2008-03-24,101.1,102.95,98.4,98.4,98.4,15695.0,15.57
