Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-08-14,268.0,275.0,266.0,269.5,270.35,313901.0,853.0
2014-08-18,274.9,287.0,267.0,277.0,279.0,335554.0,930.32
2014-08-19,280.0,299.75,275.0,293.1,293.7,596621.0,1725.95
2014-08-20,294.5,297.0,284.25,287.6,290.6,350867.0,1020.45
2014-08-21,293.0,297.3,285.0,286.0,287.25,147218.0,428.82
2014-08-22,287.55,288.45,271.15,276.0,276.95,43768.0,122.53
2014-08-25,279.65,284.0,276.0,276.55,276.9,59621.0,167.17
2014-08-26,272.05,279.8,261.6,268.0,267.2,42963.0,115.66
2014-08-27,267.0,282.0,266.3,282.0,278.55,87679.0,240.14
2014-08-28,286.95,293.0,280.0,286.5,288.45,93125.0,266.8
2014-09-01,290.95,293.0,280.1,282.5,283.65,39508.0,112.54
2014-09-02,284.0,294.0,280.2,283.3,286.1,133047.0,385.23
2014-09-03,289.35,329.0,288.4,313.55,313.8,843741.0,2646.48
2014-09-04,315.0,316.4,301.15,309.0,308.0,202371.0,623.23
2014-09-05,310.3,314.0,302.8,308.45,308.75,124175.0,382.25
2014-09-08,310.85,320.0,308.0,310.75,312.15,116929.0,366.81
2014-09-09,310.75,314.55,304.25,307.5,307.95,67364.0,207.41
2014-09-10,307.1,316.5,305.1,308.6,309.25,54186.0,168.51
2014-09-11,311.7,315.9,308.0,308.5,308.95,53296.0,165.91
2014-09-12,308.5,318.0,307.25,315.0,315.1,105913.0,331.52
2014-09-15,310.05,338.0,310.05,330.7,331.9,229196.0,749.9
2014-09-16,333.45,341.4,309.0,309.95,311.0,170685.0,554.73
2014-09-17,311.5,319.0,305.1,308.0,308.05,68476.0,212.3
2014-09-18,309.0,319.2,308.55,311.0,312.1,56803.0,178.51
2014-09-19,316.0,326.0,313.3,316.5,317.4,91810.0,294.56
2014-09-22,317.0,321.4,310.2,318.0,316.95,22167.0,70.51
2014-09-23,319.1,324.05,291.1,307.35,307.1,157678.0,482.25
2014-09-24,306.5,306.5,291.1,297.0,296.75,93744.0,277.0
2014-09-25,300.0,308.0,290.1,294.0,292.8,77090.0,228.34
2014-09-26,291.0,296.0,284.5,292.5,293.05,33439.0,97.34
2014-09-29,296.85,297.0,287.8,295.0,295.0,34071.0,99.71
2014-09-30,292.1,303.3,292.1,293.1,297.4,38218.0,114.16
2014-10-01,295.0,303.75,295.0,295.5,296.25,23312.0,69.76
2014-10-07,300.0,303.0,291.1,294.0,293.3,20975.0,62.38
2014-10-08,294.0,300.0,294.0,299.0,298.8,19024.0,56.56
2014-10-09,300.0,312.75,296.5,311.0,309.9,66961.0,206.08
2014-10-10,309.9,333.3,303.05,322.5,319.45,127717.0,409.08
2014-10-13,315.0,322.95,311.1,315.5,314.2,26488.0,83.99
2014-10-14,324.0,324.0,311.1,321.0,320.4,65210.0,208.15
2014-10-16,320.0,320.0,306.9,310.0,309.25,47303.0,146.95
2014-10-17,307.0,313.0,303.0,306.0,307.1,20865.0,64.18
2014-10-20,305.05,315.15,305.05,307.0,308.2,60424.0,187.61
2014-10-21,308.8,322.4,302.05,320.1,318.9,41473.0,130.08
2014-10-22,327.0,327.0,318.0,327.0,325.15,38363.0,124.34
2014-10-23,325.4,332.8,322.3,326.05,326.6,14372.0,47.07
2014-10-27,323.0,323.3,311.2,312.0,312.65,12696.0,40.09
