Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-03-09,45.0,46.7,42.0,42.5,43.45,865.0,0.37
2009-03-12,43.45,43.5,40.0,40.05,40.05,8063.0,3.37
2009-03-13,42.0,42.0,37.8,40.0,41.0,4043.0,1.66
2009-03-16,40.05,43.85,39.65,39.7,39.9,6407.0,2.6
2009-03-17,40.05,42.7,38.0,40.0,39.85,6699.0,2.66
2009-03-18,39.9,39.9,38.2,38.35,38.75,12221.0,4.73
2009-03-19,38.95,40.0,37.55,37.55,37.65,12706.0,5.0
2009-03-20,37.55,38.0,36.6,37.0,37.05,1550.0,0.57
2009-03-23,37.2,39.35,37.2,38.0,38.05,5018.0,1.91
2009-03-24,43.9,43.9,36.5,39.0,39.0,2375.0,0.92
2009-03-25,39.0,42.75,38.0,38.0,38.15,35212.0,13.71
2009-03-26,38.3,40.9,38.3,38.65,39.25,25689.0,10.3
2009-03-27,39.55,41.0,38.65,39.8,39.8,27856.0,11.37
2009-03-30,40.4,42.0,38.55,38.55,38.55,26441.0,10.58
2009-03-31,40.4,42.0,36.6,42.0,41.25,21455.0,8.35
2009-04-01,40.7,42.35,39.05,39.3,40.9,1793.0,0.72
2009-04-02,41.0,47.9,41.0,41.25,41.25,6626.0,2.79
2009-04-06,46.9,46.9,42.1,44.6,44.6,10455.0,4.59
2009-04-08,45.0,46.6,44.25,46.6,46.6,9215.0,4.18
2009-04-09,47.1,49.7,46.0,48.0,48.05,17634.0,8.29
2009-04-13,47.35,51.5,47.35,49.0,49.9,16328.0,8.01
2009-04-15,49.0,55.0,47.0,52.6,52.7,25800.0,13.18
2009-04-16,54.15,56.0,47.0,47.0,48.75,2174.0,1.12
2009-04-17,48.2,52.9,47.05,47.6,48.1,1588.0,0.79
2009-04-20,52.6,52.6,49.0,50.9,49.95,950.0,0.48
2009-04-21,48.65,51.0,48.65,49.05,50.35,600.0,0.3
2009-04-22,50.0,50.0,50.0,50.0,50.0,113.0,0.06
2009-04-23,48.05,49.3,46.0,47.6,47.85,1305.0,0.62
2009-04-24,48.5,50.0,47.0,49.5,49.35,2171.0,1.06
2009-04-27,47.35,49.5,47.0,47.0,47.2,1691.0,0.82
2009-04-28,47.0,48.9,46.6,46.6,46.6,1249.0,0.59
2009-04-29,45.3,47.0,45.05,46.9,46.95,509.0,0.23
2009-05-04,48.45,52.5,47.0,51.0,50.35,16691.0,8.35
2009-05-05,50.0,50.0,48.25,50.0,49.85,2594.0,1.29
2009-05-06,49.0,50.0,48.1,48.2,48.8,2800.0,1.38
2009-05-07,48.15,50.0,48.15,49.5,49.5,398.0,0.2
