Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-02-24,152.45,159.0,150.4,150.4,151.9,27647.0,42.71
2005-02-25,154.95,154.95,145.0,145.5,145.8,22747.0,33.96
2005-02-28,148.6,160.4,142.2,158.0,157.3,47317.0,72.86
2005-03-01,154.0,158.0,151.0,154.5,153.15,28647.0,44.48
2005-03-02,155.0,168.5,155.0,168.0,168.15,173720.0,290.37
2005-03-03,171.0,181.9,165.05,166.9,166.7,175240.0,303.5
2005-03-04,167.0,171.95,165.3,170.0,169.1,104211.0,176.54
2005-03-07,171.85,172.4,163.2,166.5,165.7,40326.0,67.39
2005-03-08,165.0,168.0,158.4,162.0,160.35,39292.0,64.42
2005-03-09,162.4,173.9,155.0,167.5,169.85,94498.0,155.43
2005-03-10,170.0,177.8,165.2,174.9,173.95,106717.0,185.96
2005-03-11,177.0,177.0,169.0,170.0,170.15,37116.0,64.57
2005-03-14,171.0,173.0,166.25,169.95,167.9,26344.0,44.83
2005-03-15,170.0,170.95,163.0,165.0,164.95,15983.0,26.44
2005-03-16,165.0,174.7,164.95,168.25,170.55,117343.0,201.11
2005-03-17,167.05,170.25,162.1,162.8,162.95,40252.0,66.89
2005-03-18,166.0,166.0,156.55,159.0,159.8,33776.0,54.28
2005-03-21,163.95,163.95,155.0,156.0,156.15,21735.0,34.69
2005-03-22,165.0,169.0,155.1,156.35,156.55,111981.0,184.14
2005-03-23,159.0,159.0,150.0,150.05,151.1,42495.0,65.55
2005-03-24,151.05,155.0,136.5,146.0,144.8,91563.0,132.18
2005-03-28,148.9,152.5,146.0,152.0,151.05,32513.0,48.91
2005-03-29,153.8,153.8,143.0,147.0,146.0,27969.0,41.14
2005-03-30,146.5,149.5,144.0,147.0,147.05,15493.0,22.66
2005-03-31,151.0,160.0,151.0,157.0,157.1,25533.0,39.92
2005-04-01,158.0,158.0,152.0,156.0,155.7,29135.0,45.15
2005-04-04,156.05,162.0,155.0,156.0,156.7,70704.0,111.79
2005-04-05,159.6,159.6,150.15,150.15,150.95,17224.0,26.56
2005-04-06,155.8,158.0,152.65,152.65,153.3,6651.0,10.26
2005-04-07,154.0,155.5,150.5,151.95,151.2,7689.0,11.77
2005-04-08,151.2,153.0,147.0,147.75,148.65,10663.0,15.9
2005-04-11,149.95,154.0,147.05,151.0,150.5,12978.0,19.54
2005-04-12,153.5,164.5,151.3,163.0,160.9,196992.0,315.16
2005-04-13,165.8,177.0,165.8,177.0,176.6,654134.0,1146.63
