Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-03-13,523.95,523.95,456.0,464.0,461.95,2252.0,10.79
2015-03-16,460.0,473.9,415.8,427.0,419.45,888.0,3.86
2015-03-17,417.0,444.95,415.0,424.5,420.25,2800.0,11.9
2015-03-18,429.0,460.0,425.0,436.05,444.05,3183.0,14.19
2015-03-19,450.0,488.45,450.0,488.45,488.45,6407.0,31.26
2015-03-20,490.4,504.95,453.3,468.0,475.15,6900.0,33.35
2015-03-23,454.0,484.0,436.0,436.0,437.0,12930.0,56.99
2015-03-24,444.7,479.95,424.0,424.0,426.2,2323.0,10.19
2015-03-25,448.95,449.0,423.0,426.05,430.0,1443.0,6.21
2015-03-26,438.0,439.0,407.4,424.0,418.75,1153.0,4.84
2015-03-27,424.95,445.9,405.0,445.9,425.3,2548.0,10.6
2015-03-30,421.0,450.0,421.0,434.25,434.25,4224.0,18.44
2015-03-31,439.9,477.65,439.9,468.5,470.3,6094.0,28.93
2015-04-01,475.8,499.0,475.8,481.0,485.55,7327.0,35.82
2015-04-06,485.0,534.1,485.0,534.1,534.1,13648.0,71.89
2015-04-07,559.0,560.8,550.0,560.8,560.8,20812.0,116.41
2015-04-08,586.0,588.8,586.0,588.8,588.8,6068.0,35.62
2015-04-09,618.2,618.2,618.2,618.2,618.2,2214.0,13.69
2015-04-10,649.1,649.1,622.0,649.1,649.1,28536.0,184.8
2015-04-13,681.55,681.55,681.55,681.55,681.55,9160.0,62.43
2015-04-15,715.0,715.6,715.0,715.6,715.6,1154.0,8.26
2015-04-16,709.0,715.8,679.85,694.5,698.4,69987.0,484.3
2015-04-17,731.0,731.0,663.5,663.5,665.55,12147.0,83.51
2015-04-20,670.0,697.4,632.3,642.0,634.8,13192.0,84.89
2015-04-21,611.0,666.5,611.0,639.95,639.95,25557.0,168.1
2015-04-22,641.9,654.0,621.1,645.0,639.85,7057.0,44.91
2015-04-23,638.6,671.75,638.55,662.0,667.8,9125.0,60.71
2015-04-24,654.0,665.85,634.45,650.0,652.55,4742.0,30.6
2015-04-27,641.95,641.95,619.95,619.95,619.95,1770.0,11.05
2015-04-28,589.0,615.0,589.0,600.0,600.5,4056.0,24.28
2015-04-29,619.0,630.5,580.0,602.0,601.85,42743.0,264.72
2015-04-30,603.95,603.95,586.0,588.0,590.0,2899.0,17.11
2015-05-04,592.05,624.0,592.05,600.0,609.9,7432.0,45.32
2015-05-05,601.0,601.0,582.0,585.0,587.15,1330.0,7.92
2015-05-06,596.8,596.85,540.0,555.0,563.5,6090.0,34.33
2015-05-07,565.0,618.7,565.0,580.0,573.2,12400.0,74.47
2015-05-08,571.1,602.0,571.1,587.0,597.1,1616.0,9.56
2015-05-11,597.0,599.0,572.0,590.0,590.95,1375.0,8.07
2015-05-12,585.0,585.0,558.05,565.0,575.25,1814.0,10.43
2015-05-13,569.0,595.0,568.7,578.0,578.0,1491.0,8.67
2015-05-14,565.55,635.8,565.5,599.0,597.4,16124.0,101.05
2015-05-15,610.0,610.0,578.0,599.9,593.7,2153.0,12.94
2015-05-18,601.95,601.95,590.0,599.85,599.4,192.0,1.15
2015-05-19,591.5,604.25,586.1,586.15,587.25,3286.0,19.61
2015-05-20,580.2,594.0,580.1,594.0,594.0,826.0,4.88
2015-05-21,585.0,600.0,580.3,580.3,587.9,5508.0,32.54
2015-05-22,590.05,590.05,550.0,566.0,565.8,684.0,3.89
2015-05-25,556.5,578.0,556.5,558.05,558.8,620.0,3.48
2015-05-26,554.05,563.85,552.15,552.15,553.5,1098.0,6.12
2015-05-27,550.25,560.0,547.1,555.0,555.0,1394.0,7.77
2015-05-28,565.0,565.0,501.0,555.05,548.4,19618.0,106.14
2015-05-29,557.85,603.2,503.0,601.5,600.0,28868.0,171.46
2015-06-01,639.95,639.95,594.95,599.95,599.25,14610.0,89.04
2015-06-02,600.0,603.0,570.25,590.0,582.25,3163.0,18.64
2015-06-03,575.0,589.0,524.1,589.0,578.2,4917.0,27.5
2015-06-04,570.0,587.0,570.0,572.0,571.8,1626.0,9.42
2015-06-05,580.9,585.0,573.0,585.0,584.75,467.0,2.72
2015-06-08,637.0,637.0,555.25,577.0,565.5,1310.0,7.62
2015-06-09,570.0,581.0,562.0,573.95,566.95,1367.0,7.78
2015-06-10,566.0,585.0,558.0,561.9,561.0,3664.0,20.68
2015-06-11,579.0,584.9,555.55,569.0,566.9,11267.0,64.1
2015-06-12,553.05,565.0,541.25,541.25,547.75,1716.0,9.58
2015-06-15,555.0,562.5,551.05,551.05,555.0,657.0,3.68
2015-06-16,552.5,567.0,550.0,553.1,558.4,3427.0,19.12
2015-06-17,565.0,593.0,557.5,573.05,576.9,5465.0,31.88
2015-06-18,575.0,592.9,563.15,586.0,589.5,5980.0,35.0
2015-06-19,585.05,625.0,585.05,625.0,612.65,5694.0,34.61
2015-06-22,623.0,633.95,615.0,630.0,629.6,4349.0,27.16
2015-06-23,638.05,675.0,631.55,673.0,667.45,9803.0,64.39
2015-06-24,674.95,676.0,635.15,640.1,655.1,5082.0,33.86
2015-06-25,649.0,650.0,626.0,645.0,631.65,1189.0,7.57
2015-06-26,626.5,635.0,612.55,632.0,623.45,1048.0,6.52
2015-06-29,637.7,637.7,600.1,621.9,623.2,1462.0,8.95
2015-06-30,623.0,625.0,611.1,625.0,622.55,762.0,4.73
2015-07-01,634.45,650.0,615.0,625.0,625.2,3360.0,21.32
2015-07-02,636.5,642.0,621.4,642.0,640.25,3481.0,22.17
2015-07-03,640.0,668.0,629.95,640.5,639.95,4635.0,29.9
2015-07-06,664.0,719.0,632.15,705.0,706.8,21791.0,151.19
2015-07-07,717.0,717.0,690.0,697.0,695.9,5320.0,37.63
2015-07-08,689.1,719.0,685.0,705.0,703.5,2216.0,15.4
2015-07-09,734.0,734.0,690.0,700.0,697.15,3812.0,26.74
2015-07-10,720.0,720.0,700.1,710.1,710.9,2023.0,14.34
2015-07-13,719.0,844.0,719.0,819.8,822.75,46237.0,374.61
2015-07-14,839.7,848.9,800.1,814.8,811.3,12153.0,100.37
2015-07-15,818.0,840.0,771.05,778.0,780.7,5634.0,45.34
2015-07-16,789.45,822.0,782.05,801.0,803.1,4426.0,35.63
2015-07-17,805.05,809.0,780.0,805.0,794.6,4261.0,33.75
2015-07-20,804.95,817.0,785.0,792.95,790.75,6833.0,54.81
2015-07-21,800.05,812.9,781.0,800.0,797.9,7373.0,58.99
2015-07-22,797.0,810.0,740.35,749.0,755.4,24948.0,192.51
2015-07-23,760.5,789.0,750.0,762.0,762.25,14858.0,113.32
2015-07-24,769.95,770.0,740.0,745.0,751.8,13010.0,97.96
2015-07-27,751.0,756.95,711.0,724.9,718.9,9735.0,70.84
2015-07-28,716.3,745.9,715.0,716.0,718.05,6154.0,44.58
2015-07-29,721.0,728.95,708.0,725.0,720.65,15438.0,110.5
2015-07-30,716.25,751.95,716.25,730.0,733.3,3625.0,26.75
2015-07-31,731.05,740.9,725.0,732.0,728.3,2462.0,18.01
2015-08-03,730.0,740.0,710.0,725.0,716.25,3213.0,23.41
