Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-03-24,125.0,137.0,125.0,137.0,137.0,200.0,0.26
2008-03-25,139.95,164.4,125.05,148.65,148.65,1698.0,2.43
2008-03-26,140.75,141.5,135.55,135.55,136.65,440.0,0.61
2008-03-27,153.0,153.0,137.0,140.1,140.1,18198.0,26.12
2008-03-28,149.8,155.0,145.1,155.0,154.7,2622.0,4.0
2008-03-31,156.0,164.7,150.0,154.0,156.65,1211.0,1.88
2008-04-01,159.5,160.0,150.1,158.9,158.9,800.0,1.25
2008-04-02,158.0,158.0,152.45,152.45,152.45,156.0,0.24
2008-04-04,152.0,156.0,146.3,154.5,154.5,373.0,0.56
2008-04-07,148.05,155.75,146.0,146.0,146.8,500.0,0.75
2008-04-08,158.0,158.0,139.3,149.0,149.0,601.0,0.9
2008-04-10,159.0,159.0,150.0,150.0,150.0,66.0,0.1
2008-04-11,154.9,155.0,150.1,150.1,150.1,1065.0,1.65
2008-04-15,157.5,165.0,156.1,156.1,156.1,467.0,0.76
2008-04-16,146.25,165.0,146.25,162.0,160.85,2363.0,3.51
2008-04-17,151.5,170.0,151.5,170.0,170.0,1543.0,2.41
2008-04-21,198.8,198.8,176.5,176.5,178.0,2671.0,4.88
2008-04-22,176.0,181.45,176.0,178.0,178.0,792.0,1.42
2008-04-23,171.15,179.9,162.0,179.9,179.9,109.0,0.19
2008-04-24,165.0,179.95,165.0,173.0,173.0,608.0,1.05
2008-04-25,162.4,175.0,162.4,166.25,174.9,1584.0,2.74
2008-04-28,173.0,173.0,167.0,169.0,169.8,728.0,1.24
2008-04-29,166.0,169.7,154.1,167.85,167.85,800.0,1.32
2008-04-30,170.0,189.9,162.2,181.15,181.15,2033.0,3.61
2008-05-02,190.0,210.0,180.0,200.25,200.65,78811.0,149.47
2008-05-05,208.9,230.0,206.0,227.8,225.15,21468.0,47.14
2008-05-06,202.0,225.4,202.0,212.15,216.8,5541.0,12.17
2008-05-07,226.0,226.0,210.0,212.05,212.95,4882.0,10.79
2008-05-08,217.95,218.0,210.0,212.0,211.05,1835.0,3.9
2008-05-09,211.0,213.7,187.0,187.0,202.55,2404.0,5.0
2008-05-12,184.5,194.0,175.0,194.0,187.1,945.0,1.75
2008-05-13,182.6,189.85,182.6,186.0,186.0,1125.0,2.09
2008-05-14,180.1,185.0,180.1,182.15,184.3,298.0,0.55
2008-05-15,190.0,191.0,190.0,190.0,190.0,298.0,0.57
2008-05-16,188.0,201.0,188.0,200.0,200.0,2656.0,5.3
2008-05-20,191.0,195.0,185.0,190.0,190.0,1353.0,2.57
2008-05-21,198.9,204.7,198.7,200.0,200.0,1926.0,3.86
2008-05-22,200.0,206.75,184.0,202.0,202.8,6511.0,13.03
2008-05-23,207.2,218.8,207.2,210.0,212.15,3418.0,7.18
2008-05-26,207.0,210.0,200.0,210.0,206.65,3210.0,6.63
2008-05-27,200.0,216.9,197.1,210.0,210.0,2778.0,5.81
2008-05-28,210.05,215.0,209.95,210.0,210.0,60345.0,127.31
2008-05-29,214.5,215.5,214.5,215.0,215.0,5906.0,12.7
2008-05-30,215.0,229.95,215.0,225.0,225.0,43052.0,94.94
2008-06-02,211.0,224.0,211.0,211.0,211.0,695.0,1.48
2008-06-03,214.95,214.95,196.0,199.05,199.05,211.0,0.43
2008-06-04,200.0,200.0,194.0,200.0,200.0,4473.0,8.95
2008-06-06,197.0,200.0,188.05,188.05,190.05,423.0,0.83
2008-06-09,184.4,184.4,168.0,170.55,170.55,86.0,0.15
2008-06-11,189.45,189.45,162.0,162.0,169.75,822.0,1.42
2008-06-12,174.9,187.9,165.0,178.0,176.2,826.0,1.43
2008-06-13,185.0,185.0,180.0,180.0,180.0,2251.0,4.06
2008-06-16,171.0,171.5,171.0,171.05,171.45,205.0,0.35
2008-06-17,179.0,180.0,179.0,180.0,180.0,102.0,0.18
2008-06-18,180.0,182.0,180.0,180.0,180.7,135.0,0.24
2008-06-19,180.0,180.0,180.0,180.0,180.0,1330.0,2.39
2008-06-23,171.0,180.0,171.0,180.0,180.0,4515.0,8.03
2008-06-24,180.0,180.0,180.0,180.0,180.0,2365.0,4.26
2008-06-25,187.45,187.45,180.0,180.0,180.0,1020.0,1.84
2008-06-27,180.0,180.0,180.0,180.0,180.0,8845.0,15.92
2008-06-30,180.0,189.0,180.0,189.0,189.0,36863.0,69.47
2008-07-01,180.1,184.95,179.6,184.95,184.95,1355.0,2.44
2008-07-02,176.0,180.0,176.0,180.0,180.0,900.0,1.59
2008-07-03,171.0,188.9,171.0,177.0,177.0,2091.0,3.58
2008-07-04,168.5,168.5,168.5,168.5,168.5,25.0,0.04
2008-07-07,168.5,168.5,168.5,168.5,168.5,5.0,0.01
2008-07-09,160.15,160.15,160.15,160.15,160.15,50.0,0.08
2008-07-11,153.0,168.0,153.0,167.0,167.0,167.0,0.27
2008-07-14,165.0,165.0,161.0,161.0,162.0,175.0,0.29
2008-07-15,157.0,157.0,154.0,154.0,154.2,1875.0,2.89
2008-07-16,154.0,154.0,150.0,150.0,151.35,120.0,0.18
2008-07-18,150.0,156.0,150.0,156.0,156.0,60.0,0.09
2008-07-21,163.8,163.8,163.8,163.8,163.8,1615.0,2.65
2008-07-22,171.5,172.0,171.5,172.0,172.0,2500.0,4.3
2008-07-23,180.0,180.0,180.0,180.0,180.0,1500.0,2.7
2008-07-25,176.0,178.0,173.0,178.0,178.0,3378.0,6.0
2008-07-28,178.0,186.9,178.0,186.9,186.9,1372.0,2.54
2008-07-29,189.0,190.0,189.0,190.0,190.0,1130.0,2.15
2008-07-30,190.0,195.0,190.0,195.0,195.0,3065.0,5.96
2008-07-31,199.75,202.0,199.75,200.0,200.2,5907.0,11.81
2008-08-01,195.0,195.0,195.0,195.0,195.0,5.0,0.01
2008-08-04,186.05,186.05,185.3,185.3,185.3,56.0,0.1
2008-08-05,185.0,185.0,181.0,183.0,183.0,1203.0,2.21
2008-08-06,189.95,189.95,177.0,185.0,185.0,500.0,0.89
2008-08-07,177.1,180.0,176.0,176.0,177.8,533.0,0.95
2008-08-08,170.1,178.0,170.1,178.0,178.0,105.0,0.18
2008-08-11,171.0,171.0,171.0,171.0,171.0,26.0,0.04
2008-08-12,173.75,173.75,171.0,173.0,173.0,1050.0,1.82
2008-08-13,173.0,175.0,168.25,175.0,175.0,248.0,0.42
2008-08-14,168.3,168.55,168.3,168.5,168.5,1650.0,2.78
2008-08-18,165.0,174.5,165.0,174.5,174.5,102.0,0.17
2008-08-19,174.7,174.7,167.0,167.35,167.35,180.0,0.31
2008-08-20,170.0,173.8,170.0,170.0,170.65,70.0,0.12
2008-08-21,171.0,171.0,170.0,170.0,170.0,1020.0,1.74
2008-08-22,177.0,177.0,170.0,171.0,171.0,199.0,0.34
2008-08-25,170.0,170.0,170.0,170.0,170.0,400.0,0.68
2008-08-26,170.5,171.55,170.0,170.0,170.0,3250.0,5.53
2008-08-27,178.4,178.5,178.4,178.5,178.5,1326.0,2.37
2008-08-28,186.95,187.45,186.95,187.45,187.45,5000.0,9.37
2008-08-29,190.0,196.85,180.3,196.85,196.85,3615.0,7.08
2008-09-01,200.0,200.0,187.5,187.5,187.7,28.0,0.05
2008-09-02,187.5,187.5,185.5,185.5,185.5,52.0,0.1
2008-09-04,180.6,180.6,180.6,180.6,180.6,40.0,0.07
2008-09-08,180.0,183.0,174.05,180.0,180.0,1520.0,2.68
2008-09-12,175.0,175.0,175.0,175.0,175.0,22.0,0.04
2008-09-15,160.0,178.0,160.0,178.0,175.15,1470.0,2.4
2008-09-17,161.0,167.0,161.0,167.0,167.0,165.0,0.27
2008-09-18,160.05,165.0,160.0,165.0,165.0,1249.0,2.04
2008-09-19,161.1,178.9,161.1,178.9,178.9,486.0,0.82
2008-09-22,168.0,168.0,168.0,168.0,168.0,25.0,0.04
2008-09-23,161.2,169.95,161.1,161.1,161.1,210.0,0.34
2008-09-24,162.3,174.9,162.3,174.9,163.25,90.0,0.15
2008-09-25,160.3,161.1,160.05,161.1,161.1,40.0,0.06
2008-09-26,153.0,161.5,153.0,160.05,160.05,471.0,0.75
2008-09-29,149.0,160.1,148.0,160.0,160.0,8101.0,12.95
2008-09-30,150.0,165.0,150.0,150.25,155.1,13755.0,22.62
2008-10-01,158.0,165.0,156.0,165.0,165.0,51.0,0.08
2008-10-06,150.0,156.0,150.0,150.0,150.0,210.0,0.32
2008-10-07,150.0,150.0,137.0,143.0,143.0,118.0,0.16
2008-10-08,128.7,128.7,128.7,128.7,128.7,130.0,0.17
